Temperature - (Celsius), Year, Statistics, Country, ISO3
24.8837, 1901, Jan Average, Guinea, GIN
27.5991, 1901, Feb Average, Guinea, GIN
28.5288, 1901, Mar Average, Guinea, GIN
28.7773, 1901, Apr Average, Guinea, GIN
27.418, 1901, May Average, Guinea, GIN
26.2605, 1901, Jun Average, Guinea, GIN
25.1591, 1901, Jul Average, Guinea, GIN
24.6037, 1901, Aug Average, Guinea, GIN
25.4668, 1901, Sep Average, Guinea, GIN
25.5546, 1901, Oct Average, Guinea, GIN
25.1433, 1901, Nov Average, Guinea, GIN
24.4135, 1901, Dec Average, Guinea, GIN
25.4193, 1902, Jan Average, Guinea, GIN
27.0634, 1902, Feb Average, Guinea, GIN
28.0378, 1902, Mar Average, Guinea, GIN
28.6778, 1902, Apr Average, Guinea, GIN
28.1026, 1902, May Average, Guinea, GIN
26.7365, 1902, Jun Average, Guinea, GIN
25.4535, 1902, Jul Average, Guinea, GIN
25.0599, 1902, Aug Average, Guinea, GIN
24.7962, 1902, Sep Average, Guinea, GIN
25.8273, 1902, Oct Average, Guinea, GIN
25.9704, 1902, Nov Average, Guinea, GIN
23.8792, 1902, Dec Average, Guinea, GIN
24.7064, 1903, Jan Average, Guinea, GIN
27.0234, 1903, Feb Average, Guinea, GIN
28.4, 1903, Mar Average, Guinea, GIN
28.553, 1903, Apr Average, Guinea, GIN
27.8538, 1903, May Average, Guinea, GIN
25.8563, 1903, Jun Average, Guinea, GIN
24.6902, 1903, Jul Average, Guinea, GIN
23.9024, 1903, Aug Average, Guinea, GIN
24.7631, 1903, Sep Average, Guinea, GIN
26.0791, 1903, Oct Average, Guinea, GIN
25.4954, 1903, Nov Average, Guinea, GIN
24.0532, 1903, Dec Average, Guinea, GIN
24.2019, 1904, Jan Average, Guinea, GIN
25.8588, 1904, Feb Average, Guinea, GIN
27.6786, 1904, Mar Average, Guinea, GIN
28.1229, 1904, Apr Average, Guinea, GIN
27.7662, 1904, May Average, Guinea, GIN
26.1051, 1904, Jun Average, Guinea, GIN
24.5864, 1904, Jul Average, Guinea, GIN
24.1374, 1904, Aug Average, Guinea, GIN
25.168, 1904, Sep Average, Guinea, GIN
25.6854, 1904, Oct Average, Guinea, GIN
25.7012, 1904, Nov Average, Guinea, GIN
24.3625, 1904, Dec Average, Guinea, GIN
24.8317, 1905, Jan Average, Guinea, GIN
26.2628, 1905, Feb Average, Guinea, GIN
28.1842, 1905, Mar Average, Guinea, GIN
28.9748, 1905, Apr Average, Guinea, GIN
27.8773, 1905, May Average, Guinea, GIN
25.4926, 1905, Jun Average, Guinea, GIN
24.9557, 1905, Jul Average, Guinea, GIN
24.2626, 1905, Aug Average, Guinea, GIN
24.8805, 1905, Sep Average, Guinea, GIN
25.3308, 1905, Oct Average, Guinea, GIN
25.3127, 1905, Nov Average, Guinea, GIN
24.6489, 1905, Dec Average, Guinea, GIN
25.3097, 1906, Jan Average, Guinea, GIN
26.6008, 1906, Feb Average, Guinea, GIN
29.2618, 1906, Mar Average, Guinea, GIN
29.1464, 1906, Apr Average, Guinea, GIN
27.6741, 1906, May Average, Guinea, GIN
25.7147, 1906, Jun Average, Guinea, GIN
24.3452, 1906, Jul Average, Guinea, GIN
23.865, 1906, Aug Average, Guinea, GIN
24.8293, 1906, Sep Average, Guinea, GIN
25.2907, 1906, Oct Average, Guinea, GIN
25.3693, 1906, Nov Average, Guinea, GIN
23.358, 1906, Dec Average, Guinea, GIN
24.2327, 1907, Jan Average, Guinea, GIN
26.074, 1907, Feb Average, Guinea, GIN
28.0005, 1907, Mar Average, Guinea, GIN
28.1411, 1907, Apr Average, Guinea, GIN
27.2054, 1907, May Average, Guinea, GIN
25.2483, 1907, Jun Average, Guinea, GIN
24.6144, 1907, Jul Average, Guinea, GIN
