Temperature - (Celsius), Year, Statistics, Country, ISO3
24.8557, 1901, Jan Average, Gambia, The, GMB
27.4298, 1901, Feb Average, Gambia, The, GMB
27.6976, 1901, Mar Average, Gambia, The, GMB
29.9786, 1901, Apr Average, Gambia, The, GMB
29.1333, 1901, May Average, Gambia, The, GMB
29.967, 1901, Jun Average, Gambia, The, GMB
28.2279, 1901, Jul Average, Gambia, The, GMB
27.6137, 1901, Aug Average, Gambia, The, GMB
27.5549, 1901, Sep Average, Gambia, The, GMB
27.4672, 1901, Oct Average, Gambia, The, GMB
25.0039, 1901, Nov Average, Gambia, The, GMB
23.4179, 1901, Dec Average, Gambia, The, GMB
24.9649, 1902, Jan Average, Gambia, The, GMB
27.0944, 1902, Feb Average, Gambia, The, GMB
27.2818, 1902, Mar Average, Gambia, The, GMB
29.344, 1902, Apr Average, Gambia, The, GMB
29.9501, 1902, May Average, Gambia, The, GMB
30.2452, 1902, Jun Average, Gambia, The, GMB
28.6269, 1902, Jul Average, Gambia, The, GMB
27.9003, 1902, Aug Average, Gambia, The, GMB
27.2372, 1902, Sep Average, Gambia, The, GMB
28.943, 1902, Oct Average, Gambia, The, GMB
27.659, 1902, Nov Average, Gambia, The, GMB
23.1894, 1902, Dec Average, Gambia, The, GMB
23.5423, 1903, Jan Average, Gambia, The, GMB
27.2115, 1903, Feb Average, Gambia, The, GMB
28.9785, 1903, Mar Average, Gambia, The, GMB
29.1333, 1903, Apr Average, Gambia, The, GMB
29.8485, 1903, May Average, Gambia, The, GMB
29.2673, 1903, Jun Average, Gambia, The, GMB
28.4537, 1903, Jul Average, Gambia, The, GMB
27.1552, 1903, Aug Average, Gambia, The, GMB
27.1376, 1903, Sep Average, Gambia, The, GMB
28.6698, 1903, Oct Average, Gambia, The, GMB
27.3631, 1903, Nov Average, Gambia, The, GMB
23.5817, 1903, Dec Average, Gambia, The, GMB
24.0793, 1904, Jan Average, Gambia, The, GMB
26.6138, 1904, Feb Average, Gambia, The, GMB
27.5206, 1904, Mar Average, Gambia, The, GMB
29.4368, 1904, Apr Average, Gambia, The, GMB
29.5574, 1904, May Average, Gambia, The, GMB
29.0462, 1904, Jun Average, Gambia, The, GMB
27.8759, 1904, Jul Average, Gambia, The, GMB
26.7139, 1904, Aug Average, Gambia, The, GMB
27.1389, 1904, Sep Average, Gambia, The, GMB
27.7414, 1904, Oct Average, Gambia, The, GMB
27.2611, 1904, Nov Average, Gambia, The, GMB
23.8766, 1904, Dec Average, Gambia, The, GMB
24.5799, 1905, Jan Average, Gambia, The, GMB
26.3803, 1905, Feb Average, Gambia, The, GMB
28.0778, 1905, Mar Average, Gambia, The, GMB
28.9591, 1905, Apr Average, Gambia, The, GMB
29.3393, 1905, May Average, Gambia, The, GMB
29.3869, 1905, Jun Average, Gambia, The, GMB
28.3258, 1905, Jul Average, Gambia, The, GMB
27.191, 1905, Aug Average, Gambia, The, GMB
27.7309, 1905, Sep Average, Gambia, The, GMB
28.0981, 1905, Oct Average, Gambia, The, GMB
26.4781, 1905, Nov Average, Gambia, The, GMB
24.5843, 1905, Dec Average, Gambia, The, GMB
25.3873, 1906, Jan Average, Gambia, The, GMB
26.7105, 1906, Feb Average, Gambia, The, GMB
29.1683, 1906, Mar Average, Gambia, The, GMB
29.3109, 1906, Apr Average, Gambia, The, GMB
29.776, 1906, May Average, Gambia, The, GMB
30.1008, 1906, Jun Average, Gambia, The, GMB
27.7824, 1906, Jul Average, Gambia, The, GMB
26.568, 1906, Aug Average, Gambia, The, GMB
27.2184, 1906, Sep Average, Gambia, The, GMB
28.0089, 1906, Oct Average, Gambia, The, GMB
27.1437, 1906, Nov Average, Gambia, The, GMB
23.5955, 1906, Dec Average, Gambia, The, GMB
23.7849, 1907, Jan Average, Gambia, The, GMB
25.8284, 1907, Feb Average, Gambia, The, GMB
27.6654, 1907, Mar Average, Gambia, The, GMB
28.4966, 1907, Apr Average, Gambia, The, GMB
28.5668, 1907, May Average, Gambia, The, GMB
28.3844, 1907, Jun Average, Gambia, The, GMB
27.7306, 1907, Jul Average, Gambia, The, GMB
26.53, 1907, Aug Average, Gambia, The, GMB
26.8825, 1907, Sep Average, Gambia, The, GMB
27.5606, 1907, Oct Average, Gambia, The, GMB
25.6615, 1907, Nov Average, Gambia, The, GMB
23.3316, 1907, Dec Average, Gambia, The, GMB
24.2893, 1908, Jan Average, Gambia, The, GMB
26.207, 1908, Feb Average, Gambia, The, GMB
28.157, 1908, Mar Average, Gambia, The, GMB
29.7465, 1908, Apr Average, Gambia, The, GMB
30.0223, 1908, May Average, Gambia, The, GMB
29.7031, 1908, Jun Average, Gambia, The, GMB
28.3076, 1908, Jul Average, Gambia, The, GMB
26.8804, 1908, Aug Average, Gambia, The, GMB
27.3763, 1908, Sep Average, Gambia, The, GMB
28.1891, 1908, Oct Average, Gambia, The, GMB
27.2958, 1908, Nov Average, Gambia, The, GMB
25.2465, 1908, Dec Average, Gambia, The, GMB
23.9577, 1909, Jan Average, Gambia, The, GMB
26.0915, 1909, Feb Average, Gambia, The, GMB
28.7715, 1909, Mar Average, Gambia, The, GMB
29.0202, 1909, Apr Average, Gambia, The, GMB
29.8572, 1909, May Average, Gambia, The, GMB
29.1797, 1909, Jun Average, Gambia, The, GMB
28.1873, 1909, Jul Average, Gambia, The, GMB
27.0488, 1909, Aug Average, Gambia, The, GMB
27.0378, 1909, Sep Average, Gambia, The, GMB
28.028, 1909, Oct Average, Gambia, The, GMB
26.5024, 1909, Nov Average, Gambia, The, GMB
24.6275, 1909, Dec Average, Gambia, The, GMB
23.498, 1910, Jan Average, Gambia, The, GMB
26.9125, 1910, Feb Average, Gambia, The, GMB
27.9592, 1910, Mar Average, Gambia, The, GMB
29.5115, 1910, Apr Average, Gambia, The, GMB
29.7338, 1910, May Average, Gambia, The, GMB
29.2187, 1910, Jun Average, Gambia, The, GMB
27.5082, 1910, Jul Average, Gambia, The, GMB
27.055, 1910, Aug Average, Gambia, The, GMB
27.4449, 1910, Sep Average, Gambia, The, GMB
28.4211, 1910, Oct Average, Gambia, The, GMB
28.2528, 1910, Nov Average, Gambia, The, GMB
24.8197, 1910, Dec Average, Gambia, The, GMB
23.5897, 1911, Jan Average, Gambia, The, GMB
26.0617, 1911, Feb Average, Gambia, The, GMB
26.6214, 1911, Mar Average, Gambia, The, GMB
29.2187, 1911, Apr Average, Gambia, The, GMB
29.0791, 1911, May Average, Gambia, The, GMB
28.5698, 1911, Jun Average, Gambia, The, GMB
28.0339, 1911, Jul Average, Gambia, The, GMB
27.0565, 1911, Aug Average, Gambia, The, GMB
27.5393, 1911, Sep Average, Gambia, The, GMB
28.8113, 1911, Oct Average, Gambia, The, GMB
27.2119, 1911, Nov Average, Gambia, The, GMB
24.9408, 1911, Dec Average, Gambia, The, GMB
24.2963, 1912, Jan Average, Gambia, The, GMB
26.6456, 1912, Feb Average, Gambia, The, GMB
28.6809, 1912, Mar Average, Gambia, The, GMB
28.3857, 1912, Apr Average, Gambia, The, GMB
29.6227, 1912, May Average, Gambia, The, GMB
29.5638, 1912, Jun Average, Gambia, The, GMB
28.2231, 1912, Jul Average, Gambia, The, GMB
27.0822, 1912, Aug Average, Gambia, The, GMB
27.3357, 1912, Sep Average, Gambia, The, GMB
27.9919, 1912, Oct Average, Gambia, The, GMB
27.4044, 1912, Nov Average, Gambia, The, GMB
