Temperature - (Celsius), Year, Statistics, Country, ISO3
24.7368, 1901, Jan Average, Equatorial Guinea, GNQ
25.2398, 1901, Feb Average, Equatorial Guinea, GNQ
24.4446, 1901, Mar Average, Equatorial Guinea, GNQ
25.0304, 1901, Apr Average, Equatorial Guinea, GNQ
24.2157, 1901, May Average, Equatorial Guinea, GNQ
23.6678, 1901, Jun Average, Equatorial Guinea, GNQ
23.0423, 1901, Jul Average, Equatorial Guinea, GNQ
22.6668, 1901, Aug Average, Equatorial Guinea, GNQ
23.6489, 1901, Sep Average, Equatorial Guinea, GNQ
24.3321, 1901, Oct Average, Equatorial Guinea, GNQ
24.5393, 1901, Nov Average, Equatorial Guinea, GNQ
24.5714, 1901, Dec Average, Equatorial Guinea, GNQ
25.0459, 1902, Jan Average, Equatorial Guinea, GNQ
24.734, 1902, Feb Average, Equatorial Guinea, GNQ
24.9371, 1902, Mar Average, Equatorial Guinea, GNQ
24.7638, 1902, Apr Average, Equatorial Guinea, GNQ
24.7606, 1902, May Average, Equatorial Guinea, GNQ
24.1678, 1902, Jun Average, Equatorial Guinea, GNQ
22.9423, 1902, Jul Average, Equatorial Guinea, GNQ
23.5668, 1902, Aug Average, Equatorial Guinea, GNQ
24.3489, 1902, Sep Average, Equatorial Guinea, GNQ
24.3321, 1902, Oct Average, Equatorial Guinea, GNQ
24.5393, 1902, Nov Average, Equatorial Guinea, GNQ
24.5714, 1902, Dec Average, Equatorial Guinea, GNQ
25.4459, 1903, Jan Average, Equatorial Guinea, GNQ
25.634, 1903, Feb Average, Equatorial Guinea, GNQ
25.4505, 1903, Mar Average, Equatorial Guinea, GNQ
25.0881, 1903, Apr Average, Equatorial Guinea, GNQ
24.8914, 1903, May Average, Equatorial Guinea, GNQ
23.5678, 1903, Jun Average, Equatorial Guinea, GNQ
23.1423, 1903, Jul Average, Equatorial Guinea, GNQ
23.4669, 1903, Aug Average, Equatorial Guinea, GNQ
24.6489, 1903, Sep Average, Equatorial Guinea, GNQ
24.3321, 1903, Oct Average, Equatorial Guinea, GNQ
24.5393, 1903, Nov Average, Equatorial Guinea, GNQ
24.5714, 1903, Dec Average, Equatorial Guinea, GNQ
25.0459, 1904, Jan Average, Equatorial Guinea, GNQ
24.934, 1904, Feb Average, Equatorial Guinea, GNQ
24.5413, 1904, Mar Average, Equatorial Guinea, GNQ
24.7527, 1904, Apr Average, Equatorial Guinea, GNQ
24.6871, 1904, May Average, Equatorial Guinea, GNQ
23.9678, 1904, Jun Average, Equatorial Guinea, GNQ
22.4423, 1904, Jul Average, Equatorial Guinea, GNQ
22.6668, 1904, Aug Average, Equatorial Guinea, GNQ
24.6489, 1904, Sep Average, Equatorial Guinea, GNQ
24.3321, 1904, Oct Average, Equatorial Guinea, GNQ
24.5393, 1904, Nov Average, Equatorial Guinea, GNQ
24.5714, 1904, Dec Average, Equatorial Guinea, GNQ
25.4458, 1905, Jan Average, Equatorial Guinea, GNQ
25.8338, 1905, Feb Average, Equatorial Guinea, GNQ
25.8503, 1905, Mar Average, Equatorial Guinea, GNQ
25.8453, 1905, Apr Average, Equatorial Guinea, GNQ
25.4799, 1905, May Average, Equatorial Guinea, GNQ
23.8677, 1905, Jun Average, Equatorial Guinea, GNQ
22.8423, 1905, Jul Average, Equatorial Guinea, GNQ
23.6668, 1905, Aug Average, Equatorial Guinea, GNQ
24.0489, 1905, Sep Average, Equatorial Guinea, GNQ
24.3319, 1905, Oct Average, Equatorial Guinea, GNQ
24.5401, 1905, Nov Average, Equatorial Guinea, GNQ
24.5722, 1905, Dec Average, Equatorial Guinea, GNQ
24.8458, 1906, Jan Average, Equatorial Guinea, GNQ
25.334, 1906, Feb Average, Equatorial Guinea, GNQ
25.7994, 1906, Mar Average, Equatorial Guinea, GNQ
26.0353, 1906, Apr Average, Equatorial Guinea, GNQ
24.8802, 1906, May Average, Equatorial Guinea, GNQ
24.0678, 1906, Jun Average, Equatorial Guinea, GNQ
23.2423, 1906, Jul Average, Equatorial Guinea, GNQ
23.2668, 1906, Aug Average, Equatorial Guinea, GNQ
24.649, 1906, Sep Average, Equatorial Guinea, GNQ
24.3326, 1906, Oct Average, Equatorial Guinea, GNQ
24.5398, 1906, Nov Average, Equatorial Guinea, GNQ
24.5724, 1906, Dec Average, Equatorial Guinea, GNQ
24.6459, 1907, Jan Average, Equatorial Guinea, GNQ
25.5328, 1907, Feb Average, Equatorial Guinea, GNQ
25.4077, 1907, Mar Average, Equatorial Guinea, GNQ
25.2454, 1907, Apr Average, Equatorial Guinea, GNQ
25.1743, 1907, May Average, Equatorial Guinea, GNQ
