Temperature - (Celsius), Year, Statistics, Country, ISO3
25.3809, 1901, Jan Average, Grenada, GRD
25.3809, 1901, Feb Average, Grenada, GRD
25.9779, 1901, Mar Average, Grenada, GRD
27.0758, 1901, Apr Average, Grenada, GRD
27.5754, 1901, May Average, Grenada, GRD
27.1823, 1901, Jun Average, Grenada, GRD
27.2836, 1901, Jul Average, Grenada, GRD
27.3763, 1901, Aug Average, Grenada, GRD
26.6793, 1901, Sep Average, Grenada, GRD
26.3797, 1901, Oct Average, Grenada, GRD
25.8797, 1901, Nov Average, Grenada, GRD
24.8839, 1901, Dec Average, Grenada, GRD
24.486, 1902, Jan Average, Grenada, GRD
24.7809, 1902, Feb Average, Grenada, GRD
24.8809, 1902, Mar Average, Grenada, GRD
26.08, 1902, Apr Average, Grenada, GRD
27.0827, 1902, May Average, Grenada, GRD
27.0823, 1902, Jun Average, Grenada, GRD
26.7823, 1902, Jul Average, Grenada, GRD
27.1784, 1902, Aug Average, Grenada, GRD
26.5784, 1902, Sep Average, Grenada, GRD
26.1788, 1902, Oct Average, Grenada, GRD
26.1809, 1902, Nov Average, Grenada, GRD
25.3839, 1902, Dec Average, Grenada, GRD
24.786, 1903, Jan Average, Grenada, GRD
24.983, 1903, Feb Average, Grenada, GRD
24.9851, 1903, Mar Average, Grenada, GRD
26.0809, 1903, Apr Average, Grenada, GRD
26.9751, 1903, May Average, Grenada, GRD
27.1811, 1903, Jun Average, Grenada, GRD
27.2806, 1903, Jul Average, Grenada, GRD
26.9784, 1903, Aug Average, Grenada, GRD
26.6754, 1903, Sep Average, Grenada, GRD
26.6839, 1903, Oct Average, Grenada, GRD
25.7818, 1903, Nov Average, Grenada, GRD
24.8869, 1903, Dec Average, Grenada, GRD
24.286, 1904, Jan Average, Grenada, GRD
24.283, 1904, Feb Average, Grenada, GRD
24.3809, 1904, Mar Average, Grenada, GRD
25.48, 1904, Apr Average, Grenada, GRD
26.5776, 1904, May Average, Grenada, GRD
26.5772, 1904, Jun Average, Grenada, GRD
26.7806, 1904, Jul Average, Grenada, GRD
26.4806, 1904, Aug Average, Grenada, GRD
26.5809, 1904, Sep Average, Grenada, GRD
25.8809, 1904, Oct Average, Grenada, GRD
26.0797, 1904, Nov Average, Grenada, GRD
25.0818, 1904, Dec Average, Grenada, GRD
24.6903, 1905, Jan Average, Grenada, GRD
24.0851, 1905, Feb Average, Grenada, GRD
24.5851, 1905, Mar Average, Grenada, GRD
26.2788, 1905, Apr Average, Grenada, GRD
26.3806, 1905, May Average, Grenada, GRD
26.7781, 1905, Jun Average, Grenada, GRD
26.9793, 1905, Jul Average, Grenada, GRD
27.1806, 1905, Aug Average, Grenada, GRD
26.8797, 1905, Sep Average, Grenada, GRD
26.3818, 1905, Oct Average, Grenada, GRD
26.2818, 1905, Nov Average, Grenada, GRD
24.6827, 1905, Dec Average, Grenada, GRD
24.3851, 1906, Jan Average, Grenada, GRD
24.386, 1906, Feb Average, Grenada, GRD
24.8851, 1906, Mar Average, Grenada, GRD
25.8779, 1906, Apr Average, Grenada, GRD
26.7784, 1906, May Average, Grenada, GRD
26.5793, 1906, Jun Average, Grenada, GRD
26.5814, 1906, Jul Average, Grenada, GRD
27.0784, 1906, Aug Average, Grenada, GRD
26.4806, 1906, Sep Average, Grenada, GRD
26.6788, 1906, Oct Average, Grenada, GRD
26.2818, 1906, Nov Average, Grenada, GRD
24.4851, 1906, Dec Average, Grenada, GRD
23.9873, 1907, Jan Average, Grenada, GRD
24.0864, 1907, Feb Average, Grenada, GRD
24.283, 1907, Mar Average, Grenada, GRD
25.48, 1907, Apr Average, Grenada, GRD
25.9806, 1907, May Average, Grenada, GRD
26.4781, 1907, Jun Average, Grenada, GRD
26.6823, 1907, Jul Average, Grenada, GRD
26.7784, 1907, Aug Average, Grenada, GRD
26.5797, 1907, Sep Average, Grenada, GRD
26.2839, 1907, Oct Average, Grenada, GRD
25.8818, 1907, Nov Average, Grenada, GRD
25.0839, 1907, Dec Average, Grenada, GRD
24.4839, 1908, Jan Average, Grenada, GRD
24.2851, 1908, Feb Average, Grenada, GRD
24.383, 1908, Mar Average, Grenada, GRD
25.383, 1908, Apr Average, Grenada, GRD
25.9776, 1908, May Average, Grenada, GRD
26.6802, 1908, Jun Average, Grenada, GRD
26.7772, 1908, Jul Average, Grenada, GRD
26.8793, 1908, Aug Average, Grenada, GRD
26.6827, 1908, Sep Average, Grenada, GRD
26.1818, 1908, Oct Average, Grenada, GRD
25.6818, 1908, Nov Average, Grenada, GRD
25.3873, 1908, Dec Average, Grenada, GRD
24.2851, 1909, Jan Average, Grenada, GRD
24.1851, 1909, Feb Average, Grenada, GRD
25.2809, 1909, Mar Average, Grenada, GRD
25.6821, 1909, Apr Average, Grenada, GRD
26.5784, 1909, May Average, Grenada, GRD
26.2823, 1909, Jun Average, Grenada, GRD
26.5793, 1909, Jul Average, Grenada, GRD
26.4806, 1909, Aug Average, Grenada, GRD
26.4806, 1909, Sep Average, Grenada, GRD
26.1818, 1909, Oct Average, Grenada, GRD
25.8851, 1909, Nov Average, Grenada, GRD
24.4851, 1909, Dec Average, Grenada, GRD
23.8873, 1910, Jan Average, Grenada, GRD
24.0864, 1910, Feb Average, Grenada, GRD
24.2851, 1910, Mar Average, Grenada, GRD
25.3821, 1910, Apr Average, Grenada, GRD
26.7758, 1910, May Average, Grenada, GRD
26.7793, 1910, Jun Average, Grenada, GRD
26.6814, 1910, Jul Average, Grenada, GRD
26.8806, 1910, Aug Average, Grenada, GRD
26.2797, 1910, Sep Average, Grenada, GRD
26.0776, 1910, Oct Average, Grenada, GRD
26.2797, 1910, Nov Average, Grenada, GRD
25.386, 1910, Dec Average, Grenada, GRD
24.1851, 1911, Jan Average, Grenada, GRD
23.9851, 1911, Feb Average, Grenada, GRD
24.7813, 1911, Mar Average, Grenada, GRD
25.58, 1911, Apr Average, Grenada, GRD
26.1797, 1911, May Average, Grenada, GRD
27.0751, 1911, Jun Average, Grenada, GRD
26.3793, 1911, Jul Average, Grenada, GRD
26.9763, 1911, Aug Average, Grenada, GRD
26.8776, 1911, Sep Average, Grenada, GRD
26.3797, 1911, Oct Average, Grenada, GRD
26.0827, 1911, Nov Average, Grenada, GRD
25.1818, 1911, Dec Average, Grenada, GRD
24.786, 1912, Jan Average, Grenada, GRD
24.786, 1912, Feb Average, Grenada, GRD
24.8851, 1912, Mar Average, Grenada, GRD
25.883, 1912, Apr Average, Grenada, GRD
26.9776, 1912, May Average, Grenada, GRD
26.8772, 1912, Jun Average, Grenada, GRD
26.9772, 1912, Jul Average, Grenada, GRD
26.9763, 1912, Aug Average, Grenada, GRD
26.5797, 1912, Sep Average, Grenada, GRD
26.2839, 1912, Oct Average, Grenada, GRD
25.8818, 1912, Nov Average, Grenada, GRD
25.1848, 1912, Dec Average, Grenada, GRD
24.0839, 1913, Jan Average, Grenada, GRD
23.5915, 1913, Feb Average, Grenada, GRD
24.5821, 1913, Mar Average, Grenada, GRD
25.5813, 1913, Apr Average, Grenada, GRD
27.2776, 1913, May Average, Grenada, GRD
26.4806, 1913, Jun Average, Grenada, GRD
25.9793, 1913, Jul Average, Grenada, GRD
26.1784, 1913, Aug Average, Grenada, GRD
26.3776, 1913, Sep Average, Grenada, GRD
25.6788, 1913, Oct Average, Grenada, GRD
25.3797, 1913, Nov Average, Grenada, GRD
24.2818, 1913, Dec Average, Grenada, GRD
24.2881, 1914, Jan Average, Grenada, GRD
24.6864, 1914, Feb Average, Grenada, GRD
25.1851, 1914, Mar Average, Grenada, GRD
25.5779, 1914, Apr Average, Grenada, GRD
25.9784, 1914, May Average, Grenada, GRD
26.4793, 1914, Jun Average, Grenada, GRD
26.2793, 1914, Jul Average, Grenada, GRD
25.9772, 1914, Aug Average, Grenada, GRD
26.0763, 1914, Sep Average, Grenada, GRD
25.7776, 1914, Oct Average, Grenada, GRD
25.5754, 1914, Nov Average, Grenada, GRD
25.3754, 1914, Dec Average, Grenada, GRD
24.686, 1915, Jan Average, Grenada, GRD
24.583, 1915, Feb Average, Grenada, GRD
25.5809, 1915, Mar Average, Grenada, GRD
26.08, 1915, Apr Average, Grenada, GRD
26.9754, 1915, May Average, Grenada, GRD
26.973, 1915, Jun Average, Grenada, GRD
26.6781, 1915, Jul Average, Grenada, GRD
27.3763, 1915, Aug Average, Grenada, GRD
26.7784, 1915, Sep Average, Grenada, GRD
26.7797, 1915, Oct Average, Grenada, GRD
26.2776, 1915, Nov Average, Grenada, GRD
25.2827, 1915, Dec Average, Grenada, GRD
24.2839, 1916, Jan Average, Grenada, GRD
24.483, 1916, Feb Average, Grenada, GRD
24.8821, 1916, Mar Average, Grenada, GRD
25.98, 1916, Apr Average, Grenada, GRD
26.7763, 1916, May Average, Grenada, GRD
26.7751, 1916, Jun Average, Grenada, GRD
26.6751, 1916, Jul Average, Grenada, GRD
26.4751, 1916, Aug Average, Grenada, GRD
26.3763, 1916, Sep Average, Grenada, GRD
26.1767, 1916, Oct Average, Grenada, GRD
25.5797, 1916, Nov Average, Grenada, GRD
24.4809, 1916, Dec Average, Grenada, GRD
24.18, 1917, Jan Average, Grenada, GRD
24.1813, 1917, Feb Average, Grenada, GRD
24.5792, 1917, Mar Average, Grenada, GRD
25.6779, 1917, Apr Average, Grenada, GRD
27.0746, 1917, May Average, Grenada, GRD
27.1742, 1917, Jun Average, Grenada, GRD
26.9763, 1917, Jul Average, Grenada, GRD
26.4763, 1917, Aug Average, Grenada, GRD
26.6746, 1917, Sep Average, Grenada, GRD
26.5754, 1917, Oct Average, Grenada, GRD
26.2758, 1917, Nov Average, Grenada, GRD
25.18, 1917, Dec Average, Grenada, GRD
24.2851, 1918, Jan Average, Grenada, GRD
24.38, 1918, Feb Average, Grenada, GRD
24.7779, 1918, Mar Average, Grenada, GRD
25.5749, 1918, Apr Average, Grenada, GRD
26.5737, 1918, May Average, Grenada, GRD
27.1763, 1918, Jun Average, Grenada, GRD
26.8793, 1918, Jul Average, Grenada, GRD
27.1763, 1918, Aug Average, Grenada, GRD
27.2767, 1918, Sep Average, Grenada, GRD
26.7788, 1918, Oct Average, Grenada, GRD
26.0809, 1918, Nov Average, Grenada, GRD
24.8809, 1918, Dec Average, Grenada, GRD
23.986, 1919, Jan Average, Grenada, GRD
24.583, 1919, Feb Average, Grenada, GRD
24.8821, 1919, Mar Average, Grenada, GRD
25.5809, 1919, Apr Average, Grenada, GRD
26.7742, 1919, May Average, Grenada, GRD
27.1763, 1919, Jun Average, Grenada, GRD
26.5814, 1919, Jul Average, Grenada, GRD
26.7763, 1919, Aug Average, Grenada, GRD
26.4797, 1919, Sep Average, Grenada, GRD
26.0788, 1919, Oct Average, Grenada, GRD
25.2797, 1919, Nov Average, Grenada, GRD
24.9818, 1919, Dec Average, Grenada, GRD
23.9869, 1920, Jan Average, Grenada, GRD
24.1839, 1920, Feb Average, Grenada, GRD
24.8809, 1920, Mar Average, Grenada, GRD
25.7809, 1920, Apr Average, Grenada, GRD
26.4763, 1920, May Average, Grenada, GRD
26.4793, 1920, Jun Average, Grenada, GRD
26.2814, 1920, Jul Average, Grenada, GRD
26.4776, 1920, Aug Average, Grenada, GRD
26.0784, 1920, Sep Average, Grenada, GRD
26.0818, 1920, Oct Average, Grenada, GRD
25.5839, 1920, Nov Average, Grenada, GRD
24.5839, 1920, Dec Average, Grenada, GRD
24.583, 1921, Jan Average, Grenada, GRD
24.98, 1921, Feb Average, Grenada, GRD
25.2792, 1921, Mar Average, Grenada, GRD
25.4792, 1921, Apr Average, Grenada, GRD
26.9788, 1921, May Average, Grenada, GRD
26.6751, 1921, Jun Average, Grenada, GRD
26.0793, 1921, Jul Average, Grenada, GRD
26.6784, 1921, Aug Average, Grenada, GRD
26.7776, 1921, Sep Average, Grenada, GRD
26.0776, 1921, Oct Average, Grenada, GRD
25.9767, 1921, Nov Average, Grenada, GRD
24.9818, 1921, Dec Average, Grenada, GRD
24.386, 1922, Jan Average, Grenada, GRD
24.383, 1922, Feb Average, Grenada, GRD
24.5821, 1922, Mar Average, Grenada, GRD
25.4792, 1922, Apr Average, Grenada, GRD
26.3776, 1922, May Average, Grenada, GRD
26.4772, 1922, Jun Average, Grenada, GRD
26.5784, 1922, Jul Average, Grenada, GRD
26.4763, 1922, Aug Average, Grenada, GRD
26.6746, 1922, Sep Average, Grenada, GRD
26.5767, 1922, Oct Average, Grenada, GRD
25.7788, 1922, Nov Average, Grenada, GRD
24.3797, 1922, Dec Average, Grenada, GRD
24.083, 1923, Jan Average, Grenada, GRD
23.883, 1923, Feb Average, Grenada, GRD
24.2788, 1923, Mar Average, Grenada, GRD
25.5779, 1923, Apr Average, Grenada, GRD
27.1733, 1923, May Average, Grenada, GRD
26.5751, 1923, Jun Average, Grenada, GRD
26.5793, 1923, Jul Average, Grenada, GRD
26.9763, 1923, Aug Average, Grenada, GRD
26.9754, 1923, Sep Average, Grenada, GRD
26.6776, 1923, Oct Average, Grenada, GRD
26.3797, 1923, Nov Average, Grenada, GRD
24.9788, 1923, Dec Average, Grenada, GRD
24.3839, 1924, Jan Average, Grenada, GRD
24.6809, 1924, Feb Average, Grenada, GRD
25.3746, 1924, Mar Average, Grenada, GRD
26.4779, 1924, Apr Average, Grenada, GRD
27.2763, 1924, May Average, Grenada, GRD
26.7751, 1924, Jun Average, Grenada, GRD
26.5781, 1924, Jul Average, Grenada, GRD
26.773, 1924, Aug Average, Grenada, GRD
26.5772, 1924, Sep Average, Grenada, GRD
26.1733, 1924, Oct Average, Grenada, GRD
25.6797, 1924, Nov Average, Grenada, GRD
24.6797, 1924, Dec Average, Grenada, GRD
23.7827, 1925, Jan Average, Grenada, GRD
23.9821, 1925, Feb Average, Grenada, GRD
24.4821, 1925, Mar Average, Grenada, GRD
25.9779, 1925, Apr Average, Grenada, GRD
26.8754, 1925, May Average, Grenada, GRD
26.7772, 1925, Jun Average, Grenada, GRD
26.5814, 1925, Jul Average, Grenada, GRD
