Temperature - (Celsius), Year, Statistics, Country, ISO3
25.4724, 1901, Jan Average, Guyana, GUY
25.5389, 1901, Feb Average, Guyana, GUY
25.6782, 1901, Mar Average, Guyana, GUY
26.3027, 1901, Apr Average, Guyana, GUY
26.0569, 1901, May Average, Guyana, GUY
26.1438, 1901, Jun Average, Guyana, GUY
26.3628, 1901, Jul Average, Guyana, GUY
26.1791, 1901, Aug Average, Guyana, GUY
25.8527, 1901, Sep Average, Guyana, GUY
26.0833, 1901, Oct Average, Guyana, GUY
26.193, 1901, Nov Average, Guyana, GUY
25.3823, 1901, Dec Average, Guyana, GUY
25.0709, 1902, Jan Average, Guyana, GUY
25.1232, 1902, Feb Average, Guyana, GUY
25.0546, 1902, Mar Average, Guyana, GUY
25.9149, 1902, Apr Average, Guyana, GUY
26.3738, 1902, May Average, Guyana, GUY
26.235, 1902, Jun Average, Guyana, GUY
25.9011, 1902, Jul Average, Guyana, GUY
26.2183, 1902, Aug Average, Guyana, GUY
26.0331, 1902, Sep Average, Guyana, GUY
25.8951, 1902, Oct Average, Guyana, GUY
26.5024, 1902, Nov Average, Guyana, GUY
25.8702, 1902, Dec Average, Guyana, GUY
25.4368, 1903, Jan Average, Guyana, GUY
25.3378, 1903, Feb Average, Guyana, GUY
25.4387, 1903, Mar Average, Guyana, GUY
25.7915, 1903, Apr Average, Guyana, GUY
25.386, 1903, May Average, Guyana, GUY
25.8756, 1903, Jun Average, Guyana, GUY
26.2292, 1903, Jul Average, Guyana, GUY
25.9724, 1903, Aug Average, Guyana, GUY
25.816, 1903, Sep Average, Guyana, GUY
27.1247, 1903, Oct Average, Guyana, GUY
26.2005, 1903, Nov Average, Guyana, GUY
25.5302, 1903, Dec Average, Guyana, GUY
24.8267, 1904, Jan Average, Guyana, GUY
24.5784, 1904, Feb Average, Guyana, GUY
24.5568, 1904, Mar Average, Guyana, GUY
25.3103, 1904, Apr Average, Guyana, GUY
25.6341, 1904, May Average, Guyana, GUY
25.0064, 1904, Jun Average, Guyana, GUY
25.8664, 1904, Jul Average, Guyana, GUY
25.6791, 1904, Aug Average, Guyana, GUY
26.4483, 1904, Sep Average, Guyana, GUY
25.9049, 1904, Oct Average, Guyana, GUY
26.133, 1904, Nov Average, Guyana, GUY
25.5094, 1904, Dec Average, Guyana, GUY
25.9497, 1905, Jan Average, Guyana, GUY
24.6872, 1905, Feb Average, Guyana, GUY
25.2715, 1905, Mar Average, Guyana, GUY
25.7705, 1905, Apr Average, Guyana, GUY
25.5315, 1905, May Average, Guyana, GUY
