Temperature - (Celsius), Year, Statistics, Country, ISO3
20.8313, 1901, Jan Average, Honduras, HND
21.7792, 1901, Feb Average, Honduras, HND
22.9594, 1901, Mar Average, Honduras, HND
23.1646, 1901, Apr Average, Honduras, HND
24.4112, 1901, May Average, Honduras, HND
24.5189, 1901, Jun Average, Honduras, HND
23.349, 1901, Jul Average, Honduras, HND
23.9264, 1901, Aug Average, Honduras, HND
23.9846, 1901, Sep Average, Honduras, HND
23.8454, 1901, Oct Average, Honduras, HND
20.6968, 1901, Nov Average, Honduras, HND
20.7294, 1901, Dec Average, Honduras, HND
19.8443, 1902, Jan Average, Honduras, HND
21.4071, 1902, Feb Average, Honduras, HND
24.1656, 1902, Mar Average, Honduras, HND
24.2144, 1902, Apr Average, Honduras, HND
25.3882, 1902, May Average, Honduras, HND
24.283, 1902, Jun Average, Honduras, HND
24.338, 1902, Jul Average, Honduras, HND
23.3795, 1902, Aug Average, Honduras, HND
25.2764, 1902, Sep Average, Honduras, HND
24.2519, 1902, Oct Average, Honduras, HND
23.3124, 1902, Nov Average, Honduras, HND
21.9623, 1902, Dec Average, Honduras, HND
21.8866, 1903, Jan Average, Honduras, HND
23.859, 1903, Feb Average, Honduras, HND
24.069, 1903, Mar Average, Honduras, HND
23.8691, 1903, Apr Average, Honduras, HND
24.1631, 1903, May Average, Honduras, HND
25.2054, 1903, Jun Average, Honduras, HND
24.5487, 1903, Jul Average, Honduras, HND
24.4403, 1903, Aug Average, Honduras, HND
24.8916, 1903, Sep Average, Honduras, HND
23.1861, 1903, Oct Average, Honduras, HND
21.4652, 1903, Nov Average, Honduras, HND
20.1147, 1903, Dec Average, Honduras, HND
21.0344, 1904, Jan Average, Honduras, HND
22.3309, 1904, Feb Average, Honduras, HND
23.2342, 1904, Mar Average, Honduras, HND
24.3985, 1904, Apr Average, Honduras, HND
24.6457, 1904, May Average, Honduras, HND
24.2849, 1904, Jun Average, Honduras, HND
23.5168, 1904, Jul Average, Honduras, HND
23.5534, 1904, Aug Average, Honduras, HND
23.8867, 1904, Sep Average, Honduras, HND
23.1152, 1904, Oct Average, Honduras, HND
21.5267, 1904, Nov Average, Honduras, HND
21.6441, 1904, Dec Average, Honduras, HND
19.2913, 1905, Jan Average, Honduras, HND
22.5615, 1905, Feb Average, Honduras, HND
23.5564, 1905, Mar Average, Honduras, HND
23.9975, 1905, Apr Average, Honduras, HND
26.1582, 1905, May Average, Honduras, HND
25.2476, 1905, Jun Average, Honduras, HND
23.7796, 1905, Jul Average, Honduras, HND
24.3314, 1905, Aug Average, Honduras, HND
24.4846, 1905, Sep Average, Honduras, HND
24.2569, 1905, Oct Average, Honduras, HND
22.8554, 1905, Nov Average, Honduras, HND
21.9229, 1905, Dec Average, Honduras, HND
20.3506, 1906, Jan Average, Honduras, HND
20.9133, 1906, Feb Average, Honduras, HND
22.7048, 1906, Mar Average, Honduras, HND
23.5287, 1906, Apr Average, Honduras, HND
24.8611, 1906, May Average, Honduras, HND
24.069, 1906, Jun Average, Honduras, HND
24.2696, 1906, Jul Average, Honduras, HND
23.9336, 1906, Aug Average, Honduras, HND
24.5523, 1906, Sep Average, Honduras, HND
23.5734, 1906, Oct Average, Honduras, HND
22.5563, 1906, Nov Average, Honduras, HND
21.0067, 1906, Dec Average, Honduras, HND
21.8495, 1907, Jan Average, Honduras, HND
21.6221, 1907, Feb Average, Honduras, HND
23.422, 1907, Mar Average, Honduras, HND
24.1836, 1907, Apr Average, Honduras, HND
25.1618, 1907, May Average, Honduras, HND
24.1738, 1907, Jun Average, Honduras, HND
23.2128, 1907, Jul Average, Honduras, HND
23.4193, 1907, Aug Average, Honduras, HND
23.7931, 1907, Sep Average, Honduras, HND
23.3553, 1907, Oct Average, Honduras, HND
22.8826, 1907, Nov Average, Honduras, HND
21.4996, 1907, Dec Average, Honduras, HND
20.378, 1908, Jan Average, Honduras, HND
20.8806, 1908, Feb Average, Honduras, HND
23.5859, 1908, Mar Average, Honduras, HND
25.6805, 1908, Apr Average, Honduras, HND
25.7492, 1908, May Average, Honduras, HND
24.3458, 1908, Jun Average, Honduras, HND
23.8833, 1908, Jul Average, Honduras, HND
23.7242, 1908, Aug Average, Honduras, HND
23.9178, 1908, Sep Average, Honduras, HND
22.5989, 1908, Oct Average, Honduras, HND
21.4833, 1908, Nov Average, Honduras, HND
21.7797, 1908, Dec Average, Honduras, HND
21.0206, 1909, Jan Average, Honduras, HND
21.9131, 1909, Feb Average, Honduras, HND
24.2357, 1909, Mar Average, Honduras, HND
24.7102, 1909, Apr Average, Honduras, HND
25.9957, 1909, May Average, Honduras, HND
24.1738, 1909, Jun Average, Honduras, HND
24.4185, 1909, Jul Average, Honduras, HND
24.0384, 1909, Aug Average, Honduras, HND
23.6466, 1909, Sep Average, Honduras, HND
23.0635, 1909, Oct Average, Honduras, HND
21.4318, 1909, Nov Average, Honduras, HND
21.2641, 1909, Dec Average, Honduras, HND
19.6933, 1910, Jan Average, Honduras, HND
20.8262, 1910, Feb Average, Honduras, HND
21.0567, 1910, Mar Average, Honduras, HND
22.6492, 1910, Apr Average, Honduras, HND
24.2576, 1910, May Average, Honduras, HND
23.7107, 1910, Jun Average, Honduras, HND
23.5135, 1910, Jul Average, Honduras, HND
23.9395, 1910, Aug Average, Honduras, HND
23.6873, 1910, Sep Average, Honduras, HND
22.9109, 1910, Oct Average, Honduras, HND
20.7278, 1910, Nov Average, Honduras, HND
19.4343, 1910, Dec Average, Honduras, HND
21.1585, 1911, Jan Average, Honduras, HND
21.9742, 1911, Feb Average, Honduras, HND
23.4134, 1911, Mar Average, Honduras, HND
24.9282, 1911, Apr Average, Honduras, HND
23.1275, 1911, May Average, Honduras, HND
23.2918, 1911, Jun Average, Honduras, HND
22.2309, 1911, Jul Average, Honduras, HND
23.9197, 1911, Aug Average, Honduras, HND
24.255, 1911, Sep Average, Honduras, HND
24.3943, 1911, Oct Average, Honduras, HND
23.4867, 1911, Nov Average, Honduras, HND
22.296, 1911, Dec Average, Honduras, HND
21.6481, 1912, Jan Average, Honduras, HND
20.1824, 1912, Feb Average, Honduras, HND
24.295, 1912, Mar Average, Honduras, HND
26.2177, 1912, Apr Average, Honduras, HND
25.4817, 1912, May Average, Honduras, HND
24.049, 1912, Jun Average, Honduras, HND
23.6836, 1912, Jul Average, Honduras, HND
24.0893, 1912, Aug Average, Honduras, HND
24.0271, 1912, Sep Average, Honduras, HND
23.8473, 1912, Oct Average, Honduras, HND
21.4007, 1912, Nov Average, Honduras, HND
22.5069, 1912, Dec Average, Honduras, HND
22.6006, 1913, Jan Average, Honduras, HND
23.7439, 1913, Feb Average, Honduras, HND
24.2302, 1913, Mar Average, Honduras, HND
22.38, 1913, Apr Average, Honduras, HND
23.2178, 1913, May Average, Honduras, HND
22.7815, 1913, Jun Average, Honduras, HND
23.4399, 1913, Jul Average, Honduras, HND
23.8004, 1913, Aug Average, Honduras, HND
23.4291, 1913, Sep Average, Honduras, HND
22.962, 1913, Oct Average, Honduras, HND
21.5131, 1913, Nov Average, Honduras, HND
21.4285, 1913, Dec Average, Honduras, HND
20.6416, 1914, Jan Average, Honduras, HND
22.0357, 1914, Feb Average, Honduras, HND
21.1093, 1914, Mar Average, Honduras, HND
24.01, 1914, Apr Average, Honduras, HND
23.9338, 1914, May Average, Honduras, HND
23.6358, 1914, Jun Average, Honduras, HND
24.2714, 1914, Jul Average, Honduras, HND
24.6258, 1914, Aug Average, Honduras, HND
23.7485, 1914, Sep Average, Honduras, HND
23.1556, 1914, Oct Average, Honduras, HND
21.7164, 1914, Nov Average, Honduras, HND
22.4843, 1914, Dec Average, Honduras, HND
21.1401, 1915, Jan Average, Honduras, HND
21.0936, 1915, Feb Average, Honduras, HND
20.5915, 1915, Mar Average, Honduras, HND
22.0837, 1915, Apr Average, Honduras, HND
25.8428, 1915, May Average, Honduras, HND
25.1176, 1915, Jun Average, Honduras, HND
24.7667, 1915, Jul Average, Honduras, HND
24.6859, 1915, Aug Average, Honduras, HND
24.3617, 1915, Sep Average, Honduras, HND
23.7749, 1915, Oct Average, Honduras, HND
22.5263, 1915, Nov Average, Honduras, HND
21.7848, 1915, Dec Average, Honduras, HND
22.9944, 1916, Jan Average, Honduras, HND
21.0343, 1916, Feb Average, Honduras, HND
22.1565, 1916, Mar Average, Honduras, HND
23.1935, 1916, Apr Average, Honduras, HND
24.6545, 1916, May Average, Honduras, HND
23.9211, 1916, Jun Average, Honduras, HND
24.6391, 1916, Jul Average, Honduras, HND
23.768, 1916, Aug Average, Honduras, HND
23.6664, 1916, Sep Average, Honduras, HND
23.0767, 1916, Oct Average, Honduras, HND
21.5174, 1916, Nov Average, Honduras, HND
21.9106, 1916, Dec Average, Honduras, HND
22.2698, 1917, Jan Average, Honduras, HND
21.4843, 1917, Feb Average, Honduras, HND
24.1755, 1917, Mar Average, Honduras, HND
23.9802, 1917, Apr Average, Honduras, HND
24.9398, 1917, May Average, Honduras, HND
24.3479, 1917, Jun Average, Honduras, HND
23.7673, 1917, Jul Average, Honduras, HND
24.2057, 1917, Aug Average, Honduras, HND
24.1218, 1917, Sep Average, Honduras, HND
23.6016, 1917, Oct Average, Honduras, HND
20.6889, 1917, Nov Average, Honduras, HND
19.9789, 1917, Dec Average, Honduras, HND
20.4523, 1918, Jan Average, Honduras, HND
23.0319, 1918, Feb Average, Honduras, HND
23.8712, 1918, Mar Average, Honduras, HND
24.6816, 1918, Apr Average, Honduras, HND
24.5518, 1918, May Average, Honduras, HND
23.9618, 1918, Jun Average, Honduras, HND
24.3414, 1918, Jul Average, Honduras, HND
24.2697, 1918, Aug Average, Honduras, HND
24.2807, 1918, Sep Average, Honduras, HND
24.5128, 1918, Oct Average, Honduras, HND
22.6318, 1918, Nov Average, Honduras, HND
21.8258, 1918, Dec Average, Honduras, HND
20.2806, 1919, Jan Average, Honduras, HND
22.3333, 1919, Feb Average, Honduras, HND
23.8006, 1919, Mar Average, Honduras, HND
23.5714, 1919, Apr Average, Honduras, HND
24.5077, 1919, May Average, Honduras, HND
23.5818, 1919, Jun Average, Honduras, HND
23.6826, 1919, Jul Average, Honduras, HND
24.2178, 1919, Aug Average, Honduras, HND
24.0168, 1919, Sep Average, Honduras, HND
24.1188, 1919, Oct Average, Honduras, HND
23.4795, 1919, Nov Average, Honduras, HND
22.0678, 1919, Dec Average, Honduras, HND
21.9021, 1920, Jan Average, Honduras, HND
21.3704, 1920, Feb Average, Honduras, HND
23.2046, 1920, Mar Average, Honduras, HND
25.9285, 1920, Apr Average, Honduras, HND
25.2471, 1920, May Average, Honduras, HND
23.6154, 1920, Jun Average, Honduras, HND
23.6652, 1920, Jul Average, Honduras, HND
23.7875, 1920, Aug Average, Honduras, HND
24.0166, 1920, Sep Average, Honduras, HND
23.065, 1920, Oct Average, Honduras, HND
21.9617, 1920, Nov Average, Honduras, HND
21.6566, 1920, Dec Average, Honduras, HND
21.1139, 1921, Jan Average, Honduras, HND
21.9921, 1921, Feb Average, Honduras, HND
23.8502, 1921, Mar Average, Honduras, HND
24.2707, 1921, Apr Average, Honduras, HND
22.9708, 1921, May Average, Honduras, HND
23.7426, 1921, Jun Average, Honduras, HND
23.5005, 1921, Jul Average, Honduras, HND
23.9898, 1921, Aug Average, Honduras, HND
23.9721, 1921, Sep Average, Honduras, HND
23.4079, 1921, Oct Average, Honduras, HND
23.2668, 1921, Nov Average, Honduras, HND
22.4518, 1921, Dec Average, Honduras, HND
21.9801, 1922, Jan Average, Honduras, HND
22.5287, 1922, Feb Average, Honduras, HND
24.2425, 1922, Mar Average, Honduras, HND
25.5406, 1922, Apr Average, Honduras, HND
24.7549, 1922, May Average, Honduras, HND
24.1968, 1922, Jun Average, Honduras, HND
23.8484, 1922, Jul Average, Honduras, HND
24.3727, 1922, Aug Average, Honduras, HND
24.2217, 1922, Sep Average, Honduras, HND
23.7619, 1922, Oct Average, Honduras, HND
22.9711, 1922, Nov Average, Honduras, HND
22.2178, 1922, Dec Average, Honduras, HND
21.725, 1923, Jan Average, Honduras, HND
22.3313, 1923, Feb Average, Honduras, HND
23.918, 1923, Mar Average, Honduras, HND
24.8113, 1923, Apr Average, Honduras, HND
25.0653, 1923, May Average, Honduras, HND
24.0641, 1923, Jun Average, Honduras, HND
23.8803, 1923, Jul Average, Honduras, HND
24.0298, 1923, Aug Average, Honduras, HND
24.2364, 1923, Sep Average, Honduras, HND
23.3081, 1923, Oct Average, Honduras, HND
21.4702, 1923, Nov Average, Honduras, HND
22.415, 1923, Dec Average, Honduras, HND
21.7246, 1924, Jan Average, Honduras, HND
20.434, 1924, Feb Average, Honduras, HND
22.7239, 1924, Mar Average, Honduras, HND
