Temperature - (Celsius), Year, Statistics, Country, ISO3
-6.3571, 1901, Jan Average, Hungary, HUN
-3.6127, 1901, Feb Average, Hungary, HUN
5.07941, 1901, Mar Average, Hungary, HUN
10.3484, 1901, Apr Average, Hungary, HUN
15.3835, 1901, May Average, Hungary, HUN
19.4685, 1901, Jun Average, Hungary, HUN
20.991, 1901, Jul Average, Hungary, HUN
19.3237, 1901, Aug Average, Hungary, HUN
15.1754, 1901, Sep Average, Hungary, HUN
11.6018, 1901, Oct Average, Hungary, HUN
3.06522, 1901, Nov Average, Hungary, HUN
2.83916, 1901, Dec Average, Hungary, HUN
1.3782, 1902, Jan Average, Hungary, HUN
1.54806, 1902, Feb Average, Hungary, HUN
4.33679, 1902, Mar Average, Hungary, HUN
9.45265, 1902, Apr Average, Hungary, HUN
11.3923, 1902, May Average, Hungary, HUN
17.3117, 1902, Jun Average, Hungary, HUN
19.0143, 1902, Jul Average, Hungary, HUN
19.5554, 1902, Aug Average, Hungary, HUN
15.3404, 1902, Sep Average, Hungary, HUN
9.9971, 1902, Oct Average, Hungary, HUN
0.96914, 1902, Nov Average, Hungary, HUN
-4.3022, 1902, Dec Average, Hungary, HUN
-2.6603, 1903, Jan Average, Hungary, HUN
2.86388, 1903, Feb Average, Hungary, HUN
7.2261, 1903, Mar Average, Hungary, HUN
7.81087, 1903, Apr Average, Hungary, HUN
15.0009, 1903, May Average, Hungary, HUN
17.431, 1903, Jun Average, Hungary, HUN
19.4092, 1903, Jul Average, Hungary, HUN
18.9796, 1903, Aug Average, Hungary, HUN
15.9295, 1903, Sep Average, Hungary, HUN
11.0258, 1903, Oct Average, Hungary, HUN
5.65411, 1903, Nov Average, Hungary, HUN
0.91936, 1903, Dec Average, Hungary, HUN
-3.0341, 1904, Jan Average, Hungary, HUN
2.72883, 1904, Feb Average, Hungary, HUN
5.0155, 1904, Mar Average, Hungary, HUN
10.6867, 1904, Apr Average, Hungary, HUN
14.767, 1904, May Average, Hungary, HUN
18.5966, 1904, Jun Average, Hungary, HUN
21.7003, 1904, Jul Average, Hungary, HUN
20.1006, 1904, Aug Average, Hungary, HUN
14.4471, 1904, Sep Average, Hungary, HUN
10.6767, 1904, Oct Average, Hungary, HUN
2.71735, 1904, Nov Average, Hungary, HUN
0.34066, 1904, Dec Average, Hungary, HUN
-5.5576, 1905, Jan Average, Hungary, HUN
-0.0995, 1905, Feb Average, Hungary, HUN
