Temperature - (Celsius), Year, Statistics, Country, ISO3
3.60106, 1901, Jan Average, Iran, IRN
7.17806, 1901, Feb Average, Iran, IRN
13.2015, 1901, Mar Average, Iran, IRN
17.9564, 1901, Apr Average, Iran, IRN
22.5385, 1901, May Average, Iran, IRN
26.5351, 1901, Jun Average, Iran, IRN
28.8459, 1901, Jul Average, Iran, IRN
27.2148, 1901, Aug Average, Iran, IRN
23.4547, 1901, Sep Average, Iran, IRN
15.725, 1901, Oct Average, Iran, IRN
12.0068, 1901, Nov Average, Iran, IRN
8.75305, 1901, Dec Average, Iran, IRN
6.18483, 1902, Jan Average, Iran, IRN
7.0981, 1902, Feb Average, Iran, IRN
12.2277, 1902, Mar Average, Iran, IRN
16.7863, 1902, Apr Average, Iran, IRN
22.0034, 1902, May Average, Iran, IRN
27.3236, 1902, Jun Average, Iran, IRN
27.7519, 1902, Jul Average, Iran, IRN
27.5001, 1902, Aug Average, Iran, IRN
22.5974, 1902, Sep Average, Iran, IRN
16.8523, 1902, Oct Average, Iran, IRN
10.5711, 1902, Nov Average, Iran, IRN
6.69047, 1902, Dec Average, Iran, IRN
2.94932, 1903, Jan Average, Iran, IRN
6.64128, 1903, Feb Average, Iran, IRN
7.59736, 1903, Mar Average, Iran, IRN
15.5873, 1903, Apr Average, Iran, IRN
21.8065, 1903, May Average, Iran, IRN
26.7262, 1903, Jun Average, Iran, IRN
28.0079, 1903, Jul Average, Iran, IRN
27.4795, 1903, Aug Average, Iran, IRN
23.1221, 1903, Sep Average, Iran, IRN
18.006, 1903, Oct Average, Iran, IRN
10.0226, 1903, Nov Average, Iran, IRN
5.11274, 1903, Dec Average, Iran, IRN
0.48724, 1904, Jan Average, Iran, IRN
7.98285, 1904, Feb Average, Iran, IRN
11.325, 1904, Mar Average, Iran, IRN
15.1436, 1904, Apr Average, Iran, IRN
21.2223, 1904, May Average, Iran, IRN
25.1704, 1904, Jun Average, Iran, IRN
27.8828, 1904, Jul Average, Iran, IRN
26.8692, 1904, Aug Average, Iran, IRN
22.7234, 1904, Sep Average, Iran, IRN
16.6569, 1904, Oct Average, Iran, IRN
13.1519, 1904, Nov Average, Iran, IRN
6.58224, 1904, Dec Average, Iran, IRN
2.6162, 1905, Jan Average, Iran, IRN
4.20506, 1905, Feb Average, Iran, IRN
8.26787, 1905, Mar Average, Iran, IRN
16.3457, 1905, Apr Average, Iran, IRN
21.0757, 1905, May Average, Iran, IRN
