Temperature - (Celsius), Year, Statistics, Country, ISO3
7.36925, 1901, Jan Average, Iraq, IRQ
12.0486, 1901, Feb Average, Iraq, IRQ
17.4462, 1901, Mar Average, Iraq, IRQ
21.6978, 1901, Apr Average, Iraq, IRQ
25.868, 1901, May Average, Iraq, IRQ
30.7084, 1901, Jun Average, Iraq, IRQ
33.2986, 1901, Jul Average, Iraq, IRQ
32.7887, 1901, Aug Average, Iraq, IRQ
29.0616, 1901, Sep Average, Iraq, IRQ
22.3254, 1901, Oct Average, Iraq, IRQ
15.687, 1901, Nov Average, Iraq, IRQ
12.2604, 1901, Dec Average, Iraq, IRQ
9.48009, 1902, Jan Average, Iraq, IRQ
12.6178, 1902, Feb Average, Iraq, IRQ
15.3446, 1902, Mar Average, Iraq, IRQ
20.299, 1902, Apr Average, Iraq, IRQ
26.098, 1902, May Average, Iraq, IRQ
30.7506, 1902, Jun Average, Iraq, IRQ
32.3652, 1902, Jul Average, Iraq, IRQ
32.552, 1902, Aug Average, Iraq, IRQ
28.9108, 1902, Sep Average, Iraq, IRQ
22.9615, 1902, Oct Average, Iraq, IRQ
14.2241, 1902, Nov Average, Iraq, IRQ
9.34759, 1902, Dec Average, Iraq, IRQ
7.06724, 1903, Jan Average, Iraq, IRQ
9.58889, 1903, Feb Average, Iraq, IRQ
12.3816, 1903, Mar Average, Iraq, IRQ
20.1326, 1903, Apr Average, Iraq, IRQ
26.4952, 1903, May Average, Iraq, IRQ
29.9335, 1903, Jun Average, Iraq, IRQ
32.0222, 1903, Jul Average, Iraq, IRQ
32.5315, 1903, Aug Average, Iraq, IRQ
28.0411, 1903, Sep Average, Iraq, IRQ
22.7062, 1903, Oct Average, Iraq, IRQ
14.4715, 1903, Nov Average, Iraq, IRQ
9.94342, 1903, Dec Average, Iraq, IRQ
7.32152, 1904, Jan Average, Iraq, IRQ
11.6638, 1904, Feb Average, Iraq, IRQ
14.7578, 1904, Mar Average, Iraq, IRQ
18.7487, 1904, Apr Average, Iraq, IRQ
24.8366, 1904, May Average, Iraq, IRQ
29.2011, 1904, Jun Average, Iraq, IRQ
32.0306, 1904, Jul Average, Iraq, IRQ
32.3087, 1904, Aug Average, Iraq, IRQ
28.5214, 1904, Sep Average, Iraq, IRQ
23.762, 1904, Oct Average, Iraq, IRQ
16.4504, 1904, Nov Average, Iraq, IRQ
