Temperature - (Celsius), Year, Statistics, Country, ISO3
9.6809, 1901, Jan Average, Israel, ISR
15.0439, 1901, Feb Average, Israel, ISR
16.7962, 1901, Mar Average, Israel, ISR
18.0111, 1901, Apr Average, Israel, ISR
18.8765, 1901, May Average, Israel, ISR
23.5389, 1901, Jun Average, Israel, ISR
25.5567, 1901, Jul Average, Israel, ISR
25.6856, 1901, Aug Average, Israel, ISR
23.7432, 1901, Sep Average, Israel, ISR
21.5301, 1901, Oct Average, Israel, ISR
16.531, 1901, Nov Average, Israel, ISR
13.3679, 1901, Dec Average, Israel, ISR
10.0242, 1902, Jan Average, Israel, ISR
14.1902, 1902, Feb Average, Israel, ISR
12.7974, 1902, Mar Average, Israel, ISR
17.1043, 1902, Apr Average, Israel, ISR
20.976, 1902, May Average, Israel, ISR
22.7877, 1902, Jun Average, Israel, ISR
25.5029, 1902, Jul Average, Israel, ISR
25.5429, 1902, Aug Average, Israel, ISR
25.9377, 1902, Sep Average, Israel, ISR
22.3779, 1902, Oct Average, Israel, ISR
15.7196, 1902, Nov Average, Israel, ISR
11.3504, 1902, Dec Average, Israel, ISR
9.24267, 1903, Jan Average, Israel, ISR
10.0524, 1903, Feb Average, Israel, ISR
12.072, 1903, Mar Average, Israel, ISR
17.4162, 1903, Apr Average, Israel, ISR
21.1017, 1903, May Average, Israel, ISR
22.0048, 1903, Jun Average, Israel, ISR
23.6119, 1903, Jul Average, Israel, ISR
24.8841, 1903, Aug Average, Israel, ISR
22.6915, 1903, Sep Average, Israel, ISR
20.069, 1903, Oct Average, Israel, ISR
15.0211, 1903, Nov Average, Israel, ISR
12.5436, 1903, Dec Average, Israel, ISR
10.8972, 1904, Jan Average, Israel, ISR
12.3502, 1904, Feb Average, Israel, ISR
13.6429, 1904, Mar Average, Israel, ISR
16.3748, 1904, Apr Average, Israel, ISR
19.6459, 1904, May Average, Israel, ISR
22.6087, 1904, Jun Average, Israel, ISR
24.2047, 1904, Jul Average, Israel, ISR
25.5187, 1904, Aug Average, Israel, ISR
23.6562, 1904, Sep Average, Israel, ISR
22.798, 1904, Oct Average, Israel, ISR
15.8748, 1904, Nov Average, Israel, ISR
10.4301, 1904, Dec Average, Israel, ISR
8.51902, 1905, Jan Average, Israel, ISR
8.83908, 1905, Feb Average, Israel, ISR
11.9803, 1905, Mar Average, Israel, ISR
17.5802, 1905, Apr Average, Israel, ISR
21.2346, 1905, May Average, Israel, ISR
22.8988, 1905, Jun Average, Israel, ISR
25.8931, 1905, Jul Average, Israel, ISR
26.3712, 1905, Aug Average, Israel, ISR
25.2396, 1905, Sep Average, Israel, ISR
22.7285, 1905, Oct Average, Israel, ISR
18.2815, 1905, Nov Average, Israel, ISR
10.7118, 1905, Dec Average, Israel, ISR
10.0981, 1906, Jan Average, Israel, ISR
11.4816, 1906, Feb Average, Israel, ISR
13.6146, 1906, Mar Average, Israel, ISR
17.1669, 1906, Apr Average, Israel, ISR
