Temperature - (Celsius), Year, Statistics, Country, ISO3
22.3582, 1901, Jan Average, Jamaica, JAM
22.4377, 1901, Feb Average, Jamaica, JAM
23.0743, 1901, Mar Average, Jamaica, JAM
23.0587, 1901, Apr Average, Jamaica, JAM
24.1397, 1901, May Average, Jamaica, JAM
25.5667, 1901, Jun Average, Jamaica, JAM
25.5027, 1901, Jul Average, Jamaica, JAM
25.7352, 1901, Aug Average, Jamaica, JAM
25.6021, 1901, Sep Average, Jamaica, JAM
25.156, 1901, Oct Average, Jamaica, JAM
22.2988, 1901, Nov Average, Jamaica, JAM
22.4939, 1901, Dec Average, Jamaica, JAM
21.1355, 1902, Jan Average, Jamaica, JAM
21.4771, 1902, Feb Average, Jamaica, JAM
23.6509, 1902, Mar Average, Jamaica, JAM
23.9468, 1902, Apr Average, Jamaica, JAM
25.2205, 1902, May Average, Jamaica, JAM
25.6667, 1902, Jun Average, Jamaica, JAM
25.811, 1902, Jul Average, Jamaica, JAM
26.2632, 1902, Aug Average, Jamaica, JAM
25.6917, 1902, Sep Average, Jamaica, JAM
25.6596, 1902, Oct Average, Jamaica, JAM
25.0045, 1902, Nov Average, Jamaica, JAM
23.8811, 1902, Dec Average, Jamaica, JAM
23.2175, 1903, Jan Average, Jamaica, JAM
24.6921, 1903, Feb Average, Jamaica, JAM
24.7237, 1903, Mar Average, Jamaica, JAM
23.5144, 1903, Apr Average, Jamaica, JAM
23.9451, 1903, May Average, Jamaica, JAM
25.4044, 1903, Jun Average, Jamaica, JAM
25.6027, 1903, Jul Average, Jamaica, JAM
26.1696, 1903, Aug Average, Jamaica, JAM
25.0716, 1903, Sep Average, Jamaica, JAM
24.1976, 1903, Oct Average, Jamaica, JAM
23.4408, 1903, Nov Average, Jamaica, JAM
21.9036, 1903, Dec Average, Jamaica, JAM
22.6196, 1904, Jan Average, Jamaica, JAM
23.6472, 1904, Feb Average, Jamaica, JAM
24.1466, 1904, Mar Average, Jamaica, JAM
24.0694, 1904, Apr Average, Jamaica, JAM
24.3433, 1904, May Average, Jamaica, JAM
24.9791, 1904, Jun Average, Jamaica, JAM
25.011, 1904, Jul Average, Jamaica, JAM
25.2721, 1904, Aug Average, Jamaica, JAM
24.9762, 1904, Sep Average, Jamaica, JAM
