Temperature - (Celsius), Year, Statistics, Country, ISO3
7.07659, 1901, Jan Average, Jordan, JOR
12.9244, 1901, Feb Average, Jordan, JOR
15.637, 1901, Mar Average, Jordan, JOR
17.5645, 1901, Apr Average, Jordan, JOR
19.281, 1901, May Average, Jordan, JOR
24.2091, 1901, Jun Average, Jordan, JOR
26.1876, 1901, Jul Average, Jordan, JOR
26.1646, 1901, Aug Average, Jordan, JOR
23.765, 1901, Sep Average, Jordan, JOR
20.4083, 1901, Oct Average, Jordan, JOR
14.4422, 1901, Nov Average, Jordan, JOR
10.9381, 1901, Dec Average, Jordan, JOR
7.56781, 1902, Jan Average, Jordan, JOR
12.2493, 1902, Feb Average, Jordan, JOR
11.6662, 1902, Mar Average, Jordan, JOR
16.5854, 1902, Apr Average, Jordan, JOR
21.3807, 1902, May Average, Jordan, JOR
23.5424, 1902, Jun Average, Jordan, JOR
26.1581, 1902, Jul Average, Jordan, JOR
26.0685, 1902, Aug Average, Jordan, JOR
26.063, 1902, Sep Average, Jordan, JOR
21.3299, 1902, Oct Average, Jordan, JOR
13.5897, 1902, Nov Average, Jordan, JOR
8.82502, 1902, Dec Average, Jordan, JOR
6.67328, 1903, Jan Average, Jordan, JOR
8.08518, 1903, Feb Average, Jordan, JOR
10.7747, 1903, Mar Average, Jordan, JOR
16.9537, 1903, Apr Average, Jordan, JOR
21.4954, 1903, May Average, Jordan, JOR
22.6788, 1903, Jun Average, Jordan, JOR
24.2556, 1903, Jul Average, Jordan, JOR
25.378, 1903, Aug Average, Jordan, JOR
22.7779, 1903, Sep Average, Jordan, JOR
19.0991, 1903, Oct Average, Jordan, JOR
12.9389, 1903, Nov Average, Jordan, JOR
9.99667, 1903, Dec Average, Jordan, JOR
8.29777, 1904, Jan Average, Jordan, JOR
10.3983, 1904, Feb Average, Jordan, JOR
12.4425, 1904, Mar Average, Jordan, JOR
15.8201, 1904, Apr Average, Jordan, JOR
19.9823, 1904, May Average, Jordan, JOR
23.2831, 1904, Jun Average, Jordan, JOR
24.8333, 1904, Jul Average, Jordan, JOR
25.997, 1904, Aug Average, Jordan, JOR
23.7231, 1904, Sep Average, Jordan, JOR
21.7644, 1904, Oct Average, Jordan, JOR
13.85, 1904, Nov Average, Jordan, JOR
7.8897, 1904, Dec Average, Jordan, JOR
5.99435, 1905, Jan Average, Jordan, JOR
6.81251, 1905, Feb Average, Jordan, JOR
10.6574, 1905, Mar Average, Jordan, JOR
17.0191, 1905, Apr Average, Jordan, JOR
21.5334, 1905, May Average, Jordan, JOR
23.6258, 1905, Jun Average, Jordan, JOR
26.5148, 1905, Jul Average, Jordan, JOR
26.812, 1905, Aug Average, Jordan, JOR
25.2929, 1905, Sep Average, Jordan, JOR
21.7607, 1905, Oct Average, Jordan, JOR
16.2415, 1905, Nov Average, Jordan, JOR
8.20173, 1905, Dec Average, Jordan, JOR
7.42577, 1906, Jan Average, Jordan, JOR
9.52268, 1906, Feb Average, Jordan, JOR
12.4451, 1906, Mar Average, Jordan, JOR
16.6495, 1906, Apr Average, Jordan, JOR
19.8838, 1906, May Average, Jordan, JOR
24.7546, 1906, Jun Average, Jordan, JOR
26.0242, 1906, Jul Average, Jordan, JOR
26.614, 1906, Aug Average, Jordan, JOR
23.7989, 1906, Sep Average, Jordan, JOR
20.7714, 1906, Oct Average, Jordan, JOR
14.8398, 1906, Nov Average, Jordan, JOR
11.3243, 1906, Dec Average, Jordan, JOR
7.54598, 1907, Jan Average, Jordan, JOR
9.22633, 1907, Feb Average, Jordan, JOR
10.5056, 1907, Mar Average, Jordan, JOR
16.0411, 1907, Apr Average, Jordan, JOR
20.8864, 1907, May Average, Jordan, JOR
23.5332, 1907, Jun Average, Jordan, JOR
26.2331, 1907, Jul Average, Jordan, JOR
26.2256, 1907, Aug Average, Jordan, JOR
23.0603, 1907, Sep Average, Jordan, JOR
20.0608, 1907, Oct Average, Jordan, JOR
12.7597, 1907, Nov Average, Jordan, JOR
9.67555, 1907, Dec Average, Jordan, JOR
7.66086, 1908, Jan Average, Jordan, JOR
8.93629, 1908, Feb Average, Jordan, JOR
12.1421, 1908, Mar Average, Jordan, JOR
16.5386, 1908, Apr Average, Jordan, JOR
21.8096, 1908, May Average, Jordan, JOR
24.3562, 1908, Jun Average, Jordan, JOR
25.1656, 1908, Jul Average, Jordan, JOR
25.8624, 1908, Aug Average, Jordan, JOR
23.8128, 1908, Sep Average, Jordan, JOR
20.1588, 1908, Oct Average, Jordan, JOR
13.1031, 1908, Nov Average, Jordan, JOR
7.6713, 1908, Dec Average, Jordan, JOR
7.72588, 1909, Jan Average, Jordan, JOR
9.42562, 1909, Feb Average, Jordan, JOR
14.4997, 1909, Mar Average, Jordan, JOR
15.0413, 1909, Apr Average, Jordan, JOR
24.3228, 1909, May Average, Jordan, JOR
24.6474, 1909, Jun Average, Jordan, JOR
27.214, 1909, Jul Average, Jordan, JOR
27.1271, 1909, Aug Average, Jordan, JOR
24.5847, 1909, Sep Average, Jordan, JOR
20.5144, 1909, Oct Average, Jordan, JOR
15.5425, 1909, Nov Average, Jordan, JOR
11.5089, 1909, Dec Average, Jordan, JOR
7.71535, 1910, Jan Average, Jordan, JOR
