Temperature - (Celsius), Year, Statistics, Country, ISO3
25.1685, 1901, Jan Average, Kenya, KEN
24.7775, 1901, Feb Average, Kenya, KEN
25.9808, 1901, Mar Average, Kenya, KEN
24.9167, 1901, Apr Average, Kenya, KEN
23.9371, 1901, May Average, Kenya, KEN
22.6962, 1901, Jun Average, Kenya, KEN
21.9752, 1901, Jul Average, Kenya, KEN
22.5864, 1901, Aug Average, Kenya, KEN
23.5112, 1901, Sep Average, Kenya, KEN
24.7065, 1901, Oct Average, Kenya, KEN
24.643, 1901, Nov Average, Kenya, KEN
25.2039, 1901, Dec Average, Kenya, KEN
24.6807, 1902, Jan Average, Kenya, KEN
25.2697, 1902, Feb Average, Kenya, KEN
25.7819, 1902, Mar Average, Kenya, KEN
24.6132, 1902, Apr Average, Kenya, KEN
24.2215, 1902, May Average, Kenya, KEN
23.9962, 1902, Jun Average, Kenya, KEN
23.7272, 1902, Jul Average, Kenya, KEN
24.2342, 1902, Aug Average, Kenya, KEN
24.5533, 1902, Sep Average, Kenya, KEN
24.8773, 1902, Oct Average, Kenya, KEN
24.5028, 1902, Nov Average, Kenya, KEN
24.0245, 1902, Dec Average, Kenya, KEN
25.4736, 1903, Jan Average, Kenya, KEN
25.7303, 1903, Feb Average, Kenya, KEN
25.9552, 1903, Mar Average, Kenya, KEN
25.2345, 1903, Apr Average, Kenya, KEN
24.2102, 1903, May Average, Kenya, KEN
23.7523, 1903, Jun Average, Kenya, KEN
23.2665, 1903, Jul Average, Kenya, KEN
23.5218, 1903, Aug Average, Kenya, KEN
23.632, 1903, Sep Average, Kenya, KEN
24.3789, 1903, Oct Average, Kenya, KEN
24.3758, 1903, Nov Average, Kenya, KEN
24.1401, 1903, Dec Average, Kenya, KEN
23.7092, 1904, Jan Average, Kenya, KEN
24.556, 1904, Feb Average, Kenya, KEN
25.1516, 1904, Mar Average, Kenya, KEN
24.1243, 1904, Apr Average, Kenya, KEN
23.9924, 1904, May Average, Kenya, KEN
23.4173, 1904, Jun Average, Kenya, KEN
23.106, 1904, Jul Average, Kenya, KEN
23.3337, 1904, Aug Average, Kenya, KEN
23.1251, 1904, Sep Average, Kenya, KEN
23.0145, 1904, Oct Average, Kenya, KEN
23.3845, 1904, Nov Average, Kenya, KEN
