Temperature - (Celsius), Year, Statistics, Country, ISO3
25.7843, 1901, Jan Average, Cambodia, KHM
26.7692, 1901, Feb Average, Cambodia, KHM
28.2251, 1901, Mar Average, Cambodia, KHM
29.5154, 1901, Apr Average, Cambodia, KHM
28.0357, 1901, May Average, Cambodia, KHM
28.1428, 1901, Jun Average, Cambodia, KHM
27.5416, 1901, Jul Average, Cambodia, KHM
27.437, 1901, Aug Average, Cambodia, KHM
26.9222, 1901, Sep Average, Cambodia, KHM
26.796, 1901, Oct Average, Cambodia, KHM
26.0891, 1901, Nov Average, Cambodia, KHM
24.9037, 1901, Dec Average, Cambodia, KHM
23.8422, 1902, Jan Average, Cambodia, KHM
23.6194, 1902, Feb Average, Cambodia, KHM
28.0123, 1902, Mar Average, Cambodia, KHM
28.9342, 1902, Apr Average, Cambodia, KHM
28.5755, 1902, May Average, Cambodia, KHM
28.8296, 1902, Jun Average, Cambodia, KHM
27.8921, 1902, Jul Average, Cambodia, KHM
27.6255, 1902, Aug Average, Cambodia, KHM
26.751, 1902, Sep Average, Cambodia, KHM
26.8777, 1902, Oct Average, Cambodia, KHM
26.0457, 1902, Nov Average, Cambodia, KHM
26.1948, 1902, Dec Average, Cambodia, KHM
25.379, 1903, Jan Average, Cambodia, KHM
25.6792, 1903, Feb Average, Cambodia, KHM
29.026, 1903, Mar Average, Cambodia, KHM
30.0431, 1903, Apr Average, Cambodia, KHM
29.3114, 1903, May Average, Cambodia, KHM
27.1428, 1903, Jun Average, Cambodia, KHM
27.3965, 1903, Jul Average, Cambodia, KHM
26.9363, 1903, Aug Average, Cambodia, KHM
26.3412, 1903, Sep Average, Cambodia, KHM
26.1811, 1903, Oct Average, Cambodia, KHM
24.4467, 1903, Nov Average, Cambodia, KHM
21.3775, 1903, Dec Average, Cambodia, KHM
22.1397, 1904, Jan Average, Cambodia, KHM
24.3158, 1904, Feb Average, Cambodia, KHM
27.4478, 1904, Mar Average, Cambodia, KHM
28.029, 1904, Apr Average, Cambodia, KHM
28.4193, 1904, May Average, Cambodia, KHM
27.856, 1904, Jun Average, Cambodia, KHM
