Temperature - (Celsius), Year, Statistics, Country, ISO3
27.4923, 1901, Jan Average, Kiribati, KIR
27.5461, 1901, Feb Average, Kiribati, KIR
27.748, 1901, Mar Average, Kiribati, KIR
27.7961, 1901, Apr Average, Kiribati, KIR
27.7538, 1901, May Average, Kiribati, KIR
27.5461, 1901, Jun Average, Kiribati, KIR
27.2942, 1901, Jul Average, Kiribati, KIR
27.2923, 1901, Aug Average, Kiribati, KIR
27.2, 1901, Sep Average, Kiribati, KIR
27.3, 1901, Oct Average, Kiribati, KIR
27.5, 1901, Nov Average, Kiribati, KIR
27.6, 1901, Dec Average, Kiribati, KIR
27.4923, 1902, Jan Average, Kiribati, KIR
27.5461, 1902, Feb Average, Kiribati, KIR
27.748, 1902, Mar Average, Kiribati, KIR
27.7961, 1902, Apr Average, Kiribati, KIR
27.7538, 1902, May Average, Kiribati, KIR
27.5461, 1902, Jun Average, Kiribati, KIR
27.2942, 1902, Jul Average, Kiribati, KIR
27.2923, 1902, Aug Average, Kiribati, KIR
27.2, 1902, Sep Average, Kiribati, KIR
27.3, 1902, Oct Average, Kiribati, KIR
27.5, 1902, Nov Average, Kiribati, KIR
27.6, 1902, Dec Average, Kiribati, KIR
27.4923, 1903, Jan Average, Kiribati, KIR
27.5461, 1903, Feb Average, Kiribati, KIR
27.748, 1903, Mar Average, Kiribati, KIR
27.7961, 1903, Apr Average, Kiribati, KIR
27.7538, 1903, May Average, Kiribati, KIR
27.5461, 1903, Jun Average, Kiribati, KIR
27.2942, 1903, Jul Average, Kiribati, KIR
27.2923, 1903, Aug Average, Kiribati, KIR
27.2, 1903, Sep Average, Kiribati, KIR
27.3, 1903, Oct Average, Kiribati, KIR
27.5, 1903, Nov Average, Kiribati, KIR
27.6, 1903, Dec Average, Kiribati, KIR
27.4923, 1904, Jan Average, Kiribati, KIR
27.5461, 1904, Feb Average, Kiribati, KIR
27.748, 1904, Mar Average, Kiribati, KIR
27.7961, 1904, Apr Average, Kiribati, KIR
27.7538, 1904, May Average, Kiribati, KIR
27.5461, 1904, Jun Average, Kiribati, KIR
27.2942, 1904, Jul Average, Kiribati, KIR
27.2923, 1904, Aug Average, Kiribati, KIR
27.2, 1904, Sep Average, Kiribati, KIR
27.3, 1904, Oct Average, Kiribati, KIR
27.5, 1904, Nov Average, Kiribati, KIR
27.6, 1904, Dec Average, Kiribati, KIR
27.4923, 1905, Jan Average, Kiribati, KIR
27.5461, 1905, Feb Average, Kiribati, KIR
27.748, 1905, Mar Average, Kiribati, KIR
27.7961, 1905, Apr Average, Kiribati, KIR
27.7538, 1905, May Average, Kiribati, KIR
27.5461, 1905, Jun Average, Kiribati, KIR
27.2942, 1905, Jul Average, Kiribati, KIR
27.2923, 1905, Aug Average, Kiribati, KIR
27.2, 1905, Sep Average, Kiribati, KIR
27.3, 1905, Oct Average, Kiribati, KIR
27.5, 1905, Nov Average, Kiribati, KIR
27.6, 1905, Dec Average, Kiribati, KIR
27.4923, 1906, Jan Average, Kiribati, KIR
27.5461, 1906, Feb Average, Kiribati, KIR
27.748, 1906, Mar Average, Kiribati, KIR
27.7961, 1906, Apr Average, Kiribati, KIR
27.7538, 1906, May Average, Kiribati, KIR
27.5461, 1906, Jun Average, Kiribati, KIR
27.2942, 1906, Jul Average, Kiribati, KIR
27.2923, 1906, Aug Average, Kiribati, KIR
27.2, 1906, Sep Average, Kiribati, KIR
27.3, 1906, Oct Average, Kiribati, KIR
27.5, 1906, Nov Average, Kiribati, KIR
27.6, 1906, Dec Average, Kiribati, KIR
27.4923, 1907, Jan Average, Kiribati, KIR
27.5461, 1907, Feb Average, Kiribati, KIR
27.748, 1907, Mar Average, Kiribati, KIR
27.7961, 1907, Apr Average, Kiribati, KIR
27.7538, 1907, May Average, Kiribati, KIR
27.5461, 1907, Jun Average, Kiribati, KIR
27.2942, 1907, Jul Average, Kiribati, KIR
27.2923, 1907, Aug Average, Kiribati, KIR
27.2, 1907, Sep Average, Kiribati, KIR
27.3, 1907, Oct Average, Kiribati, KIR
27.5, 1907, Nov Average, Kiribati, KIR
27.6, 1907, Dec Average, Kiribati, KIR
27.4923, 1908, Jan Average, Kiribati, KIR
27.5461, 1908, Feb Average, Kiribati, KIR
27.748, 1908, Mar Average, Kiribati, KIR
27.7961, 1908, Apr Average, Kiribati, KIR
27.7538, 1908, May Average, Kiribati, KIR
27.5461, 1908, Jun Average, Kiribati, KIR
27.2942, 1908, Jul Average, Kiribati, KIR
27.2923, 1908, Aug Average, Kiribati, KIR
27.2, 1908, Sep Average, Kiribati, KIR
27.3, 1908, Oct Average, Kiribati, KIR
27.5, 1908, Nov Average, Kiribati, KIR
27.6, 1908, Dec Average, Kiribati, KIR
27.4923, 1909, Jan Average, Kiribati, KIR
27.5461, 1909, Feb Average, Kiribati, KIR
27.748, 1909, Mar Average, Kiribati, KIR
27.7961, 1909, Apr Average, Kiribati, KIR
27.7538, 1909, May Average, Kiribati, KIR
27.5461, 1909, Jun Average, Kiribati, KIR
27.2942, 1909, Jul Average, Kiribati, KIR
27.2923, 1909, Aug Average, Kiribati, KIR
27.2, 1909, Sep Average, Kiribati, KIR
27.3, 1909, Oct Average, Kiribati, KIR
27.5, 1909, Nov Average, Kiribati, KIR
27.6, 1909, Dec Average, Kiribati, KIR
27.4923, 1910, Jan Average, Kiribati, KIR
27.5461, 1910, Feb Average, Kiribati, KIR
27.748, 1910, Mar Average, Kiribati, KIR
27.7961, 1910, Apr Average, Kiribati, KIR
27.7538, 1910, May Average, Kiribati, KIR
27.5461, 1910, Jun Average, Kiribati, KIR
27.2942, 1910, Jul Average, Kiribati, KIR
27.2923, 1910, Aug Average, Kiribati, KIR
27.2, 1910, Sep Average, Kiribati, KIR
27.3, 1910, Oct Average, Kiribati, KIR
27.5, 1910, Nov Average, Kiribati, KIR
27.6, 1910, Dec Average, Kiribati, KIR
27.4923, 1911, Jan Average, Kiribati, KIR
27.5461, 1911, Feb Average, Kiribati, KIR
27.748, 1911, Mar Average, Kiribati, KIR
27.7961, 1911, Apr Average, Kiribati, KIR
27.7538, 1911, May Average, Kiribati, KIR
27.5461, 1911, Jun Average, Kiribati, KIR
27.2942, 1911, Jul Average, Kiribati, KIR
27.2923, 1911, Aug Average, Kiribati, KIR
27.2, 1911, Sep Average, Kiribati, KIR
27.3, 1911, Oct Average, Kiribati, KIR
27.5, 1911, Nov Average, Kiribati, KIR
27.6, 1911, Dec Average, Kiribati, KIR
27.4923, 1912, Jan Average, Kiribati, KIR
27.5461, 1912, Feb Average, Kiribati, KIR
27.748, 1912, Mar Average, Kiribati, KIR
27.7961, 1912, Apr Average, Kiribati, KIR
27.7538, 1912, May Average, Kiribati, KIR
27.5461, 1912, Jun Average, Kiribati, KIR
27.2942, 1912, Jul Average, Kiribati, KIR
27.2923, 1912, Aug Average, Kiribati, KIR
27.2, 1912, Sep Average, Kiribati, KIR
27.3, 1912, Oct Average, Kiribati, KIR
27.5, 1912, Nov Average, Kiribati, KIR
27.6, 1912, Dec Average, Kiribati, KIR
27.4923, 1913, Jan Average, Kiribati, KIR
27.5461, 1913, Feb Average, Kiribati, KIR
27.748, 1913, Mar Average, Kiribati, KIR
27.7961, 1913, Apr Average, Kiribati, KIR
27.7538, 1913, May Average, Kiribati, KIR
27.5461, 1913, Jun Average, Kiribati, KIR
27.2942, 1913, Jul Average, Kiribati, KIR
27.2923, 1913, Aug Average, Kiribati, KIR
27.2, 1913, Sep Average, Kiribati, KIR
27.3, 1913, Oct Average, Kiribati, KIR
27.5, 1913, Nov Average, Kiribati, KIR
27.6, 1913, Dec Average, Kiribati, KIR
27.4923, 1914, Jan Average, Kiribati, KIR
27.5461, 1914, Feb Average, Kiribati, KIR
27.748, 1914, Mar Average, Kiribati, KIR
27.7961, 1914, Apr Average, Kiribati, KIR
27.7538, 1914, May Average, Kiribati, KIR
27.5461, 1914, Jun Average, Kiribati, KIR
27.2942, 1914, Jul Average, Kiribati, KIR
27.2923, 1914, Aug Average, Kiribati, KIR
27.2, 1914, Sep Average, Kiribati, KIR
27.3, 1914, Oct Average, Kiribati, KIR
27.5, 1914, Nov Average, Kiribati, KIR
27.6, 1914, Dec Average, Kiribati, KIR
27.4923, 1915, Jan Average, Kiribati, KIR
27.5461, 1915, Feb Average, Kiribati, KIR
27.748, 1915, Mar Average, Kiribati, KIR
27.7961, 1915, Apr Average, Kiribati, KIR
27.7538, 1915, May Average, Kiribati, KIR
27.5461, 1915, Jun Average, Kiribati, KIR
27.2942, 1915, Jul Average, Kiribati, KIR
27.2923, 1915, Aug Average, Kiribati, KIR
27.2, 1915, Sep Average, Kiribati, KIR
27.3, 1915, Oct Average, Kiribati, KIR
27.5, 1915, Nov Average, Kiribati, KIR
27.6, 1915, Dec Average, Kiribati, KIR
27.4923, 1916, Jan Average, Kiribati, KIR
27.5461, 1916, Feb Average, Kiribati, KIR
27.748, 1916, Mar Average, Kiribati, KIR
27.7961, 1916, Apr Average, Kiribati, KIR
27.7538, 1916, May Average, Kiribati, KIR
27.5461, 1916, Jun Average, Kiribati, KIR
27.2942, 1916, Jul Average, Kiribati, KIR
27.2923, 1916, Aug Average, Kiribati, KIR
27.2, 1916, Sep Average, Kiribati, KIR
27.3, 1916, Oct Average, Kiribati, KIR
27.5, 1916, Nov Average, Kiribati, KIR
27.6, 1916, Dec Average, Kiribati, KIR
27.4923, 1917, Jan Average, Kiribati, KIR
27.5461, 1917, Feb Average, Kiribati, KIR
27.748, 1917, Mar Average, Kiribati, KIR
27.7961, 1917, Apr Average, Kiribati, KIR
27.7538, 1917, May Average, Kiribati, KIR
27.5461, 1917, Jun Average, Kiribati, KIR
27.2942, 1917, Jul Average, Kiribati, KIR
27.2923, 1917, Aug Average, Kiribati, KIR
27.2, 1917, Sep Average, Kiribati, KIR
27.3, 1917, Oct Average, Kiribati, KIR
27.5, 1917, Nov Average, Kiribati, KIR
27.6, 1917, Dec Average, Kiribati, KIR
27.4923, 1918, Jan Average, Kiribati, KIR
27.5461, 1918, Feb Average, Kiribati, KIR
27.748, 1918, Mar Average, Kiribati, KIR
27.7961, 1918, Apr Average, Kiribati, KIR
27.7538, 1918, May Average, Kiribati, KIR
27.5461, 1918, Jun Average, Kiribati, KIR
27.2942, 1918, Jul Average, Kiribati, KIR
27.2923, 1918, Aug Average, Kiribati, KIR
27.2, 1918, Sep Average, Kiribati, KIR
27.3, 1918, Oct Average, Kiribati, KIR
27.5, 1918, Nov Average, Kiribati, KIR
27.6, 1918, Dec Average, Kiribati, KIR
27.4923, 1919, Jan Average, Kiribati, KIR
27.5461, 1919, Feb Average, Kiribati, KIR
27.748, 1919, Mar Average, Kiribati, KIR
27.7961, 1919, Apr Average, Kiribati, KIR
27.7538, 1919, May Average, Kiribati, KIR
27.5461, 1919, Jun Average, Kiribati, KIR
27.2942, 1919, Jul Average, Kiribati, KIR
27.2923, 1919, Aug Average, Kiribati, KIR
27.2, 1919, Sep Average, Kiribati, KIR
27.3, 1919, Oct Average, Kiribati, KIR
27.5, 1919, Nov Average, Kiribati, KIR
27.6, 1919, Dec Average, Kiribati, KIR
27.4923, 1920, Jan Average, Kiribati, KIR
27.5461, 1920, Feb Average, Kiribati, KIR
27.748, 1920, Mar Average, Kiribati, KIR
27.7961, 1920, Apr Average, Kiribati, KIR
27.7538, 1920, May Average, Kiribati, KIR
27.5461, 1920, Jun Average, Kiribati, KIR
27.2942, 1920, Jul Average, Kiribati, KIR
27.2923, 1920, Aug Average, Kiribati, KIR
27.2, 1920, Sep Average, Kiribati, KIR
27.3, 1920, Oct Average, Kiribati, KIR
27.5, 1920, Nov Average, Kiribati, KIR
27.6, 1920, Dec Average, Kiribati, KIR
27.4923, 1921, Jan Average, Kiribati, KIR
