Temperature - (Celsius), Year, Statistics, Country, ISO3
23.15, 1901, Jan Average, St. Kitts and Nevis, KNA
23.45, 1901, Feb Average, St. Kitts and Nevis, KNA
23.275, 1901, Mar Average, St. Kitts and Nevis, KNA
24.0499, 1901, Apr Average, St. Kitts and Nevis, KNA
24.6749, 1901, May Average, St. Kitts and Nevis, KNA
24.9, 1901, Jun Average, St. Kitts and Nevis, KNA
24.825, 1901, Jul Average, St. Kitts and Nevis, KNA
25.475, 1901, Aug Average, St. Kitts and Nevis, KNA
25.25, 1901, Sep Average, St. Kitts and Nevis, KNA
24.65, 1901, Oct Average, St. Kitts and Nevis, KNA
23.85, 1901, Nov Average, St. Kitts and Nevis, KNA
22.875, 1901, Dec Average, St. Kitts and Nevis, KNA
22.1749, 1902, Jan Average, St. Kitts and Nevis, KNA
22.85, 1902, Feb Average, St. Kitts and Nevis, KNA
22.5499, 1902, Mar Average, St. Kitts and Nevis, KNA
22.975, 1902, Apr Average, St. Kitts and Nevis, KNA
23.9, 1902, May Average, St. Kitts and Nevis, KNA
24.625, 1902, Jun Average, St. Kitts and Nevis, KNA
25, 1902, Jul Average, St. Kitts and Nevis, KNA
25.35, 1902, Aug Average, St. Kitts and Nevis, KNA
24.775, 1902, Sep Average, St. Kitts and Nevis, KNA
24.15, 1902, Oct Average, St. Kitts and Nevis, KNA
23.85, 1902, Nov Average, St. Kitts and Nevis, KNA
23.25, 1902, Dec Average, St. Kitts and Nevis, KNA
22.85, 1903, Jan Average, St. Kitts and Nevis, KNA
22.75, 1903, Feb Average, St. Kitts and Nevis, KNA
22.45, 1903, Mar Average, St. Kitts and Nevis, KNA
23.275, 1903, Apr Average, St. Kitts and Nevis, KNA
24.5749, 1903, May Average, St. Kitts and Nevis, KNA
25.2, 1903, Jun Average, St. Kitts and Nevis, KNA
25.025, 1903, Jul Average, St. Kitts and Nevis, KNA
24.975, 1903, Aug Average, St. Kitts and Nevis, KNA
24.85, 1903, Sep Average, St. Kitts and Nevis, KNA
24.475, 1903, Oct Average, St. Kitts and Nevis, KNA
23.725, 1903, Nov Average, St. Kitts and Nevis, KNA
22.975, 1903, Dec Average, St. Kitts and Nevis, KNA
22.35, 1904, Jan Average, St. Kitts and Nevis, KNA
22.0499, 1904, Feb Average, St. Kitts and Nevis, KNA
21.85, 1904, Mar Average, St. Kitts and Nevis, KNA
22.275, 1904, Apr Average, St. Kitts and Nevis, KNA
23.5, 1904, May Average, St. Kitts and Nevis, KNA
24.2999, 1904, Jun Average, St. Kitts and Nevis, KNA
24.325, 1904, Jul Average, St. Kitts and Nevis, KNA
24.2999, 1904, Aug Average, St. Kitts and Nevis, KNA
24.375, 1904, Sep Average, St. Kitts and Nevis, KNA
23.95, 1904, Oct Average, St. Kitts and Nevis, KNA
24.225, 1904, Nov Average, St. Kitts and Nevis, KNA
23.1749, 1904, Dec Average, St. Kitts and Nevis, KNA
22.375, 1905, Jan Average, St. Kitts and Nevis, KNA
21.95, 1905, Feb Average, St. Kitts and Nevis, KNA
22.0499, 1905, Mar Average, St. Kitts and Nevis, KNA
23.65, 1905, Apr Average, St. Kitts and Nevis, KNA
23.4, 1905, May Average, St. Kitts and Nevis, KNA
24.7, 1905, Jun Average, St. Kitts and Nevis, KNA
24.9, 1905, Jul Average, St. Kitts and Nevis, KNA
25.275, 1905, Aug Average, St. Kitts and Nevis, KNA
24.875, 1905, Sep Average, St. Kitts and Nevis, KNA
24.45, 1905, Oct Average, St. Kitts and Nevis, KNA
24.425, 1905, Nov Average, St. Kitts and Nevis, KNA
23.0499, 1905, Dec Average, St. Kitts and Nevis, KNA
22.15, 1906, Jan Average, St. Kitts and Nevis, KNA
22.25, 1906, Feb Average, St. Kitts and Nevis, KNA
22.25, 1906, Mar Average, St. Kitts and Nevis, KNA
23.0499, 1906, Apr Average, St. Kitts and Nevis, KNA
23.875, 1906, May Average, St. Kitts and Nevis, KNA
24.2, 1906, Jun Average, St. Kitts and Nevis, KNA
24.6, 1906, Jul Average, St. Kitts and Nevis, KNA
25.0749, 1906, Aug Average, St. Kitts and Nevis, KNA
24.6749, 1906, Sep Average, St. Kitts and Nevis, KNA
24.5499, 1906, Oct Average, St. Kitts and Nevis, KNA
24.25, 1906, Nov Average, St. Kitts and Nevis, KNA
22.1749, 1906, Dec Average, St. Kitts and Nevis, KNA
21.4, 1907, Jan Average, St. Kitts and Nevis, KNA
21.275, 1907, Feb Average, St. Kitts and Nevis, KNA
21.475, 1907, Mar Average, St. Kitts and Nevis, KNA
22.375, 1907, Apr Average, St. Kitts and Nevis, KNA
23, 1907, May Average, St. Kitts and Nevis, KNA
24.2999, 1907, Jun Average, St. Kitts and Nevis, KNA
24.7999, 1907, Jul Average, St. Kitts and Nevis, KNA
24.6749, 1907, Aug Average, St. Kitts and Nevis, KNA
24.5499, 1907, Sep Average, St. Kitts and Nevis, KNA
24.1749, 1907, Oct Average, St. Kitts and Nevis, KNA
23.85, 1907, Nov Average, St. Kitts and Nevis, KNA
23.15, 1907, Dec Average, St. Kitts and Nevis, KNA
22.45, 1908, Jan Average, St. Kitts and Nevis, KNA
21.975, 1908, Feb Average, St. Kitts and Nevis, KNA
21.85, 1908, Mar Average, St. Kitts and Nevis, KNA
22.375, 1908, Apr Average, St. Kitts and Nevis, KNA
23.1749, 1908, May Average, St. Kitts and Nevis, KNA
24.2999, 1908, Jun Average, St. Kitts and Nevis, KNA
25, 1908, Jul Average, St. Kitts and Nevis, KNA
25.25, 1908, Aug Average, St. Kitts and Nevis, KNA
24.85, 1908, Sep Average, St. Kitts and Nevis, KNA
24.25, 1908, Oct Average, St. Kitts and Nevis, KNA
23.625, 1908, Nov Average, St. Kitts and Nevis, KNA
22.975, 1908, Dec Average, St. Kitts and Nevis, KNA
21.95, 1909, Jan Average, St. Kitts and Nevis, KNA
21.775, 1909, Feb Average, St. Kitts and Nevis, KNA
22.75, 1909, Mar Average, St. Kitts and Nevis, KNA
22.375, 1909, Apr Average, St. Kitts and Nevis, KNA
23.7, 1909, May Average, St. Kitts and Nevis, KNA
23.7999, 1909, Jun Average, St. Kitts and Nevis, KNA
24.6, 1909, Jul Average, St. Kitts and Nevis, KNA
24.475, 1909, Aug Average, St. Kitts and Nevis, KNA
24.85, 1909, Sep Average, St. Kitts and Nevis, KNA
24.35, 1909, Oct Average, St. Kitts and Nevis, KNA
23.35, 1909, Nov Average, St. Kitts and Nevis, KNA
22.1749, 1909, Dec Average, St. Kitts and Nevis, KNA
21.5749, 1910, Jan Average, St. Kitts and Nevis, KNA
21.275, 1910, Feb Average, St. Kitts and Nevis, KNA
21.5749, 1910, Mar Average, St. Kitts and Nevis, KNA
22.1749, 1910, Apr Average, St. Kitts and Nevis, KNA
23.025, 1910, May Average, St. Kitts and Nevis, KNA
24.125, 1910, Jun Average, St. Kitts and Nevis, KNA
24.6, 1910, Jul Average, St. Kitts and Nevis, KNA
24.7999, 1910, Aug Average, St. Kitts and Nevis, KNA
24.45, 1910, Sep Average, St. Kitts and Nevis, KNA
24.625, 1910, Oct Average, St. Kitts and Nevis, KNA
24.325, 1910, Nov Average, St. Kitts and Nevis, KNA
23.25, 1910, Dec Average, St. Kitts and Nevis, KNA
21.6749, 1911, Jan Average, St. Kitts and Nevis, KNA
21.5499, 1911, Feb Average, St. Kitts and Nevis, KNA
21.4, 1911, Mar Average, St. Kitts and Nevis, KNA
22.475, 1911, Apr Average, St. Kitts and Nevis, KNA
22.9, 1911, May Average, St. Kitts and Nevis, KNA
24.6, 1911, Jun Average, St. Kitts and Nevis, KNA
24.225, 1911, Jul Average, St. Kitts and Nevis, KNA
24.975, 1911, Aug Average, St. Kitts and Nevis, KNA
24.775, 1911, Sep Average, St. Kitts and Nevis, KNA
24.45, 1911, Oct Average, St. Kitts and Nevis, KNA
24.15, 1911, Nov Average, St. Kitts and Nevis, KNA
23.25, 1911, Dec Average, St. Kitts and Nevis, KNA
22.85, 1912, Jan Average, St. Kitts and Nevis, KNA
22.5749, 1912, Feb Average, St. Kitts and Nevis, KNA
22.1749, 1912, Mar Average, St. Kitts and Nevis, KNA
22.975, 1912, Apr Average, St. Kitts and Nevis, KNA
23.9, 1912, May Average, St. Kitts and Nevis, KNA
24.2999, 1912, Jun Average, St. Kitts and Nevis, KNA
