Temperature - (Celsius), Year, Statistics, Country, ISO3
11.6607, 1901, Jan Average, Kuwait, KWT
14.669, 1901, Feb Average, Kuwait, KWT
20.2102, 1901, Mar Average, Kuwait, KWT
25.2553, 1901, Apr Average, Kuwait, KWT
31.5094, 1901, May Average, Kuwait, KWT
34.4666, 1901, Jun Average, Kuwait, KWT
36.4245, 1901, Jul Average, Kuwait, KWT
35.68, 1901, Aug Average, Kuwait, KWT
33.6341, 1901, Sep Average, Kuwait, KWT
27.2491, 1901, Oct Average, Kuwait, KWT
20.3326, 1901, Nov Average, Kuwait, KWT
15.9384, 1901, Dec Average, Kuwait, KWT
13.3776, 1902, Jan Average, Kuwait, KWT
15.7649, 1902, Feb Average, Kuwait, KWT
21.0864, 1902, Mar Average, Kuwait, KWT
25.1732, 1902, Apr Average, Kuwait, KWT
30.2067, 1902, May Average, Kuwait, KWT
34.6124, 1902, Jun Average, Kuwait, KWT
34.823, 1902, Jul Average, Kuwait, KWT
35.1328, 1902, Aug Average, Kuwait, KWT
32.1435, 1902, Sep Average, Kuwait, KWT
25.9113, 1902, Oct Average, Kuwait, KWT
18.8083, 1902, Nov Average, Kuwait, KWT
13.4075, 1902, Dec Average, Kuwait, KWT
10.7769, 1903, Jan Average, Kuwait, KWT
13.3695, 1903, Feb Average, Kuwait, KWT
17.4223, 1903, Mar Average, Kuwait, KWT
22.6754, 1903, Apr Average, Kuwait, KWT
30.2585, 1903, May Average, Kuwait, KWT
34.1238, 1903, Jun Average, Kuwait, KWT
34.8193, 1903, Jul Average, Kuwait, KWT
36.1376, 1903, Aug Average, Kuwait, KWT
32.5168, 1903, Sep Average, Kuwait, KWT
25.6019, 1903, Oct Average, Kuwait, KWT
17.9668, 1903, Nov Average, Kuwait, KWT
13.2108, 1903, Dec Average, Kuwait, KWT
12.492, 1904, Jan Average, Kuwait, KWT
14.4559, 1904, Feb Average, Kuwait, KWT
18.7659, 1904, Mar Average, Kuwait, KWT
23.483, 1904, Apr Average, Kuwait, KWT
29.2987, 1904, May Average, Kuwait, KWT
33.1021, 1904, Jun Average, Kuwait, KWT
35.3328, 1904, Jul Average, Kuwait, KWT
34.7756, 1904, Aug Average, Kuwait, KWT
31.4709, 1904, Sep Average, Kuwait, KWT
26.4116, 1904, Oct Average, Kuwait, KWT
20.9665, 1904, Nov Average, Kuwait, KWT
13.182, 1904, Dec Average, Kuwait, KWT
11.2264, 1905, Jan Average, Kuwait, KWT
12.6838, 1905, Feb Average, Kuwait, KWT
17.1757, 1905, Mar Average, Kuwait, KWT
23.7833, 1905, Apr Average, Kuwait, KWT
29.3632, 1905, May Average, Kuwait, KWT
33.7592, 1905, Jun Average, Kuwait, KWT
35.1729, 1905, Jul Average, Kuwait, KWT
35.1341, 1905, Aug Average, Kuwait, KWT
32.4046, 1905, Sep Average, Kuwait, KWT
27.6451, 1905, Oct Average, Kuwait, KWT
20.3627, 1905, Nov Average, Kuwait, KWT
13.2204, 1905, Dec Average, Kuwait, KWT
11.5022, 1906, Jan Average, Kuwait, KWT
13.7067, 1906, Feb Average, Kuwait, KWT
17.8819, 1906, Mar Average, Kuwait, KWT
22.2691, 1906, Apr Average, Kuwait, KWT
30.2698, 1906, May Average, Kuwait, KWT
33.169, 1906, Jun Average, Kuwait, KWT
34.8523, 1906, Jul Average, Kuwait, KWT
34.2351, 1906, Aug Average, Kuwait, KWT
31.3776, 1906, Sep Average, Kuwait, KWT
26.9789, 1906, Oct Average, Kuwait, KWT
20.4907, 1906, Nov Average, Kuwait, KWT
15.2841, 1906, Dec Average, Kuwait, KWT
12.5574, 1907, Jan Average, Kuwait, KWT
13.075, 1907, Feb Average, Kuwait, KWT
17.9357, 1907, Mar Average, Kuwait, KWT
22.7305, 1907, Apr Average, Kuwait, KWT
30.4395, 1907, May Average, Kuwait, KWT
33.4103, 1907, Jun Average, Kuwait, KWT
35.4081, 1907, Jul Average, Kuwait, KWT
34.6244, 1907, Aug Average, Kuwait, KWT
