Temperature - (Celsius), Year, Statistics, Country, ISO3
5.23689, 1901, Jan Average, Lebanon, LBN
10.3067, 1901, Feb Average, Lebanon, LBN
12.7885, 1901, Mar Average, Lebanon, LBN
14.1915, 1901, Apr Average, Lebanon, LBN
15.5362, 1901, May Average, Lebanon, LBN
20.7817, 1901, Jun Average, Lebanon, LBN
23.1518, 1901, Jul Average, Lebanon, LBN
23.3662, 1901, Aug Average, Lebanon, LBN
21.0081, 1901, Sep Average, Lebanon, LBN
17.7928, 1901, Oct Average, Lebanon, LBN
12.3421, 1901, Nov Average, Lebanon, LBN
9.2386, 1901, Dec Average, Lebanon, LBN
6.0842, 1902, Jan Average, Lebanon, LBN
9.82819, 1902, Feb Average, Lebanon, LBN
8.87508, 1902, Mar Average, Lebanon, LBN
13.0081, 1902, Apr Average, Lebanon, LBN
17.5334, 1902, May Average, Lebanon, LBN
20.1327, 1902, Jun Average, Lebanon, LBN
22.9607, 1902, Jul Average, Lebanon, LBN
23.2675, 1902, Aug Average, Lebanon, LBN
23.022, 1902, Sep Average, Lebanon, LBN
18.7751, 1902, Oct Average, Lebanon, LBN
11.112, 1902, Nov Average, Lebanon, LBN
6.78066, 1902, Dec Average, Lebanon, LBN
4.97302, 1903, Jan Average, Lebanon, LBN
5.70919, 1903, Feb Average, Lebanon, LBN
7.87412, 1903, Mar Average, Lebanon, LBN
13.7446, 1903, Apr Average, Lebanon, LBN
17.6432, 1903, May Average, Lebanon, LBN
19.3192, 1903, Jun Average, Lebanon, LBN
21.3997, 1903, Jul Average, Lebanon, LBN
22.6431, 1903, Aug Average, Lebanon, LBN
20.0667, 1903, Sep Average, Lebanon, LBN
16.9071, 1903, Oct Average, Lebanon, LBN
11.0629, 1903, Nov Average, Lebanon, LBN
8.17877, 1903, Dec Average, Lebanon, LBN
6.25895, 1904, Jan Average, Lebanon, LBN
8.15735, 1904, Feb Average, Lebanon, LBN
9.32564, 1904, Mar Average, Lebanon, LBN
12.1793, 1904, Apr Average, Lebanon, LBN
16.0499, 1904, May Average, Lebanon, LBN
