Temperature - (Celsius), Year, Statistics, Country, ISO3
26.188, 1901, Jan Average, Liberia, LBR
27.5703, 1901, Feb Average, Liberia, LBR
28.1573, 1901, Mar Average, Liberia, LBR
26.9298, 1901, Apr Average, Liberia, LBR
26.0616, 1901, May Average, Liberia, LBR
25.5917, 1901, Jun Average, Liberia, LBR
24.6619, 1901, Jul Average, Liberia, LBR
24.1783, 1901, Aug Average, Liberia, LBR
25.3981, 1901, Sep Average, Liberia, LBR
25.7757, 1901, Oct Average, Liberia, LBR
26.2372, 1901, Nov Average, Liberia, LBR
26.5984, 1901, Dec Average, Liberia, LBR
26.658, 1902, Jan Average, Liberia, LBR
26.9335, 1902, Feb Average, Liberia, LBR
27.0157, 1902, Mar Average, Liberia, LBR
26.4306, 1902, Apr Average, Liberia, LBR
26.3747, 1902, May Average, Liberia, LBR
26.3207, 1902, Jun Average, Liberia, LBR
24.9607, 1902, Jul Average, Liberia, LBR
24.5651, 1902, Aug Average, Liberia, LBR
24.599, 1902, Sep Average, Liberia, LBR
25.6507, 1902, Oct Average, Liberia, LBR
26.0538, 1902, Nov Average, Liberia, LBR
25.5853, 1902, Dec Average, Liberia, LBR
26.0866, 1903, Jan Average, Liberia, LBR
26.8432, 1903, Feb Average, Liberia, LBR
27.3893, 1903, Mar Average, Liberia, LBR
26.8081, 1903, Apr Average, Liberia, LBR
26.449, 1903, May Average, Liberia, LBR
25.4255, 1903, Jun Average, Liberia, LBR
24.2459, 1903, Jul Average, Liberia, LBR
23.5641, 1903, Aug Average, Liberia, LBR
24.8065, 1903, Sep Average, Liberia, LBR
25.9201, 1903, Oct Average, Liberia, LBR
25.9299, 1903, Nov Average, Liberia, LBR
25.6983, 1903, Dec Average, Liberia, LBR
25.3252, 1904, Jan Average, Liberia, LBR
25.9642, 1904, Feb Average, Liberia, LBR
26.5443, 1904, Mar Average, Liberia, LBR
26.0578, 1904, Apr Average, Liberia, LBR
26.0882, 1904, May Average, Liberia, LBR
25.5432, 1904, Jun Average, Liberia, LBR
24.0619, 1904, Jul Average, Liberia, LBR
23.8161, 1904, Aug Average, Liberia, LBR
24.9296, 1904, Sep Average, Liberia, LBR
25.5675, 1904, Oct Average, Liberia, LBR
25.9678, 1904, Nov Average, Liberia, LBR
25.7824, 1904, Dec Average, Liberia, LBR
26.0032, 1905, Jan Average, Liberia, LBR
26.5348, 1905, Feb Average, Liberia, LBR
27.3051, 1905, Mar Average, Liberia, LBR
27.1003, 1905, Apr Average, Liberia, LBR
26.5028, 1905, May Average, Liberia, LBR
24.9623, 1905, Jun Average, Liberia, LBR
24.3859, 1905, Jul Average, Liberia, LBR
24.0094, 1905, Aug Average, Liberia, LBR
24.6493, 1905, Sep Average, Liberia, LBR
25.4277, 1905, Oct Average, Liberia, LBR
