Temperature - (Celsius), Year, Statistics, Country, ISO3
24.4, 1901, Jan Average, St. Lucia, LCA
24.4333, 1901, Feb Average, St. Lucia, LCA
24.7222, 1901, Mar Average, St. Lucia, LCA
25.6, 1901, Apr Average, St. Lucia, LCA
26.3222, 1901, May Average, St. Lucia, LCA
26.3444, 1901, Jun Average, St. Lucia, LCA
26.2777, 1901, Jul Average, St. Lucia, LCA
26.4777, 1901, Aug Average, St. Lucia, LCA
25.9333, 1901, Sep Average, St. Lucia, LCA
25.4666, 1901, Oct Average, St. Lucia, LCA
24.9777, 1901, Nov Average, St. Lucia, LCA
24.0555, 1901, Dec Average, St. Lucia, LCA
23.5555, 1902, Jan Average, St. Lucia, LCA
23.8333, 1902, Feb Average, St. Lucia, LCA
23.8111, 1902, Mar Average, St. Lucia, LCA
24.6333, 1902, Apr Average, St. Lucia, LCA
25.7777, 1902, May Average, St. Lucia, LCA
26.2111, 1902, Jun Average, St. Lucia, LCA
26.0333, 1902, Jul Average, St. Lucia, LCA
26.3222, 1902, Aug Average, St. Lucia, LCA
25.6444, 1902, Sep Average, St. Lucia, LCA
25.1555, 1902, Oct Average, St. Lucia, LCA
25.1333, 1902, Nov Average, St. Lucia, LCA
24.4666, 1902, Dec Average, St. Lucia, LCA
23.9555, 1903, Jan Average, St. Lucia, LCA
23.9444, 1903, Feb Average, St. Lucia, LCA
23.8222, 1903, Mar Average, St. Lucia, LCA
24.7777, 1903, Apr Average, St. Lucia, LCA
25.9222, 1903, May Average, St. Lucia, LCA
26.4555, 1903, Jun Average, St. Lucia, LCA
26.2777, 1903, Jul Average, St. Lucia, LCA
26.0777, 1903, Aug Average, St. Lucia, LCA
25.6444, 1903, Sep Average, St. Lucia, LCA
25.6222, 1903, Oct Average, St. Lucia, LCA
24.9111, 1903, Nov Average, St. Lucia, LCA
24.1555, 1903, Dec Average, St. Lucia, LCA
23.4555, 1904, Jan Average, St. Lucia, LCA
23.1555, 1904, Feb Average, St. Lucia, LCA
23.1666, 1904, Mar Average, St. Lucia, LCA
23.9777, 1904, Apr Average, St. Lucia, LCA
25.2666, 1904, May Average, St. Lucia, LCA
25.6555, 1904, Jun Average, St. Lucia, LCA
25.7666, 1904, Jul Average, St. Lucia, LCA
25.5333, 1904, Aug Average, St. Lucia, LCA
25.4333, 1904, Sep Average, St. Lucia, LCA
24.8666, 1904, Oct Average, St. Lucia, LCA
25.2222, 1904, Nov Average, St. Lucia, LCA
24.2666, 1904, Dec Average, St. Lucia, LCA
23.8111, 1905, Jan Average, St. Lucia, LCA
23.0444, 1905, Feb Average, St. Lucia, LCA
23.4222, 1905, Mar Average, St. Lucia, LCA
24.9888, 1905, Apr Average, St. Lucia, LCA
25.1222, 1905, May Average, St. Lucia, LCA
26.0111, 1905, Jun Average, St. Lucia, LCA
26.0777, 1905, Jul Average, St. Lucia, LCA
26.2777, 1905, Aug Average, St. Lucia, LCA
25.8444, 1905, Sep Average, St. Lucia, LCA
25.4111, 1905, Oct Average, St. Lucia, LCA
25.4222, 1905, Nov Average, St. Lucia, LCA
24.0444, 1905, Dec Average, St. Lucia, LCA
23.4555, 1906, Jan Average, St. Lucia, LCA
23.4, 1906, Feb Average, St. Lucia, LCA
23.7111, 1906, Mar Average, St. Lucia, LCA
24.4888, 1906, Apr Average, St. Lucia, LCA
25.5666, 1906, May Average, St. Lucia, LCA
25.6888, 1906, Jun Average, St. Lucia, LCA
25.7222, 1906, Jul Average, St. Lucia, LCA
26.1666, 1906, Aug Average, St. Lucia, LCA
25.5444, 1906, Sep Average, St. Lucia, LCA
25.5777, 1906, Oct Average, St. Lucia, LCA
25.4222, 1906, Nov Average, St. Lucia, LCA
23.5444, 1906, Dec Average, St. Lucia, LCA
22.9444, 1907, Jan Average, St. Lucia, LCA
22.7999, 1907, Feb Average, St. Lucia, LCA
23.0111, 1907, Mar Average, St. Lucia, LCA
23.9888, 1907, Apr Average, St. Lucia, LCA
24.7222, 1907, May Average, St. Lucia, LCA
25.6555, 1907, Jun Average, St. Lucia, LCA
25.9111, 1907, Jul Average, St. Lucia, LCA
25.8333, 1907, Aug Average, St. Lucia, LCA
25.5333, 1907, Sep Average, St. Lucia, LCA
25.3111, 1907, Oct Average, St. Lucia, LCA
24.9666, 1907, Nov Average, St. Lucia, LCA
24.2888, 1907, Dec Average, St. Lucia, LCA
23.6555, 1908, Jan Average, St. Lucia, LCA
23.2, 1908, Feb Average, St. Lucia, LCA
23.2222, 1908, Mar Average, St. Lucia, LCA
23.9888, 1908, Apr Average, St. Lucia, LCA
24.7222, 1908, May Average, St. Lucia, LCA
25.8111, 1908, Jun Average, St. Lucia, LCA
25.9666, 1908, Jul Average, St. Lucia, LCA
26.1222, 1908, Aug Average, St. Lucia, LCA
25.7444, 1908, Sep Average, St. Lucia, LCA
25.2111, 1908, Oct Average, St. Lucia, LCA
24.7666, 1908, Nov Average, St. Lucia, LCA
24.4111, 1908, Dec Average, St. Lucia, LCA
23.2999, 1909, Jan Average, St. Lucia, LCA
23.0555, 1909, Feb Average, St. Lucia, LCA
24.1222, 1909, Mar Average, St. Lucia, LCA
24.1777, 1909, Apr Average, St. Lucia, LCA
25.3333, 1909, May Average, St. Lucia, LCA
25.3666, 1909, Jun Average, St. Lucia, LCA
25.6777, 1909, Jul Average, St. Lucia, LCA
25.5666, 1909, Aug Average, St. Lucia, LCA
25.5444, 1909, Sep Average, St. Lucia, LCA
25.2555, 1909, Oct Average, St. Lucia, LCA
24.8111, 1909, Nov Average, St. Lucia, LCA
23.5444, 1909, Dec Average, St. Lucia, LCA
22.9444, 1910, Jan Average, St. Lucia, LCA
22.7999, 1910, Feb Average, St. Lucia, LCA
23.0666, 1910, Mar Average, St. Lucia, LCA
23.8888, 1910, Apr Average, St. Lucia, LCA
25.1222, 1910, May Average, St. Lucia, LCA
25.7555, 1910, Jun Average, St. Lucia, LCA
25.8111, 1910, Jul Average, St. Lucia, LCA
25.9777, 1910, Aug Average, St. Lucia, LCA
25.2444, 1910, Sep Average, St. Lucia, LCA
25.2555, 1910, Oct Average, St. Lucia, LCA
25.4222, 1910, Nov Average, St. Lucia, LCA
24.5444, 1910, Dec Average, St. Lucia, LCA
23.1666, 1911, Jan Average, St. Lucia, LCA
22.8555, 1911, Feb Average, St. Lucia, LCA
23.2666, 1911, Mar Average, St. Lucia, LCA
24.1, 1911, Apr Average, St. Lucia, LCA
24.8222, 1911, May Average, St. Lucia, LCA
26.1111, 1911, Jun Average, St. Lucia, LCA
25.4666, 1911, Jul Average, St. Lucia, LCA
26.0666, 1911, Aug Average, St. Lucia, LCA
25.8222, 1911, Sep Average, St. Lucia, LCA
25.4111, 1911, Oct Average, St. Lucia, LCA
25.2666, 1911, Nov Average, St. Lucia, LCA
24.4, 1911, Dec Average, St. Lucia, LCA
24, 1912, Jan Average, St. Lucia, LCA
23.7999, 1912, Feb Average, St. Lucia, LCA
23.6777, 1912, Mar Average, St. Lucia, LCA
24.5777, 1912, Apr Average, St. Lucia, LCA
25.6666, 1912, May Average, St. Lucia, LCA
25.8666, 1912, Jun Average, St. Lucia, LCA
26.1111, 1912, Jul Average, St. Lucia, LCA
26.0333, 1912, Aug Average, St. Lucia, LCA
25.5777, 1912, Sep Average, St. Lucia, LCA
25.3111, 1912, Oct Average, St. Lucia, LCA
25.0222, 1912, Nov Average, St. Lucia, LCA
24.4555, 1912, Dec Average, St. Lucia, LCA
23.2555, 1913, Jan Average, St. Lucia, LCA
22.5444, 1913, Feb Average, St. Lucia, LCA
23.2111, 1913, Mar Average, St. Lucia, LCA
23.8444, 1913, Apr Average, St. Lucia, LCA
25.8222, 1913, May Average, St. Lucia, LCA
25.2666, 1913, Jun Average, St. Lucia, LCA
25.0777, 1913, Jul Average, St. Lucia, LCA
25.2333, 1913, Aug Average, St. Lucia, LCA
25.3777, 1913, Sep Average, St. Lucia, LCA
24.5777, 1913, Oct Average, St. Lucia, LCA
24.5222, 1913, Nov Average, St. Lucia, LCA
23.4555, 1913, Dec Average, St. Lucia, LCA
23.3555, 1914, Jan Average, St. Lucia, LCA
23.4777, 1914, Feb Average, St. Lucia, LCA
23.9222, 1914, Mar Average, St. Lucia, LCA
24.0888, 1914, Apr Average, St. Lucia, LCA
24.7666, 1914, May Average, St. Lucia, LCA
25.4222, 1914, Jun Average, St. Lucia, LCA
25.3777, 1914, Jul Average, St. Lucia, LCA
25.1888, 1914, Aug Average, St. Lucia, LCA
25.2444, 1914, Sep Average, St. Lucia, LCA
24.9222, 1914, Oct Average, St. Lucia, LCA
24.8111, 1914, Nov Average, St. Lucia, LCA
24.6444, 1914, Dec Average, St. Lucia, LCA
23.8555, 1915, Jan Average, St. Lucia, LCA
23.4555, 1915, Feb Average, St. Lucia, LCA
24.4222, 1915, Mar Average, St. Lucia, LCA
24.6777, 1915, Apr Average, St. Lucia, LCA
25.6222, 1915, May Average, St. Lucia, LCA
26.0555, 1915, Jun Average, St. Lucia, LCA
25.9333, 1915, Jul Average, St. Lucia, LCA
26.3777, 1915, Aug Average, St. Lucia, LCA
25.8444, 1915, Sep Average, St. Lucia, LCA
25.7777, 1915, Oct Average, St. Lucia, LCA
25.4222, 1915, Nov Average, St. Lucia, LCA
24.4666, 1915, Dec Average, St. Lucia, LCA
23.3555, 1916, Jan Average, St. Lucia, LCA
23.2666, 1916, Feb Average, St. Lucia, LCA
23.5222, 1916, Mar Average, St. Lucia, LCA
24.4444, 1916, Apr Average, St. Lucia, LCA
25.5333, 1916, May Average, St. Lucia, LCA
25.8555, 1916, Jun Average, St. Lucia, LCA
25.7444, 1916, Jul Average, St. Lucia, LCA
25.6888, 1916, Aug Average, St. Lucia, LCA
25.3555, 1916, Sep Average, St. Lucia, LCA
25.0777, 1916, Oct Average, St. Lucia, LCA
24.6333, 1916, Nov Average, St. Lucia, LCA
23.4444, 1916, Dec Average, St. Lucia, LCA
23.0444, 1917, Jan Average, St. Lucia, LCA
22.8333, 1917, Feb Average, St. Lucia, LCA
23.1111, 1917, Mar Average, St. Lucia, LCA
24.1, 1917, Apr Average, St. Lucia, LCA
25.5222, 1917, May Average, St. Lucia, LCA
26.0111, 1917, Jun Average, St. Lucia, LCA
25.9777, 1917, Jul Average, St. Lucia, LCA
25.5666, 1917, Aug Average, St. Lucia, LCA
25.5222, 1917, Sep Average, St. Lucia, LCA
