Temperature - (Celsius), Year, Statistics, Country, ISO3
-6.8257, 1901, Jan Average, Liechtenstein, LIE
-10.098, 1901, Feb Average, Liechtenstein, LIE
-4.0342, 1901, Mar Average, Liechtenstein, LIE
1.17577, 1901, Apr Average, Liechtenstein, LIE
5.35752, 1901, May Average, Liechtenstein, LIE
9.21466, 1901, Jun Average, Liechtenstein, LIE
10.4316, 1901, Jul Average, Liechtenstein, LIE
9.75539, 1901, Aug Average, Liechtenstein, LIE
8.03212, 1901, Sep Average, Liechtenstein, LIE
3.55319, 1901, Oct Average, Liechtenstein, LIE
-3.1576, 1901, Nov Average, Liechtenstein, LIE
-3.7937, 1901, Dec Average, Liechtenstein, LIE
-3.8508, 1902, Jan Average, Liechtenstein, LIE
-5.0939, 1902, Feb Average, Liechtenstein, LIE
-2.3389, 1902, Mar Average, Liechtenstein, LIE
2.88156, 1902, Apr Average, Liechtenstein, LIE
1.19157, 1902, May Average, Liechtenstein, LIE
7.31415, 1902, Jun Average, Liechtenstein, LIE
10.5905, 1902, Jul Average, Liechtenstein, LIE
9.66958, 1902, Aug Average, Liechtenstein, LIE
7.29541, 1902, Sep Average, Liechtenstein, LIE
2.73048, 1902, Oct Average, Liechtenstein, LIE
-2.1577, 1902, Nov Average, Liechtenstein, LIE
-4.9839, 1902, Dec Average, Liechtenstein, LIE
-5.6532, 1903, Jan Average, Liechtenstein, LIE
-2.9847, 1903, Feb Average, Liechtenstein, LIE
-0.9054, 1903, Mar Average, Liechtenstein, LIE
-2.2799, 1903, Apr Average, Liechtenstein, LIE
4.96057, 1903, May Average, Liechtenstein, LIE
7.26189, 1903, Jun Average, Liechtenstein, LIE
9.10961, 1903, Jul Average, Liechtenstein, LIE
9.99351, 1903, Aug Average, Liechtenstein, LIE
7.67089, 1903, Sep Average, Liechtenstein, LIE
4.50697, 1903, Oct Average, Liechtenstein, LIE
-1.0941, 1903, Nov Average, Liechtenstein, LIE
-5.0776, 1903, Dec Average, Liechtenstein, LIE
-5.5872, 1904, Jan Average, Liechtenstein, LIE
-4.3145, 1904, Feb Average, Liechtenstein, LIE
-2.2893, 1904, Mar Average, Liechtenstein, LIE
2.44849, 1904, Apr Average, Liechtenstein, LIE
6.08855, 1904, May Average, Liechtenstein, LIE
9.32328, 1904, Jun Average, Liechtenstein, LIE
12.5277, 1904, Jul Average, Liechtenstein, LIE
10.8917, 1904, Aug Average, Liechtenstein, LIE
5.65762, 1904, Sep Average, Liechtenstein, LIE
3.58867, 1904, Oct Average, Liechtenstein, LIE
-2.3568, 1904, Nov Average, Liechtenstein, LIE
-3.6158, 1904, Dec Average, Liechtenstein, LIE
-7.6262, 1905, Jan Average, Liechtenstein, LIE
-5.4389, 1905, Feb Average, Liechtenstein, LIE
-1.7677, 1905, Mar Average, Liechtenstein, LIE
0.39619, 1905, Apr Average, Liechtenstein, LIE
3.67801, 1905, May Average, Liechtenstein, LIE
8.97249, 1905, Jun Average, Liechtenstein, LIE
12.4526, 1905, Jul Average, Liechtenstein, LIE
10.0061, 1905, Aug Average, Liechtenstein, LIE
8.01062, 1905, Sep Average, Liechtenstein, LIE
0.21504, 1905, Oct Average, Liechtenstein, LIE
-1.6051, 1905, Nov Average, Liechtenstein, LIE
-4.1125, 1905, Dec Average, Liechtenstein, LIE
-5.2818, 1906, Jan Average, Liechtenstein, LIE
-6.1919, 1906, Feb Average, Liechtenstein, LIE
-3.5485, 1906, Mar Average, Liechtenstein, LIE
0.4245, 1906, Apr Average, Liechtenstein, LIE
5.03257, 1906, May Average, Liechtenstein, LIE
7.56576, 1906, Jun Average, Liechtenstein, LIE
10.3591, 1906, Jul Average, Liechtenstein, LIE
10.7816, 1906, Aug Average, Liechtenstein, LIE
6.38471, 1906, Sep Average, Liechtenstein, LIE
5.48354, 1906, Oct Average, Liechtenstein, LIE
0.23477, 1906, Nov Average, Liechtenstein, LIE
-6.75, 1906, Dec Average, Liechtenstein, LIE
-6.644, 1907, Jan Average, Liechtenstein, LIE
-7.615, 1907, Feb Average, Liechtenstein, LIE
-4.1761, 1907, Mar Average, Liechtenstein, LIE
-1.021, 1907, Apr Average, Liechtenstein, LIE
5.9332, 1907, May Average, Liechtenstein, LIE
