Temperature - (Celsius), Year, Statistics, Country, ISO3
18.1227, 1901, Jan Average, Lesotho, LSO
17.4339, 1901, Feb Average, Lesotho, LSO
14.3653, 1901, Mar Average, Lesotho, LSO
12.779, 1901, Apr Average, Lesotho, LSO
7.97235, 1901, May Average, Lesotho, LSO
5.94697, 1901, Jun Average, Lesotho, LSO
5.33199, 1901, Jul Average, Lesotho, LSO
8.19975, 1901, Aug Average, Lesotho, LSO
10.3625, 1901, Sep Average, Lesotho, LSO
12.1587, 1901, Oct Average, Lesotho, LSO
14.57, 1901, Nov Average, Lesotho, LSO
16.5261, 1901, Dec Average, Lesotho, LSO
16.3901, 1902, Jan Average, Lesotho, LSO
17.1491, 1902, Feb Average, Lesotho, LSO
15.0831, 1902, Mar Average, Lesotho, LSO
11.4282, 1902, Apr Average, Lesotho, LSO
9.21334, 1902, May Average, Lesotho, LSO
4.95535, 1902, Jun Average, Lesotho, LSO
6.2623, 1902, Jul Average, Lesotho, LSO
7.40976, 1902, Aug Average, Lesotho, LSO
10.477, 1902, Sep Average, Lesotho, LSO
12.8282, 1902, Oct Average, Lesotho, LSO
13.8002, 1902, Nov Average, Lesotho, LSO
16.7396, 1902, Dec Average, Lesotho, LSO
17.9665, 1903, Jan Average, Lesotho, LSO
16.8262, 1903, Feb Average, Lesotho, LSO
14.7639, 1903, Mar Average, Lesotho, LSO
11.0668, 1903, Apr Average, Lesotho, LSO
8.48434, 1903, May Average, Lesotho, LSO
4.91199, 1903, Jun Average, Lesotho, LSO
5.64747, 1903, Jul Average, Lesotho, LSO
8.0182, 1903, Aug Average, Lesotho, LSO
11.0402, 1903, Sep Average, Lesotho, LSO
12.721, 1903, Oct Average, Lesotho, LSO
14.0611, 1903, Nov Average, Lesotho, LSO
16.627, 1903, Dec Average, Lesotho, LSO
17.2268, 1904, Jan Average, Lesotho, LSO
16.2783, 1904, Feb Average, Lesotho, LSO
14.7296, 1904, Mar Average, Lesotho, LSO
12.1098, 1904, Apr Average, Lesotho, LSO
8.64899, 1904, May Average, Lesotho, LSO
6.08103, 1904, Jun Average, Lesotho, LSO
