Temperature - (Celsius), Year, Statistics, Country, ISO3
-5.7168, 1901, Jan Average, Lithuania, LTU
-6.4658, 1901, Feb Average, Lithuania, LTU
-1.088, 1901, Mar Average, Lithuania, LTU
5.95835, 1901, Apr Average, Lithuania, LTU
12.5758, 1901, May Average, Lithuania, LTU
17.236, 1901, Jun Average, Lithuania, LTU
19.3655, 1901, Jul Average, Lithuania, LTU
18.4595, 1901, Aug Average, Lithuania, LTU
12.7874, 1901, Sep Average, Lithuania, LTU
8.63503, 1901, Oct Average, Lithuania, LTU
0.65871, 1901, Nov Average, Lithuania, LTU
-3.024, 1901, Dec Average, Lithuania, LTU
-1.2264, 1902, Jan Average, Lithuania, LTU
-5.8561, 1902, Feb Average, Lithuania, LTU
-0.6927, 1902, Mar Average, Lithuania, LTU
2.65255, 1902, Apr Average, Lithuania, LTU
9.45665, 1902, May Average, Lithuania, LTU
14.4599, 1902, Jun Average, Lithuania, LTU
14.8951, 1902, Jul Average, Lithuania, LTU
14.5122, 1902, Aug Average, Lithuania, LTU
11.0713, 1902, Sep Average, Lithuania, LTU
4.89452, 1902, Oct Average, Lithuania, LTU
-1.1738, 1902, Nov Average, Lithuania, LTU
-7.5328, 1902, Dec Average, Lithuania, LTU
-3.405, 1903, Jan Average, Lithuania, LTU
-0.277, 1903, Feb Average, Lithuania, LTU
3.5558, 1903, Mar Average, Lithuania, LTU
6.47496, 1903, Apr Average, Lithuania, LTU
12.5647, 1903, May Average, Lithuania, LTU
16.7791, 1903, Jun Average, Lithuania, LTU
17.0635, 1903, Jul Average, Lithuania, LTU
15.1447, 1903, Aug Average, Lithuania, LTU
13.3946, 1903, Sep Average, Lithuania, LTU
4.98513, 1903, Oct Average, Lithuania, LTU
1.97778, 1903, Nov Average, Lithuania, LTU
-2.9802, 1903, Dec Average, Lithuania, LTU
-4.1902, 1904, Jan Average, Lithuania, LTU
-3.0178, 1904, Feb Average, Lithuania, LTU
-2.3103, 1904, Mar Average, Lithuania, LTU
5.76744, 1904, Apr Average, Lithuania, LTU
9.29149, 1904, May Average, Lithuania, LTU
13.4536, 1904, Jun Average, Lithuania, LTU
15.3104, 1904, Jul Average, Lithuania, LTU
15.4731, 1904, Aug Average, Lithuania, LTU
11.2905, 1904, Sep Average, Lithuania, LTU
6.98029, 1904, Oct Average, Lithuania, LTU
0.50498, 1904, Nov Average, Lithuania, LTU
-1.8294, 1904, Dec Average, Lithuania, LTU
-6.8343, 1905, Jan Average, Lithuania, LTU
-2.4539, 1905, Feb Average, Lithuania, LTU
0.38259, 1905, Mar Average, Lithuania, LTU
4.25713, 1905, Apr Average, Lithuania, LTU
12.7382, 1905, May Average, Lithuania, LTU
18.319, 1905, Jun Average, Lithuania, LTU
17.2568, 1905, Jul Average, Lithuania, LTU
16.51, 1905, Aug Average, Lithuania, LTU
11.8368, 1905, Sep Average, Lithuania, LTU
4.54026, 1905, Oct Average, Lithuania, LTU
2.17532, 1905, Nov Average, Lithuania, LTU
-2.2381, 1905, Dec Average, Lithuania, LTU
-3.2967, 1906, Jan Average, Lithuania, LTU
-2.932, 1906, Feb Average, Lithuania, LTU
-0.4619, 1906, Mar Average, Lithuania, LTU
7.95627, 1906, Apr Average, Lithuania, LTU
15.9348, 1906, May Average, Lithuania, LTU
15.6496, 1906, Jun Average, Lithuania, LTU
18.0331, 1906, Jul Average, Lithuania, LTU
15.7261, 1906, Aug Average, Lithuania, LTU
11.1028, 1906, Sep Average, Lithuania, LTU
6.37609, 1906, Oct Average, Lithuania, LTU
4.05359, 1906, Nov Average, Lithuania, LTU
-4.6786, 1906, Dec Average, Lithuania, LTU
-6.9259, 1907, Jan Average, Lithuania, LTU
-5.5986, 1907, Feb Average, Lithuania, LTU
-1.4196, 1907, Mar Average, Lithuania, LTU
4.25738, 1907, Apr Average, Lithuania, LTU
11.8306, 1907, May Average, Lithuania, LTU
15.0262, 1907, Jun Average, Lithuania, LTU
16.2532, 1907, Jul Average, Lithuania, LTU
14.3064, 1907, Aug Average, Lithuania, LTU
11.9159, 1907, Sep Average, Lithuania, LTU
