Temperature - (Celsius), Year, Statistics, Country, ISO3
-1.46, 1901, Jan Average, Luxembourg, LUX
-2.8729, 1901, Feb Average, Luxembourg, LUX
2.82844, 1901, Mar Average, Luxembourg, LUX
8.78187, 1901, Apr Average, Luxembourg, LUX
12.1174, 1901, May Average, Luxembourg, LUX
15.7413, 1901, Jun Average, Luxembourg, LUX
18.6049, 1901, Jul Average, Luxembourg, LUX
16.7779, 1901, Aug Average, Luxembourg, LUX
13.91, 1901, Sep Average, Luxembourg, LUX
9.28933, 1901, Oct Average, Luxembourg, LUX
2.93712, 1901, Nov Average, Luxembourg, LUX
1.44447, 1901, Dec Average, Luxembourg, LUX
2.56924, 1902, Jan Average, Luxembourg, LUX
-0.309, 1902, Feb Average, Luxembourg, LUX
5.1116, 1902, Mar Average, Luxembourg, LUX
8.93777, 1902, Apr Average, Luxembourg, LUX
8.75589, 1902, May Average, Luxembourg, LUX
15.0281, 1902, Jun Average, Luxembourg, LUX
16.3654, 1902, Jul Average, Luxembourg, LUX
15.3398, 1902, Aug Average, Luxembourg, LUX
12.962, 1902, Sep Average, Luxembourg, LUX
7.79798, 1902, Oct Average, Luxembourg, LUX
2.95968, 1902, Nov Average, Luxembourg, LUX
-0.4045, 1902, Dec Average, Luxembourg, LUX
1.15732, 1903, Jan Average, Luxembourg, LUX
4.16074, 1903, Feb Average, Luxembourg, LUX
6.51442, 1903, Mar Average, Luxembourg, LUX
4.92047, 1903, Apr Average, Luxembourg, LUX
12.5712, 1903, May Average, Luxembourg, LUX
14.4, 1903, Jun Average, Luxembourg, LUX
16.1399, 1903, Jul Average, Luxembourg, LUX
15.6699, 1903, Aug Average, Luxembourg, LUX
14.0999, 1903, Sep Average, Luxembourg, LUX
10.3612, 1903, Oct Average, Luxembourg, LUX
4.60555, 1903, Nov Average, Luxembourg, LUX
-0.3558, 1903, Dec Average, Luxembourg, LUX
-0.8879, 1904, Jan Average, Luxembourg, LUX
2.04165, 1904, Feb Average, Luxembourg, LUX
3.55065, 1904, Mar Average, Luxembourg, LUX
9.32507, 1904, Apr Average, Luxembourg, LUX
12.6914, 1904, May Average, Luxembourg, LUX
15.1748, 1904, Jun Average, Luxembourg, LUX
19.138, 1904, Jul Average, Luxembourg, LUX
16.8418, 1904, Aug Average, Luxembourg, LUX
12.0605, 1904, Sep Average, Luxembourg, LUX
8.99443, 1904, Oct Average, Luxembourg, LUX
3.4355, 1904, Nov Average, Luxembourg, LUX
2.85949, 1904, Dec Average, Luxembourg, LUX
-1.0983, 1905, Jan Average, Luxembourg, LUX
2.17771, 1905, Feb Average, Luxembourg, LUX
5.76152, 1905, Mar Average, Luxembourg, LUX
6.9666, 1905, Apr Average, Luxembourg, LUX
11.609, 1905, May Average, Luxembourg, LUX
16.7373, 1905, Jun Average, Luxembourg, LUX
18.6868, 1905, Jul Average, Luxembourg, LUX
16.4378, 1905, Aug Average, Luxembourg, LUX
12.969, 1905, Sep Average, Luxembourg, LUX
5.51635, 1905, Oct Average, Luxembourg, LUX
3.23397, 1905, Nov Average, Luxembourg, LUX
1.34771, 1905, Dec Average, Luxembourg, LUX
1.56369, 1906, Jan Average, Luxembourg, LUX
0.72594, 1906, Feb Average, Luxembourg, LUX
3.7615, 1906, Mar Average, Luxembourg, LUX
7.72907, 1906, Apr Average, Luxembourg, LUX
12.5795, 1906, May Average, Luxembourg, LUX
14.5247, 1906, Jun Average, Luxembourg, LUX
16.8188, 1906, Jul Average, Luxembourg, LUX
17.0846, 1906, Aug Average, Luxembourg, LUX
13.7491, 1906, Sep Average, Luxembourg, LUX
11.34, 1906, Oct Average, Luxembourg, LUX
5.98552, 1906, Nov Average, Luxembourg, LUX
-0.224, 1906, Dec Average, Luxembourg, LUX
0.25913, 1907, Jan Average, Luxembourg, LUX
-0.6119, 1907, Feb Average, Luxembourg, LUX
4.47649, 1907, Mar Average, Luxembourg, LUX
7.37009, 1907, Apr Average, Luxembourg, LUX
12.6833, 1907, May Average, Luxembourg, LUX
14.367, 1907, Jun Average, Luxembourg, LUX
14.7831, 1907, Jul Average, Luxembourg, LUX
16.2748, 1907, Aug Average, Luxembourg, LUX
14.121, 1907, Sep Average, Luxembourg, LUX
10.8219, 1907, Oct Average, Luxembourg, LUX
5.10535, 1907, Nov Average, Luxembourg, LUX
2.58181, 1907, Dec Average, Luxembourg, LUX
-2.2442, 1908, Jan Average, Luxembourg, LUX
2.34104, 1908, Feb Average, Luxembourg, LUX
3.1647, 1908, Mar Average, Luxembourg, LUX
6.08995, 1908, Apr Average, Luxembourg, LUX
13.6054, 1908, May Average, Luxembourg, LUX
16.9299, 1908, Jun Average, Luxembourg, LUX
17.0221, 1908, Jul Average, Luxembourg, LUX
15.0584, 1908, Aug Average, Luxembourg, LUX
13.2439, 1908, Sep Average, Luxembourg, LUX
9.41337, 1908, Oct Average, Luxembourg, LUX
3.13902, 1908, Nov Average, Luxembourg, LUX
0.29676, 1908, Dec Average, Luxembourg, LUX
-0.7685, 1909, Jan Average, Luxembourg, LUX
-0.4452, 1909, Feb Average, Luxembourg, LUX
2.93714, 1909, Mar Average, Luxembourg, LUX
9.13837, 1909, Apr Average, Luxembourg, LUX
11.7011, 1909, May Average, Luxembourg, LUX
13.5888, 1909, Jun Average, Luxembourg, LUX
14.8263, 1909, Jul Average, Luxembourg, LUX
16.7086, 1909, Aug Average, Luxembourg, LUX
