Temperature - (Celsius), Year, Statistics, Country, ISO3
-5.0321, 1901, Jan Average, Latvia, LVA
-7.285, 1901, Feb Average, Latvia, LVA
-2.5312, 1901, Mar Average, Latvia, LVA
4.89707, 1901, Apr Average, Latvia, LVA
11.4375, 1901, May Average, Latvia, LVA
16.8551, 1901, Jun Average, Latvia, LVA
19.1845, 1901, Jul Average, Latvia, LVA
18.154, 1901, Aug Average, Latvia, LVA
12.4454, 1901, Sep Average, Latvia, LVA
8.33347, 1901, Oct Average, Latvia, LVA
-0.2817, 1901, Nov Average, Latvia, LVA
-4.6483, 1901, Dec Average, Latvia, LVA
-2.8653, 1902, Jan Average, Latvia, LVA
-6.1271, 1902, Feb Average, Latvia, LVA
-1.9752, 1902, Mar Average, Latvia, LVA
1.49559, 1902, Apr Average, Latvia, LVA
8.65833, 1902, May Average, Latvia, LVA
13.5904, 1902, Jun Average, Latvia, LVA
14.4527, 1902, Jul Average, Latvia, LVA
13.9596, 1902, Aug Average, Latvia, LVA
10.4155, 1902, Sep Average, Latvia, LVA
4.24726, 1902, Oct Average, Latvia, LVA
-1.407, 1902, Nov Average, Latvia, LVA
-7.9355, 1902, Dec Average, Latvia, LVA
-3.8878, 1903, Jan Average, Latvia, LVA
-1.0995, 1903, Feb Average, Latvia, LVA
2.55834, 1903, Mar Average, Latvia, LVA
5.83658, 1903, Apr Average, Latvia, LVA
11.7012, 1903, May Average, Latvia, LVA
16.2318, 1903, Jun Average, Latvia, LVA
16.6588, 1903, Jul Average, Latvia, LVA
14.6421, 1903, Aug Average, Latvia, LVA
12.6794, 1903, Sep Average, Latvia, LVA
3.88755, 1903, Oct Average, Latvia, LVA
1.66361, 1903, Nov Average, Latvia, LVA
-3.1178, 1903, Dec Average, Latvia, LVA
-3.7898, 1904, Jan Average, Latvia, LVA
-4.3299, 1904, Feb Average, Latvia, LVA
-3.48, 1904, Mar Average, Latvia, LVA
4.84603, 1904, Apr Average, Latvia, LVA
8.38521, 1904, May Average, Latvia, LVA
12.5923, 1904, Jun Average, Latvia, LVA
14.6022, 1904, Jul Average, Latvia, LVA
14.8719, 1904, Aug Average, Latvia, LVA
10.903, 1904, Sep Average, Latvia, LVA
6.64085, 1904, Oct Average, Latvia, LVA
-0.0906, 1904, Nov Average, Latvia, LVA
-2.9455, 1904, Dec Average, Latvia, LVA
-7.3636, 1905, Jan Average, Latvia, LVA
-3.0886, 1905, Feb Average, Latvia, LVA
-0.4883, 1905, Mar Average, Latvia, LVA
3.45096, 1905, Apr Average, Latvia, LVA
11.7243, 1905, May Average, Latvia, LVA
17.5119, 1905, Jun Average, Latvia, LVA
16.8973, 1905, Jul Average, Latvia, LVA
15.796, 1905, Aug Average, Latvia, LVA
11.0974, 1905, Sep Average, Latvia, LVA
4.32194, 1905, Oct Average, Latvia, LVA
1.4716, 1905, Nov Average, Latvia, LVA
-2.618, 1905, Dec Average, Latvia, LVA
-3.5283, 1906, Jan Average, Latvia, LVA
-3.2702, 1906, Feb Average, Latvia, LVA
-1.6863, 1906, Mar Average, Latvia, LVA
6.77462, 1906, Apr Average, Latvia, LVA
15.057, 1906, May Average, Latvia, LVA
15.2108, 1906, Jun Average, Latvia, LVA
17.7258, 1906, Jul Average, Latvia, LVA
15.0885, 1906, Aug Average, Latvia, LVA
10.3105, 1906, Sep Average, Latvia, LVA
5.89205, 1906, Oct Average, Latvia, LVA
3.14315, 1906, Nov Average, Latvia, LVA
-4.7039, 1906, Dec Average, Latvia, LVA
-7.973, 1907, Jan Average, Latvia, LVA
-5.9165, 1907, Feb Average, Latvia, LVA
-2.0525, 1907, Mar Average, Latvia, LVA
3.48106, 1907, Apr Average, Latvia, LVA
10.0643, 1907, May Average, Latvia, LVA
14.3507, 1907, Jun Average, Latvia, LVA
16.0135, 1907, Jul Average, Latvia, LVA
13.7232, 1907, Aug Average, Latvia, LVA
11.0765, 1907, Sep Average, Latvia, LVA
9.94107, 1907, Oct Average, Latvia, LVA
-0.3038, 1907, Nov Average, Latvia, LVA
-8.905, 1907, Dec Average, Latvia, LVA
-4.3954, 1908, Jan Average, Latvia, LVA
-3.247, 1908, Feb Average, Latvia, LVA
-2.7565, 1908, Mar Average, Latvia, LVA
4.15173, 1908, Apr Average, Latvia, LVA
9.55335, 1908, May Average, Latvia, LVA
14.2096, 1908, Jun Average, Latvia, LVA
16.9897, 1908, Jul Average, Latvia, LVA
15.5657, 1908, Aug Average, Latvia, LVA
10.9192, 1908, Sep Average, Latvia, LVA
5.83296, 1908, Oct Average, Latvia, LVA
-2.1772, 1908, Nov Average, Latvia, LVA
-4.3114, 1908, Dec Average, Latvia, LVA
-4.854, 1909, Jan Average, Latvia, LVA
-8.9101, 1909, Feb Average, Latvia, LVA
-2.3524, 1909, Mar Average, Latvia, LVA
2.02111, 1909, Apr Average, Latvia, LVA
7.1715, 1909, May Average, Latvia, LVA
14.2126, 1909, Jun Average, Latvia, LVA
15.1175, 1909, Jul Average, Latvia, LVA
15.5864, 1909, Aug Average, Latvia, LVA
13.1866, 1909, Sep Average, Latvia, LVA
