Temperature - (Celsius), Year, Statistics, Country, ISO3
10.137, 1901, Jan Average, Morocco, MAR
10.2878, 1901, Feb Average, Morocco, MAR
12.6469, 1901, Mar Average, Morocco, MAR
17.3484, 1901, Apr Average, Morocco, MAR
19.5542, 1901, May Average, Morocco, MAR
24.8406, 1901, Jun Average, Morocco, MAR
26.3831, 1901, Jul Average, Morocco, MAR
27.4503, 1901, Aug Average, Morocco, MAR
21.8103, 1901, Sep Average, Morocco, MAR
16.4779, 1901, Oct Average, Morocco, MAR
13.1406, 1901, Nov Average, Morocco, MAR
9.07335, 1901, Dec Average, Morocco, MAR
9.51657, 1902, Jan Average, Morocco, MAR
11.526, 1902, Feb Average, Morocco, MAR
13.6142, 1902, Mar Average, Morocco, MAR
15.9042, 1902, Apr Average, Morocco, MAR
17.8265, 1902, May Average, Morocco, MAR
21.4206, 1902, Jun Average, Morocco, MAR
25.9463, 1902, Jul Average, Morocco, MAR
26.31, 1902, Aug Average, Morocco, MAR
22.2562, 1902, Sep Average, Morocco, MAR
16.862, 1902, Oct Average, Morocco, MAR
13.9776, 1902, Nov Average, Morocco, MAR
10.1644, 1902, Dec Average, Morocco, MAR
9.67449, 1903, Jan Average, Morocco, MAR
11.3401, 1903, Feb Average, Morocco, MAR
13.3544, 1903, Mar Average, Morocco, MAR
15.6832, 1903, Apr Average, Morocco, MAR
17.8915, 1903, May Average, Morocco, MAR
21.8533, 1903, Jun Average, Morocco, MAR
25.788, 1903, Jul Average, Morocco, MAR
25.9819, 1903, Aug Average, Morocco, MAR
21.7527, 1903, Sep Average, Morocco, MAR
18.2093, 1903, Oct Average, Morocco, MAR
14.0026, 1903, Nov Average, Morocco, MAR
9.13286, 1903, Dec Average, Morocco, MAR
8.97474, 1904, Jan Average, Morocco, MAR
10.8525, 1904, Feb Average, Morocco, MAR
11.9449, 1904, Mar Average, Morocco, MAR
15.395, 1904, Apr Average, Morocco, MAR
19.4927, 1904, May Average, Morocco, MAR
22.6755, 1904, Jun Average, Morocco, MAR
26.3725, 1904, Jul Average, Morocco, MAR
26.6499, 1904, Aug Average, Morocco, MAR
21.9061, 1904, Sep Average, Morocco, MAR
18.6584, 1904, Oct Average, Morocco, MAR
13.8383, 1904, Nov Average, Morocco, MAR
11.1814, 1904, Dec Average, Morocco, MAR
9.03318, 1905, Jan Average, Morocco, MAR
9.66502, 1905, Feb Average, Morocco, MAR
13.8953, 1905, Mar Average, Morocco, MAR
16.3215, 1905, Apr Average, Morocco, MAR
18.4247, 1905, May Average, Morocco, MAR
22.1415, 1905, Jun Average, Morocco, MAR
26.0306, 1905, Jul Average, Morocco, MAR
25.9151, 1905, Aug Average, Morocco, MAR
21.7196, 1905, Sep Average, Morocco, MAR
17.2457, 1905, Oct Average, Morocco, MAR
12.7075, 1905, Nov Average, Morocco, MAR
9.96583, 1905, Dec Average, Morocco, MAR
9.80771, 1906, Jan Average, Morocco, MAR
9.63717, 1906, Feb Average, Morocco, MAR
12.7572, 1906, Mar Average, Morocco, MAR
14.2936, 1906, Apr Average, Morocco, MAR
18.2534, 1906, May Average, Morocco, MAR
23.0679, 1906, Jun Average, Morocco, MAR
25.8767, 1906, Jul Average, Morocco, MAR
26.6011, 1906, Aug Average, Morocco, MAR
22.6969, 1906, Sep Average, Morocco, MAR
18.2612, 1906, Oct Average, Morocco, MAR
13.4444, 1906, Nov Average, Morocco, MAR
9.31941, 1906, Dec Average, Morocco, MAR
8.61095, 1907, Jan Average, Morocco, MAR
9.31596, 1907, Feb Average, Morocco, MAR
12.8924, 1907, Mar Average, Morocco, MAR
15.0199, 1907, Apr Average, Morocco, MAR
17.8011, 1907, May Average, Morocco, MAR
22.5497, 1907, Jun Average, Morocco, MAR
24.5741, 1907, Jul Average, Morocco, MAR
26.1591, 1907, Aug Average, Morocco, MAR
22.8601, 1907, Sep Average, Morocco, MAR
16.5806, 1907, Oct Average, Morocco, MAR
13.3908, 1907, Nov Average, Morocco, MAR
11.0643, 1907, Dec Average, Morocco, MAR
9.86121, 1908, Jan Average, Morocco, MAR
10.2855, 1908, Feb Average, Morocco, MAR
11.6101, 1908, Mar Average, Morocco, MAR
13.7808, 1908, Apr Average, Morocco, MAR
19.2586, 1908, May Average, Morocco, MAR
21.3251, 1908, Jun Average, Morocco, MAR
25.3923, 1908, Jul Average, Morocco, MAR
25.6414, 1908, Aug Average, Morocco, MAR
23.0519, 1908, Sep Average, Morocco, MAR
18.4148, 1908, Oct Average, Morocco, MAR
14.5909, 1908, Nov Average, Morocco, MAR
10.7425, 1908, Dec Average, Morocco, MAR
8.57524, 1909, Jan Average, Morocco, MAR
9.59524, 1909, Feb Average, Morocco, MAR
12.5794, 1909, Mar Average, Morocco, MAR
15.7867, 1909, Apr Average, Morocco, MAR
19.1707, 1909, May Average, Morocco, MAR
20.8598, 1909, Jun Average, Morocco, MAR
25.3684, 1909, Jul Average, Morocco, MAR
25.5327, 1909, Aug Average, Morocco, MAR
21.1093, 1909, Sep Average, Morocco, MAR
18.3283, 1909, Oct Average, Morocco, MAR
13.7256, 1909, Nov Average, Morocco, MAR
11.4737, 1909, Dec Average, Morocco, MAR
9.43923, 1910, Jan Average, Morocco, MAR
11.4438, 1910, Feb Average, Morocco, MAR
11.846, 1910, Mar Average, Morocco, MAR
14.8988, 1910, Apr Average, Morocco, MAR
17.4117, 1910, May Average, Morocco, MAR
21.8165, 1910, Jun Average, Morocco, MAR
25.1265, 1910, Jul Average, Morocco, MAR
25.1059, 1910, Aug Average, Morocco, MAR
22.1183, 1910, Sep Average, Morocco, MAR
18.1064, 1910, Oct Average, Morocco, MAR
13.9626, 1910, Nov Average, Morocco, MAR
10.9027, 1910, Dec Average, Morocco, MAR
7.6202, 1911, Jan Average, Morocco, MAR
10.6016, 1911, Feb Average, Morocco, MAR
11.2538, 1911, Mar Average, Morocco, MAR
14.6933, 1911, Apr Average, Morocco, MAR
17.9486, 1911, May Average, Morocco, MAR
22.2314, 1911, Jun Average, Morocco, MAR
25.1211, 1911, Jul Average, Morocco, MAR
26.3389, 1911, Aug Average, Morocco, MAR
24.0431, 1911, Sep Average, Morocco, MAR
17.361, 1911, Oct Average, Morocco, MAR
12.9038, 1911, Nov Average, Morocco, MAR
11.4751, 1911, Dec Average, Morocco, MAR
9.20237, 1912, Jan Average, Morocco, MAR
12.9706, 1912, Feb Average, Morocco, MAR
14.086, 1912, Mar Average, Morocco, MAR
14.5572, 1912, Apr Average, Morocco, MAR
20.001, 1912, May Average, Morocco, MAR
22.67, 1912, Jun Average, Morocco, MAR
22.8384, 1912, Jul Average, Morocco, MAR
24.4462, 1912, Aug Average, Morocco, MAR
21.3857, 1912, Sep Average, Morocco, MAR
17.0024, 1912, Oct Average, Morocco, MAR
12.9329, 1912, Nov Average, Morocco, MAR
9.41898, 1912, Dec Average, Morocco, MAR
10.2974, 1913, Jan Average, Morocco, MAR
11.0098, 1913, Feb Average, Morocco, MAR
12.7654, 1913, Mar Average, Morocco, MAR
14.3892, 1913, Apr Average, Morocco, MAR
18.539, 1913, May Average, Morocco, MAR
23.659, 1913, Jun Average, Morocco, MAR
24.9426, 1913, Jul Average, Morocco, MAR
24.2115, 1913, Aug Average, Morocco, MAR
20.413, 1913, Sep Average, Morocco, MAR
18.0144, 1913, Oct Average, Morocco, MAR
13.4922, 1913, Nov Average, Morocco, MAR
10.0764, 1913, Dec Average, Morocco, MAR
7.8846, 1914, Jan Average, Morocco, MAR
10.203, 1914, Feb Average, Morocco, MAR
12.7092, 1914, Mar Average, Morocco, MAR
15.4286, 1914, Apr Average, Morocco, MAR
18.8979, 1914, May Average, Morocco, MAR
20.7472, 1914, Jun Average, Morocco, MAR
24.7331, 1914, Jul Average, Morocco, MAR
25.4092, 1914, Aug Average, Morocco, MAR
22.4089, 1914, Sep Average, Morocco, MAR
17.5081, 1914, Oct Average, Morocco, MAR
12.9307, 1914, Nov Average, Morocco, MAR
10.1318, 1914, Dec Average, Morocco, MAR
8.58227, 1915, Jan Average, Morocco, MAR
10.1209, 1915, Feb Average, Morocco, MAR
13.1471, 1915, Mar Average, Morocco, MAR
13.7536, 1915, Apr Average, Morocco, MAR
18.7622, 1915, May Average, Morocco, MAR
22.1079, 1915, Jun Average, Morocco, MAR
26.6523, 1915, Jul Average, Morocco, MAR
26.5744, 1915, Aug Average, Morocco, MAR
22.2647, 1915, Sep Average, Morocco, MAR
16.6142, 1915, Oct Average, Morocco, MAR
13.3169, 1915, Nov Average, Morocco, MAR
10.7508, 1915, Dec Average, Morocco, MAR
8.91536, 1916, Jan Average, Morocco, MAR
9.96882, 1916, Feb Average, Morocco, MAR
11.4507, 1916, Mar Average, Morocco, MAR
14.4947, 1916, Apr Average, Morocco, MAR
18.6392, 1916, May Average, Morocco, MAR
21.8766, 1916, Jun Average, Morocco, MAR
25.2714, 1916, Jul Average, Morocco, MAR
26.0417, 1916, Aug Average, Morocco, MAR
22.0592, 1916, Sep Average, Morocco, MAR
18.3661, 1916, Oct Average, Morocco, MAR
13.7023, 1916, Nov Average, Morocco, MAR
10.567, 1916, Dec Average, Morocco, MAR
8.2463, 1917, Jan Average, Morocco, MAR
9.61787, 1917, Feb Average, Morocco, MAR
11.4742, 1917, Mar Average, Morocco, MAR
13.878, 1917, Apr Average, Morocco, MAR
18.4779, 1917, May Average, Morocco, MAR
22.0426, 1917, Jun Average, Morocco, MAR
26.6976, 1917, Jul Average, Morocco, MAR
25.3302, 1917, Aug Average, Morocco, MAR
23.5766, 1917, Sep Average, Morocco, MAR
16.5129, 1917, Oct Average, Morocco, MAR
12.7883, 1917, Nov Average, Morocco, MAR
8.198, 1917, Dec Average, Morocco, MAR
10.0576, 1918, Jan Average, Morocco, MAR
10.1722, 1918, Feb Average, Morocco, MAR
11.5148, 1918, Mar Average, Morocco, MAR
13.4668, 1918, Apr Average, Morocco, MAR
18.3869, 1918, May Average, Morocco, MAR
22.6202, 1918, Jun Average, Morocco, MAR
25.6764, 1918, Jul Average, Morocco, MAR
26.0594, 1918, Aug Average, Morocco, MAR
22.2948, 1918, Sep Average, Morocco, MAR
15.4256, 1918, Oct Average, Morocco, MAR
12.9131, 1918, Nov Average, Morocco, MAR
10.3063, 1918, Dec Average, Morocco, MAR
8.72355, 1919, Jan Average, Morocco, MAR
12.2265, 1919, Feb Average, Morocco, MAR
12.7058, 1919, Mar Average, Morocco, MAR
14.1662, 1919, Apr Average, Morocco, MAR
18.485, 1919, May Average, Morocco, MAR
22.9056, 1919, Jun Average, Morocco, MAR
24.7818, 1919, Jul Average, Morocco, MAR
27.3029, 1919, Aug Average, Morocco, MAR
22.5436, 1919, Sep Average, Morocco, MAR
16.4614, 1919, Oct Average, Morocco, MAR
12.5627, 1919, Nov Average, Morocco, MAR
8.70212, 1919, Dec Average, Morocco, MAR
9.07566, 1920, Jan Average, Morocco, MAR
10.5738, 1920, Feb Average, Morocco, MAR
12.4302, 1920, Mar Average, Morocco, MAR
16.1649, 1920, Apr Average, Morocco, MAR
19.1397, 1920, May Average, Morocco, MAR
22.5302, 1920, Jun Average, Morocco, MAR
25.4037, 1920, Jul Average, Morocco, MAR
25.6009, 1920, Aug Average, Morocco, MAR
22.5554, 1920, Sep Average, Morocco, MAR
16.9467, 1920, Oct Average, Morocco, MAR
12.9034, 1920, Nov Average, Morocco, MAR
9.80685, 1920, Dec Average, Morocco, MAR
9.41423, 1921, Jan Average, Morocco, MAR
10.2893, 1921, Feb Average, Morocco, MAR
12.2857, 1921, Mar Average, Morocco, MAR
14.5467, 1921, Apr Average, Morocco, MAR
18.207, 1921, May Average, Morocco, MAR
22.0413, 1921, Jun Average, Morocco, MAR
26.6166, 1921, Jul Average, Morocco, MAR
25.6875, 1921, Aug Average, Morocco, MAR
22.5642, 1921, Sep Average, Morocco, MAR
18.987, 1921, Oct Average, Morocco, MAR
12.829, 1921, Nov Average, Morocco, MAR
8.67799, 1921, Dec Average, Morocco, MAR
8.96685, 1922, Jan Average, Morocco, MAR
10.4507, 1922, Feb Average, Morocco, MAR
11.7121, 1922, Mar Average, Morocco, MAR
15.2923, 1922, Apr Average, Morocco, MAR
19.9175, 1922, May Average, Morocco, MAR
21.84, 1922, Jun Average, Morocco, MAR
26.093, 1922, Jul Average, Morocco, MAR
26.2263, 1922, Aug Average, Morocco, MAR
21.3554, 1922, Sep Average, Morocco, MAR
18.208, 1922, Oct Average, Morocco, MAR
13.218, 1922, Nov Average, Morocco, MAR
8.88194, 1922, Dec Average, Morocco, MAR
7.04089, 1923, Jan Average, Morocco, MAR
11.098, 1923, Feb Average, Morocco, MAR
13.3705, 1923, Mar Average, Morocco, MAR
13.3582, 1923, Apr Average, Morocco, MAR
19.0178, 1923, May Average, Morocco, MAR
22.0472, 1923, Jun Average, Morocco, MAR
26.2684, 1923, Jul Average, Morocco, MAR
27.6023, 1923, Aug Average, Morocco, MAR
21.9198, 1923, Sep Average, Morocco, MAR
20.3229, 1923, Oct Average, Morocco, MAR
14.1435, 1923, Nov Average, Morocco, MAR
8.1533, 1923, Dec Average, Morocco, MAR
8.94746, 1924, Jan Average, Morocco, MAR
9.26283, 1924, Feb Average, Morocco, MAR
13.3108, 1924, Mar Average, Morocco, MAR
15.8844, 1924, Apr Average, Morocco, MAR
21.1121, 1924, May Average, Morocco, MAR
24.1632, 1924, Jun Average, Morocco, MAR
27.4132, 1924, Jul Average, Morocco, MAR
25.8957, 1924, Aug Average, Morocco, MAR
22.5413, 1924, Sep Average, Morocco, MAR
17.9617, 1924, Oct Average, Morocco, MAR
13.5102, 1924, Nov Average, Morocco, MAR
10.0834, 1924, Dec Average, Morocco, MAR
8.49901, 1925, Jan Average, Morocco, MAR
10.0741, 1925, Feb Average, Morocco, MAR
10.8718, 1925, Mar Average, Morocco, MAR
14.6449, 1925, Apr Average, Morocco, MAR
18.3204, 1925, May Average, Morocco, MAR
21.8065, 1925, Jun Average, Morocco, MAR
24.6307, 1925, Jul Average, Morocco, MAR
27.2112, 1925, Aug Average, Morocco, MAR
22.7039, 1925, Sep Average, Morocco, MAR
17.473, 1925, Oct Average, Morocco, MAR
