Temperature - (Celsius), Year, Statistics, Country, ISO3
1.27, 1901, Jan Average, Monaco, MCO
-2.26, 1901, Feb Average, Monaco, MCO
2.67166, 1901, Mar Average, Monaco, MCO
7.8, 1901, Apr Average, Monaco, MCO
11.005, 1901, May Average, Monaco, MCO
15.8833, 1901, Jun Average, Monaco, MCO
17.1683, 1901, Jul Average, Monaco, MCO
16.715, 1901, Aug Average, Monaco, MCO
14.395, 1901, Sep Average, Monaco, MCO
9.95833, 1901, Oct Average, Monaco, MCO
4.16666, 1901, Nov Average, Monaco, MCO
2.82333, 1901, Dec Average, Monaco, MCO
2.78166, 1902, Jan Average, Monaco, MCO
2.36166, 1902, Feb Average, Monaco, MCO
5.19666, 1902, Mar Average, Monaco, MCO
9.22833, 1902, Apr Average, Monaco, MCO
7.885, 1902, May Average, Monaco, MCO
13.49, 1902, Jun Average, Monaco, MCO
17.535, 1902, Jul Average, Monaco, MCO
16.7683, 1902, Aug Average, Monaco, MCO
13.9883, 1902, Sep Average, Monaco, MCO
9.36333, 1902, Oct Average, Monaco, MCO
4.96166, 1902, Nov Average, Monaco, MCO
2.965, 1902, Dec Average, Monaco, MCO
2.055, 1903, Jan Average, Monaco, MCO
3.51, 1903, Feb Average, Monaco, MCO
5.435, 1903, Mar Average, Monaco, MCO
4.90166, 1903, Apr Average, Monaco, MCO
10.8133, 1903, May Average, Monaco, MCO
13.135, 1903, Jun Average, Monaco, MCO
16.255, 1903, Jul Average, Monaco, MCO
17.03, 1903, Aug Average, Monaco, MCO
14.415, 1903, Sep Average, Monaco, MCO
10.965, 1903, Oct Average, Monaco, MCO
5.95166, 1903, Nov Average, Monaco, MCO
2.92833, 1903, Dec Average, Monaco, MCO
2.26333, 1904, Jan Average, Monaco, MCO
3.08833, 1904, Feb Average, Monaco, MCO
4.28, 1904, Mar Average, Monaco, MCO
8.915, 1904, Apr Average, Monaco, MCO
12.3983, 1904, May Average, Monaco, MCO
15.8633, 1904, Jun Average, Monaco, MCO
19.4983, 1904, Jul Average, Monaco, MCO
