Temperature - (Celsius), Year, Statistics, Country, ISO3
-5.7004, 1901, Jan Average, Moldova, MDA
-2.895, 1901, Feb Average, Moldova, MDA
4.09196, 1901, Mar Average, Moldova, MDA
9.84682, 1901, Apr Average, Moldova, MDA
16.682, 1901, May Average, Moldova, MDA
21.9805, 1901, Jun Average, Moldova, MDA
21.8393, 1901, Jul Average, Moldova, MDA
20.9504, 1901, Aug Average, Moldova, MDA
15.2606, 1901, Sep Average, Moldova, MDA
10.2432, 1901, Oct Average, Moldova, MDA
2.25513, 1901, Nov Average, Moldova, MDA
2.49089, 1901, Dec Average, Moldova, MDA
0.82317, 1902, Jan Average, Moldova, MDA
0.03844, 1902, Feb Average, Moldova, MDA
2.65438, 1902, Mar Average, Moldova, MDA
8.16853, 1902, Apr Average, Moldova, MDA
13.6622, 1902, May Average, Moldova, MDA
19.8004, 1902, Jun Average, Moldova, MDA
19.7398, 1902, Jul Average, Moldova, MDA
20.8322, 1902, Aug Average, Moldova, MDA
15.377, 1902, Sep Average, Moldova, MDA
9.30979, 1902, Oct Average, Moldova, MDA
-1.419, 1902, Nov Average, Moldova, MDA
-6.5948, 1902, Dec Average, Moldova, MDA
-3.5262, 1903, Jan Average, Moldova, MDA
1.00531, 1903, Feb Average, Moldova, MDA
4.4572, 1903, Mar Average, Moldova, MDA
9.59597, 1903, Apr Average, Moldova, MDA
16.1569, 1903, May Average, Moldova, MDA
19.5384, 1903, Jun Average, Moldova, MDA
21.3367, 1903, Jul Average, Moldova, MDA
20.5368, 1903, Aug Average, Moldova, MDA
16.7778, 1903, Sep Average, Moldova, MDA
10.2569, 1903, Oct Average, Moldova, MDA
5.08167, 1903, Nov Average, Moldova, MDA
-0.993, 1903, Dec Average, Moldova, MDA
-5.7488, 1904, Jan Average, Moldova, MDA
1.34761, 1904, Feb Average, Moldova, MDA
0.76352, 1904, Mar Average, Moldova, MDA
8.75242, 1904, Apr Average, Moldova, MDA
14.6245, 1904, May Average, Moldova, MDA
19.02, 1904, Jun Average, Moldova, MDA
21.1621, 1904, Jul Average, Moldova, MDA
20.6598, 1904, Aug Average, Moldova, MDA
14.7623, 1904, Sep Average, Moldova, MDA
10.5944, 1904, Oct Average, Moldova, MDA
1.81038, 1904, Nov Average, Moldova, MDA
0.22202, 1904, Dec Average, Moldova, MDA
-6.3315, 1905, Jan Average, Moldova, MDA
-2.3966, 1905, Feb Average, Moldova, MDA
1.79971, 1905, Mar Average, Moldova, MDA
8.43979, 1905, Apr Average, Moldova, MDA
16.5056, 1905, May Average, Moldova, MDA
20.2397, 1905, Jun Average, Moldova, MDA
22.4038, 1905, Jul Average, Moldova, MDA
22.8152, 1905, Aug Average, Moldova, MDA
17.1942, 1905, Sep Average, Moldova, MDA
9.41505, 1905, Oct Average, Moldova, MDA
6.55441, 1905, Nov Average, Moldova, MDA
-1.4853, 1905, Dec Average, Moldova, MDA
-2.5897, 1906, Jan Average, Moldova, MDA
-0.9549, 1906, Feb Average, Moldova, MDA
5.2706, 1906, Mar Average, Moldova, MDA
11.1341, 1906, Apr Average, Moldova, MDA
17.6079, 1906, May Average, Moldova, MDA
20.4344, 1906, Jun Average, Moldova, MDA
21.3792, 1906, Jul Average, Moldova, MDA
19.3122, 1906, Aug Average, Moldova, MDA
14.7493, 1906, Sep Average, Moldova, MDA
8.23225, 1906, Oct Average, Moldova, MDA
5.76731, 1906, Nov Average, Moldova, MDA
-1.034, 1906, Dec Average, Moldova, MDA
-5.7896, 1907, Jan Average, Moldova, MDA
-5.644, 1907, Feb Average, Moldova, MDA
-0.8133, 1907, Mar Average, Moldova, MDA
7.11584, 1907, Apr Average, Moldova, MDA
19.2073, 1907, May Average, Moldova, MDA
19.6392, 1907, Jun Average, Moldova, MDA
20.7433, 1907, Jul Average, Moldova, MDA
20.3272, 1907, Aug Average, Moldova, MDA
15.6264, 1907, Sep Average, Moldova, MDA
12.5099, 1907, Oct Average, Moldova, MDA
0.69907, 1907, Nov Average, Moldova, MDA
-1.231, 1907, Dec Average, Moldova, MDA
-2.9215, 1908, Jan Average, Moldova, MDA
-0.0942, 1908, Feb Average, Moldova, MDA
2.56362, 1908, Mar Average, Moldova, MDA
8.62206, 1908, Apr Average, Moldova, MDA
17.4203, 1908, May Average, Moldova, MDA
19.923, 1908, Jun Average, Moldova, MDA
20.9719, 1908, Jul Average, Moldova, MDA
19.8877, 1908, Aug Average, Moldova, MDA
14.9407, 1908, Sep Average, Moldova, MDA
8.03874, 1908, Oct Average, Moldova, MDA
-1.2998, 1908, Nov Average, Moldova, MDA
-3.6003, 1908, Dec Average, Moldova, MDA
-7.0155, 1909, Jan Average, Moldova, MDA
-6.7021, 1909, Feb Average, Moldova, MDA
2.106, 1909, Mar Average, Moldova, MDA
8.74875, 1909, Apr Average, Moldova, MDA
15.3356, 1909, May Average, Moldova, MDA
19.1782, 1909, Jun Average, Moldova, MDA
21.7815, 1909, Jul Average, Moldova, MDA
22.1225, 1909, Aug Average, Moldova, MDA
19.1718, 1909, Sep Average, Moldova, MDA
12.3691, 1909, Oct Average, Moldova, MDA
3.71369, 1909, Nov Average, Moldova, MDA
1.4924, 1909, Dec Average, Moldova, MDA
-1.5012, 1910, Jan Average, Moldova, MDA
2.02223, 1910, Feb Average, Moldova, MDA
3.4706, 1910, Mar Average, Moldova, MDA
10.3888, 1910, Apr Average, Moldova, MDA
16.6257, 1910, May Average, Moldova, MDA
20.419, 1910, Jun Average, Moldova, MDA
20.9381, 1910, Jul Average, Moldova, MDA
20.07, 1910, Aug Average, Moldova, MDA
16.2009, 1910, Sep Average, Moldova, MDA
8.5016, 1910, Oct Average, Moldova, MDA
4.68487, 1910, Nov Average, Moldova, MDA
1.48532, 1910, Dec Average, Moldova, MDA
-3.2258, 1911, Jan Average, Moldova, MDA
-7.3233, 1911, Feb Average, Moldova, MDA
1.57793, 1911, Mar Average, Moldova, MDA
9.39415, 1911, Apr Average, Moldova, MDA
17.235, 1911, May Average, Moldova, MDA
18.4087, 1911, Jun Average, Moldova, MDA
20.5007, 1911, Jul Average, Moldova, MDA
20.4752, 1911, Aug Average, Moldova, MDA
15.4229, 1911, Sep Average, Moldova, MDA
10.8218, 1911, Oct Average, Moldova, MDA
6.05682, 1911, Nov Average, Moldova, MDA
-0.9086, 1911, Dec Average, Moldova, MDA
-6.9746, 1912, Jan Average, Moldova, MDA
-1.2134, 1912, Feb Average, Moldova, MDA
5.38217, 1912, Mar Average, Moldova, MDA
7.95573, 1912, Apr Average, Moldova, MDA
13.7595, 1912, May Average, Moldova, MDA
19.9399, 1912, Jun Average, Moldova, MDA
19.694, 1912, Jul Average, Moldova, MDA
19.7328, 1912, Aug Average, Moldova, MDA
13.9839, 1912, Sep Average, Moldova, MDA
6.39652, 1912, Oct Average, Moldova, MDA
3.0476, 1912, Nov Average, Moldova, MDA
1.54227, 1912, Dec Average, Moldova, MDA
-3.332, 1913, Jan Average, Moldova, MDA
-2.7338, 1913, Feb Average, Moldova, MDA
5.91007, 1913, Mar Average, Moldova, MDA
11.0333, 1913, Apr Average, Moldova, MDA
14.5943, 1913, May Average, Moldova, MDA
17.9133, 1913, Jun Average, Moldova, MDA
19.3912, 1913, Jul Average, Moldova, MDA
19.9688, 1913, Aug Average, Moldova, MDA
16.5319, 1913, Sep Average, Moldova, MDA
9.77497, 1913, Oct Average, Moldova, MDA
5.12595, 1913, Nov Average, Moldova, MDA
1.3776, 1913, Dec Average, Moldova, MDA
-5.0069, 1914, Jan Average, Moldova, MDA
0.76228, 1914, Feb Average, Moldova, MDA
5.52925, 1914, Mar Average, Moldova, MDA
10.879, 1914, Apr Average, Moldova, MDA
15.7617, 1914, May Average, Moldova, MDA
19.3599, 1914, Jun Average, Moldova, MDA
21.5877, 1914, Jul Average, Moldova, MDA
19.459, 1914, Aug Average, Moldova, MDA
