Temperature - (Celsius), Year, Statistics, Country, ISO3
25.7699, 1901, Jan Average, Madagascar, MDG
24.6049, 1901, Feb Average, Madagascar, MDG
24.8626, 1901, Mar Average, Madagascar, MDG
23.1766, 1901, Apr Average, Madagascar, MDG
21.5539, 1901, May Average, Madagascar, MDG
19.9527, 1901, Jun Average, Madagascar, MDG
19.2174, 1901, Jul Average, Madagascar, MDG
18.9828, 1901, Aug Average, Madagascar, MDG
20.8118, 1901, Sep Average, Madagascar, MDG
23.0635, 1901, Oct Average, Madagascar, MDG
25.9895, 1901, Nov Average, Madagascar, MDG
24.0197, 1901, Dec Average, Madagascar, MDG
25.9666, 1902, Jan Average, Madagascar, MDG
24.8046, 1902, Feb Average, Madagascar, MDG
24.086, 1902, Mar Average, Madagascar, MDG
24.2685, 1902, Apr Average, Madagascar, MDG
22.2591, 1902, May Average, Madagascar, MDG
19.9624, 1902, Jun Average, Madagascar, MDG
19.9113, 1902, Jul Average, Madagascar, MDG
19.3692, 1902, Aug Average, Madagascar, MDG
23.299, 1902, Sep Average, Madagascar, MDG
23.7549, 1902, Oct Average, Madagascar, MDG
25.1938, 1902, Nov Average, Madagascar, MDG
24.719, 1902, Dec Average, Madagascar, MDG
25.1725, 1903, Jan Average, Madagascar, MDG
24.5066, 1903, Feb Average, Madagascar, MDG
24.9796, 1903, Mar Average, Madagascar, MDG
24.0759, 1903, Apr Average, Madagascar, MDG
22.7569, 1903, May Average, Madagascar, MDG
21.0578, 1903, Jun Average, Madagascar, MDG
19.1126, 1903, Jul Average, Madagascar, MDG
20.175, 1903, Aug Average, Madagascar, MDG
20.2121, 1903, Sep Average, Madagascar, MDG
22.5635, 1903, Oct Average, Madagascar, MDG
24.4042, 1903, Nov Average, Madagascar, MDG
24.4193, 1903, Dec Average, Madagascar, MDG
24.378, 1904, Jan Average, Madagascar, MDG
24.4055, 1904, Feb Average, Madagascar, MDG
24.4857, 1904, Mar Average, Madagascar, MDG
23.1709, 1904, Apr Average, Madagascar, MDG
