Temperature - (Celsius), Year, Statistics, Country, ISO3
27.1, 1901, Jan Average, Maldives, MDV
28.2, 1901, Feb Average, Maldives, MDV
27.5, 1901, Mar Average, Maldives, MDV
28, 1901, Apr Average, Maldives, MDV
27.9, 1901, May Average, Maldives, MDV
27.4, 1901, Jun Average, Maldives, MDV
27.1, 1901, Jul Average, Maldives, MDV
27.7, 1901, Aug Average, Maldives, MDV
27.8, 1901, Sep Average, Maldives, MDV
27.4, 1901, Oct Average, Maldives, MDV
26.8, 1901, Nov Average, Maldives, MDV
27.2, 1901, Dec Average, Maldives, MDV
26.5, 1902, Jan Average, Maldives, MDV
27.8, 1902, Feb Average, Maldives, MDV
27.9, 1902, Mar Average, Maldives, MDV
28.4, 1902, Apr Average, Maldives, MDV
28.1, 1902, May Average, Maldives, MDV
28.3, 1902, Jun Average, Maldives, MDV
26.9, 1902, Jul Average, Maldives, MDV
27.6, 1902, Aug Average, Maldives, MDV
26.9, 1902, Sep Average, Maldives, MDV
26.7, 1902, Oct Average, Maldives, MDV
27.3, 1902, Nov Average, Maldives, MDV
27.3, 1902, Dec Average, Maldives, MDV
27.7, 1903, Jan Average, Maldives, MDV
28.5, 1903, Feb Average, Maldives, MDV
27.3, 1903, Mar Average, Maldives, MDV
28.3, 1903, Apr Average, Maldives, MDV
27.5, 1903, May Average, Maldives, MDV
27.8, 1903, Jun Average, Maldives, MDV
27.4, 1903, Jul Average, Maldives, MDV
27.1, 1903, Aug Average, Maldives, MDV
27, 1903, Sep Average, Maldives, MDV
27.1, 1903, Oct Average, Maldives, MDV
27.1, 1903, Nov Average, Maldives, MDV
26.6, 1903, Dec Average, Maldives, MDV
26.1, 1904, Jan Average, Maldives, MDV
27.2, 1904, Feb Average, Maldives, MDV
27.1, 1904, Mar Average, Maldives, MDV
28, 1904, Apr Average, Maldives, MDV
27.4, 1904, May Average, Maldives, MDV
26.3, 1904, Jun Average, Maldives, MDV
26.4, 1904, Jul Average, Maldives, MDV
26.9, 1904, Aug Average, Maldives, MDV
26.8, 1904, Sep Average, Maldives, MDV
26.8, 1904, Oct Average, Maldives, MDV
27.2, 1904, Nov Average, Maldives, MDV
26.6, 1904, Dec Average, Maldives, MDV
26.8, 1905, Jan Average, Maldives, MDV
27.6, 1905, Feb Average, Maldives, MDV
27.9, 1905, Mar Average, Maldives, MDV
27.4, 1905, Apr Average, Maldives, MDV
27, 1905, May Average, Maldives, MDV
27.3, 1905, Jun Average, Maldives, MDV
27.6, 1905, Jul Average, Maldives, MDV
27.5, 1905, Aug Average, Maldives, MDV
27, 1905, Sep Average, Maldives, MDV
26.9, 1905, Oct Average, Maldives, MDV
27.5, 1905, Nov Average, Maldives, MDV
27.2, 1905, Dec Average, Maldives, MDV
27.1, 1906, Jan Average, Maldives, MDV
28.4, 1906, Feb Average, Maldives, MDV
28, 1906, Mar Average, Maldives, MDV
28.9, 1906, Apr Average, Maldives, MDV
27.7, 1906, May Average, Maldives, MDV
27.7, 1906, Jun Average, Maldives, MDV
27.1, 1906, Jul Average, Maldives, MDV
26.8, 1906, Aug Average, Maldives, MDV
27.4, 1906, Sep Average, Maldives, MDV
26.7, 1906, Oct Average, Maldives, MDV
26.7, 1906, Nov Average, Maldives, MDV
26.6, 1906, Dec Average, Maldives, MDV
26.7, 1907, Jan Average, Maldives, MDV
27.4, 1907, Feb Average, Maldives, MDV
27.6, 1907, Mar Average, Maldives, MDV
27.6, 1907, Apr Average, Maldives, MDV
27.8, 1907, May Average, Maldives, MDV
27.3, 1907, Jun Average, Maldives, MDV
27, 1907, Jul Average, Maldives, MDV
26.4, 1907, Aug Average, Maldives, MDV
27.2, 1907, Sep Average, Maldives, MDV
26.8, 1907, Oct Average, Maldives, MDV
26.6, 1907, Nov Average, Maldives, MDV
26.5, 1907, Dec Average, Maldives, MDV
26.9, 1908, Jan Average, Maldives, MDV
27.2, 1908, Feb Average, Maldives, MDV
27.3, 1908, Mar Average, Maldives, MDV
28.2, 1908, Apr Average, Maldives, MDV
27.5, 1908, May Average, Maldives, MDV
27.1, 1908, Jun Average, Maldives, MDV
26.9, 1908, Jul Average, Maldives, MDV
