Temperature - (Celsius), Year, Statistics, Country, ISO3
27.21, 1901, Jan Average, Marshall Islands, MHL
27.41, 1901, Feb Average, Marshall Islands, MHL
27.41, 1901, Mar Average, Marshall Islands, MHL
27.4, 1901, Apr Average, Marshall Islands, MHL
27.5, 1901, May Average, Marshall Islands, MHL
27.41, 1901, Jun Average, Marshall Islands, MHL
27.4, 1901, Jul Average, Marshall Islands, MHL
27.51, 1901, Aug Average, Marshall Islands, MHL
27.51, 1901, Sep Average, Marshall Islands, MHL
27.51, 1901, Oct Average, Marshall Islands, MHL
27.41, 1901, Nov Average, Marshall Islands, MHL
27.21, 1901, Dec Average, Marshall Islands, MHL
27.21, 1902, Jan Average, Marshall Islands, MHL
27.41, 1902, Feb Average, Marshall Islands, MHL
27.41, 1902, Mar Average, Marshall Islands, MHL
27.4, 1902, Apr Average, Marshall Islands, MHL
27.5, 1902, May Average, Marshall Islands, MHL
27.41, 1902, Jun Average, Marshall Islands, MHL
27.4, 1902, Jul Average, Marshall Islands, MHL
27.51, 1902, Aug Average, Marshall Islands, MHL
27.51, 1902, Sep Average, Marshall Islands, MHL
27.51, 1902, Oct Average, Marshall Islands, MHL
27.41, 1902, Nov Average, Marshall Islands, MHL
27.21, 1902, Dec Average, Marshall Islands, MHL
27.21, 1903, Jan Average, Marshall Islands, MHL
27.41, 1903, Feb Average, Marshall Islands, MHL
27.41, 1903, Mar Average, Marshall Islands, MHL
27.4, 1903, Apr Average, Marshall Islands, MHL
27.5, 1903, May Average, Marshall Islands, MHL
27.41, 1903, Jun Average, Marshall Islands, MHL
27.4, 1903, Jul Average, Marshall Islands, MHL
27.51, 1903, Aug Average, Marshall Islands, MHL
27.51, 1903, Sep Average, Marshall Islands, MHL
27.51, 1903, Oct Average, Marshall Islands, MHL
27.41, 1903, Nov Average, Marshall Islands, MHL
27.21, 1903, Dec Average, Marshall Islands, MHL
27.21, 1904, Jan Average, Marshall Islands, MHL
