Temperature - (Celsius), Year, Statistics, Country, ISO3
19.0396, 1901, Jan Average, Mali, MLI
23.908, 1901, Feb Average, Mali, MLI
25.8724, 1901, Mar Average, Mali, MLI
29.9306, 1901, Apr Average, Mali, MLI
31.4167, 1901, May Average, Mali, MLI
33.882, 1901, Jun Average, Mali, MLI
32.0003, 1901, Jul Average, Mali, MLI
31.0817, 1901, Aug Average, Mali, MLI
30.6025, 1901, Sep Average, Mali, MLI
29.2751, 1901, Oct Average, Mali, MLI
25.4515, 1901, Nov Average, Mali, MLI
19.7468, 1901, Dec Average, Mali, MLI
19.8296, 1902, Jan Average, Mali, MLI
23.5303, 1902, Feb Average, Mali, MLI
26.8647, 1902, Mar Average, Mali, MLI
31.5988, 1902, Apr Average, Mali, MLI
33.4727, 1902, May Average, Mali, MLI
31.9086, 1902, Jun Average, Mali, MLI
32.1075, 1902, Jul Average, Mali, MLI
31.1089, 1902, Aug Average, Mali, MLI
30.3569, 1902, Sep Average, Mali, MLI
27.9873, 1902, Oct Average, Mali, MLI
26.3722, 1902, Nov Average, Mali, MLI
21.4198, 1902, Dec Average, Mali, MLI
21.1861, 1903, Jan Average, Mali, MLI
24.1883, 1903, Feb Average, Mali, MLI
27.0851, 1903, Mar Average, Mali, MLI
30.4821, 1903, Apr Average, Mali, MLI
32.8337, 1903, May Average, Mali, MLI
33.2285, 1903, Jun Average, Mali, MLI
31.3416, 1903, Jul Average, Mali, MLI
30.1418, 1903, Aug Average, Mali, MLI
30.0819, 1903, Sep Average, Mali, MLI
30.1136, 1903, Oct Average, Mali, MLI
25.379, 1903, Nov Average, Mali, MLI
21.4341, 1903, Dec Average, Mali, MLI
20.6994, 1904, Jan Average, Mali, MLI
22.5834, 1904, Feb Average, Mali, MLI
27.2207, 1904, Mar Average, Mali, MLI
30.2315, 1904, Apr Average, Mali, MLI
33.2931, 1904, May Average, Mali, MLI
33.8032, 1904, Jun Average, Mali, MLI
31.7771, 1904, Jul Average, Mali, MLI
30.7681, 1904, Aug Average, Mali, MLI
31.0647, 1904, Sep Average, Mali, MLI
30.0801, 1904, Oct Average, Mali, MLI
25.9906, 1904, Nov Average, Mali, MLI
22.1073, 1904, Dec Average, Mali, MLI
