Temperature - (Celsius), Year, Statistics, Country, ISO3
11.2644, 1901, Jan Average, Malta, MLT
11.5026, 1901, Feb Average, Malta, MLT
14.5276, 1901, Mar Average, Malta, MLT
16.6905, 1901, Apr Average, Malta, MLT
17.3492, 1901, May Average, Malta, MLT
22.7489, 1901, Jun Average, Malta, MLT
25.9968, 1901, Jul Average, Malta, MLT
25.7533, 1901, Aug Average, Malta, MLT
24.971, 1901, Sep Average, Malta, MLT
20.9113, 1901, Oct Average, Malta, MLT
16.8329, 1901, Nov Average, Malta, MLT
14.3251, 1901, Dec Average, Malta, MLT
12.3231, 1902, Jan Average, Malta, MLT
13.8916, 1902, Feb Average, Malta, MLT
13.8201, 1902, Mar Average, Malta, MLT
16.7906, 1902, Apr Average, Malta, MLT
17.0199, 1902, May Average, Malta, MLT
21.4708, 1902, Jun Average, Malta, MLT
26.2314, 1902, Jul Average, Malta, MLT
26.4968, 1902, Aug Average, Malta, MLT
24.8894, 1902, Sep Average, Malta, MLT
21.1242, 1902, Oct Average, Malta, MLT
16.3948, 1902, Nov Average, Malta, MLT
13.2187, 1902, Dec Average, Malta, MLT
12.5514, 1903, Jan Average, Malta, MLT
11.957, 1903, Feb Average, Malta, MLT
13.608, 1903, Mar Average, Malta, MLT
14.6961, 1903, Apr Average, Malta, MLT
18.6513, 1903, May Average, Malta, MLT
20.8544, 1903, Jun Average, Malta, MLT
24.1173, 1903, Jul Average, Malta, MLT
25.5718, 1903, Aug Average, Malta, MLT
24.171, 1903, Sep Average, Malta, MLT
21.0439, 1903, Oct Average, Malta, MLT
16.2623, 1903, Nov Average, Malta, MLT
14.2633, 1903, Dec Average, Malta, MLT
11.7557, 1904, Jan Average, Malta, MLT
13.5645, 1904, Feb Average, Malta, MLT
13.8201, 1904, Mar Average, Malta, MLT
16.307, 1904, Apr Average, Malta, MLT
19.0587, 1904, May Average, Malta, MLT
23.1728, 1904, Jun Average, Malta, MLT
26.1553, 1904, Jul Average, Malta, MLT
25.1097, 1904, Aug Average, Malta, MLT
23.5091, 1904, Sep Average, Malta, MLT
20.2929, 1904, Oct Average, Malta, MLT
15.0928, 1904, Nov Average, Malta, MLT
12.7557, 1904, Dec Average, Malta, MLT
9.78081, 1905, Jan Average, Malta, MLT
10.157, 1905, Feb Average, Malta, MLT
13.2079, 1905, Mar Average, Malta, MLT
16.0906, 1905, Apr Average, Malta, MLT
18.2383, 1905, May Average, Malta, MLT
21.7708, 1905, Jun Average, Malta, MLT
25.8662, 1905, Jul Average, Malta, MLT
26.3153, 1905, Aug Average, Malta, MLT
25.2731, 1905, Sep Average, Malta, MLT
19.1134, 1905, Oct Average, Malta, MLT
17.6643, 1905, Nov Average, Malta, MLT
13.7067, 1905, Dec Average, Malta, MLT
11.8992, 1906, Jan Average, Malta, MLT
10.8156, 1906, Feb Average, Malta, MLT
13.657, 1906, Mar Average, Malta, MLT
15.0906, 1906, Apr Average, Malta, MLT
17.9383, 1906, May Average, Malta, MLT
21.8708, 1906, Jun Average, Malta, MLT
24.9738, 1906, Jul Average, Malta, MLT
26.0458, 1906, Aug Average, Malta, MLT
23.5874, 1906, Sep Average, Malta, MLT
19.9242, 1906, Oct Average, Malta, MLT
17.3882, 1906, Nov Average, Malta, MLT
12.5122, 1906, Dec Average, Malta, MLT
10.2393, 1907, Jan Average, Malta, MLT
10.3135, 1907, Feb Average, Malta, MLT
11.1201, 1907, Mar Average, Malta, MLT
14.6797, 1907, Apr Average, Malta, MLT
18.5717, 1907, May Average, Malta, MLT
21.5347, 1907, Jun Average, Malta, MLT
24.6478, 1907, Jul Average, Malta, MLT
26.0478, 1907, Aug Average, Malta, MLT
23.8654, 1907, Sep Average, Malta, MLT
22.0297, 1907, Oct Average, Malta, MLT
17.5983, 1907, Nov Average, Malta, MLT
14.4046, 1907, Dec Average, Malta, MLT
12.1373, 1908, Jan Average, Malta, MLT
11.8461, 1908, Feb Average, Malta, MLT
