Temperature - (Celsius), Year, Statistics, Country, ISO3
17.8528, 1901, Jan Average, Myanmar (Burma), MMR
19.5514, 1901, Feb Average, Myanmar (Burma), MMR
22.4127, 1901, Mar Average, Myanmar (Burma), MMR
26.0231, 1901, Apr Average, Myanmar (Burma), MMR
25.5281, 1901, May Average, Myanmar (Burma), MMR
25.7063, 1901, Jun Average, Myanmar (Burma), MMR
25.3808, 1901, Jul Average, Myanmar (Burma), MMR
25.0104, 1901, Aug Average, Myanmar (Burma), MMR
24.3361, 1901, Sep Average, Myanmar (Burma), MMR
24.3498, 1901, Oct Average, Myanmar (Burma), MMR
20.6677, 1901, Nov Average, Myanmar (Burma), MMR
17.9601, 1901, Dec Average, Myanmar (Burma), MMR
17.8632, 1902, Jan Average, Myanmar (Burma), MMR
18.6273, 1902, Feb Average, Myanmar (Burma), MMR
22.9404, 1902, Mar Average, Myanmar (Burma), MMR
24.888, 1902, Apr Average, Myanmar (Burma), MMR
25.3623, 1902, May Average, Myanmar (Burma), MMR
25.1666, 1902, Jun Average, Myanmar (Burma), MMR
24.8643, 1902, Jul Average, Myanmar (Burma), MMR
24.7005, 1902, Aug Average, Myanmar (Burma), MMR
24.5618, 1902, Sep Average, Myanmar (Burma), MMR
23.5089, 1902, Oct Average, Myanmar (Burma), MMR
20.8171, 1902, Nov Average, Myanmar (Burma), MMR
18.2223, 1902, Dec Average, Myanmar (Burma), MMR
17.3214, 1903, Jan Average, Myanmar (Burma), MMR
18.9447, 1903, Feb Average, Myanmar (Burma), MMR
22.3269, 1903, Mar Average, Myanmar (Burma), MMR
25.9483, 1903, Apr Average, Myanmar (Burma), MMR
26.0375, 1903, May Average, Myanmar (Burma), MMR
24.9312, 1903, Jun Average, Myanmar (Burma), MMR
25.289, 1903, Jul Average, Myanmar (Burma), MMR
24.3204, 1903, Aug Average, Myanmar (Burma), MMR
24.7111, 1903, Sep Average, Myanmar (Burma), MMR
24.2981, 1903, Oct Average, Myanmar (Burma), MMR
20.9031, 1903, Nov Average, Myanmar (Burma), MMR
17.3439, 1903, Dec Average, Myanmar (Burma), MMR
16.9874, 1904, Jan Average, Myanmar (Burma), MMR
18.8432, 1904, Feb Average, Myanmar (Burma), MMR
22.5675, 1904, Mar Average, Myanmar (Burma), MMR
24.5202, 1904, Apr Average, Myanmar (Burma), MMR
25.1847, 1904, May Average, Myanmar (Burma), MMR
25.0842, 1904, Jun Average, Myanmar (Burma), MMR
24.6919, 1904, Jul Average, Myanmar (Burma), MMR
24.8802, 1904, Aug Average, Myanmar (Burma), MMR
24.9513, 1904, Sep Average, Myanmar (Burma), MMR
23.9905, 1904, Oct Average, Myanmar (Burma), MMR
20.5097, 1904, Nov Average, Myanmar (Burma), MMR
17.668, 1904, Dec Average, Myanmar (Burma), MMR
17.0234, 1905, Jan Average, Myanmar (Burma), MMR
18.1738, 1905, Feb Average, Myanmar (Burma), MMR
21.5921, 1905, Mar Average, Myanmar (Burma), MMR
24.1907, 1905, Apr Average, Myanmar (Burma), MMR
25.5322, 1905, May Average, Myanmar (Burma), MMR
25.4062, 1905, Jun Average, Myanmar (Burma), MMR
25.0706, 1905, Jul Average, Myanmar (Burma), MMR
24.4836, 1905, Aug Average, Myanmar (Burma), MMR
25.1416, 1905, Sep Average, Myanmar (Burma), MMR
24.0874, 1905, Oct Average, Myanmar (Burma), MMR
21.3622, 1905, Nov Average, Myanmar (Burma), MMR
18.8229, 1905, Dec Average, Myanmar (Burma), MMR
18.3979, 1906, Jan Average, Myanmar (Burma), MMR
19.2205, 1906, Feb Average, Myanmar (Burma), MMR
21.6481, 1906, Mar Average, Myanmar (Burma), MMR
25.7084, 1906, Apr Average, Myanmar (Burma), MMR
26.4263, 1906, May Average, Myanmar (Burma), MMR
25.393, 1906, Jun Average, Myanmar (Burma), MMR
25.4468, 1906, Jul Average, Myanmar (Burma), MMR
24.4095, 1906, Aug Average, Myanmar (Burma), MMR
25.5708, 1906, Sep Average, Myanmar (Burma), MMR
23.8883, 1906, Oct Average, Myanmar (Burma), MMR
21.1371, 1906, Nov Average, Myanmar (Burma), MMR
18.4825, 1906, Dec Average, Myanmar (Burma), MMR
18.375, 1907, Jan Average, Myanmar (Burma), MMR
19.1503, 1907, Feb Average, Myanmar (Burma), MMR
21.4719, 1907, Mar Average, Myanmar (Burma), MMR
24.5819, 1907, Apr Average, Myanmar (Burma), MMR
25.2046, 1907, May Average, Myanmar (Burma), MMR
25.0329, 1907, Jun Average, Myanmar (Burma), MMR
24.572, 1907, Jul Average, Myanmar (Burma), MMR
24.9818, 1907, Aug Average, Myanmar (Burma), MMR
24.6384, 1907, Sep Average, Myanmar (Burma), MMR
24.0232, 1907, Oct Average, Myanmar (Burma), MMR
21.2451, 1907, Nov Average, Myanmar (Burma), MMR
17.75, 1907, Dec Average, Myanmar (Burma), MMR
17.6238, 1908, Jan Average, Myanmar (Burma), MMR
19.3743, 1908, Feb Average, Myanmar (Burma), MMR
22.7305, 1908, Mar Average, Myanmar (Burma), MMR
26.36, 1908, Apr Average, Myanmar (Burma), MMR
25.4508, 1908, May Average, Myanmar (Burma), MMR
25.262, 1908, Jun Average, Myanmar (Burma), MMR
24.802, 1908, Jul Average, Myanmar (Burma), MMR
24.7926, 1908, Aug Average, Myanmar (Burma), MMR
24.7926, 1908, Sep Average, Myanmar (Burma), MMR
23.8315, 1908, Oct Average, Myanmar (Burma), MMR
20.4516, 1908, Nov Average, Myanmar (Burma), MMR
17.8516, 1908, Dec Average, Myanmar (Burma), MMR
17.9677, 1909, Jan Average, Myanmar (Burma), MMR
19.4606, 1909, Feb Average, Myanmar (Burma), MMR
23.192, 1909, Mar Average, Myanmar (Burma), MMR
24.9496, 1909, Apr Average, Myanmar (Burma), MMR
25.2845, 1909, May Average, Myanmar (Burma), MMR
24.8663, 1909, Jun Average, Myanmar (Burma), MMR
25.0749, 1909, Jul Average, Myanmar (Burma), MMR
24.4502, 1909, Aug Average, Myanmar (Burma), MMR
25.3879, 1909, Sep Average, Myanmar (Burma), MMR
24.5252, 1909, Oct Average, Myanmar (Burma), MMR
21.7064, 1909, Nov Average, Myanmar (Burma), MMR
18.1864, 1909, Dec Average, Myanmar (Burma), MMR
17.8595, 1910, Jan Average, Myanmar (Burma), MMR
19.1149, 1910, Feb Average, Myanmar (Burma), MMR
21.7182, 1910, Mar Average, Myanmar (Burma), MMR
24.6339, 1910, Apr Average, Myanmar (Burma), MMR
25.5874, 1910, May Average, Myanmar (Burma), MMR
24.8597, 1910, Jun Average, Myanmar (Burma), MMR
24.415, 1910, Jul Average, Myanmar (Burma), MMR
24.7354, 1910, Aug Average, Myanmar (Burma), MMR
24.9504, 1910, Sep Average, Myanmar (Burma), MMR
23.6634, 1910, Oct Average, Myanmar (Burma), MMR
21.0746, 1910, Nov Average, Myanmar (Burma), MMR
17.5864, 1910, Dec Average, Myanmar (Burma), MMR
18.1663, 1911, Jan Average, Myanmar (Burma), MMR
18.7964, 1911, Feb Average, Myanmar (Burma), MMR
21.7667, 1911, Mar Average, Myanmar (Burma), MMR
24.7945, 1911, Apr Average, Myanmar (Burma), MMR
25.1798, 1911, May Average, Myanmar (Burma), MMR
25.04, 1911, Jun Average, Myanmar (Burma), MMR
24.7488, 1911, Jul Average, Myanmar (Burma), MMR
24.7449, 1911, Aug Average, Myanmar (Burma), MMR
24.8445, 1911, Sep Average, Myanmar (Burma), MMR
23.5697, 1911, Oct Average, Myanmar (Burma), MMR
21.0942, 1911, Nov Average, Myanmar (Burma), MMR
17.895, 1911, Dec Average, Myanmar (Burma), MMR
17.8158, 1912, Jan Average, Myanmar (Burma), MMR
19.7276, 1912, Feb Average, Myanmar (Burma), MMR
22.4212, 1912, Mar Average, Myanmar (Burma), MMR
24.6203, 1912, Apr Average, Myanmar (Burma), MMR
25.865, 1912, May Average, Myanmar (Burma), MMR
25.3926, 1912, Jun Average, Myanmar (Burma), MMR
24.5629, 1912, Jul Average, Myanmar (Burma), MMR
24.4616, 1912, Aug Average, Myanmar (Burma), MMR
24.7801, 1912, Sep Average, Myanmar (Burma), MMR
23.5126, 1912, Oct Average, Myanmar (Burma), MMR
