Temperature - (Celsius), Year, Statistics, Country, ISO3
-5.7741, 1901, Jan Average, Republic of Montenegro, MNE
-4.0626, 1901, Feb Average, Republic of Montenegro, MNE
4.21195, 1901, Mar Average, Republic of Montenegro, MNE
7.76857, 1901, Apr Average, Republic of Montenegro, MNE
12.0425, 1901, May Average, Republic of Montenegro, MNE
16.3081, 1901, Jun Average, Republic of Montenegro, MNE
19.06, 1901, Jul Average, Republic of Montenegro, MNE
17.6337, 1901, Aug Average, Republic of Montenegro, MNE
14.4248, 1901, Sep Average, Republic of Montenegro, MNE
10.2022, 1901, Oct Average, Republic of Montenegro, MNE
2.43748, 1901, Nov Average, Republic of Montenegro, MNE
3.55909, 1901, Dec Average, Republic of Montenegro, MNE
0.80897, 1902, Jan Average, Republic of Montenegro, MNE
2.28928, 1902, Feb Average, Republic of Montenegro, MNE
2.5551, 1902, Mar Average, Republic of Montenegro, MNE
7.6864, 1902, Apr Average, Republic of Montenegro, MNE
9.02532, 1902, May Average, Republic of Montenegro, MNE
14.86, 1902, Jun Average, Republic of Montenegro, MNE
18.185, 1902, Jul Average, Republic of Montenegro, MNE
19.0959, 1902, Aug Average, Republic of Montenegro, MNE
15.0999, 1902, Sep Average, Republic of Montenegro, MNE
9.83513, 1902, Oct Average, Republic of Montenegro, MNE
1.42097, 1902, Nov Average, Republic of Montenegro, MNE
-3.0304, 1902, Dec Average, Republic of Montenegro, MNE
-1.7949, 1903, Jan Average, Republic of Montenegro, MNE
1.24721, 1903, Feb Average, Republic of Montenegro, MNE
4.95534, 1903, Mar Average, Republic of Montenegro, MNE
5.27951, 1903, Apr Average, Republic of Montenegro, MNE
12.3304, 1903, May Average, Republic of Montenegro, MNE
14.6917, 1903, Jun Average, Republic of Montenegro, MNE
17.8545, 1903, Jul Average, Republic of Montenegro, MNE
18.3352, 1903, Aug Average, Republic of Montenegro, MNE
15.4038, 1903, Sep Average, Republic of Montenegro, MNE
10.1393, 1903, Oct Average, Republic of Montenegro, MNE
5.0935, 1903, Nov Average, Republic of Montenegro, MNE
2.62419, 1903, Dec Average, Republic of Montenegro, MNE
-2.2653, 1904, Jan Average, Republic of Montenegro, MNE
2.59621, 1904, Feb Average, Republic of Montenegro, MNE
3.55879, 1904, Mar Average, Republic of Montenegro, MNE
8.43594, 1904, Apr Average, Republic of Montenegro, MNE
12.7309, 1904, May Average, Republic of Montenegro, MNE
16.5487, 1904, Jun Average, Republic of Montenegro, MNE
20.1196, 1904, Jul Average, Republic of Montenegro, MNE
19.0137, 1904, Aug Average, Republic of Montenegro, MNE
13.3215, 1904, Sep Average, Republic of Montenegro, MNE
9.85971, 1904, Oct Average, Republic of Montenegro, MNE
1.91148, 1904, Nov Average, Republic of Montenegro, MNE
0.59752, 1904, Dec Average, Republic of Montenegro, MNE
-6.0465, 1905, Jan Average, Republic of Montenegro, MNE
-2.3594, 1905, Feb Average, Republic of Montenegro, MNE
3.65674, 1905, Mar Average, Republic of Montenegro, MNE
6.61703, 1905, Apr Average, Republic of Montenegro, MNE
12.7045, 1905, May Average, Republic of Montenegro, MNE
16.0957, 1905, Jun Average, Republic of Montenegro, MNE
