Temperature - (Celsius), Year, Statistics, Country, ISO3
26.2986, 1901, Jan Average, Northern Mariana Islands, MNP
26.1479, 1901, Feb Average, Northern Mariana Islands, MNP
26.5197, 1901, Mar Average, Northern Mariana Islands, MNP
27.1634, 1901, Apr Average, Northern Mariana Islands, MNP
27.6281, 1901, May Average, Northern Mariana Islands, MNP
28.1436, 1901, Jun Average, Northern Mariana Islands, MNP
28.0154, 1901, Jul Average, Northern Mariana Islands, MNP
27.8154, 1901, Aug Average, Northern Mariana Islands, MNP
28.0154, 1901, Sep Average, Northern Mariana Islands, MNP
27.9436, 1901, Oct Average, Northern Mariana Islands, MNP
27.6718, 1901, Nov Average, Northern Mariana Islands, MNP
26.9634, 1901, Dec Average, Northern Mariana Islands, MNP
26.2986, 1902, Jan Average, Northern Mariana Islands, MNP
26.1479, 1902, Feb Average, Northern Mariana Islands, MNP
26.5197, 1902, Mar Average, Northern Mariana Islands, MNP
27.1634, 1902, Apr Average, Northern Mariana Islands, MNP
27.6281, 1902, May Average, Northern Mariana Islands, MNP
28.1436, 1902, Jun Average, Northern Mariana Islands, MNP
28.0154, 1902, Jul Average, Northern Mariana Islands, MNP
27.8154, 1902, Aug Average, Northern Mariana Islands, MNP
28.0154, 1902, Sep Average, Northern Mariana Islands, MNP
27.9436, 1902, Oct Average, Northern Mariana Islands, MNP
27.6718, 1902, Nov Average, Northern Mariana Islands, MNP
26.9634, 1902, Dec Average, Northern Mariana Islands, MNP
26.2986, 1903, Jan Average, Northern Mariana Islands, MNP
26.1479, 1903, Feb Average, Northern Mariana Islands, MNP
26.5197, 1903, Mar Average, Northern Mariana Islands, MNP
27.1634, 1903, Apr Average, Northern Mariana Islands, MNP
27.6281, 1903, May Average, Northern Mariana Islands, MNP
28.1436, 1903, Jun Average, Northern Mariana Islands, MNP
28.0154, 1903, Jul Average, Northern Mariana Islands, MNP
27.8154, 1903, Aug Average, Northern Mariana Islands, MNP
28.0154, 1903, Sep Average, Northern Mariana Islands, MNP
27.9436, 1903, Oct Average, Northern Mariana Islands, MNP
27.6718, 1903, Nov Average, Northern Mariana Islands, MNP
26.9634, 1903, Dec Average, Northern Mariana Islands, MNP
26.2986, 1904, Jan Average, Northern Mariana Islands, MNP
26.1479, 1904, Feb Average, Northern Mariana Islands, MNP
26.5197, 1904, Mar Average, Northern Mariana Islands, MNP
27.1634, 1904, Apr Average, Northern Mariana Islands, MNP
27.6281, 1904, May Average, Northern Mariana Islands, MNP
28.1436, 1904, Jun Average, Northern Mariana Islands, MNP
28.0154, 1904, Jul Average, Northern Mariana Islands, MNP
27.8154, 1904, Aug Average, Northern Mariana Islands, MNP
28.0154, 1904, Sep Average, Northern Mariana Islands, MNP
27.9436, 1904, Oct Average, Northern Mariana Islands, MNP
27.6718, 1904, Nov Average, Northern Mariana Islands, MNP
26.9634, 1904, Dec Average, Northern Mariana Islands, MNP
26.2986, 1905, Jan Average, Northern Mariana Islands, MNP
26.1479, 1905, Feb Average, Northern Mariana Islands, MNP
26.5197, 1905, Mar Average, Northern Mariana Islands, MNP
27.1634, 1905, Apr Average, Northern Mariana Islands, MNP
27.6281, 1905, May Average, Northern Mariana Islands, MNP
28.1436, 1905, Jun Average, Northern Mariana Islands, MNP
28.0154, 1905, Jul Average, Northern Mariana Islands, MNP
27.8154, 1905, Aug Average, Northern Mariana Islands, MNP
28.0154, 1905, Sep Average, Northern Mariana Islands, MNP
