Temperature - (Celsius), Year, Statistics, Country, ISO3
19.7893, 1901, Jan Average, Mauritania, MRT
22.846, 1901, Feb Average, Mauritania, MRT
23.9885, 1901, Mar Average, Mauritania, MRT
28.2853, 1901, Apr Average, Mauritania, MRT
30.4979, 1901, May Average, Mauritania, MRT
34.0771, 1901, Jun Average, Mauritania, MRT
33.3705, 1901, Jul Average, Mauritania, MRT
32.923, 1901, Aug Average, Mauritania, MRT
31.0084, 1901, Sep Average, Mauritania, MRT
28.1085, 1901, Oct Average, Mauritania, MRT
23.6267, 1901, Nov Average, Mauritania, MRT
19.0558, 1901, Dec Average, Mauritania, MRT
20.3589, 1902, Jan Average, Mauritania, MRT
22.8216, 1902, Feb Average, Mauritania, MRT
24.677, 1902, Mar Average, Mauritania, MRT
28.4165, 1902, Apr Average, Mauritania, MRT
31.4371, 1902, May Average, Mauritania, MRT
33.1074, 1902, Jun Average, Mauritania, MRT
33.6456, 1902, Jul Average, Mauritania, MRT
33.1048, 1902, Aug Average, Mauritania, MRT
31.1403, 1902, Sep Average, Mauritania, MRT
29.2539, 1902, Oct Average, Mauritania, MRT
25.8207, 1902, Nov Average, Mauritania, MRT
20.0294, 1902, Dec Average, Mauritania, MRT
19.7958, 1903, Jan Average, Mauritania, MRT
23.0578, 1903, Feb Average, Mauritania, MRT
25.2566, 1903, Mar Average, Mauritania, MRT
27.7138, 1903, Apr Average, Mauritania, MRT
30.7885, 1903, May Average, Mauritania, MRT
33.1099, 1903, Jun Average, Mauritania, MRT
33.064, 1903, Jul Average, Mauritania, MRT
31.7999, 1903, Aug Average, Mauritania, MRT
30.6649, 1903, Sep Average, Mauritania, MRT
29.861, 1903, Oct Average, Mauritania, MRT
25.0374, 1903, Nov Average, Mauritania, MRT
19.7649, 1903, Dec Average, Mauritania, MRT
19.7337, 1904, Jan Average, Mauritania, MRT
21.5905, 1904, Feb Average, Mauritania, MRT
24.3634, 1904, Mar Average, Mauritania, MRT
27.4237, 1904, Apr Average, Mauritania, MRT
