Temperature - (Celsius), Year, Statistics, Country, ISO3
23.4279, 1901, Jan Average, Malawi, MWI
22.8334, 1901, Feb Average, Malawi, MWI
23.4087, 1901, Mar Average, Malawi, MWI
21.9637, 1901, Apr Average, Malawi, MWI
20.0752, 1901, May Average, Malawi, MWI
17.6504, 1901, Jun Average, Malawi, MWI
17.2294, 1901, Jul Average, Malawi, MWI
18.9736, 1901, Aug Average, Malawi, MWI
21.0207, 1901, Sep Average, Malawi, MWI
23.4552, 1901, Oct Average, Malawi, MWI
24.4539, 1901, Nov Average, Malawi, MWI
23.8719, 1901, Dec Average, Malawi, MWI
23.0639, 1902, Jan Average, Malawi, MWI
22.9879, 1902, Feb Average, Malawi, MWI
23.0106, 1902, Mar Average, Malawi, MWI
22.8054, 1902, Apr Average, Malawi, MWI
20.3138, 1902, May Average, Malawi, MWI
18.957, 1902, Jun Average, Malawi, MWI
18.7058, 1902, Jul Average, Malawi, MWI
20.0633, 1902, Aug Average, Malawi, MWI
22.2855, 1902, Sep Average, Malawi, MWI
23.2671, 1902, Oct Average, Malawi, MWI
24.6369, 1902, Nov Average, Malawi, MWI
24.0988, 1902, Dec Average, Malawi, MWI
23.3624, 1903, Jan Average, Malawi, MWI
23.436, 1903, Feb Average, Malawi, MWI
23.2095, 1903, Mar Average, Malawi, MWI
22.8146, 1903, Apr Average, Malawi, MWI
20.9673, 1903, May Average, Malawi, MWI
18.762, 1903, Jun Average, Malawi, MWI
17.6561, 1903, Jul Average, Malawi, MWI
19.8641, 1903, Aug Average, Malawi, MWI
22.8335, 1903, Sep Average, Malawi, MWI
24.4348, 1903, Oct Average, Malawi, MWI
24.2998, 1903, Nov Average, Malawi, MWI
23.2273, 1903, Dec Average, Malawi, MWI
22.4074, 1904, Jan Average, Malawi, MWI
22.1992, 1904, Feb Average, Malawi, MWI
21.75, 1904, Mar Average, Malawi, MWI
22.4528, 1904, Apr Average, Malawi, MWI
19.6726, 1904, May Average, Malawi, MWI
18.7867, 1904, Jun Average, Malawi, MWI
