Temperature - (Celsius), Year, Statistics, Country, ISO3
24.0169, 1901, Jan Average, Namibia, NAM
23.7644, 1901, Feb Average, Namibia, NAM
22.1711, 1901, Mar Average, Namibia, NAM
20.5108, 1901, Apr Average, Namibia, NAM
16.3235, 1901, May Average, Namibia, NAM
14.4032, 1901, Jun Average, Namibia, NAM
13.6395, 1901, Jul Average, Namibia, NAM
16.2762, 1901, Aug Average, Namibia, NAM
18.2654, 1901, Sep Average, Namibia, NAM
21.092, 1901, Oct Average, Namibia, NAM
22.59, 1901, Nov Average, Namibia, NAM
23.6839, 1901, Dec Average, Namibia, NAM
23.102, 1902, Jan Average, Namibia, NAM
23.4906, 1902, Feb Average, Namibia, NAM
22.0789, 1902, Mar Average, Namibia, NAM
19.8643, 1902, Apr Average, Namibia, NAM
17.069, 1902, May Average, Namibia, NAM
13.7843, 1902, Jun Average, Namibia, NAM
14.3212, 1902, Jul Average, Namibia, NAM
15.6141, 1902, Aug Average, Namibia, NAM
18.5255, 1902, Sep Average, Namibia, NAM
21.026, 1902, Oct Average, Namibia, NAM
22.0441, 1902, Nov Average, Namibia, NAM
24.3442, 1902, Dec Average, Namibia, NAM
24.0278, 1903, Jan Average, Namibia, NAM
23.5995, 1903, Feb Average, Namibia, NAM
22.3978, 1903, Mar Average, Namibia, NAM
20.0311, 1903, Apr Average, Namibia, NAM
16.5413, 1903, May Average, Namibia, NAM
13.6163, 1903, Jun Average, Namibia, NAM
13.9085, 1903, Jul Average, Namibia, NAM
15.651, 1903, Aug Average, Namibia, NAM
18.5566, 1903, Sep Average, Namibia, NAM
20.5789, 1903, Oct Average, Namibia, NAM
22.2384, 1903, Nov Average, Namibia, NAM
23.7924, 1903, Dec Average, Namibia, NAM
23.1814, 1904, Jan Average, Namibia, NAM
22.8824, 1904, Feb Average, Namibia, NAM
21.731, 1904, Mar Average, Namibia, NAM
19.794, 1904, Apr Average, Namibia, NAM
16.149, 1904, May Average, Namibia, NAM
14.3603, 1904, Jun Average, Namibia, NAM
14.0864, 1904, Jul Average, Namibia, NAM
15.4001, 1904, Aug Average, Namibia, NAM
18.2097, 1904, Sep Average, Namibia, NAM
21.0481, 1904, Oct Average, Namibia, NAM
22.8672, 1904, Nov Average, Namibia, NAM
22.8625, 1904, Dec Average, Namibia, NAM
24.0012, 1905, Jan Average, Namibia, NAM
23.2431, 1905, Feb Average, Namibia, NAM
21.8394, 1905, Mar Average, Namibia, NAM
20.4357, 1905, Apr Average, Namibia, NAM
16.169, 1905, May Average, Namibia, NAM
13.8899, 1905, Jun Average, Namibia, NAM
14.2025, 1905, Jul Average, Namibia, NAM
15.2282, 1905, Aug Average, Namibia, NAM
19.005, 1905, Sep Average, Namibia, NAM
21.9338, 1905, Oct Average, Namibia, NAM
22.8396, 1905, Nov Average, Namibia, NAM
24.1699, 1905, Dec Average, Namibia, NAM
24.1925, 1906, Jan Average, Namibia, NAM
23.023, 1906, Feb Average, Namibia, NAM
21.9071, 1906, Mar Average, Namibia, NAM
19.4087, 1906, Apr Average, Namibia, NAM
16.5141, 1906, May Average, Namibia, NAM
14.3909, 1906, Jun Average, Namibia, NAM
13.2954, 1906, Jul Average, Namibia, NAM
