Temperature - (Celsius), Year, Statistics, Country, ISO3
25.1339, 1901, Jan Average, New Caledonia, NCL
24.4477, 1901, Feb Average, New Caledonia, NCL
24.5184, 1901, Mar Average, New Caledonia, NCL
24.608, 1901, Apr Average, New Caledonia, NCL
22.5096, 1901, May Average, New Caledonia, NCL
20.0024, 1901, Jun Average, New Caledonia, NCL
18.9005, 1901, Jul Average, New Caledonia, NCL
18.9385, 1901, Aug Average, New Caledonia, NCL
21.3447, 1901, Sep Average, New Caledonia, NCL
22.7501, 1901, Oct Average, New Caledonia, NCL
22.0067, 1901, Nov Average, New Caledonia, NCL
23.2468, 1901, Dec Average, New Caledonia, NCL
25.3339, 1902, Jan Average, New Caledonia, NCL
25.2477, 1902, Feb Average, New Caledonia, NCL
23.9184, 1902, Mar Average, New Caledonia, NCL
22.008, 1902, Apr Average, New Caledonia, NCL
20.1096, 1902, May Average, New Caledonia, NCL
19.4024, 1902, Jun Average, New Caledonia, NCL
18.5005, 1902, Jul Average, New Caledonia, NCL
17.9385, 1902, Aug Average, New Caledonia, NCL
19.0447, 1902, Sep Average, New Caledonia, NCL
21.0501, 1902, Oct Average, New Caledonia, NCL
22.1067, 1902, Nov Average, New Caledonia, NCL
25.0468, 1902, Dec Average, New Caledonia, NCL
25.1339, 1903, Jan Average, New Caledonia, NCL
25.8477, 1903, Feb Average, New Caledonia, NCL
24.5184, 1903, Mar Average, New Caledonia, NCL
23.108, 1903, Apr Average, New Caledonia, NCL
21.7096, 1903, May Average, New Caledonia, NCL
20.3024, 1903, Jun Average, New Caledonia, NCL
19.8005, 1903, Jul Average, New Caledonia, NCL
19.2385, 1903, Aug Average, New Caledonia, NCL
20.1447, 1903, Sep Average, New Caledonia, NCL
22.1501, 1903, Oct Average, New Caledonia, NCL
22.7067, 1903, Nov Average, New Caledonia, NCL
24.0468, 1903, Dec Average, New Caledonia, NCL
24.3339, 1904, Jan Average, New Caledonia, NCL
24.4477, 1904, Feb Average, New Caledonia, NCL
24.1184, 1904, Mar Average, New Caledonia, NCL
23.108, 1904, Apr Average, New Caledonia, NCL
20.2096, 1904, May Average, New Caledonia, NCL
19.0024, 1904, Jun Average, New Caledonia, NCL
18.8005, 1904, Jul Average, New Caledonia, NCL
18.8385, 1904, Aug Average, New Caledonia, NCL
18.9447, 1904, Sep Average, New Caledonia, NCL
19.9501, 1904, Oct Average, New Caledonia, NCL
21.9067, 1904, Nov Average, New Caledonia, NCL
22.8468, 1904, Dec Average, New Caledonia, NCL
23.7339, 1905, Jan Average, New Caledonia, NCL
24.7477, 1905, Feb Average, New Caledonia, NCL
23.1184, 1905, Mar Average, New Caledonia, NCL
21.708, 1905, Apr Average, New Caledonia, NCL
21.0096, 1905, May Average, New Caledonia, NCL
19.9024, 1905, Jun Average, New Caledonia, NCL
18.2005, 1905, Jul Average, New Caledonia, NCL
18.9385, 1905, Aug Average, New Caledonia, NCL
19.7447, 1905, Sep Average, New Caledonia, NCL
20.5501, 1905, Oct Average, New Caledonia, NCL
22.1067, 1905, Nov Average, New Caledonia, NCL
25.5468, 1905, Dec Average, New Caledonia, NCL
25.2339, 1906, Jan Average, New Caledonia, NCL
23.8477, 1906, Feb Average, New Caledonia, NCL
23.8184, 1906, Mar Average, New Caledonia, NCL
23.008, 1906, Apr Average, New Caledonia, NCL
21.0096, 1906, May Average, New Caledonia, NCL
19.2024, 1906, Jun Average, New Caledonia, NCL
18.7005, 1906, Jul Average, New Caledonia, NCL
19.0385, 1906, Aug Average, New Caledonia, NCL
20.5447, 1906, Sep Average, New Caledonia, NCL
21.4501, 1906, Oct Average, New Caledonia, NCL
23.6067, 1906, Nov Average, New Caledonia, NCL
24.5468, 1906, Dec Average, New Caledonia, NCL
25.9339, 1907, Jan Average, New Caledonia, NCL
24.7477, 1907, Feb Average, New Caledonia, NCL
26.2184, 1907, Mar Average, New Caledonia, NCL
23.408, 1907, Apr Average, New Caledonia, NCL
21.3096, 1907, May Average, New Caledonia, NCL
20.8024, 1907, Jun Average, New Caledonia, NCL
