Temperature - (Celsius), Year, Statistics, Country, ISO3
18.0042, 1901, Jan Average, Niger, NER
21.7189, 1901, Feb Average, Niger, NER
25.2872, 1901, Mar Average, Niger, NER
29.9247, 1901, Apr Average, Niger, NER
31.7192, 1901, May Average, Niger, NER
32.5557, 1901, Jun Average, Niger, NER
31.1318, 1901, Jul Average, Niger, NER
30.1378, 1901, Aug Average, Niger, NER
30.2381, 1901, Sep Average, Niger, NER
28.4286, 1901, Oct Average, Niger, NER
23.644, 1901, Nov Average, Niger, NER
19.2615, 1901, Dec Average, Niger, NER
18.221, 1902, Jan Average, Niger, NER
21.5779, 1902, Feb Average, Niger, NER
25.7386, 1902, Mar Average, Niger, NER
30.6888, 1902, Apr Average, Niger, NER
32.6365, 1902, May Average, Niger, NER
31.807, 1902, Jun Average, Niger, NER
31.1248, 1902, Jul Average, Niger, NER
30.2935, 1902, Aug Average, Niger, NER
30.133, 1902, Sep Average, Niger, NER
27.6269, 1902, Oct Average, Niger, NER
23.5748, 1902, Nov Average, Niger, NER
20.0524, 1902, Dec Average, Niger, NER
19.0493, 1903, Jan Average, Niger, NER
21.8836, 1903, Feb Average, Niger, NER
25.9744, 1903, Mar Average, Niger, NER
30.2437, 1903, Apr Average, Niger, NER
32.5559, 1903, May Average, Niger, NER
32.5604, 1903, Jun Average, Niger, NER
31.0415, 1903, Jul Average, Niger, NER
30.1861, 1903, Aug Average, Niger, NER
30.2854, 1903, Sep Average, Niger, NER
28.4609, 1903, Oct Average, Niger, NER
23.6546, 1903, Nov Average, Niger, NER
20.122, 1903, Dec Average, Niger, NER
19.017, 1904, Jan Average, Niger, NER
22.0059, 1904, Feb Average, Niger, NER
26.0496, 1904, Mar Average, Niger, NER
30.2757, 1904, Apr Average, Niger, NER
32.4813, 1904, May Average, Niger, NER
32.6624, 1904, Jun Average, Niger, NER
31.1113, 1904, Jul Average, Niger, NER
30.2345, 1904, Aug Average, Niger, NER
30.2806, 1904, Sep Average, Niger, NER
28.3914, 1904, Oct Average, Niger, NER
23.5746, 1904, Nov Average, Niger, NER
20.0527, 1904, Dec Average, Niger, NER
17.7997, 1905, Jan Average, Niger, NER
19.5559, 1905, Feb Average, Niger, NER
24.6893, 1905, Mar Average, Niger, NER
29.923, 1905, Apr Average, Niger, NER
32.5986, 1905, May Average, Niger, NER
32.16, 1905, Jun Average, Niger, NER
