Temperature - (Celsius), Year, Statistics, Country, ISO3
23.9211, 1901, Jan Average, Nigeria, NGA
26.59, 1901, Feb Average, Nigeria, NGA
27.9895, 1901, Mar Average, Nigeria, NGA
29.5469, 1901, Apr Average, Nigeria, NGA
27.946, 1901, May Average, Nigeria, NGA
26.8519, 1901, Jun Average, Nigeria, NGA
25.7848, 1901, Jul Average, Nigeria, NGA
24.8058, 1901, Aug Average, Nigeria, NGA
25.4635, 1901, Sep Average, Nigeria, NGA
26.7779, 1901, Oct Average, Nigeria, NGA
25.9035, 1901, Nov Average, Nigeria, NGA
24.1893, 1901, Dec Average, Nigeria, NGA
24.1081, 1902, Jan Average, Nigeria, NGA
26.2959, 1902, Feb Average, Nigeria, NGA
28.7558, 1902, Mar Average, Nigeria, NGA
29.776, 1902, Apr Average, Nigeria, NGA
29.0201, 1902, May Average, Nigeria, NGA
26.8887, 1902, Jun Average, Nigeria, NGA
25.7748, 1902, Jul Average, Nigeria, NGA
25.6332, 1902, Aug Average, Nigeria, NGA
26.0338, 1902, Sep Average, Nigeria, NGA
26.3189, 1902, Oct Average, Nigeria, NGA
25.9035, 1902, Nov Average, Nigeria, NGA
24.6482, 1902, Dec Average, Nigeria, NGA
24.8343, 1903, Jan Average, Nigeria, NGA
27.0489, 1903, Feb Average, Nigeria, NGA
29.2176, 1903, Mar Average, Nigeria, NGA
29.7621, 1903, Apr Average, Nigeria, NGA
28.8067, 1903, May Average, Nigeria, NGA
26.9468, 1903, Jun Average, Nigeria, NGA
25.884, 1903, Jul Average, Nigeria, NGA
25.5379, 1903, Aug Average, Nigeria, NGA
26.2897, 1903, Sep Average, Nigeria, NGA
26.7779, 1903, Oct Average, Nigeria, NGA
25.9035, 1903, Nov Average, Nigeria, NGA
24.6482, 1903, Dec Average, Nigeria, NGA
24.567, 1904, Jan Average, Nigeria, NGA
26.5811, 1904, Feb Average, Nigeria, NGA
28.6162, 1904, Mar Average, Nigeria, NGA
29.5617, 1904, Apr Average, Nigeria, NGA
28.673, 1904, May Average, Nigeria, NGA
27.2141, 1904, Jun Average, Nigeria, NGA
25.4214, 1904, Jul Average, Nigeria, NGA
25.0033, 1904, Aug Average, Nigeria, NGA
26.2897, 1904, Sep Average, Nigeria, NGA
26.7779, 1904, Oct Average, Nigeria, NGA
25.9035, 1904, Nov Average, Nigeria, NGA
24.6482, 1904, Dec Average, Nigeria, NGA
23.7404, 1905, Jan Average, Nigeria, NGA
25.1926, 1905, Feb Average, Nigeria, NGA
28.2179, 1905, Mar Average, Nigeria, NGA
29.7342, 1905, Apr Average, Nigeria, NGA
29.0656, 1905, May Average, Nigeria, NGA
26.6993, 1905, Jun Average, Nigeria, NGA
25.8506, 1905, Jul Average, Nigeria, NGA
25.1909, 1905, Aug Average, Nigeria, NGA
25.9647, 1905, Sep Average, Nigeria, NGA
26.5226, 1905, Oct Average, Nigeria, NGA
27.2508, 1905, Nov Average, Nigeria, NGA
25.8923, 1905, Dec Average, Nigeria, NGA
23.7035, 1906, Jan Average, Nigeria, NGA
26.8304, 1906, Feb Average, Nigeria, NGA
29.4448, 1906, Mar Average, Nigeria, NGA
31.7479, 1906, Apr Average, Nigeria, NGA
29.0241, 1906, May Average, Nigeria, NGA
27.8001, 1906, Jun Average, Nigeria, NGA
25.7128, 1906, Jul Average, Nigeria, NGA
25.1429, 1906, Aug Average, Nigeria, NGA
27.1507, 1906, Sep Average, Nigeria, NGA
27.564, 1906, Oct Average, Nigeria, NGA
26.6885, 1906, Nov Average, Nigeria, NGA
26.1463, 1906, Dec Average, Nigeria, NGA
24.4147, 1907, Jan Average, Nigeria, NGA
25.0135, 1907, Feb Average, Nigeria, NGA
28.657, 1907, Mar Average, Nigeria, NGA
29.6682, 1907, Apr Average, Nigeria, NGA
29.8076, 1907, May Average, Nigeria, NGA
27.2816, 1907, Jun Average, Nigeria, NGA
26.4422, 1907, Jul Average, Nigeria, NGA
25.5949, 1907, Aug Average, Nigeria, NGA
26.4045, 1907, Sep Average, Nigeria, NGA
28.6145, 1907, Oct Average, Nigeria, NGA
26.0872, 1907, Nov Average, Nigeria, NGA
23.2907, 1907, Dec Average, Nigeria, NGA
24.1827, 1908, Jan Average, Nigeria, NGA
26.2049, 1908, Feb Average, Nigeria, NGA
28.7327, 1908, Mar Average, Nigeria, NGA
30.2842, 1908, Apr Average, Nigeria, NGA
30.4599, 1908, May Average, Nigeria, NGA
27.6269, 1908, Jun Average, Nigeria, NGA
26.6186, 1908, Jul Average, Nigeria, NGA
24.6973, 1908, Aug Average, Nigeria, NGA
26.0779, 1908, Sep Average, Nigeria, NGA
26.5024, 1908, Oct Average, Nigeria, NGA
25.0771, 1908, Nov Average, Nigeria, NGA
23.8218, 1908, Dec Average, Nigeria, NGA
24.3834, 1909, Jan Average, Nigeria, NGA
27.9922, 1909, Feb Average, Nigeria, NGA
30.6985, 1909, Mar Average, Nigeria, NGA
30.0463, 1909, Apr Average, Nigeria, NGA
28.4811, 1909, May Average, Nigeria, NGA
26.5783, 1909, Jun Average, Nigeria, NGA
25.3607, 1909, Jul Average, Nigeria, NGA
24.3844, 1909, Aug Average, Nigeria, NGA
26.554, 1909, Sep Average, Nigeria, NGA
25.4004, 1909, Oct Average, Nigeria, NGA
26.179, 1909, Nov Average, Nigeria, NGA
24.6482, 1909, Dec Average, Nigeria, NGA
23.5746, 1910, Jan Average, Nigeria, NGA
27.1679, 1910, Feb Average, Nigeria, NGA
28.5153, 1910, Mar Average, Nigeria, NGA
29.5275, 1910, Apr Average, Nigeria, NGA
29.147, 1910, May Average, Nigeria, NGA
28.8049, 1910, Jun Average, Nigeria, NGA
26.7109, 1910, Jul Average, Nigeria, NGA
25.5996, 1910, Aug Average, Nigeria, NGA
26.4517, 1910, Sep Average, Nigeria, NGA
26.5743, 1910, Oct Average, Nigeria, NGA
25.096, 1910, Nov Average, Nigeria, NGA
24.1524, 1910, Dec Average, Nigeria, NGA
24.0439, 1911, Jan Average, Nigeria, NGA
26.6375, 1911, Feb Average, Nigeria, NGA
29.2585, 1911, Mar Average, Nigeria, NGA
29.9718, 1911, Apr Average, Nigeria, NGA
28.892, 1911, May Average, Nigeria, NGA
27.2994, 1911, Jun Average, Nigeria, NGA
26.2852, 1911, Jul Average, Nigeria, NGA
25.4156, 1911, Aug Average, Nigeria, NGA
25.9985, 1911, Sep Average, Nigeria, NGA
26.5783, 1911, Oct Average, Nigeria, NGA
26.4821, 1911, Nov Average, Nigeria, NGA
23.8656, 1911, Dec Average, Nigeria, NGA
24.8754, 1912, Jan Average, Nigeria, NGA
27.005, 1912, Feb Average, Nigeria, NGA
29.156, 1912, Mar Average, Nigeria, NGA
30.9082, 1912, Apr Average, Nigeria, NGA
29.2444, 1912, May Average, Nigeria, NGA
27.6161, 1912, Jun Average, Nigeria, NGA
26.2516, 1912, Jul Average, Nigeria, NGA
25.5955, 1912, Aug Average, Nigeria, NGA
26.2205, 1912, Sep Average, Nigeria, NGA
26.5276, 1912, Oct Average, Nigeria, NGA
25.1094, 1912, Nov Average, Nigeria, NGA
24.5482, 1912, Dec Average, Nigeria, NGA
24.7063, 1913, Jan Average, Nigeria, NGA
26.8278, 1913, Feb Average, Nigeria, NGA
27.5788, 1913, Mar Average, Nigeria, NGA
29.4288, 1913, Apr Average, Nigeria, NGA
29.463, 1913, May Average, Nigeria, NGA
28.4654, 1913, Jun Average, Nigeria, NGA
27.2132, 1913, Jul Average, Nigeria, NGA
26.8554, 1913, Aug Average, Nigeria, NGA
27.5569, 1913, Sep Average, Nigeria, NGA
26.6382, 1913, Oct Average, Nigeria, NGA
25.265, 1913, Nov Average, Nigeria, NGA
24.2691, 1913, Dec Average, Nigeria, NGA
26.3457, 1914, Jan Average, Nigeria, NGA
26.6012, 1914, Feb Average, Nigeria, NGA
28.6503, 1914, Mar Average, Nigeria, NGA
29.8329, 1914, Apr Average, Nigeria, NGA
30.1088, 1914, May Average, Nigeria, NGA
28.5109, 1914, Jun Average, Nigeria, NGA
26.9897, 1914, Jul Average, Nigeria, NGA
25.7554, 1914, Aug Average, Nigeria, NGA
26.9787, 1914, Sep Average, Nigeria, NGA
27.8184, 1914, Oct Average, Nigeria, NGA
28.4726, 1914, Nov Average, Nigeria, NGA
25.0412, 1914, Dec Average, Nigeria, NGA
23.9484, 1915, Jan Average, Nigeria, NGA
26.4832, 1915, Feb Average, Nigeria, NGA
29.3537, 1915, Mar Average, Nigeria, NGA
29.5366, 1915, Apr Average, Nigeria, NGA
28.8804, 1915, May Average, Nigeria, NGA
26.9486, 1915, Jun Average, Nigeria, NGA
25.9239, 1915, Jul Average, Nigeria, NGA
25.3609, 1915, Aug Average, Nigeria, NGA
25.7797, 1915, Sep Average, Nigeria, NGA
26.4386, 1915, Oct Average, Nigeria, NGA
25.6242, 1915, Nov Average, Nigeria, NGA
24.289, 1915, Dec Average, Nigeria, NGA
23.8886, 1916, Jan Average, Nigeria, NGA
26.2038, 1916, Feb Average, Nigeria, NGA
28.9945, 1916, Mar Average, Nigeria, NGA
29.4368, 1916, Apr Average, Nigeria, NGA
28.5611, 1916, May Average, Nigeria, NGA
27.0085, 1916, Jun Average, Nigeria, NGA
25.9438, 1916, Jul Average, Nigeria, NGA
25.0216, 1916, Aug Average, Nigeria, NGA
25.4604, 1916, Sep Average, Nigeria, NGA
26.2391, 1916, Oct Average, Nigeria, NGA
25.1652, 1916, Nov Average, Nigeria, NGA
24.6482, 1916, Dec Average, Nigeria, NGA
24.567, 1917, Jan Average, Nigeria, NGA
26.982, 1917, Feb Average, Nigeria, NGA
28.5356, 1917, Mar Average, Nigeria, NGA
29.4767, 1917, Apr Average, Nigeria, NGA
28.4214, 1917, May Average, Nigeria, NGA
26.9686, 1917, Jun Average, Nigeria, NGA
25.884, 1917, Jul Average, Nigeria, NGA
25.4008, 1917, Aug Average, Nigeria, NGA
25.5203, 1917, Sep Average, Nigeria, NGA
26.299, 1917, Oct Average, Nigeria, NGA
24.9656, 1917, Nov Average, Nigeria, NGA
24.4686, 1917, Dec Average, Nigeria, NGA
24.2278, 1918, Jan Average, Nigeria, NGA
25.9649, 1918, Feb Average, Nigeria, NGA
28.227, 1918, Mar Average, Nigeria, NGA
29.5371, 1918, Apr Average, Nigeria, NGA
28.5406, 1918, May Average, Nigeria, NGA
27.3477, 1918, Jun Average, Nigeria, NGA
25.8893, 1918, Jul Average, Nigeria, NGA
24.8614, 1918, Aug Average, Nigeria, NGA
25.467, 1918, Sep Average, Nigeria, NGA
26.5432, 1918, Oct Average, Nigeria, NGA
25.5726, 1918, Nov Average, Nigeria, NGA
24.6607, 1918, Dec Average, Nigeria, NGA
24.595, 1919, Jan Average, Nigeria, NGA
26.9969, 1919, Feb Average, Nigeria, NGA
29.1601, 1919, Mar Average, Nigeria, NGA
29.8952, 1919, Apr Average, Nigeria, NGA
28.9462, 1919, May Average, Nigeria, NGA
27.343, 1919, Jun Average, Nigeria, NGA
25.8846, 1919, Jul Average, Nigeria, NGA
25.4049, 1919, Aug Average, Nigeria, NGA
25.9605, 1919, Sep Average, Nigeria, NGA
26.7826, 1919, Oct Average, Nigeria, NGA
25.9077, 1919, Nov Average, Nigeria, NGA
24.6542, 1919, Dec Average, Nigeria, NGA
24.6278, 1920, Jan Average, Nigeria, NGA
26.9779, 1920, Feb Average, Nigeria, NGA
29.1405, 1920, Mar Average, Nigeria, NGA
29.891, 1920, Apr Average, Nigeria, NGA
29.2719, 1920, May Average, Nigeria, NGA
27.3442, 1920, Jun Average, Nigeria, NGA
25.8774, 1920, Jul Average, Nigeria, NGA
25.3889, 1920, Aug Average, Nigeria, NGA
25.9451, 1920, Sep Average, Nigeria, NGA
26.7719, 1920, Oct Average, Nigeria, NGA
25.9065, 1920, Nov Average, Nigeria, NGA
24.6464, 1920, Dec Average, Nigeria, NGA
24.0369, 1921, Jan Average, Nigeria, NGA
26.9725, 1921, Feb Average, Nigeria, NGA
29.1429, 1921, Mar Average, Nigeria, NGA
29.8958, 1921, Apr Average, Nigeria, NGA
29.4683, 1921, May Average, Nigeria, NGA
27.3471, 1921, Jun Average, Nigeria, NGA
25.8875, 1921, Jul Average, Nigeria, NGA
25.3948, 1921, Aug Average, Nigeria, NGA
25.9528, 1921, Sep Average, Nigeria, NGA
26.7743, 1921, Oct Average, Nigeria, NGA
25.9053, 1921, Nov Average, Nigeria, NGA
24.6655, 1921, Dec Average, Nigeria, NGA
24.5742, 1922, Jan Average, Nigeria, NGA
26.9755, 1922, Feb Average, Nigeria, NGA
29.1393, 1922, Mar Average, Nigeria, NGA
29.8916, 1922, Apr Average, Nigeria, NGA
29.0466, 1922, May Average, Nigeria, NGA
27.343, 1922, Jun Average, Nigeria, NGA
25.8727, 1922, Jul Average, Nigeria, NGA
24.8829, 1922, Aug Average, Nigeria, NGA
25.3452, 1922, Sep Average, Nigeria, NGA
26.3904, 1922, Oct Average, Nigeria, NGA
25.589, 1922, Nov Average, Nigeria, NGA
24.39, 1922, Dec Average, Nigeria, NGA
26.2099, 1923, Jan Average, Nigeria, NGA
26.56, 1923, Feb Average, Nigeria, NGA
29.927, 1923, Mar Average, Nigeria, NGA
29.8319, 1923, Apr Average, Nigeria, NGA
29.1052, 1923, May Average, Nigeria, NGA
27.6026, 1923, Jun Average, Nigeria, NGA
25.1487, 1923, Jul Average, Nigeria, NGA
24.2099, 1923, Aug Average, Nigeria, NGA
25.9879, 1923, Sep Average, Nigeria, NGA
27.236, 1923, Oct Average, Nigeria, NGA
26.7308, 1923, Nov Average, Nigeria, NGA
25.8747, 1923, Dec Average, Nigeria, NGA
25.174, 1924, Jan Average, Nigeria, NGA
29.4089, 1924, Feb Average, Nigeria, NGA
31.211, 1924, Mar Average, Nigeria, NGA
30.5492, 1924, Apr Average, Nigeria, NGA
29.671, 1924, May Average, Nigeria, NGA
27.3128, 1924, Jun Average, Nigeria, NGA
24.7282, 1924, Jul Average, Nigeria, NGA
24.1422, 1924, Aug Average, Nigeria, NGA
24.4687, 1924, Sep Average, Nigeria, NGA
26.7621, 1924, Oct Average, Nigeria, NGA
25.4908, 1924, Nov Average, Nigeria, NGA
24.0658, 1924, Dec Average, Nigeria, NGA
20.9897, 1925, Jan Average, Nigeria, NGA
25.0941, 1925, Feb Average, Nigeria, NGA
29.9613, 1925, Mar Average, Nigeria, NGA
29.9851, 1925, Apr Average, Nigeria, NGA
28.5053, 1925, May Average, Nigeria, NGA
26.1563, 1925, Jun Average, Nigeria, NGA
25.4691, 1925, Jul Average, Nigeria, NGA
24.2791, 1925, Aug Average, Nigeria, NGA
