Temperature - (Celsius), Year, Statistics, Country, ISO3
23.1157, 1901, Jan Average, Nicaragua, NIC
23.9502, 1901, Feb Average, Nicaragua, NIC
24.8374, 1901, Mar Average, Nicaragua, NIC
25.1555, 1901, Apr Average, Nicaragua, NIC
25.6672, 1901, May Average, Nicaragua, NIC
25.2801, 1901, Jun Average, Nicaragua, NIC
24.8337, 1901, Jul Average, Nicaragua, NIC
24.7936, 1901, Aug Average, Nicaragua, NIC
24.7526, 1901, Sep Average, Nicaragua, NIC
24.8863, 1901, Oct Average, Nicaragua, NIC
22.9773, 1901, Nov Average, Nicaragua, NIC
22.9622, 1901, Dec Average, Nicaragua, NIC
22.0653, 1902, Jan Average, Nicaragua, NIC
23.5052, 1902, Feb Average, Nicaragua, NIC
25.752, 1902, Mar Average, Nicaragua, NIC
25.6275, 1902, Apr Average, Nicaragua, NIC
26.3005, 1902, May Average, Nicaragua, NIC
25.0698, 1902, Jun Average, Nicaragua, NIC
25.3551, 1902, Jul Average, Nicaragua, NIC
24.0595, 1902, Aug Average, Nicaragua, NIC
25.9114, 1902, Sep Average, Nicaragua, NIC
25.3256, 1902, Oct Average, Nicaragua, NIC
24.7615, 1902, Nov Average, Nicaragua, NIC
23.6684, 1902, Dec Average, Nicaragua, NIC
23.8516, 1903, Jan Average, Nicaragua, NIC
25.6205, 1903, Feb Average, Nicaragua, NIC
25.5778, 1903, Mar Average, Nicaragua, NIC
25.2699, 1903, Apr Average, Nicaragua, NIC
25.2113, 1903, May Average, Nicaragua, NIC
25.9324, 1903, Jun Average, Nicaragua, NIC
25.5384, 1903, Jul Average, Nicaragua, NIC
25.0879, 1903, Aug Average, Nicaragua, NIC
25.5798, 1903, Sep Average, Nicaragua, NIC
24.4228, 1903, Oct Average, Nicaragua, NIC
23.0879, 1903, Nov Average, Nicaragua, NIC
22.0673, 1903, Dec Average, Nicaragua, NIC
23.2512, 1904, Jan Average, Nicaragua, NIC
24.1864, 1904, Feb Average, Nicaragua, NIC
24.8586, 1904, Mar Average, Nicaragua, NIC
25.8318, 1904, Apr Average, Nicaragua, NIC
