Temperature - (Celsius), Year, Statistics, Country, ISO3
1.72554, 1901, Jan Average, Nepal, NPL
3.92038, 1901, Feb Average, Nepal, NPL
8.83596, 1901, Mar Average, Nepal, NPL
13.4878, 1901, Apr Average, Nepal, NPL
16.292, 1901, May Average, Nepal, NPL
20.1408, 1901, Jun Average, Nepal, NPL
19.4266, 1901, Jul Average, Nepal, NPL
18.1395, 1901, Aug Average, Nepal, NPL
16.7056, 1901, Sep Average, Nepal, NPL
13.7683, 1901, Oct Average, Nepal, NPL
7.9488, 1901, Nov Average, Nepal, NPL
4.50012, 1901, Dec Average, Nepal, NPL
4.38251, 1902, Jan Average, Nepal, NPL
5.35669, 1902, Feb Average, Nepal, NPL
10.8051, 1902, Mar Average, Nepal, NPL
13.3924, 1902, Apr Average, Nepal, NPL
16.3824, 1902, May Average, Nepal, NPL
18.8645, 1902, Jun Average, Nepal, NPL
18.2869, 1902, Jul Average, Nepal, NPL
18.5139, 1902, Aug Average, Nepal, NPL
16.5496, 1902, Sep Average, Nepal, NPL
12.1495, 1902, Oct Average, Nepal, NPL
7.10628, 1902, Nov Average, Nepal, NPL
3.80619, 1902, Dec Average, Nepal, NPL
3.1662, 1903, Jan Average, Nepal, NPL
3.75687, 1903, Feb Average, Nepal, NPL
8.126, 1903, Mar Average, Nepal, NPL
13.1254, 1903, Apr Average, Nepal, NPL
16.6228, 1903, May Average, Nepal, NPL
19.1596, 1903, Jun Average, Nepal, NPL
19.981, 1903, Jul Average, Nepal, NPL
18.0094, 1903, Aug Average, Nepal, NPL
16.9831, 1903, Sep Average, Nepal, NPL
12.4321, 1903, Oct Average, Nepal, NPL
7.13245, 1903, Nov Average, Nepal, NPL
3.95251, 1903, Dec Average, Nepal, NPL
3.19999, 1904, Jan Average, Nepal, NPL
4.90821, 1904, Feb Average, Nepal, NPL
8.98458, 1904, Mar Average, Nepal, NPL
14.1611, 1904, Apr Average, Nepal, NPL
15.569, 1904, May Average, Nepal, NPL
18.0684, 1904, Jun Average, Nepal, NPL
17.7726, 1904, Jul Average, Nepal, NPL
17.6428, 1904, Aug Average, Nepal, NPL
16.4354, 1904, Sep Average, Nepal, NPL
12.5012, 1904, Oct Average, Nepal, NPL
6.7915, 1904, Nov Average, Nepal, NPL
4.29301, 1904, Dec Average, Nepal, NPL
1.58582, 1905, Jan Average, Nepal, NPL
1.54858, 1905, Feb Average, Nepal, NPL
6.25695, 1905, Mar Average, Nepal, NPL
10.803, 1905, Apr Average, Nepal, NPL
16.0119, 1905, May Average, Nepal, NPL
20.0497, 1905, Jun Average, Nepal, NPL
18.5139, 1905, Jul Average, Nepal, NPL
18.07, 1905, Aug Average, Nepal, NPL
16.886, 1905, Sep Average, Nepal, NPL
12.7787, 1905, Oct Average, Nepal, NPL
8.07105, 1905, Nov Average, Nepal, NPL
4.09817, 1905, Dec Average, Nepal, NPL
2.38942, 1906, Jan Average, Nepal, NPL
3.19139, 1906, Feb Average, Nepal, NPL
7.32535, 1906, Mar Average, Nepal, NPL
13.7632, 1906, Apr Average, Nepal, NPL
17.6137, 1906, May Average, Nepal, NPL
18.3588, 1906, Jun Average, Nepal, NPL
18.6117, 1906, Jul Average, Nepal, NPL
17.6416, 1906, Aug Average, Nepal, NPL
16.7442, 1906, Sep Average, Nepal, NPL
12.722, 1906, Oct Average, Nepal, NPL
8.29767, 1906, Nov Average, Nepal, NPL
4.94782, 1906, Dec Average, Nepal, NPL
4.75018, 1907, Jan Average, Nepal, NPL
3.18923, 1907, Feb Average, Nepal, NPL
6.42413, 1907, Mar Average, Nepal, NPL
11.3918, 1907, Apr Average, Nepal, NPL
15.3048, 1907, May Average, Nepal, NPL
18.4292, 1907, Jun Average, Nepal, NPL
19.3747, 1907, Jul Average, Nepal, NPL
18.1042, 1907, Aug Average, Nepal, NPL
17.376, 1907, Sep Average, Nepal, NPL
13.5183, 1907, Oct Average, Nepal, NPL
8.01516, 1907, Nov Average, Nepal, NPL
3.70644, 1907, Dec Average, Nepal, NPL
2.48413, 1908, Jan Average, Nepal, NPL
4.66395, 1908, Feb Average, Nepal, NPL
9.19895, 1908, Mar Average, Nepal, NPL
15.3854, 1908, Apr Average, Nepal, NPL
16.7745, 1908, May Average, Nepal, NPL
19.4521, 1908, Jun Average, Nepal, NPL
18.4482, 1908, Jul Average, Nepal, NPL
17.8409, 1908, Aug Average, Nepal, NPL
16.89, 1908, Sep Average, Nepal, NPL
12.7415, 1908, Oct Average, Nepal, NPL
7.12748, 1908, Nov Average, Nepal, NPL
3.56425, 1908, Dec Average, Nepal, NPL
3.63361, 1909, Jan Average, Nepal, NPL
3.88483, 1909, Feb Average, Nepal, NPL
10.2686, 1909, Mar Average, Nepal, NPL
11.9125, 1909, Apr Average, Nepal, NPL
16.3558, 1909, May Average, Nepal, NPL
16.5453, 1909, Jun Average, Nepal, NPL
18.0726, 1909, Jul Average, Nepal, NPL
17.7686, 1909, Aug Average, Nepal, NPL
16.8506, 1909, Sep Average, Nepal, NPL
13.0479, 1909, Oct Average, Nepal, NPL
8.94034, 1909, Nov Average, Nepal, NPL
4.45024, 1909, Dec Average, Nepal, NPL
3.03855, 1910, Jan Average, Nepal, NPL
4.37011, 1910, Feb Average, Nepal, NPL
9.14013, 1910, Mar Average, Nepal, NPL
13.0988, 1910, Apr Average, Nepal, NPL
16.2541, 1910, May Average, Nepal, NPL
17.3223, 1910, Jun Average, Nepal, NPL
17.8785, 1910, Jul Average, Nepal, NPL
17.8462, 1910, Aug Average, Nepal, NPL
16.7444, 1910, Sep Average, Nepal, NPL
11.9491, 1910, Oct Average, Nepal, NPL
6.79058, 1910, Nov Average, Nepal, NPL
3.72593, 1910, Dec Average, Nepal, NPL
4.35497, 1911, Jan Average, Nepal, NPL
4.32941, 1911, Feb Average, Nepal, NPL
7.21219, 1911, Mar Average, Nepal, NPL
13.0379, 1911, Apr Average, Nepal, NPL
17.1327, 1911, May Average, Nepal, NPL
17.4327, 1911, Jun Average, Nepal, NPL
19.7414, 1911, Jul Average, Nepal, NPL
18.2657, 1911, Aug Average, Nepal, NPL
16.0839, 1911, Sep Average, Nepal, NPL
12.4946, 1911, Oct Average, Nepal, NPL
6.12185, 1911, Nov Average, Nepal, NPL
3.41713, 1911, Dec Average, Nepal, NPL
3.43416, 1912, Jan Average, Nepal, NPL
5.5001, 1912, Feb Average, Nepal, NPL
8.47019, 1912, Mar Average, Nepal, NPL
12.3925, 1912, Apr Average, Nepal, NPL
16.0975, 1912, May Average, Nepal, NPL
19.0712, 1912, Jun Average, Nepal, NPL
18.2832, 1912, Jul Average, Nepal, NPL
17.7384, 1912, Aug Average, Nepal, NPL
16.1736, 1912, Sep Average, Nepal, NPL
12.5014, 1912, Oct Average, Nepal, NPL
6.63431, 1912, Nov Average, Nepal, NPL
3.71406, 1912, Dec Average, Nepal, NPL
3.29045, 1913, Jan Average, Nepal, NPL
4.1335, 1913, Feb Average, Nepal, NPL
7.02262, 1913, Mar Average, Nepal, NPL
14.1731, 1913, Apr Average, Nepal, NPL
14.7626, 1913, May Average, Nepal, NPL
