Temperature - (Celsius), Year, Statistics, Country, ISO3
13.4998, 1901, Jan Average, New Zealand, NZL
13.3895, 1901, Feb Average, New Zealand, NZL
11.2996, 1901, Mar Average, New Zealand, NZL
10.3924, 1901, Apr Average, New Zealand, NZL
7.08923, 1901, May Average, New Zealand, NZL
6.16861, 1901, Jun Average, New Zealand, NZL
2.94135, 1901, Jul Average, New Zealand, NZL
4.47638, 1901, Aug Average, New Zealand, NZL
7.4429, 1901, Sep Average, New Zealand, NZL
9.78531, 1901, Oct Average, New Zealand, NZL
10.3858, 1901, Nov Average, New Zealand, NZL
12.0611, 1901, Dec Average, New Zealand, NZL
14.0686, 1902, Jan Average, New Zealand, NZL
14.0476, 1902, Feb Average, New Zealand, NZL
12.8242, 1902, Mar Average, New Zealand, NZL
9.5477, 1902, Apr Average, New Zealand, NZL
5.85297, 1902, May Average, New Zealand, NZL
4.92974, 1902, Jun Average, New Zealand, NZL
3.27725, 1902, Jul Average, New Zealand, NZL
4.24886, 1902, Aug Average, New Zealand, NZL
5.74452, 1902, Sep Average, New Zealand, NZL
7.77532, 1902, Oct Average, New Zealand, NZL
9.61135, 1902, Nov Average, New Zealand, NZL
10.6487, 1902, Dec Average, New Zealand, NZL
12.1216, 1903, Jan Average, New Zealand, NZL
13.6401, 1903, Feb Average, New Zealand, NZL
12.0118, 1903, Mar Average, New Zealand, NZL
9.46048, 1903, Apr Average, New Zealand, NZL
6.6874, 1903, May Average, New Zealand, NZL
3.71337, 1903, Jun Average, New Zealand, NZL
3.75893, 1903, Jul Average, New Zealand, NZL
3.83083, 1903, Aug Average, New Zealand, NZL
6.59647, 1903, Sep Average, New Zealand, NZL
10.6659, 1903, Oct Average, New Zealand, NZL
12.3235, 1903, Nov Average, New Zealand, NZL
14.0078, 1903, Dec Average, New Zealand, NZL
14.3145, 1904, Jan Average, New Zealand, NZL
14.2035, 1904, Feb Average, New Zealand, NZL
12.0939, 1904, Mar Average, New Zealand, NZL
9.61702, 1904, Apr Average, New Zealand, NZL
7.3661, 1904, May Average, New Zealand, NZL
4.76189, 1904, Jun Average, New Zealand, NZL
4.05786, 1904, Jul Average, New Zealand, NZL
4.31953, 1904, Aug Average, New Zealand, NZL
6.593, 1904, Sep Average, New Zealand, NZL
8.41918, 1904, Oct Average, New Zealand, NZL
9.99133, 1904, Nov Average, New Zealand, NZL
11.3205, 1904, Dec Average, New Zealand, NZL
12.7455, 1905, Jan Average, New Zealand, NZL
14.2334, 1905, Feb Average, New Zealand, NZL
12.9346, 1905, Mar Average, New Zealand, NZL
9.69635, 1905, Apr Average, New Zealand, NZL
7.04809, 1905, May Average, New Zealand, NZL
4.60309, 1905, Jun Average, New Zealand, NZL
4.03844, 1905, Jul Average, New Zealand, NZL
4.78967, 1905, Aug Average, New Zealand, NZL
6.70259, 1905, Sep Average, New Zealand, NZL
8.51267, 1905, Oct Average, New Zealand, NZL
10.7754, 1905, Nov Average, New Zealand, NZL
12.4314, 1905, Dec Average, New Zealand, NZL
12.6642, 1906, Jan Average, New Zealand, NZL
12.6371, 1906, Feb Average, New Zealand, NZL
11.4856, 1906, Mar Average, New Zealand, NZL
9.14348, 1906, Apr Average, New Zealand, NZL
6.83399, 1906, May Average, New Zealand, NZL
4.91037, 1906, Jun Average, New Zealand, NZL
4.18285, 1906, Jul Average, New Zealand, NZL
4.8249, 1906, Aug Average, New Zealand, NZL
6.80979, 1906, Sep Average, New Zealand, NZL
9.38177, 1906, Oct Average, New Zealand, NZL
10.4039, 1906, Nov Average, New Zealand, NZL
12.9944, 1906, Dec Average, New Zealand, NZL
14.6082, 1907, Jan Average, New Zealand, NZL
14.9687, 1907, Feb Average, New Zealand, NZL
13.8256, 1907, Mar Average, New Zealand, NZL
11.2818, 1907, Apr Average, New Zealand, NZL
7.16767, 1907, May Average, New Zealand, NZL
4.66072, 1907, Jun Average, New Zealand, NZL
4.29607, 1907, Jul Average, New Zealand, NZL
5.2245, 1907, Aug Average, New Zealand, NZL
6.7082, 1907, Sep Average, New Zealand, NZL
8.5715, 1907, Oct Average, New Zealand, NZL
11.7926, 1907, Nov Average, New Zealand, NZL
14.2331, 1907, Dec Average, New Zealand, NZL
14.9414, 1908, Jan Average, New Zealand, NZL
14.3212, 1908, Feb Average, New Zealand, NZL
13.2139, 1908, Mar Average, New Zealand, NZL
9.9944, 1908, Apr Average, New Zealand, NZL
7.79277, 1908, May Average, New Zealand, NZL
5.64208, 1908, Jun Average, New Zealand, NZL
3.32622, 1908, Jul Average, New Zealand, NZL
4.48978, 1908, Aug Average, New Zealand, NZL
7.92386, 1908, Sep Average, New Zealand, NZL
9.10344, 1908, Oct Average, New Zealand, NZL
11.2033, 1908, Nov Average, New Zealand, NZL
11.8122, 1908, Dec Average, New Zealand, NZL
13.1059, 1909, Jan Average, New Zealand, NZL
14.6841, 1909, Feb Average, New Zealand, NZL
13.5606, 1909, Mar Average, New Zealand, NZL
10.0155, 1909, Apr Average, New Zealand, NZL
8.13781, 1909, May Average, New Zealand, NZL
