Temperature - (Celsius), Year, Statistics, Country, ISO3
7.72768, 1901, Jan Average, Pakistan, PAK
8.936, 1901, Feb Average, Pakistan, PAK
16.9632, 1901, Mar Average, Pakistan, PAK
21.2741, 1901, Apr Average, Pakistan, PAK
26.0497, 1901, May Average, Pakistan, PAK
29.3811, 1901, Jun Average, Pakistan, PAK
29.2391, 1901, Jul Average, Pakistan, PAK
27.9718, 1901, Aug Average, Pakistan, PAK
25.2887, 1901, Sep Average, Pakistan, PAK
21.2279, 1901, Oct Average, Pakistan, PAK
15.7539, 1901, Nov Average, Pakistan, PAK
10.917, 1901, Dec Average, Pakistan, PAK
9.90868, 1902, Jan Average, Pakistan, PAK
11.2238, 1902, Feb Average, Pakistan, PAK
17.3237, 1902, Mar Average, Pakistan, PAK
22.1011, 1902, Apr Average, Pakistan, PAK
26.7454, 1902, May Average, Pakistan, PAK
28.6774, 1902, Jun Average, Pakistan, PAK
29.3654, 1902, Jul Average, Pakistan, PAK
28.2741, 1902, Aug Average, Pakistan, PAK
25.1602, 1902, Sep Average, Pakistan, PAK
20.8884, 1902, Oct Average, Pakistan, PAK
15.2654, 1902, Nov Average, Pakistan, PAK
9.94845, 1902, Dec Average, Pakistan, PAK
7.69502, 1903, Jan Average, Pakistan, PAK
10.009, 1903, Feb Average, Pakistan, PAK
13.2206, 1903, Mar Average, Pakistan, PAK
19.5796, 1903, Apr Average, Pakistan, PAK
25.6285, 1903, May Average, Pakistan, PAK
29.7751, 1903, Jun Average, Pakistan, PAK
29.0659, 1903, Jul Average, Pakistan, PAK
27.9325, 1903, Aug Average, Pakistan, PAK
26.0494, 1903, Sep Average, Pakistan, PAK
21.3515, 1903, Oct Average, Pakistan, PAK
14.0782, 1903, Nov Average, Pakistan, PAK
9.19253, 1903, Dec Average, Pakistan, PAK
6.93021, 1904, Jan Average, Pakistan, PAK
11.3519, 1904, Feb Average, Pakistan, PAK
15.2716, 1904, Mar Average, Pakistan, PAK
21.871, 1904, Apr Average, Pakistan, PAK
26.278, 1904, May Average, Pakistan, PAK
29.2731, 1904, Jun Average, Pakistan, PAK
28.8224, 1904, Jul Average, Pakistan, PAK
27.9196, 1904, Aug Average, Pakistan, PAK
25.3069, 1904, Sep Average, Pakistan, PAK
20.3797, 1904, Oct Average, Pakistan, PAK
15.4972, 1904, Nov Average, Pakistan, PAK
10.7429, 1904, Dec Average, Pakistan, PAK
6.75049, 1905, Jan Average, Pakistan, PAK
6.70157, 1905, Feb Average, Pakistan, PAK
12.538, 1905, Mar Average, Pakistan, PAK
19.8944, 1905, Apr Average, Pakistan, PAK
27.2105, 1905, May Average, Pakistan, PAK
29.3196, 1905, Jun Average, Pakistan, PAK
29.3462, 1905, Jul Average, Pakistan, PAK
28.2935, 1905, Aug Average, Pakistan, PAK
25.5066, 1905, Sep Average, Pakistan, PAK
21.4719, 1905, Oct Average, Pakistan, PAK
16.119, 1905, Nov Average, Pakistan, PAK
10.2265, 1905, Dec Average, Pakistan, PAK
6.99888, 1906, Jan Average, Pakistan, PAK
8.33483, 1906, Feb Average, Pakistan, PAK
14.2171, 1906, Mar Average, Pakistan, PAK
20.3203, 1906, Apr Average, Pakistan, PAK
27.1914, 1906, May Average, Pakistan, PAK
28.9734, 1906, Jun Average, Pakistan, PAK
29.352, 1906, Jul Average, Pakistan, PAK
28.2059, 1906, Aug Average, Pakistan, PAK
24.9951, 1906, Sep Average, Pakistan, PAK
21.3343, 1906, Oct Average, Pakistan, PAK
16.2258, 1906, Nov Average, Pakistan, PAK
11.5644, 1906, Dec Average, Pakistan, PAK
10.438, 1907, Jan Average, Pakistan, PAK
9.12774, 1907, Feb Average, Pakistan, PAK
14.2894, 1907, Mar Average, Pakistan, PAK
20.6502, 1907, Apr Average, Pakistan, PAK
24.6617, 1907, May Average, Pakistan, PAK
28.011, 1907, Jun Average, Pakistan, PAK
29.5999, 1907, Jul Average, Pakistan, PAK
27.2584, 1907, Aug Average, Pakistan, PAK
24.9491, 1907, Sep Average, Pakistan, PAK
20.1053, 1907, Oct Average, Pakistan, PAK
15.4206, 1907, Nov Average, Pakistan, PAK
9.60512, 1907, Dec Average, Pakistan, PAK
9.16938, 1908, Jan Average, Pakistan, PAK
10.4964, 1908, Feb Average, Pakistan, PAK
15.0003, 1908, Mar Average, Pakistan, PAK
21.5965, 1908, Apr Average, Pakistan, PAK
25.7166, 1908, May Average, Pakistan, PAK
29.3539, 1908, Jun Average, Pakistan, PAK
28.4189, 1908, Jul Average, Pakistan, PAK
26.8204, 1908, Aug Average, Pakistan, PAK
24.2037, 1908, Sep Average, Pakistan, PAK
19.7193, 1908, Oct Average, Pakistan, PAK
14.6582, 1908, Nov Average, Pakistan, PAK
9.50828, 1908, Dec Average, Pakistan, PAK
7.03193, 1909, Jan Average, Pakistan, PAK
9.29564, 1909, Feb Average, Pakistan, PAK
15.7865, 1909, Mar Average, Pakistan, PAK
20.9503, 1909, Apr Average, Pakistan, PAK
25.5858, 1909, May Average, Pakistan, PAK
29.0509, 1909, Jun Average, Pakistan, PAK
27.9125, 1909, Jul Average, Pakistan, PAK
27.2877, 1909, Aug Average, Pakistan, PAK
23.9227, 1909, Sep Average, Pakistan, PAK
20.2239, 1909, Oct Average, Pakistan, PAK
16.2276, 1909, Nov Average, Pakistan, PAK
9.69758, 1909, Dec Average, Pakistan, PAK
8.28281, 1910, Jan Average, Pakistan, PAK
10.7145, 1910, Feb Average, Pakistan, PAK
15.0186, 1910, Mar Average, Pakistan, PAK
20.0475, 1910, Apr Average, Pakistan, PAK
26.2383, 1910, May Average, Pakistan, PAK
28.9664, 1910, Jun Average, Pakistan, PAK
28.0875, 1910, Jul Average, Pakistan, PAK
27.3745, 1910, Aug Average, Pakistan, PAK
25.0666, 1910, Sep Average, Pakistan, PAK
20.1877, 1910, Oct Average, Pakistan, PAK
14.1164, 1910, Nov Average, Pakistan, PAK
8.60299, 1910, Dec Average, Pakistan, PAK
8.35633, 1911, Jan Average, Pakistan, PAK
10.6605, 1911, Feb Average, Pakistan, PAK
13.8202, 1911, Mar Average, Pakistan, PAK
20.689, 1911, Apr Average, Pakistan, PAK
26.6186, 1911, May Average, Pakistan, PAK
29.2712, 1911, Jun Average, Pakistan, PAK
29.1161, 1911, Jul Average, Pakistan, PAK
27.9389, 1911, Aug Average, Pakistan, PAK
25.5788, 1911, Sep Average, Pakistan, PAK
20.7565, 1911, Oct Average, Pakistan, PAK
13.1283, 1911, Nov Average, Pakistan, PAK
9.73885, 1911, Dec Average, Pakistan, PAK
