Temperature - (Celsius), Year, Statistics, Country, ISO3
25.5699, 1901, Jan Average, Philippines, PHL
24.1451, 1901, Feb Average, Philippines, PHL
25.4436, 1901, Mar Average, Philippines, PHL
27.0414, 1901, Apr Average, Philippines, PHL
27.4015, 1901, May Average, Philippines, PHL
26.7009, 1901, Jun Average, Philippines, PHL
26.1138, 1901, Jul Average, Philippines, PHL
25.3894, 1901, Aug Average, Philippines, PHL
26.0872, 1901, Sep Average, Philippines, PHL
25.8516, 1901, Oct Average, Philippines, PHL
25.4079, 1901, Nov Average, Philippines, PHL
24.5503, 1901, Dec Average, Philippines, PHL
25.4087, 1902, Jan Average, Philippines, PHL
23.0601, 1902, Feb Average, Philippines, PHL
25.8968, 1902, Mar Average, Philippines, PHL
26.7846, 1902, Apr Average, Philippines, PHL
27.3967, 1902, May Average, Philippines, PHL
26.5888, 1902, Jun Average, Philippines, PHL
25.7555, 1902, Jul Average, Philippines, PHL
25.6583, 1902, Aug Average, Philippines, PHL
25.2512, 1902, Sep Average, Philippines, PHL
25.6989, 1902, Oct Average, Philippines, PHL
25.4931, 1902, Nov Average, Philippines, PHL
25.4872, 1902, Dec Average, Philippines, PHL
24.5726, 1903, Jan Average, Philippines, PHL
23.5647, 1903, Feb Average, Philippines, PHL
25.1167, 1903, Mar Average, Philippines, PHL
26.117, 1903, Apr Average, Philippines, PHL
26.7051, 1903, May Average, Philippines, PHL
26.5627, 1903, Jun Average, Philippines, PHL
25.4947, 1903, Jul Average, Philippines, PHL
25.5717, 1903, Aug Average, Philippines, PHL
25.1767, 1903, Sep Average, Philippines, PHL
25.2869, 1903, Oct Average, Philippines, PHL
24.7978, 1903, Nov Average, Philippines, PHL
24.0308, 1903, Dec Average, Philippines, PHL
23.8663, 1904, Jan Average, Philippines, PHL
23.3955, 1904, Feb Average, Philippines, PHL
24.6543, 1904, Mar Average, Philippines, PHL
25.1118, 1904, Apr Average, Philippines, PHL
25.5115, 1904, May Average, Philippines, PHL
25.0237, 1904, Jun Average, Philippines, PHL
