Temperature - (Celsius), Year, Statistics, Country, ISO3
27.2487, 1901, Jan Average, Palau, PLW
27.2593, 1901, Feb Average, Palau, PLW
27.4593, 1901, Mar Average, Palau, PLW
27.8487, 1901, Apr Average, Palau, PLW
27.9973, 1901, May Average, Palau, PLW
27.6487, 1901, Jun Average, Palau, PLW
27.4005, 1901, Jul Average, Palau, PLW
27.4867, 1901, Aug Average, Palau, PLW
27.6867, 1901, Sep Average, Palau, PLW
27.7487, 1901, Oct Average, Palau, PLW
27.8112, 1901, Nov Average, Palau, PLW
27.6487, 1901, Dec Average, Palau, PLW
27.2487, 1902, Jan Average, Palau, PLW
27.2593, 1902, Feb Average, Palau, PLW
27.4593, 1902, Mar Average, Palau, PLW
27.8487, 1902, Apr Average, Palau, PLW
27.9973, 1902, May Average, Palau, PLW
27.6487, 1902, Jun Average, Palau, PLW
27.4005, 1902, Jul Average, Palau, PLW
27.4867, 1902, Aug Average, Palau, PLW
27.6867, 1902, Sep Average, Palau, PLW
27.7487, 1902, Oct Average, Palau, PLW
27.8112, 1902, Nov Average, Palau, PLW
27.6487, 1902, Dec Average, Palau, PLW
27.2487, 1903, Jan Average, Palau, PLW
27.2593, 1903, Feb Average, Palau, PLW
27.4593, 1903, Mar Average, Palau, PLW
27.8487, 1903, Apr Average, Palau, PLW
27.9973, 1903, May Average, Palau, PLW
27.6487, 1903, Jun Average, Palau, PLW
27.4005, 1903, Jul Average, Palau, PLW
27.4867, 1903, Aug Average, Palau, PLW
27.6867, 1903, Sep Average, Palau, PLW
27.7487, 1903, Oct Average, Palau, PLW
27.8112, 1903, Nov Average, Palau, PLW
27.6487, 1903, Dec Average, Palau, PLW
27.2487, 1904, Jan Average, Palau, PLW
27.2593, 1904, Feb Average, Palau, PLW
27.4593, 1904, Mar Average, Palau, PLW
27.8487, 1904, Apr Average, Palau, PLW
27.9973, 1904, May Average, Palau, PLW
27.6487, 1904, Jun Average, Palau, PLW
27.4005, 1904, Jul Average, Palau, PLW
27.4867, 1904, Aug Average, Palau, PLW
27.6867, 1904, Sep Average, Palau, PLW
27.7487, 1904, Oct Average, Palau, PLW
27.8112, 1904, Nov Average, Palau, PLW
27.6487, 1904, Dec Average, Palau, PLW
27.2487, 1905, Jan Average, Palau, PLW
27.2593, 1905, Feb Average, Palau, PLW
27.4593, 1905, Mar Average, Palau, PLW
27.8487, 1905, Apr Average, Palau, PLW
27.9973, 1905, May Average, Palau, PLW
27.6487, 1905, Jun Average, Palau, PLW
27.4005, 1905, Jul Average, Palau, PLW
27.4867, 1905, Aug Average, Palau, PLW
27.6867, 1905, Sep Average, Palau, PLW
27.7487, 1905, Oct Average, Palau, PLW
27.8112, 1905, Nov Average, Palau, PLW
27.6487, 1905, Dec Average, Palau, PLW
27.2487, 1906, Jan Average, Palau, PLW
27.2593, 1906, Feb Average, Palau, PLW
27.4593, 1906, Mar Average, Palau, PLW
27.8487, 1906, Apr Average, Palau, PLW
27.9973, 1906, May Average, Palau, PLW
27.6487, 1906, Jun Average, Palau, PLW
