Temperature - (Celsius), Year, Statistics, Country, ISO3
25.4303, 1901, Jan Average, Papua New Guinea, PNG
25.3047, 1901, Feb Average, Papua New Guinea, PNG
25.3145, 1901, Mar Average, Papua New Guinea, PNG
25.2758, 1901, Apr Average, Papua New Guinea, PNG
25.086, 1901, May Average, Papua New Guinea, PNG
24.4551, 1901, Jun Average, Papua New Guinea, PNG
24.0463, 1901, Jul Average, Papua New Guinea, PNG
24.2294, 1901, Aug Average, Papua New Guinea, PNG
24.6619, 1901, Sep Average, Papua New Guinea, PNG
25.2153, 1901, Oct Average, Papua New Guinea, PNG
25.5104, 1901, Nov Average, Papua New Guinea, PNG
25.5616, 1901, Dec Average, Papua New Guinea, PNG
25.4046, 1902, Jan Average, Papua New Guinea, PNG
25.3105, 1902, Feb Average, Papua New Guinea, PNG
25.325, 1902, Mar Average, Papua New Guinea, PNG
25.2828, 1902, Apr Average, Papua New Guinea, PNG
25.0906, 1902, May Average, Papua New Guinea, PNG
24.4492, 1902, Jun Average, Papua New Guinea, PNG
24.0579, 1902, Jul Average, Papua New Guinea, PNG
24.2434, 1902, Aug Average, Papua New Guinea, PNG
24.6584, 1902, Sep Average, Papua New Guinea, PNG
25.2048, 1902, Oct Average, Papua New Guinea, PNG
25.5104, 1902, Nov Average, Papua New Guinea, PNG
25.5546, 1902, Dec Average, Papua New Guinea, PNG
26.5069, 1903, Jan Average, Papua New Guinea, PNG
25.6072, 1903, Feb Average, Papua New Guinea, PNG
26.118, 1903, Mar Average, Papua New Guinea, PNG
25.4735, 1903, Apr Average, Papua New Guinea, PNG
24.7839, 1903, May Average, Papua New Guinea, PNG
24.535, 1903, Jun Average, Papua New Guinea, PNG
24.1547, 1903, Jul Average, Papua New Guinea, PNG
23.7447, 1903, Aug Average, Papua New Guinea, PNG
24.2703, 1903, Sep Average, Papua New Guinea, PNG
24.113, 1903, Oct Average, Papua New Guinea, PNG
25.2081, 1903, Nov Average, Papua New Guinea, PNG
25.653, 1903, Dec Average, Papua New Guinea, PNG
25.6042, 1904, Jan Average, Papua New Guinea, PNG
25.107, 1904, Feb Average, Papua New Guinea, PNG
25.318, 1904, Mar Average, Papua New Guinea, PNG
24.9712, 1904, Apr Average, Papua New Guinea, PNG
24.684, 1904, May Average, Papua New Guinea, PNG
23.535, 1904, Jun Average, Papua New Guinea, PNG
23.0557, 1904, Jul Average, Papua New Guinea, PNG
22.7445, 1904, Aug Average, Papua New Guinea, PNG
23.2713, 1904, Sep Average, Papua New Guinea, PNG
24.2115, 1904, Oct Average, Papua New Guinea, PNG
24.3096, 1904, Nov Average, Papua New Guinea, PNG
25.5534, 1904, Dec Average, Papua New Guinea, PNG
26.1048, 1905, Jan Average, Papua New Guinea, PNG
24.3091, 1905, Feb Average, Papua New Guinea, PNG
25.4213, 1905, Mar Average, Papua New Guinea, PNG
25.6723, 1905, Apr Average, Papua New Guinea, PNG
24.8849, 1905, May Average, Papua New Guinea, PNG
24.8362, 1905, Jun Average, Papua New Guinea, PNG
23.1572, 1905, Jul Average, Papua New Guinea, PNG
22.7453, 1905, Aug Average, Papua New Guinea, PNG
23.9698, 1905, Sep Average, Papua New Guinea, PNG
24.9106, 1905, Oct Average, Papua New Guinea, PNG
24.7097, 1905, Nov Average, Papua New Guinea, PNG
26.2553, 1905, Dec Average, Papua New Guinea, PNG
26.209, 1906, Jan Average, Papua New Guinea, PNG
26.707, 1906, Feb Average, Papua New Guinea, PNG
25.8199, 1906, Mar Average, Papua New Guinea, PNG
26.0723, 1906, Apr Average, Papua New Guinea, PNG
24.9861, 1906, May Average, Papua New Guinea, PNG
24.3404, 1906, Jun Average, Papua New Guinea, PNG
23.7572, 1906, Jul Average, Papua New Guinea, PNG
23.2458, 1906, Aug Average, Papua New Guinea, PNG
24.4689, 1906, Sep Average, Papua New Guinea, PNG
24.2121, 1906, Oct Average, Papua New Guinea, PNG
25.4048, 1906, Nov Average, Papua New Guinea, PNG
26.0534, 1906, Dec Average, Papua New Guinea, PNG
