Temperature - (Celsius), Year, Statistics, Country, ISO3
23.2758, 1901, Jan Average, Puerto Rico, PRI
23.8426, 1901, Feb Average, Puerto Rico, PRI
23.7392, 1901, Mar Average, Puerto Rico, PRI
24.7283, 1901, Apr Average, Puerto Rico, PRI
25.4251, 1901, May Average, Puerto Rico, PRI
25.7191, 1901, Jun Average, Puerto Rico, PRI
25.6108, 1901, Jul Average, Puerto Rico, PRI
26.2539, 1901, Aug Average, Puerto Rico, PRI
26.1069, 1901, Sep Average, Puerto Rico, PRI
25.5334, 1901, Oct Average, Puerto Rico, PRI
24.4487, 1901, Nov Average, Puerto Rico, PRI
23.1953, 1901, Dec Average, Puerto Rico, PRI
22.2485, 1902, Jan Average, Puerto Rico, PRI
23.1896, 1902, Feb Average, Puerto Rico, PRI
23.2371, 1902, Mar Average, Puerto Rico, PRI
23.6326, 1902, Apr Average, Puerto Rico, PRI
24.7239, 1902, May Average, Puerto Rico, PRI
25.5023, 1902, Jun Average, Puerto Rico, PRI
25.745, 1902, Jul Average, Puerto Rico, PRI
26.1529, 1902, Aug Average, Puerto Rico, PRI
25.6553, 1902, Sep Average, Puerto Rico, PRI
24.8703, 1902, Oct Average, Puerto Rico, PRI
24.345, 1902, Nov Average, Puerto Rico, PRI
23.5998, 1902, Dec Average, Puerto Rico, PRI
22.9669, 1903, Jan Average, Puerto Rico, PRI
22.9821, 1903, Feb Average, Puerto Rico, PRI
22.9668, 1903, Mar Average, Puerto Rico, PRI
23.9939, 1903, Apr Average, Puerto Rico, PRI
25.4405, 1903, May Average, Puerto Rico, PRI
25.954, 1903, Jun Average, Puerto Rico, PRI
25.7214, 1903, Jul Average, Puerto Rico, PRI
25.7543, 1903, Aug Average, Puerto Rico, PRI
25.6338, 1903, Sep Average, Puerto Rico, PRI
25.2582, 1903, Oct Average, Puerto Rico, PRI
24.2489, 1903, Nov Average, Puerto Rico, PRI
23.4643, 1903, Dec Average, Puerto Rico, PRI
22.516, 1904, Jan Average, Puerto Rico, PRI
22.2737, 1904, Feb Average, Puerto Rico, PRI
22.2671, 1904, Mar Average, Puerto Rico, PRI
22.9173, 1904, Apr Average, Puerto Rico, PRI
24.2169, 1904, May Average, Puerto Rico, PRI
25.0625, 1904, Jun Average, Puerto Rico, PRI
25.0538, 1904, Jul Average, Puerto Rico, PRI
25.1112, 1904, Aug Average, Puerto Rico, PRI
25.142, 1904, Sep Average, Puerto Rico, PRI
24.8268, 1904, Oct Average, Puerto Rico, PRI
24.8439, 1904, Nov Average, Puerto Rico, PRI
23.6558, 1904, Dec Average, Puerto Rico, PRI
22.5363, 1905, Jan Average, Puerto Rico, PRI
22.2382, 1905, Feb Average, Puerto Rico, PRI
22.5671, 1905, Mar Average, Puerto Rico, PRI
24.3817, 1905, Apr Average, Puerto Rico, PRI
24.2007, 1905, May Average, Puerto Rico, PRI
25.565, 1905, Jun Average, Puerto Rico, PRI
25.6567, 1905, Jul Average, Puerto Rico, PRI
25.9999, 1905, Aug Average, Puerto Rico, PRI
25.6729, 1905, Sep Average, Puerto Rico, PRI
25.3239, 1905, Oct Average, Puerto Rico, PRI
24.9754, 1905, Nov Average, Puerto Rico, PRI
23.5446, 1905, Dec Average, Puerto Rico, PRI
22.264, 1906, Jan Average, Puerto Rico, PRI
22.6, 1906, Feb Average, Puerto Rico, PRI
22.6824, 1906, Mar Average, Puerto Rico, PRI
23.708, 1906, Apr Average, Puerto Rico, PRI
24.6169, 1906, May Average, Puerto Rico, PRI
24.9118, 1906, Jun Average, Puerto Rico, PRI
25.269, 1906, Jul Average, Puerto Rico, PRI
25.8047, 1906, Aug Average, Puerto Rico, PRI
25.473, 1906, Sep Average, Puerto Rico, PRI
25.2821, 1906, Oct Average, Puerto Rico, PRI
24.787, 1906, Nov Average, Puerto Rico, PRI
22.5672, 1906, Dec Average, Puerto Rico, PRI
