Temperature - (Celsius), Year, Statistics, Country, ISO3
-10.648, 1901, Jan Average, Korea, Democratic People's Republic of, PRK
-10.571, 1901, Feb Average, Korea, Democratic People's Republic of, PRK
-2.2289, 1901, Mar Average, Korea, Democratic People's Republic of, PRK
6.47128, 1901, Apr Average, Korea, Democratic People's Republic of, PRK
11.9207, 1901, May Average, Korea, Democratic People's Republic of, PRK
16.6343, 1901, Jun Average, Korea, Democratic People's Republic of, PRK
19.1715, 1901, Jul Average, Korea, Democratic People's Republic of, PRK
20.8003, 1901, Aug Average, Korea, Democratic People's Republic of, PRK
14.9522, 1901, Sep Average, Korea, Democratic People's Republic of, PRK
8.49159, 1901, Oct Average, Korea, Democratic People's Republic of, PRK
-0.5196, 1901, Nov Average, Korea, Democratic People's Republic of, PRK
-11.033, 1901, Dec Average, Korea, Democratic People's Republic of, PRK
-12.325, 1902, Jan Average, Korea, Democratic People's Republic of, PRK
-9.2722, 1902, Feb Average, Korea, Democratic People's Republic of, PRK
-0.9891, 1902, Mar Average, Korea, Democratic People's Republic of, PRK
5.59529, 1902, Apr Average, Korea, Democratic People's Republic of, PRK
11.1663, 1902, May Average, Korea, Democratic People's Republic of, PRK
16.0052, 1902, Jun Average, Korea, Democratic People's Republic of, PRK
18.9951, 1902, Jul Average, Korea, Democratic People's Republic of, PRK
18.8877, 1902, Aug Average, Korea, Democratic People's Republic of, PRK
14.5675, 1902, Sep Average, Korea, Democratic People's Republic of, PRK
8.64412, 1902, Oct Average, Korea, Democratic People's Republic of, PRK
1.62509, 1902, Nov Average, Korea, Democratic People's Republic of, PRK
-7.4703, 1902, Dec Average, Korea, Democratic People's Republic of, PRK
-10.655, 1903, Jan Average, Korea, Democratic People's Republic of, PRK
-7.9198, 1903, Feb Average, Korea, Democratic People's Republic of, PRK
-0.6911, 1903, Mar Average, Korea, Democratic People's Republic of, PRK
7.09162, 1903, Apr Average, Korea, Democratic People's Republic of, PRK
11.4386, 1903, May Average, Korea, Democratic People's Republic of, PRK
16.4387, 1903, Jun Average, Korea, Democratic People's Republic of, PRK
19.5806, 1903, Jul Average, Korea, Democratic People's Republic of, PRK
21.0096, 1903, Aug Average, Korea, Democratic People's Republic of, PRK
15.6658, 1903, Sep Average, Korea, Democratic People's Republic of, PRK
7.05018, 1903, Oct Average, Korea, Democratic People's Republic of, PRK
-1.4837, 1903, Nov Average, Korea, Democratic People's Republic of, PRK
-10.453, 1903, Dec Average, Korea, Democratic People's Republic of, PRK
-13.345, 1904, Jan Average, Korea, Democratic People's Republic of, PRK
-8.6433, 1904, Feb Average, Korea, Democratic People's Republic of, PRK
-3.1262, 1904, Mar Average, Korea, Democratic People's Republic of, PRK
6.43013, 1904, Apr Average, Korea, Democratic People's Republic of, PRK
11.8827, 1904, May Average, Korea, Democratic People's Republic of, PRK
17.624, 1904, Jun Average, Korea, Democratic People's Republic of, PRK
21.0113, 1904, Jul Average, Korea, Democratic People's Republic of, PRK
21.1904, 1904, Aug Average, Korea, Democratic People's Republic of, PRK
14.7422, 1904, Sep Average, Korea, Democratic People's Republic of, PRK
6.90049, 1904, Oct Average, Korea, Democratic People's Republic of, PRK
-1.2649, 1904, Nov Average, Korea, Democratic People's Republic of, PRK
-8.9603, 1904, Dec Average, Korea, Democratic People's Republic of, PRK
-8.3699, 1905, Jan Average, Korea, Democratic People's Republic of, PRK
-10.264, 1905, Feb Average, Korea, Democratic People's Republic of, PRK
-2.2816, 1905, Mar Average, Korea, Democratic People's Republic of, PRK
4.66175, 1905, Apr Average, Korea, Democratic People's Republic of, PRK
11.0226, 1905, May Average, Korea, Democratic People's Republic of, PRK
16.607, 1905, Jun Average, Korea, Democratic People's Republic of, PRK
20.1001, 1905, Jul Average, Korea, Democratic People's Republic of, PRK
19.6341, 1905, Aug Average, Korea, Democratic People's Republic of, PRK
14.507, 1905, Sep Average, Korea, Democratic People's Republic of, PRK
7.85902, 1905, Oct Average, Korea, Democratic People's Republic of, PRK
-1.5183, 1905, Nov Average, Korea, Democratic People's Republic of, PRK
-7.7075, 1905, Dec Average, Korea, Democratic People's Republic of, PRK
-13.609, 1906, Jan Average, Korea, Democratic People's Republic of, PRK
-12.05, 1906, Feb Average, Korea, Democratic People's Republic of, PRK
-2.9356, 1906, Mar Average, Korea, Democratic People's Republic of, PRK
6.00093, 1906, Apr Average, Korea, Democratic People's Republic of, PRK
11.8962, 1906, May Average, Korea, Democratic People's Republic of, PRK
16.6371, 1906, Jun Average, Korea, Democratic People's Republic of, PRK
20.4078, 1906, Jul Average, Korea, Democratic People's Republic of, PRK
20.5081, 1906, Aug Average, Korea, Democratic People's Republic of, PRK
14.3221, 1906, Sep Average, Korea, Democratic People's Republic of, PRK
8.071, 1906, Oct Average, Korea, Democratic People's Republic of, PRK
-3.7095, 1906, Nov Average, Korea, Democratic People's Republic of, PRK
-9.1679, 1906, Dec Average, Korea, Democratic People's Republic of, PRK
-10.255, 1907, Jan Average, Korea, Democratic People's Republic of, PRK
-11.782, 1907, Feb Average, Korea, Democratic People's Republic of, PRK
-2.8588, 1907, Mar Average, Korea, Democratic People's Republic of, PRK
6.27021, 1907, Apr Average, Korea, Democratic People's Republic of, PRK
11.6475, 1907, May Average, Korea, Democratic People's Republic of, PRK
16.5588, 1907, Jun Average, Korea, Democratic People's Republic of, PRK
20.2068, 1907, Jul Average, Korea, Democratic People's Republic of, PRK
21.0298, 1907, Aug Average, Korea, Democratic People's Republic of, PRK
14.9117, 1907, Sep Average, Korea, Democratic People's Republic of, PRK
8.56947, 1907, Oct Average, Korea, Democratic People's Republic of, PRK
-2.3763, 1907, Nov Average, Korea, Democratic People's Republic of, PRK
-11.601, 1907, Dec Average, Korea, Democratic People's Republic of, PRK
-13.908, 1908, Jan Average, Korea, Democratic People's Republic of, PRK
-11.429, 1908, Feb Average, Korea, Democratic People's Republic of, PRK
-3.643, 1908, Mar Average, Korea, Democratic People's Republic of, PRK
5.50664, 1908, Apr Average, Korea, Democratic People's Republic of, PRK
10.6475, 1908, May Average, Korea, Democratic People's Republic of, PRK
16.9135, 1908, Jun Average, Korea, Democratic People's Republic of, PRK
19.5162, 1908, Jul Average, Korea, Democratic People's Republic of, PRK
20.4343, 1908, Aug Average, Korea, Democratic People's Republic of, PRK
14.2979, 1908, Sep Average, Korea, Democratic People's Republic of, PRK
8.5366, 1908, Oct Average, Korea, Democratic People's Republic of, PRK
-2.7099, 1908, Nov Average, Korea, Democratic People's Republic of, PRK
-8.0372, 1908, Dec Average, Korea, Democratic People's Republic of, PRK
-12.062, 1909, Jan Average, Korea, Democratic People's Republic of, PRK
-10.201, 1909, Feb Average, Korea, Democratic People's Republic of, PRK
-5.0073, 1909, Mar Average, Korea, Democratic People's Republic of, PRK
4.39077, 1909, Apr Average, Korea, Democratic People's Republic of, PRK
11.0748, 1909, May Average, Korea, Democratic People's Republic of, PRK
16.0726, 1909, Jun Average, Korea, Democratic People's Republic of, PRK
20.6466, 1909, Jul Average, Korea, Democratic People's Republic of, PRK
20.7415, 1909, Aug Average, Korea, Democratic People's Republic of, PRK
14.5536, 1909, Sep Average, Korea, Democratic People's Republic of, PRK
6.45916, 1909, Oct Average, Korea, Democratic People's Republic of, PRK
-0.9111, 1909, Nov Average, Korea, Democratic People's Republic of, PRK
-11.644, 1909, Dec Average, Korea, Democratic People's Republic of, PRK
-13.279, 1910, Jan Average, Korea, Democratic People's Republic of, PRK
-11.123, 1910, Feb Average, Korea, Democratic People's Republic of, PRK
-4.2999, 1910, Mar Average, Korea, Democratic People's Republic of, PRK
5.19115, 1910, Apr Average, Korea, Democratic People's Republic of, PRK
11.7062, 1910, May Average, Korea, Democratic People's Republic of, PRK
15.8893, 1910, Jun Average, Korea, Democratic People's Republic of, PRK
19.8591, 1910, Jul Average, Korea, Democratic People's Republic of, PRK
19.8174, 1910, Aug Average, Korea, Democratic People's Republic of, PRK
13.639, 1910, Sep Average, Korea, Democratic People's Republic of, PRK
8.29878, 1910, Oct Average, Korea, Democratic People's Republic of, PRK
-1.7758, 1910, Nov Average, Korea, Democratic People's Republic of, PRK
-13.324, 1910, Dec Average, Korea, Democratic People's Republic of, PRK
-14.085, 1911, Jan Average, Korea, Democratic People's Republic of, PRK
-9.9321, 1911, Feb Average, Korea, Democratic People's Republic of, PRK
-4.1725, 1911, Mar Average, Korea, Democratic People's Republic of, PRK
4.42616, 1911, Apr Average, Korea, Democratic People's Republic of, PRK
11.6226, 1911, May Average, Korea, Democratic People's Republic of, PRK
16.3222, 1911, Jun Average, Korea, Democratic People's Republic of, PRK
19.5956, 1911, Jul Average, Korea, Democratic People's Republic of, PRK
20.2273, 1911, Aug Average, Korea, Democratic People's Republic of, PRK
15.4964, 1911, Sep Average, Korea, Democratic People's Republic of, PRK
6.48711, 1911, Oct Average, Korea, Democratic People's Republic of, PRK
-0.2599, 1911, Nov Average, Korea, Democratic People's Republic of, PRK
-10.759, 1911, Dec Average, Korea, Democratic People's Republic of, PRK
-12.278, 1912, Jan Average, Korea, Democratic People's Republic of, PRK
-6.5786, 1912, Feb Average, Korea, Democratic People's Republic of, PRK
-2.5784, 1912, Mar Average, Korea, Democratic People's Republic of, PRK
5.31495, 1912, Apr Average, Korea, Democratic People's Republic of, PRK
10.3509, 1912, May Average, Korea, Democratic People's Republic of, PRK
16.6854, 1912, Jun Average, Korea, Democratic People's Republic of, PRK
20.2187, 1912, Jul Average, Korea, Democratic People's Republic of, PRK
20.3995, 1912, Aug Average, Korea, Democratic People's Republic of, PRK
12.6942, 1912, Sep Average, Korea, Democratic People's Republic of, PRK
5.01439, 1912, Oct Average, Korea, Democratic People's Republic of, PRK
-4.9735, 1912, Nov Average, Korea, Democratic People's Republic of, PRK
-12.304, 1912, Dec Average, Korea, Democratic People's Republic of, PRK
-14.295, 1913, Jan Average, Korea, Democratic People's Republic of, PRK
-10.909, 1913, Feb Average, Korea, Democratic People's Republic of, PRK
-4.2668, 1913, Mar Average, Korea, Democratic People's Republic of, PRK
6.09141, 1913, Apr Average, Korea, Democratic People's Republic of, PRK
10.8852, 1913, May Average, Korea, Democratic People's Republic of, PRK
15.5919, 1913, Jun Average, Korea, Democratic People's Republic of, PRK
18.6807, 1913, Jul Average, Korea, Democratic People's Republic of, PRK
19.8076, 1913, Aug Average, Korea, Democratic People's Republic of, PRK
14.1279, 1913, Sep Average, Korea, Democratic People's Republic of, PRK
6.89676, 1913, Oct Average, Korea, Democratic People's Republic of, PRK
-1.4764, 1913, Nov Average, Korea, Democratic People's Republic of, PRK
-10.586, 1913, Dec Average, Korea, Democratic People's Republic of, PRK
-10.521, 1914, Jan Average, Korea, Democratic People's Republic of, PRK
-8.3343, 1914, Feb Average, Korea, Democratic People's Republic of, PRK
-2.2082, 1914, Mar Average, Korea, Democratic People's Republic of, PRK
5.96456, 1914, Apr Average, Korea, Democratic People's Republic of, PRK
13.2087, 1914, May Average, Korea, Democratic People's Republic of, PRK
17.1706, 1914, Jun Average, Korea, Democratic People's Republic of, PRK
21.3937, 1914, Jul Average, Korea, Democratic People's Republic of, PRK
20.7645, 1914, Aug Average, Korea, Democratic People's Republic of, PRK
14.9305, 1914, Sep Average, Korea, Democratic People's Republic of, PRK
8.55517, 1914, Oct Average, Korea, Democratic People's Republic of, PRK
-2.441, 1914, Nov Average, Korea, Democratic People's Republic of, PRK
-10.839, 1914, Dec Average, Korea, Democratic People's Republic of, PRK
-15.478, 1915, Jan Average, Korea, Democratic People's Republic of, PRK
-11.995, 1915, Feb Average, Korea, Democratic People's Republic of, PRK
-6.1105, 1915, Mar Average, Korea, Democratic People's Republic of, PRK
3.52527, 1915, Apr Average, Korea, Democratic People's Republic of, PRK
10.2087, 1915, May Average, Korea, Democratic People's Republic of, PRK
16.2468, 1915, Jun Average, Korea, Democratic People's Republic of, PRK
20.7169, 1915, Jul Average, Korea, Democratic People's Republic of, PRK
20.1572, 1915, Aug Average, Korea, Democratic People's Republic of, PRK
13.8424, 1915, Sep Average, Korea, Democratic People's Republic of, PRK
7.92053, 1915, Oct Average, Korea, Democratic People's Republic of, PRK
-0.4978, 1915, Nov Average, Korea, Democratic People's Republic of, PRK
-7.4894, 1915, Dec Average, Korea, Democratic People's Republic of, PRK
-10.231, 1916, Jan Average, Korea, Democratic People's Republic of, PRK
-9.5313, 1916, Feb Average, Korea, Democratic People's Republic of, PRK
-6.1907, 1916, Mar Average, Korea, Democratic People's Republic of, PRK
4.48294, 1916, Apr Average, Korea, Democratic People's Republic of, PRK
