Temperature - (Celsius), Year, Statistics, Country, ISO3
16.2751, 1901, Jan Average, Qatar, QAT
18.0389, 1901, Feb Average, Qatar, QAT
22.6775, 1901, Mar Average, Qatar, QAT
27.3591, 1901, Apr Average, Qatar, QAT
32.6789, 1901, May Average, Qatar, QAT
34.2593, 1901, Jun Average, Qatar, QAT
35.9253, 1901, Jul Average, Qatar, QAT
35.1094, 1901, Aug Average, Qatar, QAT
34.033, 1901, Sep Average, Qatar, QAT
29.5115, 1901, Oct Average, Qatar, QAT
24.4962, 1901, Nov Average, Qatar, QAT
20.7, 1901, Dec Average, Qatar, QAT
17.7751, 1902, Jan Average, Qatar, QAT
19.1389, 1902, Feb Average, Qatar, QAT
23.834, 1902, Mar Average, Qatar, QAT
27.2591, 1902, Apr Average, Qatar, QAT
31.0789, 1902, May Average, Qatar, QAT
34.0593, 1902, Jun Average, Qatar, QAT
34.2253, 1902, Jul Average, Qatar, QAT
34.3094, 1902, Aug Average, Qatar, QAT
32.333, 1902, Sep Average, Qatar, QAT
27.7115, 1902, Oct Average, Qatar, QAT
22.1227, 1902, Nov Average, Qatar, QAT
17.2081, 1902, Dec Average, Qatar, QAT
15.2751, 1903, Jan Average, Qatar, QAT
16.5954, 1903, Feb Average, Qatar, QAT
20.3775, 1903, Mar Average, Qatar, QAT
24.4591, 1903, Apr Average, Qatar, QAT
31.0789, 1903, May Average, Qatar, QAT
33.9593, 1903, Jun Average, Qatar, QAT
34.2253, 1903, Jul Average, Qatar, QAT
35.6094, 1903, Aug Average, Qatar, QAT
32.633, 1903, Sep Average, Qatar, QAT
27.2115, 1903, Oct Average, Qatar, QAT
21.54, 1903, Nov Average, Qatar, QAT
17.6, 1903, Dec Average, Qatar, QAT
17.0832, 1904, Jan Average, Qatar, QAT
17.5389, 1904, Feb Average, Qatar, QAT
20.9775, 1904, Mar Average, Qatar, QAT
25.2672, 1904, Apr Average, Qatar, QAT
29.8789, 1904, May Average, Qatar, QAT
32.8593, 1904, Jun Average, Qatar, QAT
34.8253, 1904, Jul Average, Qatar, QAT
34.2094, 1904, Aug Average, Qatar, QAT
31.5191, 1904, Sep Average, Qatar, QAT
27.8115, 1904, Oct Average, Qatar, QAT
24.5044, 1904, Nov Average, Qatar, QAT
18.2, 1904, Dec Average, Qatar, QAT
15.6751, 1905, Jan Average, Qatar, QAT
16.5389, 1905, Feb Average, Qatar, QAT
20.0775, 1905, Mar Average, Qatar, QAT
25.9591, 1905, Apr Average, Qatar, QAT
30.4511, 1905, May Average, Qatar, QAT
33.4593, 1905, Jun Average, Qatar, QAT
34.6975, 1905, Jul Average, Qatar, QAT
34.7094, 1905, Aug Average, Qatar, QAT
32.333, 1905, Sep Average, Qatar, QAT
29.1024, 1905, Oct Average, Qatar, QAT
23.6962, 1905, Nov Average, Qatar, QAT
18, 1905, Dec Average, Qatar, QAT
15.8751, 1906, Jan Average, Qatar, QAT
16.9389, 1906, Feb Average, Qatar, QAT
20.3775, 1906, Mar Average, Qatar, QAT
24.3591, 1906, Apr Average, Qatar, QAT
31.0789, 1906, May Average, Qatar, QAT
32.8593, 1906, Jun Average, Qatar, QAT
34.4253, 1906, Jul Average, Qatar, QAT
33.6094, 1906, Aug Average, Qatar, QAT
31.233, 1906, Sep Average, Qatar, QAT
28.2196, 1906, Oct Average, Qatar, QAT
24.5962, 1906, Nov Average, Qatar, QAT
19.8081, 1906, Dec Average, Qatar, QAT
16.6029, 1907, Jan Average, Qatar, QAT
16.2954, 1907, Feb Average, Qatar, QAT
20.7775, 1907, Mar Average, Qatar, QAT
24.6591, 1907, Apr Average, Qatar, QAT
31.2789, 1907, May Average, Qatar, QAT
33.1593, 1907, Jun Average, Qatar, QAT
34.6253, 1907, Jul Average, Qatar, QAT
33.9094, 1907, Aug Average, Qatar, QAT
31.6411, 1907, Sep Average, Qatar, QAT
