Temperature - (Celsius), Year, Statistics, Country, ISO3
-7.234, 1901, Jan Average, Romania, ROU
-3.5725, 1901, Feb Average, Romania, ROU
4.82077, 1901, Mar Average, Romania, ROU
9.13922, 1901, Apr Average, Romania, ROU
14.918, 1901, May Average, Romania, ROU
19.4198, 1901, Jun Average, Romania, ROU
20.2602, 1901, Jul Average, Romania, ROU
18.827, 1901, Aug Average, Romania, ROU
14.528, 1901, Sep Average, Romania, ROU
10.3438, 1901, Oct Average, Romania, ROU
2.05441, 1901, Nov Average, Romania, ROU
2.45242, 1901, Dec Average, Romania, ROU
0.05891, 1902, Jan Average, Romania, ROU
1.0293, 1902, Feb Average, Romania, ROU
2.83793, 1902, Mar Average, Romania, ROU
7.84975, 1902, Apr Average, Romania, ROU
11.5131, 1902, May Average, Romania, ROU
17.4975, 1902, Jun Average, Romania, ROU
18.4194, 1902, Jul Average, Romania, ROU
19.4667, 1902, Aug Average, Romania, ROU
14.7794, 1902, Sep Average, Romania, ROU
9.55143, 1902, Oct Average, Romania, ROU
-0.7991, 1902, Nov Average, Romania, ROU
-6.5611, 1902, Dec Average, Romania, ROU
-3.4147, 1903, Jan Average, Romania, ROU
0.85501, 1903, Feb Average, Romania, ROU
5.10888, 1903, Mar Average, Romania, ROU
7.90978, 1903, Apr Average, Romania, ROU
14.3837, 1903, May Average, Romania, ROU
17.131, 1903, Jun Average, Romania, ROU
19.2422, 1903, Jul Average, Romania, ROU
18.6128, 1903, Aug Average, Romania, ROU
15.6299, 1903, Sep Average, Romania, ROU
10.117, 1903, Oct Average, Romania, ROU
5.07434, 1903, Nov Average, Romania, ROU
0.07387, 1903, Dec Average, Romania, ROU
-5.2996, 1904, Jan Average, Romania, ROU
1.8174, 1904, Feb Average, Romania, ROU
2.31336, 1904, Mar Average, Romania, ROU
8.73952, 1904, Apr Average, Romania, ROU
13.7249, 1904, May Average, Romania, ROU
17.7182, 1904, Jun Average, Romania, ROU
20.3326, 1904, Jul Average, Romania, ROU
19.3507, 1904, Aug Average, Romania, ROU
13.8375, 1904, Sep Average, Romania, ROU
10.2019, 1904, Oct Average, Romania, ROU
1.31495, 1904, Nov Average, Romania, ROU
-0.6575, 1904, Dec Average, Romania, ROU
-7.1894, 1905, Jan Average, Romania, ROU
-2.5903, 1905, Feb Average, Romania, ROU
3.0918, 1905, Mar Average, Romania, ROU
7.69883, 1905, Apr Average, Romania, ROU
14.9546, 1905, May Average, Romania, ROU
18.4256, 1905, Jun Average, Romania, ROU
21.0098, 1905, Jul Average, Romania, ROU
21.2387, 1905, Aug Average, Romania, ROU
16.4668, 1905, Sep Average, Romania, ROU
7.48117, 1905, Oct Average, Romania, ROU
6.50813, 1905, Nov Average, Romania, ROU
-1.2995, 1905, Dec Average, Romania, ROU
-3.3107, 1906, Jan Average, Romania, ROU
-0.4586, 1906, Feb Average, Romania, ROU
4.88379, 1906, Mar Average, Romania, ROU
10.3543, 1906, Apr Average, Romania, ROU
15.4706, 1906, May Average, Romania, ROU
17.993, 1906, Jun Average, Romania, ROU
19.9148, 1906, Jul Average, Romania, ROU
18.1446, 1906, Aug Average, Romania, ROU
13.7368, 1906, Sep Average, Romania, ROU
8.38899, 1906, Oct Average, Romania, ROU
6.13717, 1906, Nov Average, Romania, ROU
-1.9289, 1906, Dec Average, Romania, ROU
-5.7026, 1907, Jan Average, Romania, ROU
-5.3165, 1907, Feb Average, Romania, ROU
-0.8648, 1907, Mar Average, Romania, ROU
6.65104, 1907, Apr Average, Romania, ROU
17.6531, 1907, May Average, Romania, ROU
18.1935, 1907, Jun Average, Romania, ROU
19.0589, 1907, Jul Average, Romania, ROU
19.0998, 1907, Aug Average, Romania, ROU
14.6445, 1907, Sep Average, Romania, ROU
12.9875, 1907, Oct Average, Romania, ROU
1.8724, 1907, Nov Average, Romania, ROU
-0.0059, 1907, Dec Average, Romania, ROU
-3.8175, 1908, Jan Average, Romania, ROU
-0.4051, 1908, Feb Average, Romania, ROU
3.27948, 1908, Mar Average, Romania, ROU
8.279, 1908, Apr Average, Romania, ROU
16.8372, 1908, May Average, Romania, ROU
19.1531, 1908, Jun Average, Romania, ROU
19.441, 1908, Jul Average, Romania, ROU
18.4756, 1908, Aug Average, Romania, ROU
13.8882, 1908, Sep Average, Romania, ROU
7.86608, 1908, Oct Average, Romania, ROU
-1.4496, 1908, Nov Average, Romania, ROU
-3.0651, 1908, Dec Average, Romania, ROU
-6.5791, 1909, Jan Average, Romania, ROU
-6.6003, 1909, Feb Average, Romania, ROU
3.29017, 1909, Mar Average, Romania, ROU
8.9695, 1909, Apr Average, Romania, ROU
14.0566, 1909, May Average, Romania, ROU
17.4841, 1909, Jun Average, Romania, ROU
19.7203, 1909, Jul Average, Romania, ROU
20.59, 1909, Aug Average, Romania, ROU
17.0223, 1909, Sep Average, Romania, ROU
11.4974, 1909, Oct Average, Romania, ROU
3.09471, 1909, Nov Average, Romania, ROU
1.9679, 1909, Dec Average, Romania, ROU
-1.3565, 1910, Jan Average, Romania, ROU
2.67599, 1910, Feb Average, Romania, ROU
3.77597, 1910, Mar Average, Romania, ROU
9.37057, 1910, Apr Average, Romania, ROU
14.8889, 1910, May Average, Romania, ROU
18.7148, 1910, Jun Average, Romania, ROU
19.1153, 1910, Jul Average, Romania, ROU
18.9363, 1910, Aug Average, Romania, ROU
14.8817, 1910, Sep Average, Romania, ROU
8.71674, 1910, Oct Average, Romania, ROU
3.92429, 1910, Nov Average, Romania, ROU
1.74861, 1910, Dec Average, Romania, ROU
-2.5388, 1911, Jan Average, Romania, ROU
-5.6181, 1911, Feb Average, Romania, ROU
2.88016, 1911, Mar Average, Romania, ROU
8.68841, 1911, Apr Average, Romania, ROU
15.3161, 1911, May Average, Romania, ROU
17.2258, 1911, Jun Average, Romania, ROU
19.7107, 1911, Jul Average, Romania, ROU
19.5227, 1911, Aug Average, Romania, ROU
14.9459, 1911, Sep Average, Romania, ROU
10.3382, 1911, Oct Average, Romania, ROU
6.36205, 1911, Nov Average, Romania, ROU
0.04981, 1911, Dec Average, Romania, ROU
-6.7959, 1912, Jan Average, Romania, ROU
0.52294, 1912, Feb Average, Romania, ROU
6.1708, 1912, Mar Average, Romania, ROU
7.01787, 1912, Apr Average, Romania, ROU
12.8482, 1912, May Average, Romania, ROU
18.5312, 1912, Jun Average, Romania, ROU
18.8604, 1912, Jul Average, Romania, ROU
17.8944, 1912, Aug Average, Romania, ROU
12.1263, 1912, Sep Average, Romania, ROU
6.76504, 1912, Oct Average, Romania, ROU
2.53556, 1912, Nov Average, Romania, ROU
0.70818, 1912, Dec Average, Romania, ROU
-3.7288, 1913, Jan Average, Romania, ROU
-2.9102, 1913, Feb Average, Romania, ROU
6.15168, 1913, Mar Average, Romania, ROU
9.7953, 1913, Apr Average, Romania, ROU
13.3159, 1913, May Average, Romania, ROU
16.7164, 1913, Jun Average, Romania, ROU
17.2742, 1913, Jul Average, Romania, ROU
17.5628, 1913, Aug Average, Romania, ROU
15.3375, 1913, Sep Average, Romania, ROU
9.50733, 1913, Oct Average, Romania, ROU
4.79087, 1913, Nov Average, Romania, ROU
0.34329, 1913, Dec Average, Romania, ROU
-6.5757, 1914, Jan Average, Romania, ROU
-1.6773, 1914, Feb Average, Romania, ROU
5.29119, 1914, Mar Average, Romania, ROU
10.2507, 1914, Apr Average, Romania, ROU
14.0998, 1914, May Average, Romania, ROU
17.2305, 1914, Jun Average, Romania, ROU
19.6162, 1914, Jul Average, Romania, ROU
18.483, 1914, Aug Average, Romania, ROU
13.1694, 1914, Sep Average, Romania, ROU
8.17759, 1914, Oct Average, Romania, ROU
1.27778, 1914, Nov Average, Romania, ROU
0.68691, 1914, Dec Average, Romania, ROU
0.41838, 1915, Jan Average, Romania, ROU
0.00507, 1915, Feb Average, Romania, ROU
1.98022, 1915, Mar Average, Romania, ROU
9.05297, 1915, Apr Average, Romania, ROU
14.4718, 1915, May Average, Romania, ROU
19.0019, 1915, Jun Average, Romania, ROU
19.9461, 1915, Jul Average, Romania, ROU
17.2484, 1915, Aug Average, Romania, ROU
12.8782, 1915, Sep Average, Romania, ROU
8.92527, 1915, Oct Average, Romania, ROU
2.24798, 1915, Nov Average, Romania, ROU
2.7801, 1915, Dec Average, Romania, ROU
-0.5146, 1916, Jan Average, Romania, ROU
-0.6559, 1916, Feb Average, Romania, ROU
6.42925, 1916, Mar Average, Romania, ROU
9.51063, 1916, Apr Average, Romania, ROU
14.1642, 1916, May Average, Romania, ROU
17.8159, 1916, Jun Average, Romania, ROU
19.4907, 1916, Jul Average, Romania, ROU
18.1709, 1916, Aug Average, Romania, ROU
13.9897, 1916, Sep Average, Romania, ROU
9.79827, 1916, Oct Average, Romania, ROU
5.59315, 1916, Nov Average, Romania, ROU
2.30198, 1916, Dec Average, Romania, ROU
-1.8643, 1917, Jan Average, Romania, ROU
-6.7515, 1917, Feb Average, Romania, ROU
2.05983, 1917, Mar Average, Romania, ROU
8.9773, 1917, Apr Average, Romania, ROU
13.8014, 1917, May Average, Romania, ROU
18.6761, 1917, Jun Average, Romania, ROU
19.5194, 1917, Jul Average, Romania, ROU
20.7452, 1917, Aug Average, Romania, ROU
15.929, 1917, Sep Average, Romania, ROU
11.3074, 1917, Oct Average, Romania, ROU
5.54056, 1917, Nov Average, Romania, ROU
-2.9585, 1917, Dec Average, Romania, ROU
-1.2178, 1918, Jan Average, Romania, ROU
-2.2074, 1918, Feb Average, Romania, ROU
3.11118, 1918, Mar Average, Romania, ROU
10.3392, 1918, Apr Average, Romania, ROU
13.6049, 1918, May Average, Romania, ROU
16.4648, 1918, Jun Average, Romania, ROU
18.9844, 1918, Jul Average, Romania, ROU
18.8111, 1918, Aug Average, Romania, ROU
16.8273, 1918, Sep Average, Romania, ROU
12.0876, 1918, Oct Average, Romania, ROU
2.85865, 1918, Nov Average, Romania, ROU
-0.4243, 1918, Dec Average, Romania, ROU
-0.7195, 1919, Jan Average, Romania, ROU
-1.3386, 1919, Feb Average, Romania, ROU
4.47746, 1919, Mar Average, Romania, ROU
9.72483, 1919, Apr Average, Romania, ROU
10.449, 1919, May Average, Romania, ROU
16.5258, 1919, Jun Average, Romania, ROU
18.3818, 1919, Jul Average, Romania, ROU
17.8617, 1919, Aug Average, Romania, ROU
16.9951, 1919, Sep Average, Romania, ROU
9.31127, 1919, Oct Average, Romania, ROU
2.77209, 1919, Nov Average, Romania, ROU
-0.7755, 1919, Dec Average, Romania, ROU
-1.1758, 1920, Jan Average, Romania, ROU
-3.3744, 1920, Feb Average, Romania, ROU
4.85746, 1920, Mar Average, Romania, ROU
12.744, 1920, Apr Average, Romania, ROU
15.9305, 1920, May Average, Romania, ROU
16.6604, 1920, Jun Average, Romania, ROU
20.8729, 1920, Jul Average, Romania, ROU
19.1678, 1920, Aug Average, Romania, ROU
14.82, 1920, Sep Average, Romania, ROU
5.66351, 1920, Oct Average, Romania, ROU
-0.7243, 1920, Nov Average, Romania, ROU
-0.9924, 1920, Dec Average, Romania, ROU
0.98617, 1921, Jan Average, Romania, ROU
-3.1964, 1921, Feb Average, Romania, ROU
5.16234, 1921, Mar Average, Romania, ROU
9.38146, 1921, Apr Average, Romania, ROU
16.1558, 1921, May Average, Romania, ROU
16.4915, 1921, Jun Average, Romania, ROU
19.875, 1921, Jul Average, Romania, ROU
20.427, 1921, Aug Average, Romania, ROU
13.4617, 1921, Sep Average, Romania, ROU
8.87465, 1921, Oct Average, Romania, ROU
1.22108, 1921, Nov Average, Romania, ROU
-2.575, 1921, Dec Average, Romania, ROU
-5.591, 1922, Jan Average, Romania, ROU
-4.111, 1922, Feb Average, Romania, ROU
5.76632, 1922, Mar Average, Romania, ROU
8.62185, 1922, Apr Average, Romania, ROU
14.4815, 1922, May Average, Romania, ROU
17.9203, 1922, Jun Average, Romania, ROU
20.5113, 1922, Jul Average, Romania, ROU
19.3998, 1922, Aug Average, Romania, ROU
14.0125, 1922, Sep Average, Romania, ROU
7.97802, 1922, Oct Average, Romania, ROU
1.24751, 1922, Nov Average, Romania, ROU
-2.3767, 1922, Dec Average, Romania, ROU
-1.8603, 1923, Jan Average, Romania, ROU
-2.1044, 1923, Feb Average, Romania, ROU
4.46127, 1923, Mar Average, Romania, ROU
8.37842, 1923, Apr Average, Romania, ROU
16.8672, 1923, May Average, Romania, ROU
16.2391, 1923, Jun Average, Romania, ROU
19.6228, 1923, Jul Average, Romania, ROU
18.5438, 1923, Aug Average, Romania, ROU
16.2878, 1923, Sep Average, Romania, ROU
12.7461, 1923, Oct Average, Romania, ROU
8.56371, 1923, Nov Average, Romania, ROU
-0.2327, 1923, Dec Average, Romania, ROU
-8.0626, 1924, Jan Average, Romania, ROU
-2.9736, 1924, Feb Average, Romania, ROU
2.06412, 1924, Mar Average, Romania, ROU
8.66409, 1924, Apr Average, Romania, ROU
17.0511, 1924, May Average, Romania, ROU
19.4206, 1924, Jun Average, Romania, ROU
19.4403, 1924, Jul Average, Romania, ROU
18.5477, 1924, Aug Average, Romania, ROU
17.5596, 1924, Sep Average, Romania, ROU
9.58469, 1924, Oct Average, Romania, ROU
1.29571, 1924, Nov Average, Romania, ROU
-2.1599, 1924, Dec Average, Romania, ROU
-1.5113, 1925, Jan Average, Romania, ROU
3.96892, 1925, Feb Average, Romania, ROU
4.12281, 1925, Mar Average, Romania, ROU
9.90321, 1925, Apr Average, Romania, ROU
15.5736, 1925, May Average, Romania, ROU
15.6381, 1925, Jun Average, Romania, ROU
19.7047, 1925, Jul Average, Romania, ROU
18.3879, 1925, Aug Average, Romania, ROU
14.2079, 1925, Sep Average, Romania, ROU
9.47534, 1925, Oct Average, Romania, ROU
5.76347, 1925, Nov Average, Romania, ROU
-3.2887, 1925, Dec Average, Romania, ROU
-2.5507, 1926, Jan Average, Romania, ROU
0.90706, 1926, Feb Average, Romania, ROU
2.4939, 1926, Mar Average, Romania, ROU
11.0039, 1926, Apr Average, Romania, ROU
14.3209, 1926, May Average, Romania, ROU
17.546, 1926, Jun Average, Romania, ROU
19.5822, 1926, Jul Average, Romania, ROU
16.7773, 1926, Aug Average, Romania, ROU
14.9931, 1926, Sep Average, Romania, ROU
10.7173, 1926, Oct Average, Romania, ROU
9.47422, 1926, Nov Average, Romania, ROU
-0.8303, 1926, Dec Average, Romania, ROU
-1.8079, 1927, Jan Average, Romania, ROU
-3.4813, 1927, Feb Average, Romania, ROU
6.77586, 1927, Mar Average, Romania, ROU
9.79926, 1927, Apr Average, Romania, ROU
13.8419, 1927, May Average, Romania, ROU
19.5182, 1927, Jun Average, Romania, ROU
20.7583, 1927, Jul Average, Romania, ROU
20.748, 1927, Aug Average, Romania, ROU
17.3214, 1927, Sep Average, Romania, ROU
10.2103, 1927, Oct Average, Romania, ROU
5.08676, 1927, Nov Average, Romania, ROU
-5.3102, 1927, Dec Average, Romania, ROU
-3.8809, 1928, Jan Average, Romania, ROU
-3.5578, 1928, Feb Average, Romania, ROU
