Temperature - (Celsius), Year, Statistics, Country, ISO3
19.4875, 1901, Jan Average, Rwanda, RWA
18.7822, 1901, Feb Average, Rwanda, RWA
19.427, 1901, Mar Average, Rwanda, RWA
19.3285, 1901, Apr Average, Rwanda, RWA
19.1676, 1901, May Average, Rwanda, RWA
18.0605, 1901, Jun Average, Rwanda, RWA
18.0809, 1901, Jul Average, Rwanda, RWA
19.3174, 1901, Aug Average, Rwanda, RWA
19.6758, 1901, Sep Average, Rwanda, RWA
19.9912, 1901, Oct Average, Rwanda, RWA
19.7698, 1901, Nov Average, Rwanda, RWA
19.9926, 1901, Dec Average, Rwanda, RWA
19.2817, 1902, Jan Average, Rwanda, RWA
19.3994, 1902, Feb Average, Rwanda, RWA
19.5641, 1902, Mar Average, Rwanda, RWA
19.0914, 1902, Apr Average, Rwanda, RWA
20.7171, 1902, May Average, Rwanda, RWA
20.437, 1902, Jun Average, Rwanda, RWA
18.6982, 1902, Jul Average, Rwanda, RWA
20.552, 1902, Aug Average, Rwanda, RWA
19.6824, 1902, Sep Average, Rwanda, RWA
19.7512, 1902, Oct Average, Rwanda, RWA
18.8466, 1902, Nov Average, Rwanda, RWA
18.1517, 1902, Dec Average, Rwanda, RWA
19.2817, 1903, Jan Average, Rwanda, RWA
19.4309, 1903, Feb Average, Rwanda, RWA
19.0157, 1903, Mar Average, Rwanda, RWA
19.2285, 1903, Apr Average, Rwanda, RWA
19.2029, 1903, May Average, Rwanda, RWA
19.6303, 1903, Jun Average, Rwanda, RWA
18.561, 1903, Jul Average, Rwanda, RWA
20.5519, 1903, Aug Average, Rwanda, RWA
19.2023, 1903, Sep Average, Rwanda, RWA
19.0083, 1903, Oct Average, Rwanda, RWA
19.3895, 1903, Nov Average, Rwanda, RWA
18.9138, 1903, Dec Average, Rwanda, RWA
18.0573, 1904, Jan Average, Rwanda, RWA
18.0908, 1904, Feb Average, Rwanda, RWA
18.4321, 1904, Mar Average, Rwanda, RWA
19.029, 1904, Apr Average, Rwanda, RWA
19.4148, 1904, May Average, Rwanda, RWA
19.4745, 1904, Jun Average, Rwanda, RWA
19.052, 1904, Jul Average, Rwanda, RWA
20.563, 1904, Aug Average, Rwanda, RWA
19.8635, 1904, Sep Average, Rwanda, RWA
17.6732, 1904, Oct Average, Rwanda, RWA
17.9466, 1904, Nov Average, Rwanda, RWA
17.9798, 1904, Dec Average, Rwanda, RWA
19.276, 1905, Jan Average, Rwanda, RWA
19.3034, 1905, Feb Average, Rwanda, RWA
18.8494, 1905, Mar Average, Rwanda, RWA
18.1971, 1905, Apr Average, Rwanda, RWA
19.0255, 1905, May Average, Rwanda, RWA
19.1944, 1905, Jun Average, Rwanda, RWA
18.0621, 1905, Jul Average, Rwanda, RWA
19.1601, 1905, Aug Average, Rwanda, RWA
19.5916, 1905, Sep Average, Rwanda, RWA
19.9164, 1905, Oct Average, Rwanda, RWA
19.01, 1905, Nov Average, Rwanda, RWA
18.3273, 1905, Dec Average, Rwanda, RWA
17.5572, 1906, Jan Average, Rwanda, RWA
19.203, 1906, Feb Average, Rwanda, RWA
18.127, 1906, Mar Average, Rwanda, RWA
18.1216, 1906, Apr Average, Rwanda, RWA
18.6119, 1906, May Average, Rwanda, RWA
17.9831, 1906, Jun Average, Rwanda, RWA
17.0193, 1906, Jul Average, Rwanda, RWA
18.2659, 1906, Aug Average, Rwanda, RWA
18.6403, 1906, Sep Average, Rwanda, RWA
19.1198, 1906, Oct Average, Rwanda, RWA
19.7135, 1906, Nov Average, Rwanda, RWA
19.3072, 1906, Dec Average, Rwanda, RWA
18.2817, 1907, Jan Average, Rwanda, RWA
18.6532, 1907, Feb Average, Rwanda, RWA
18.9114, 1907, Mar Average, Rwanda, RWA
18.3968, 1907, Apr Average, Rwanda, RWA
18.3572, 1907, May Average, Rwanda, RWA
17.7344, 1907, Jun Average, Rwanda, RWA
17.5668, 1907, Jul Average, Rwanda, RWA
17.9843, 1907, Aug Average, Rwanda, RWA
18.8452, 1907, Sep Average, Rwanda, RWA
19.5512, 1907, Oct Average, Rwanda, RWA
18.8726, 1907, Nov Average, Rwanda, RWA
18.6261, 1907, Dec Average, Rwanda, RWA
19.3154, 1908, Jan Average, Rwanda, RWA
19.5113, 1908, Feb Average, Rwanda, RWA
19.1106, 1908, Mar Average, Rwanda, RWA
19.5684, 1908, Apr Average, Rwanda, RWA
18.6362, 1908, May Average, Rwanda, RWA
18.8919, 1908, Jun Average, Rwanda, RWA
18.9059, 1908, Jul Average, Rwanda, RWA
20.348, 1908, Aug Average, Rwanda, RWA
19.3766, 1908, Sep Average, Rwanda, RWA
19.214, 1908, Oct Average, Rwanda, RWA
18.8152, 1908, Nov Average, Rwanda, RWA
