Temperature - (Celsius), Year, Statistics, Country, ISO3
21.0953, 1901, Jan Average, Sudan, SDN
25.0527, 1901, Feb Average, Sudan, SDN
26.6165, 1901, Mar Average, Sudan, SDN
28.9499, 1901, Apr Average, Sudan, SDN
31.3859, 1901, May Average, Sudan, SDN
30.6815, 1901, Jun Average, Sudan, SDN
31.7622, 1901, Jul Average, Sudan, SDN
30.4806, 1901, Aug Average, Sudan, SDN
30.6385, 1901, Sep Average, Sudan, SDN
29.1238, 1901, Oct Average, Sudan, SDN
25.0552, 1901, Nov Average, Sudan, SDN
22.412, 1901, Dec Average, Sudan, SDN
18.6368, 1902, Jan Average, Sudan, SDN
24.6361, 1902, Feb Average, Sudan, SDN
26.2977, 1902, Mar Average, Sudan, SDN
28.992, 1902, Apr Average, Sudan, SDN
31.4678, 1902, May Average, Sudan, SDN
31.6241, 1902, Jun Average, Sudan, SDN
29.7694, 1902, Jul Average, Sudan, SDN
31.0304, 1902, Aug Average, Sudan, SDN
29.4789, 1902, Sep Average, Sudan, SDN
26.9861, 1902, Oct Average, Sudan, SDN
23.0848, 1902, Nov Average, Sudan, SDN
19.1617, 1902, Dec Average, Sudan, SDN
17.449, 1903, Jan Average, Sudan, SDN
18.6735, 1903, Feb Average, Sudan, SDN
22.1963, 1903, Mar Average, Sudan, SDN
28.3965, 1903, Apr Average, Sudan, SDN
30.0067, 1903, May Average, Sudan, SDN
31.4545, 1903, Jun Average, Sudan, SDN
30.9081, 1903, Jul Average, Sudan, SDN
30.7254, 1903, Aug Average, Sudan, SDN
28.4345, 1903, Sep Average, Sudan, SDN
27.3701, 1903, Oct Average, Sudan, SDN
24.8931, 1903, Nov Average, Sudan, SDN
22.8824, 1903, Dec Average, Sudan, SDN
21.0227, 1904, Jan Average, Sudan, SDN
22.3671, 1904, Feb Average, Sudan, SDN
25.0532, 1904, Mar Average, Sudan, SDN
27.5965, 1904, Apr Average, Sudan, SDN
30.187, 1904, May Average, Sudan, SDN
31.3851, 1904, Jun Average, Sudan, SDN
30.2484, 1904, Jul Average, Sudan, SDN
31.3257, 1904, Aug Average, Sudan, SDN
29.3848, 1904, Sep Average, Sudan, SDN
27.9306, 1904, Oct Average, Sudan, SDN
23.3294, 1904, Nov Average, Sudan, SDN
19.6014, 1904, Dec Average, Sudan, SDN
20.0724, 1905, Jan Average, Sudan, SDN
20.1666, 1905, Feb Average, Sudan, SDN
23.334, 1905, Mar Average, Sudan, SDN
27.0367, 1905, Apr Average, Sudan, SDN
29.8209, 1905, May Average, Sudan, SDN
31.9548, 1905, Jun Average, Sudan, SDN
31.0069, 1905, Jul Average, Sudan, SDN
30.2771, 1905, Aug Average, Sudan, SDN
29.8682, 1905, Sep Average, Sudan, SDN
28.4266, 1905, Oct Average, Sudan, SDN
25.9104, 1905, Nov Average, Sudan, SDN
20.7903, 1905, Dec Average, Sudan, SDN
20.3963, 1906, Jan Average, Sudan, SDN
23.7808, 1906, Feb Average, Sudan, SDN
24.5922, 1906, Mar Average, Sudan, SDN
27.8682, 1906, Apr Average, Sudan, SDN
31.8129, 1906, May Average, Sudan, SDN
32.4035, 1906, Jun Average, Sudan, SDN
30.7483, 1906, Jul Average, Sudan, SDN
29.5626, 1906, Aug Average, Sudan, SDN
28.9744, 1906, Sep Average, Sudan, SDN
28.2264, 1906, Oct Average, Sudan, SDN
24.5589, 1906, Nov Average, Sudan, SDN
22.7639, 1906, Dec Average, Sudan, SDN
21.7518, 1907, Jan Average, Sudan, SDN
23.5086, 1907, Feb Average, Sudan, SDN
25.046, 1907, Mar Average, Sudan, SDN
