Temperature - (Celsius), Year, Statistics, Country, ISO3
24.8964, 1901, Jan Average, Senegal, SEN
27.4421, 1901, Feb Average, Senegal, SEN
27.7309, 1901, Mar Average, Senegal, SEN
30.6239, 1901, Apr Average, Senegal, SEN
30.3933, 1901, May Average, Senegal, SEN
30.92, 1901, Jun Average, Senegal, SEN
29.038, 1901, Jul Average, Senegal, SEN
28.302, 1901, Aug Average, Senegal, SEN
28.282, 1901, Sep Average, Senegal, SEN
28.1266, 1901, Oct Average, Senegal, SEN
25.255, 1901, Nov Average, Senegal, SEN
23.4699, 1901, Dec Average, Senegal, SEN
25.116, 1902, Jan Average, Senegal, SEN
27.1077, 1902, Feb Average, Senegal, SEN
27.7627, 1902, Mar Average, Senegal, SEN
30.2938, 1902, Apr Average, Senegal, SEN
31.366, 1902, May Average, Senegal, SEN
31.3559, 1902, Jun Average, Senegal, SEN
29.4318, 1902, Jul Average, Senegal, SEN
28.7244, 1902, Aug Average, Senegal, SEN
28.0915, 1902, Sep Average, Senegal, SEN
29.6747, 1902, Oct Average, Senegal, SEN
28.1879, 1902, Nov Average, Senegal, SEN
23.4554, 1902, Dec Average, Senegal, SEN
23.7293, 1903, Jan Average, Senegal, SEN
27.1988, 1903, Feb Average, Senegal, SEN
29.1081, 1903, Mar Average, Senegal, SEN
29.8532, 1903, Apr Average, Senegal, SEN
30.9119, 1903, May Average, Senegal, SEN
30.2185, 1903, Jun Average, Senegal, SEN
29.0357, 1903, Jul Average, Senegal, SEN
27.7844, 1903, Aug Average, Senegal, SEN
27.8708, 1903, Sep Average, Senegal, SEN
29.49, 1903, Oct Average, Senegal, SEN
27.5406, 1903, Nov Average, Senegal, SEN
23.7817, 1903, Dec Average, Senegal, SEN
24.102, 1904, Jan Average, Senegal, SEN
26.3367, 1904, Feb Average, Senegal, SEN
27.8531, 1904, Mar Average, Senegal, SEN
30.2104, 1904, Apr Average, Senegal, SEN
30.8264, 1904, May Average, Senegal, SEN
30.1892, 1904, Jun Average, Senegal, SEN
28.677, 1904, Jul Average, Senegal, SEN
27.532, 1904, Aug Average, Senegal, SEN
28.0866, 1904, Sep Average, Senegal, SEN
28.6204, 1904, Oct Average, Senegal, SEN
27.6382, 1904, Nov Average, Senegal, SEN
24.1503, 1904, Dec Average, Senegal, SEN
24.6219, 1905, Jan Average, Senegal, SEN
26.1653, 1905, Feb Average, Senegal, SEN
28.3345, 1905, Mar Average, Senegal, SEN
29.8799, 1905, Apr Average, Senegal, SEN
30.5268, 1905, May Average, Senegal, SEN
30.3263, 1905, Jun Average, Senegal, SEN
29.1458, 1905, Jul Average, Senegal, SEN
27.9293, 1905, Aug Average, Senegal, SEN
28.4873, 1905, Sep Average, Senegal, SEN
28.6984, 1905, Oct Average, Senegal, SEN
26.8025, 1905, Nov Average, Senegal, SEN
24.7298, 1905, Dec Average, Senegal, SEN
25.3801, 1906, Jan Average, Senegal, SEN
26.5346, 1906, Feb Average, Senegal, SEN
29.4689, 1906, Mar Average, Senegal, SEN
30.1688, 1906, Apr Average, Senegal, SEN
30.8855, 1906, May Average, Senegal, SEN
30.9637, 1906, Jun Average, Senegal, SEN
28.5282, 1906, Jul Average, Senegal, SEN
27.243, 1906, Aug Average, Senegal, SEN
28.1139, 1906, Sep Average, Senegal, SEN
28.7511, 1906, Oct Average, Senegal, SEN
27.459, 1906, Nov Average, Senegal, SEN
23.4864, 1906, Dec Average, Senegal, SEN
23.656, 1907, Jan Average, Senegal, SEN
25.5824, 1907, Feb Average, Senegal, SEN
27.7472, 1907, Mar Average, Senegal, SEN
29.2726, 1907, Apr Average, Senegal, SEN
29.8026, 1907, May Average, Senegal, SEN
29.2712, 1907, Jun Average, Senegal, SEN
28.6806, 1907, Jul Average, Senegal, SEN
27.342, 1907, Aug Average, Senegal, SEN
27.7849, 1907, Sep Average, Senegal, SEN
28.3337, 1907, Oct Average, Senegal, SEN
26.1037, 1907, Nov Average, Senegal, SEN
23.7084, 1907, Dec Average, Senegal, SEN
24.4762, 1908, Jan Average, Senegal, SEN
26.33, 1908, Feb Average, Senegal, SEN
28.6814, 1908, Mar Average, Senegal, SEN
30.6631, 1908, Apr Average, Senegal, SEN
31.4446, 1908, May Average, Senegal, SEN
30.7963, 1908, Jun Average, Senegal, SEN
29.1364, 1908, Jul Average, Senegal, SEN
27.5835, 1908, Aug Average, Senegal, SEN
28.3159, 1908, Sep Average, Senegal, SEN
29.1206, 1908, Oct Average, Senegal, SEN
27.7192, 1908, Nov Average, Senegal, SEN
25.4755, 1908, Dec Average, Senegal, SEN
24.0068, 1909, Jan Average, Senegal, SEN
26.2258, 1909, Feb Average, Senegal, SEN
29.2583, 1909, Mar Average, Senegal, SEN
29.9818, 1909, Apr Average, Senegal, SEN
31.0617, 1909, May Average, Senegal, SEN
30.0468, 1909, Jun Average, Senegal, SEN
28.8703, 1909, Jul Average, Senegal, SEN
27.7338, 1909, Aug Average, Senegal, SEN
27.8003, 1909, Sep Average, Senegal, SEN
28.7984, 1909, Oct Average, Senegal, SEN
27.0205, 1909, Nov Average, Senegal, SEN
24.7165, 1909, Dec Average, Senegal, SEN
23.5472, 1910, Jan Average, Senegal, SEN
26.9034, 1910, Feb Average, Senegal, SEN
28.4468, 1910, Mar Average, Senegal, SEN
30.2016, 1910, Apr Average, Senegal, SEN
31.0653, 1910, May Average, Senegal, SEN
30.4106, 1910, Jun Average, Senegal, SEN
28.2859, 1910, Jul Average, Senegal, SEN
27.7825, 1910, Aug Average, Senegal, SEN
28.4009, 1910, Sep Average, Senegal, SEN
29.3481, 1910, Oct Average, Senegal, SEN
28.5817, 1910, Nov Average, Senegal, SEN
24.7929, 1910, Dec Average, Senegal, SEN
23.4667, 1911, Jan Average, Senegal, SEN
26.0965, 1911, Feb Average, Senegal, SEN
27.1208, 1911, Mar Average, Senegal, SEN
30.3123, 1911, Apr Average, Senegal, SEN
30.5406, 1911, May Average, Senegal, SEN
29.6953, 1911, Jun Average, Senegal, SEN
28.8845, 1911, Jul Average, Senegal, SEN
27.8679, 1911, Aug Average, Senegal, SEN
28.4658, 1911, Sep Average, Senegal, SEN
29.7425, 1911, Oct Average, Senegal, SEN
27.5494, 1911, Nov Average, Senegal, SEN
25.1037, 1911, Dec Average, Senegal, SEN
24.5549, 1912, Jan Average, Senegal, SEN
27.0206, 1912, Feb Average, Senegal, SEN
29.2744, 1912, Mar Average, Senegal, SEN
29.7481, 1912, Apr Average, Senegal, SEN
31.219, 1912, May Average, Senegal, SEN
30.8839, 1912, Jun Average, Senegal, SEN
28.9951, 1912, Jul Average, Senegal, SEN
27.8473, 1912, Aug Average, Senegal, SEN
28.2237, 1912, Sep Average, Senegal, SEN
28.7137, 1912, Oct Average, Senegal, SEN
27.62, 1912, Nov Average, Senegal, SEN
24.3549, 1912, Dec Average, Senegal, SEN
24.7418, 1913, Jan Average, Senegal, SEN
