Temperature - (Celsius), Year, Statistics, Country, ISO3
25.744, 1901, Jan Average, Singapore, SGP
25.4745, 1901, Feb Average, Singapore, SGP
27.0271, 1901, Mar Average, Singapore, SGP
26.6305, 1901, Apr Average, Singapore, SGP
27.5745, 1901, May Average, Singapore, SGP
26.0711, 1901, Jun Average, Singapore, SGP
26.9338, 1901, Jul Average, Singapore, SGP
25.8694, 1901, Aug Average, Singapore, SGP
25.8694, 1901, Sep Average, Singapore, SGP
26.2474, 1901, Oct Average, Singapore, SGP
26.7457, 1901, Nov Average, Singapore, SGP
25.1355, 1901, Dec Average, Singapore, SGP
25.4, 1902, Jan Average, Singapore, SGP
25.3745, 1902, Feb Average, Singapore, SGP
26.0271, 1902, Mar Average, Singapore, SGP
26.2305, 1902, Apr Average, Singapore, SGP
27.5745, 1902, May Average, Singapore, SGP
26.1711, 1902, Jun Average, Singapore, SGP
25.8338, 1902, Jul Average, Singapore, SGP
26.0694, 1902, Aug Average, Singapore, SGP
25.9694, 1902, Sep Average, Singapore, SGP
26.4474, 1902, Oct Average, Singapore, SGP
26.7457, 1902, Nov Average, Singapore, SGP
25.8355, 1902, Dec Average, Singapore, SGP
26.644, 1903, Jan Average, Singapore, SGP
25.8745, 1903, Feb Average, Singapore, SGP
26.5271, 1903, Mar Average, Singapore, SGP
26.1305, 1903, Apr Average, Singapore, SGP
27.5745, 1903, May Average, Singapore, SGP
26.1711, 1903, Jun Average, Singapore, SGP
25.9338, 1903, Jul Average, Singapore, SGP
26.0694, 1903, Aug Average, Singapore, SGP
25.9694, 1903, Sep Average, Singapore, SGP
25.5474, 1903, Oct Average, Singapore, SGP
26.7457, 1903, Nov Average, Singapore, SGP
24.8355, 1903, Dec Average, Singapore, SGP
25.244, 1904, Jan Average, Singapore, SGP
25.0745, 1904, Feb Average, Singapore, SGP
27.0271, 1904, Mar Average, Singapore, SGP
25.7305, 1904, Apr Average, Singapore, SGP
27.5745, 1904, May Average, Singapore, SGP
27.2711, 1904, Jun Average, Singapore, SGP
26.9338, 1904, Jul Average, Singapore, SGP
25.5694, 1904, Aug Average, Singapore, SGP
26.9694, 1904, Sep Average, Singapore, SGP
25.3474, 1904, Oct Average, Singapore, SGP
26.7457, 1904, Nov Average, Singapore, SGP
25.1355, 1904, Dec Average, Singapore, SGP
25.8, 1905, Jan Average, Singapore, SGP
25.7745, 1905, Feb Average, Singapore, SGP
26.5271, 1905, Mar Average, Singapore, SGP
25.9305, 1905, Apr Average, Singapore, SGP
27.5745, 1905, May Average, Singapore, SGP
26.8711, 1905, Jun Average, Singapore, SGP
26.2338, 1905, Jul Average, Singapore, SGP
25.9694, 1905, Aug Average, Singapore, SGP
25.9694, 1905, Sep Average, Singapore, SGP
26.6474, 1905, Oct Average, Singapore, SGP
26.7457, 1905, Nov Average, Singapore, SGP
26.0355, 1905, Dec Average, Singapore, SGP
26.3, 1906, Jan Average, Singapore, SGP
26.7745, 1906, Feb Average, Singapore, SGP
26.5271, 1906, Mar Average, Singapore, SGP
26.5305, 1906, Apr Average, Singapore, SGP
