Temperature - (Celsius), Year, Statistics, Country, ISO3
25.1777, 1901, Jan Average, Somalia, SOM
25.7345, 1901, Feb Average, Somalia, SOM
27.2376, 1901, Mar Average, Somalia, SOM
27.806, 1901, Apr Average, Somalia, SOM
27.8329, 1901, May Average, Somalia, SOM
27.7219, 1901, Jun Average, Somalia, SOM
26.8237, 1901, Jul Average, Somalia, SOM
26.8566, 1901, Aug Average, Somalia, SOM
27.4531, 1901, Sep Average, Somalia, SOM
26.5611, 1901, Oct Average, Somalia, SOM
25.599, 1901, Nov Average, Somalia, SOM
25.1896, 1901, Dec Average, Somalia, SOM
24.7711, 1902, Jan Average, Somalia, SOM
25.4248, 1902, Feb Average, Somalia, SOM
26.6912, 1902, Mar Average, Somalia, SOM
26.9399, 1902, Apr Average, Somalia, SOM
26.7373, 1902, May Average, Somalia, SOM
28.0871, 1902, Jun Average, Somalia, SOM
28.7266, 1902, Jul Average, Somalia, SOM
28.8449, 1902, Aug Average, Somalia, SOM
28.7115, 1902, Sep Average, Somalia, SOM
26.9391, 1902, Oct Average, Somalia, SOM
25.851, 1902, Nov Average, Somalia, SOM
24.9339, 1902, Dec Average, Somalia, SOM
26.2228, 1903, Jan Average, Somalia, SOM
26.6026, 1903, Feb Average, Somalia, SOM
27.6846, 1903, Mar Average, Somalia, SOM
28.5451, 1903, Apr Average, Somalia, SOM
28.0561, 1903, May Average, Somalia, SOM
27.9514, 1903, Jun Average, Somalia, SOM
28.0589, 1903, Jul Average, Somalia, SOM
27.3752, 1903, Aug Average, Somalia, SOM
27.6696, 1903, Sep Average, Somalia, SOM
26.5779, 1903, Oct Average, Somalia, SOM
25.0222, 1903, Nov Average, Somalia, SOM
24.6375, 1903, Dec Average, Somalia, SOM
24.2185, 1904, Jan Average, Somalia, SOM
25.7903, 1904, Feb Average, Somalia, SOM
26.8814, 1904, Mar Average, Somalia, SOM
27.8864, 1904, Apr Average, Somalia, SOM
28.038, 1904, May Average, Somalia, SOM
28.318, 1904, Jun Average, Somalia, SOM
27.1691, 1904, Jul Average, Somalia, SOM
27.1003, 1904, Aug Average, Somalia, SOM
27.2494, 1904, Sep Average, Somalia, SOM
26.0142, 1904, Oct Average, Somalia, SOM
25.2446, 1904, Nov Average, Somalia, SOM
24.6255, 1904, Dec Average, Somalia, SOM
25.1057, 1905, Jan Average, Somalia, SOM
25.2808, 1905, Feb Average, Somalia, SOM
26.7879, 1905, Mar Average, Somalia, SOM
27.6271, 1905, Apr Average, Somalia, SOM
27.5934, 1905, May Average, Somalia, SOM
27.5902, 1905, Jun Average, Somalia, SOM
27.4321, 1905, Jul Average, Somalia, SOM
26.9238, 1905, Aug Average, Somalia, SOM
27.6063, 1905, Sep Average, Somalia, SOM
27.1936, 1905, Oct Average, Somalia, SOM
26.1228, 1905, Nov Average, Somalia, SOM
25.34, 1905, Dec Average, Somalia, SOM
24.3837, 1906, Jan Average, Somalia, SOM
26.6956, 1906, Feb Average, Somalia, SOM
26.9331, 1906, Mar Average, Somalia, SOM
27.5926, 1906, Apr Average, Somalia, SOM
28.5805, 1906, May Average, Somalia, SOM
28.4797, 1906, Jun Average, Somalia, SOM
27.2137, 1906, Jul Average, Somalia, SOM
27.3888, 1906, Aug Average, Somalia, SOM
27.8722, 1906, Sep Average, Somalia, SOM
26.613, 1906, Oct Average, Somalia, SOM
24.8271, 1906, Nov Average, Somalia, SOM
23.457, 1906, Dec Average, Somalia, SOM
23.9824, 1907, Jan Average, Somalia, SOM
25.9303, 1907, Feb Average, Somalia, SOM
27.4081, 1907, Mar Average, Somalia, SOM
28.1073, 1907, Apr Average, Somalia, SOM
28.2476, 1907, May Average, Somalia, SOM
28.0068, 1907, Jun Average, Somalia, SOM
27.1214, 1907, Jul Average, Somalia, SOM
26.6178, 1907, Aug Average, Somalia, SOM
27.4064, 1907, Sep Average, Somalia, SOM
26.6098, 1907, Oct Average, Somalia, SOM
25.1783, 1907, Nov Average, Somalia, SOM
23.0591, 1907, Dec Average, Somalia, SOM
24.8429, 1908, Jan Average, Somalia, SOM
25.3345, 1908, Feb Average, Somalia, SOM
28.0538, 1908, Mar Average, Somalia, SOM
28.9674, 1908, Apr Average, Somalia, SOM
29.8003, 1908, May Average, Somalia, SOM
28.546, 1908, Jun Average, Somalia, SOM
27.4816, 1908, Jul Average, Somalia, SOM
27.2017, 1908, Aug Average, Somalia, SOM
28.6349, 1908, Sep Average, Somalia, SOM
29.2706, 1908, Oct Average, Somalia, SOM
24.6085, 1908, Nov Average, Somalia, SOM
23.4423, 1908, Dec Average, Somalia, SOM
23.4967, 1909, Jan Average, Somalia, SOM
24.5953, 1909, Feb Average, Somalia, SOM
26.247, 1909, Mar Average, Somalia, SOM
26.4408, 1909, Apr Average, Somalia, SOM
27.4089, 1909, May Average, Somalia, SOM
26.7928, 1909, Jun Average, Somalia, SOM
27.3171, 1909, Jul Average, Somalia, SOM
27.1726, 1909, Aug Average, Somalia, SOM
27.4889, 1909, Sep Average, Somalia, SOM
26.3581, 1909, Oct Average, Somalia, SOM
24.7011, 1909, Nov Average, Somalia, SOM
24.6488, 1909, Dec Average, Somalia, SOM
24.4435, 1910, Jan Average, Somalia, SOM
25.4137, 1910, Feb Average, Somalia, SOM
27.2455, 1910, Mar Average, Somalia, SOM
28.3298, 1910, Apr Average, Somalia, SOM
28.2513, 1910, May Average, Somalia, SOM
28.3167, 1910, Jun Average, Somalia, SOM
27.9166, 1910, Jul Average, Somalia, SOM
27.3727, 1910, Aug Average, Somalia, SOM
27.0892, 1910, Sep Average, Somalia, SOM
26.137, 1910, Oct Average, Somalia, SOM
25.4159, 1910, Nov Average, Somalia, SOM
25.8544, 1910, Dec Average, Somalia, SOM
25.2008, 1911, Jan Average, Somalia, SOM
24.9011, 1911, Feb Average, Somalia, SOM
26.9565, 1911, Mar Average, Somalia, SOM
27.5215, 1911, Apr Average, Somalia, SOM
27.3878, 1911, May Average, Somalia, SOM
28.1517, 1911, Jun Average, Somalia, SOM
25.699, 1911, Jul Average, Somalia, SOM
26.4708, 1911, Aug Average, Somalia, SOM
26.7277, 1911, Sep Average, Somalia, SOM
25.9343, 1911, Oct Average, Somalia, SOM
25.1709, 1911, Nov Average, Somalia, SOM
23.8981, 1911, Dec Average, Somalia, SOM
23.9717, 1912, Jan Average, Somalia, SOM
25.3383, 1912, Feb Average, Somalia, SOM
26.3417, 1912, Mar Average, Somalia, SOM
26.8586, 1912, Apr Average, Somalia, SOM
26.6604, 1912, May Average, Somalia, SOM
26.5184, 1912, Jun Average, Somalia, SOM
24.7881, 1912, Jul Average, Somalia, SOM
25.2083, 1912, Aug Average, Somalia, SOM
25.617, 1912, Sep Average, Somalia, SOM
25.6404, 1912, Oct Average, Somalia, SOM
25.1599, 1912, Nov Average, Somalia, SOM
23.0773, 1912, Dec Average, Somalia, SOM
23.6198, 1913, Jan Average, Somalia, SOM
24.4232, 1913, Feb Average, Somalia, SOM
25.8444, 1913, Mar Average, Somalia, SOM
26.8457, 1913, Apr Average, Somalia, SOM
27.4674, 1913, May Average, Somalia, SOM
26.4087, 1913, Jun Average, Somalia, SOM
26.0599, 1913, Jul Average, Somalia, SOM
26.1818, 1913, Aug Average, Somalia, SOM
27.279, 1913, Sep Average, Somalia, SOM
26.2323, 1913, Oct Average, Somalia, SOM
25.1217, 1913, Nov Average, Somalia, SOM
24.4158, 1913, Dec Average, Somalia, SOM
24.3601, 1914, Jan Average, Somalia, SOM
25.3302, 1914, Feb Average, Somalia, SOM
26.7119, 1914, Mar Average, Somalia, SOM
27.2884, 1914, Apr Average, Somalia, SOM
27.398, 1914, May Average, Somalia, SOM
27.362, 1914, Jun Average, Somalia, SOM
26.3807, 1914, Jul Average, Somalia, SOM
26.6238, 1914, Aug Average, Somalia, SOM
27.1152, 1914, Sep Average, Somalia, SOM
26.3125, 1914, Oct Average, Somalia, SOM
25.2072, 1914, Nov Average, Somalia, SOM
25.4471, 1914, Dec Average, Somalia, SOM
24.6016, 1915, Jan Average, Somalia, SOM
25.9373, 1915, Feb Average, Somalia, SOM
27.0194, 1915, Mar Average, Somalia, SOM
28.4679, 1915, Apr Average, Somalia, SOM
27.656, 1915, May Average, Somalia, SOM
27.1207, 1915, Jun Average, Somalia, SOM
26.4001, 1915, Jul Average, Somalia, SOM
26.4931, 1915, Aug Average, Somalia, SOM
27.294, 1915, Sep Average, Somalia, SOM
26.4533, 1915, Oct Average, Somalia, SOM
25.7922, 1915, Nov Average, Somalia, SOM
24.2401, 1915, Dec Average, Somalia, SOM
24.3059, 1916, Jan Average, Somalia, SOM
26.3348, 1916, Feb Average, Somalia, SOM
26.1371, 1916, Mar Average, Somalia, SOM
27.0518, 1916, Apr Average, Somalia, SOM
28.0122, 1916, May Average, Somalia, SOM
27.3281, 1916, Jun Average, Somalia, SOM
26.2704, 1916, Jul Average, Somalia, SOM
26.098, 1916, Aug Average, Somalia, SOM
26.6688, 1916, Sep Average, Somalia, SOM
26.7169, 1916, Oct Average, Somalia, SOM
25.949, 1916, Nov Average, Somalia, SOM
24.699, 1916, Dec Average, Somalia, SOM
25.0216, 1917, Jan Average, Somalia, SOM
26.4297, 1917, Feb Average, Somalia, SOM
25.9409, 1917, Mar Average, Somalia, SOM
27.1553, 1917, Apr Average, Somalia, SOM
27.8605, 1917, May Average, Somalia, SOM
27.2835, 1917, Jun Average, Somalia, SOM
26.4804, 1917, Jul Average, Somalia, SOM
26.583, 1917, Aug Average, Somalia, SOM
27.1825, 1917, Sep Average, Somalia, SOM
26.4344, 1917, Oct Average, Somalia, SOM
25.8556, 1917, Nov Average, Somalia, SOM
25.224, 1917, Dec Average, Somalia, SOM
24.426, 1918, Jan Average, Somalia, SOM
26.562, 1918, Feb Average, Somalia, SOM
26.9595, 1918, Mar Average, Somalia, SOM
27.2615, 1918, Apr Average, Somalia, SOM
28.0211, 1918, May Average, Somalia, SOM
27.4214, 1918, Jun Average, Somalia, SOM
26.2605, 1918, Jul Average, Somalia, SOM
26.3024, 1918, Aug Average, Somalia, SOM
26.9144, 1918, Sep Average, Somalia, SOM
26.2727, 1918, Oct Average, Somalia, SOM
24.8822, 1918, Nov Average, Somalia, SOM
24.3388, 1918, Dec Average, Somalia, SOM
24.6041, 1919, Jan Average, Somalia, SOM
25.5755, 1919, Feb Average, Somalia, SOM
26.7122, 1919, Mar Average, Somalia, SOM
27.2481, 1919, Apr Average, Somalia, SOM
27.2768, 1919, May Average, Somalia, SOM
26.9158, 1919, Jun Average, Somalia, SOM
26.0577, 1919, Jul Average, Somalia, SOM
26.4257, 1919, Aug Average, Somalia, SOM
27.1157, 1919, Sep Average, Somalia, SOM
25.7061, 1919, Oct Average, Somalia, SOM
24.7592, 1919, Nov Average, Somalia, SOM
24.0948, 1919, Dec Average, Somalia, SOM
24.2736, 1920, Jan Average, Somalia, SOM
25.0023, 1920, Feb Average, Somalia, SOM
26.3836, 1920, Mar Average, Somalia, SOM
26.723, 1920, Apr Average, Somalia, SOM
27.0724, 1920, May Average, Somalia, SOM
26.5524, 1920, Jun Average, Somalia, SOM
26.0572, 1920, Jul Average, Somalia, SOM
26.2987, 1920, Aug Average, Somalia, SOM
27.6391, 1920, Sep Average, Somalia, SOM
26.717, 1920, Oct Average, Somalia, SOM
25.8923, 1920, Nov Average, Somalia, SOM
23.65, 1920, Dec Average, Somalia, SOM
24.7184, 1921, Jan Average, Somalia, SOM
25.57, 1921, Feb Average, Somalia, SOM
27.3932, 1921, Mar Average, Somalia, SOM
28.0613, 1921, Apr Average, Somalia, SOM
27.9629, 1921, May Average, Somalia, SOM
27.4814, 1921, Jun Average, Somalia, SOM
27.1893, 1921, Jul Average, Somalia, SOM
26.9867, 1921, Aug Average, Somalia, SOM
28.3435, 1921, Sep Average, Somalia, SOM
27.3451, 1921, Oct Average, Somalia, SOM
27.2373, 1921, Nov Average, Somalia, SOM
26.6528, 1921, Dec Average, Somalia, SOM
26.4897, 1922, Jan Average, Somalia, SOM
27.3901, 1922, Feb Average, Somalia, SOM
28.4329, 1922, Mar Average, Somalia, SOM
28.5305, 1922, Apr Average, Somalia, SOM
28.8591, 1922, May Average, Somalia, SOM
28.9642, 1922, Jun Average, Somalia, SOM
26.5631, 1922, Jul Average, Somalia, SOM
26.8518, 1922, Aug Average, Somalia, SOM
28.2007, 1922, Sep Average, Somalia, SOM
27.5699, 1922, Oct Average, Somalia, SOM
27.4906, 1922, Nov Average, Somalia, SOM
26.7525, 1922, Dec Average, Somalia, SOM
25.0478, 1923, Jan Average, Somalia, SOM
26.0148, 1923, Feb Average, Somalia, SOM
27.0333, 1923, Mar Average, Somalia, SOM
27.7321, 1923, Apr Average, Somalia, SOM
28.043, 1923, May Average, Somalia, SOM
27.5621, 1923, Jun Average, Somalia, SOM
26.7025, 1923, Jul Average, Somalia, SOM
26.7427, 1923, Aug Average, Somalia, SOM
27.3562, 1923, Sep Average, Somalia, SOM
26.5129, 1923, Oct Average, Somalia, SOM
25.4055, 1923, Nov Average, Somalia, SOM
25.066, 1923, Dec Average, Somalia, SOM
25.8777, 1924, Jan Average, Somalia, SOM
27.6232, 1924, Feb Average, Somalia, SOM
28.3275, 1924, Mar Average, Somalia, SOM
29.1089, 1924, Apr Average, Somalia, SOM
29.3336, 1924, May Average, Somalia, SOM
28.8561, 1924, Jun Average, Somalia, SOM
29.3083, 1924, Jul Average, Somalia, SOM
28.6566, 1924, Aug Average, Somalia, SOM
29.326, 1924, Sep Average, Somalia, SOM
28.4032, 1924, Oct Average, Somalia, SOM
27.5742, 1924, Nov Average, Somalia, SOM
26.4543, 1924, Dec Average, Somalia, SOM
25.5377, 1925, Jan Average, Somalia, SOM
25.6195, 1925, Feb Average, Somalia, SOM
27.0338, 1925, Mar Average, Somalia, SOM
27.9192, 1925, Apr Average, Somalia, SOM
29.136, 1925, May Average, Somalia, SOM
29.7481, 1925, Jun Average, Somalia, SOM
29.5069, 1925, Jul Average, Somalia, SOM
29.351, 1925, Aug Average, Somalia, SOM
28.6572, 1925, Sep Average, Somalia, SOM
26.3755, 1925, Oct Average, Somalia, SOM
25.6907, 1925, Nov Average, Somalia, SOM
24.6702, 1925, Dec Average, Somalia, SOM
25.082, 1926, Jan Average, Somalia, SOM
26.064, 1926, Feb Average, Somalia, SOM
26.4413, 1926, Mar Average, Somalia, SOM
26.3612, 1926, Apr Average, Somalia, SOM
29.0629, 1926, May Average, Somalia, SOM
29.0542, 1926, Jun Average, Somalia, SOM
28.8658, 1926, Jul Average, Somalia, SOM
29.0691, 1926, Aug Average, Somalia, SOM
28.7302, 1926, Sep Average, Somalia, SOM
26.7394, 1926, Oct Average, Somalia, SOM
26.076, 1926, Nov Average, Somalia, SOM
23.823, 1926, Dec Average, Somalia, SOM
25.6133, 1927, Jan Average, Somalia, SOM
26.1379, 1927, Feb Average, Somalia, SOM
27.3971, 1927, Mar Average, Somalia, SOM
25.7863, 1927, Apr Average, Somalia, SOM
26.348, 1927, May Average, Somalia, SOM
26.4082, 1927, Jun Average, Somalia, SOM
27.2724, 1927, Jul Average, Somalia, SOM
28.9083, 1927, Aug Average, Somalia, SOM
29.0694, 1927, Sep Average, Somalia, SOM
28.1641, 1927, Oct Average, Somalia, SOM
