Temperature - (Celsius), Year, Statistics, Country, ISO3
-6.2023, 1901, Jan Average, Republic of Serbia, SRB
-3.2207, 1901, Feb Average, Republic of Serbia, SRB
5.88698, 1901, Mar Average, Republic of Serbia, SRB
10.0899, 1901, Apr Average, Republic of Serbia, SRB
14.857, 1901, May Average, Republic of Serbia, SRB
19.0115, 1901, Jun Average, Republic of Serbia, SRB
21.1283, 1901, Jul Average, Republic of Serbia, SRB
19.4525, 1901, Aug Average, Republic of Serbia, SRB
16.0047, 1901, Sep Average, Republic of Serbia, SRB
11.8118, 1901, Oct Average, Republic of Serbia, SRB
3.24419, 1901, Nov Average, Republic of Serbia, SRB
4.38859, 1901, Dec Average, Republic of Serbia, SRB
1.29197, 1902, Jan Average, Republic of Serbia, SRB
3.06752, 1902, Feb Average, Republic of Serbia, SRB
3.96332, 1902, Mar Average, Republic of Serbia, SRB
9.51796, 1902, Apr Average, Republic of Serbia, SRB
11.4892, 1902, May Average, Republic of Serbia, SRB
17.435, 1902, Jun Average, Republic of Serbia, SRB
19.8024, 1902, Jul Average, Republic of Serbia, SRB
20.8605, 1902, Aug Average, Republic of Serbia, SRB
16.4803, 1902, Sep Average, Republic of Serbia, SRB
11.1915, 1902, Oct Average, Republic of Serbia, SRB
1.71003, 1902, Nov Average, Republic of Serbia, SRB
-3.3826, 1902, Dec Average, Republic of Serbia, SRB
-1.5026, 1903, Jan Average, Republic of Serbia, SRB
2.21237, 1903, Feb Average, Republic of Serbia, SRB
6.72777, 1903, Mar Average, Republic of Serbia, SRB
7.78454, 1903, Apr Average, Republic of Serbia, SRB
14.7803, 1903, May Average, Republic of Serbia, SRB
17.2551, 1903, Jun Average, Republic of Serbia, SRB
19.7716, 1903, Jul Average, Republic of Serbia, SRB
19.8674, 1903, Aug Average, Republic of Serbia, SRB
16.94, 1903, Sep Average, Republic of Serbia, SRB
11.5658, 1903, Oct Average, Republic of Serbia, SRB
6.23576, 1903, Nov Average, Republic of Serbia, SRB
3.10421, 1903, Dec Average, Republic of Serbia, SRB
-2.4941, 1904, Jan Average, Republic of Serbia, SRB
3.52134, 1904, Feb Average, Republic of Serbia, SRB
4.80894, 1904, Mar Average, Republic of Serbia, SRB
10.5124, 1904, Apr Average, Republic of Serbia, SRB
