Temperature - (Celsius), Year, Statistics, Country, ISO3
26.9829, 1901, Jan Average, South Sudan, SSD
30.2423, 1901, Feb Average, South Sudan, SSD
29.9669, 1901, Mar Average, South Sudan, SSD
29.2215, 1901, Apr Average, South Sudan, SSD
28.2069, 1901, May Average, South Sudan, SSD
25.7363, 1901, Jun Average, South Sudan, SSD
26.9791, 1901, Jul Average, South Sudan, SSD
26.2837, 1901, Aug Average, South Sudan, SSD
26.8917, 1901, Sep Average, South Sudan, SSD
27.1924, 1901, Oct Average, South Sudan, SSD
27.0589, 1901, Nov Average, South Sudan, SSD
27.097, 1901, Dec Average, South Sudan, SSD
25.2417, 1902, Jan Average, South Sudan, SSD
28.8633, 1902, Feb Average, South Sudan, SSD
29.2292, 1902, Mar Average, South Sudan, SSD
28.6226, 1902, Apr Average, South Sudan, SSD
27.5789, 1902, May Average, South Sudan, SSD
26.8498, 1902, Jun Average, South Sudan, SSD
26.2456, 1902, Jul Average, South Sudan, SSD
27.1908, 1902, Aug Average, South Sudan, SSD
26.4566, 1902, Sep Average, South Sudan, SSD
25.8513, 1902, Oct Average, South Sudan, SSD
25.7504, 1902, Nov Average, South Sudan, SSD
24.8125, 1902, Dec Average, South Sudan, SSD
25.4292, 1903, Jan Average, South Sudan, SSD
26.3923, 1903, Feb Average, South Sudan, SSD
27.6608, 1903, Mar Average, South Sudan, SSD
29.1952, 1903, Apr Average, South Sudan, SSD
27.3307, 1903, May Average, South Sudan, SSD
26.6113, 1903, Jun Average, South Sudan, SSD
26.5395, 1903, Jul Average, South Sudan, SSD
26.3452, 1903, Aug Average, South Sudan, SSD
25.4134, 1903, Sep Average, South Sudan, SSD
25.9348, 1903, Oct Average, South Sudan, SSD
26.2908, 1903, Nov Average, South Sudan, SSD
26.6612, 1903, Dec Average, South Sudan, SSD
26.2186, 1904, Jan Average, South Sudan, SSD
27.6559, 1904, Feb Average, South Sudan, SSD
28.6286, 1904, Mar Average, South Sudan, SSD
28.3829, 1904, Apr Average, South Sudan, SSD
27.427, 1904, May Average, South Sudan, SSD
26.9165, 1904, Jun Average, South Sudan, SSD
26.0566, 1904, Jul Average, South Sudan, SSD
26.9288, 1904, Aug Average, South Sudan, SSD
25.8381, 1904, Sep Average, South Sudan, SSD
25.4254, 1904, Oct Average, South Sudan, SSD
25.5928, 1904, Nov Average, South Sudan, SSD
24.5791, 1904, Dec Average, South Sudan, SSD
26.2678, 1905, Jan Average, South Sudan, SSD
26.2111, 1905, Feb Average, South Sudan, SSD
27.4138, 1905, Mar Average, South Sudan, SSD
27.5733, 1905, Apr Average, South Sudan, SSD
26.5299, 1905, May Average, South Sudan, SSD
26.7029, 1905, Jun Average, South Sudan, SSD
26.1396, 1905, Jul Average, South Sudan, SSD
25.8277, 1905, Aug Average, South Sudan, SSD
26.0411, 1905, Sep Average, South Sudan, SSD
26.4719, 1905, Oct Average, South Sudan, SSD
27.0635, 1905, Nov Average, South Sudan, SSD
25.8117, 1905, Dec Average, South Sudan, SSD
25.8875, 1906, Jan Average, South Sudan, SSD
29.0542, 1906, Feb Average, South Sudan, SSD
28.1837, 1906, Mar Average, South Sudan, SSD
28.1078, 1906, Apr Average, South Sudan, SSD
28.3595, 1906, May Average, South Sudan, SSD
27.0285, 1906, Jun Average, South Sudan, SSD
25.718, 1906, Jul Average, South Sudan, SSD
25.3134, 1906, Aug Average, South Sudan, SSD
25.6913, 1906, Sep Average, South Sudan, SSD
26.1542, 1906, Oct Average, South Sudan, SSD
25.8578, 1906, Nov Average, South Sudan, SSD
25.9419, 1906, Dec Average, South Sudan, SSD
26.3219, 1907, Jan Average, South Sudan, SSD
28.3614, 1907, Feb Average, South Sudan, SSD
29.0506, 1907, Mar Average, South Sudan, SSD
29.1418, 1907, Apr Average, South Sudan, SSD
27.3755, 1907, May Average, South Sudan, SSD
26.4333, 1907, Jun Average, South Sudan, SSD
25.2717, 1907, Jul Average, South Sudan, SSD
24.0879, 1907, Aug Average, South Sudan, SSD
25.7257, 1907, Sep Average, South Sudan, SSD
26.3879, 1907, Oct Average, South Sudan, SSD
25.3704, 1907, Nov Average, South Sudan, SSD
24.2701, 1907, Dec Average, South Sudan, SSD
25.6986, 1908, Jan Average, South Sudan, SSD
27.0492, 1908, Feb Average, South Sudan, SSD
29.7053, 1908, Mar Average, South Sudan, SSD
29.6887, 1908, Apr Average, South Sudan, SSD
28.1749, 1908, May Average, South Sudan, SSD
26.7684, 1908, Jun Average, South Sudan, SSD
25.1009, 1908, Jul Average, South Sudan, SSD
25.6915, 1908, Aug Average, South Sudan, SSD
26.2386, 1908, Sep Average, South Sudan, SSD
27.7358, 1908, Oct Average, South Sudan, SSD
25.4692, 1908, Nov Average, South Sudan, SSD
24.9347, 1908, Dec Average, South Sudan, SSD
25.4295, 1909, Jan Average, South Sudan, SSD
27.7164, 1909, Feb Average, South Sudan, SSD
29.1657, 1909, Mar Average, South Sudan, SSD
27.8442, 1909, Apr Average, South Sudan, SSD
27.4306, 1909, May Average, South Sudan, SSD
25.5437, 1909, Jun Average, South Sudan, SSD
25.1732, 1909, Jul Average, South Sudan, SSD
25.1935, 1909, Aug Average, South Sudan, SSD
25.1095, 1909, Sep Average, South Sudan, SSD
26.1515, 1909, Oct Average, South Sudan, SSD
26.3058, 1909, Nov Average, South Sudan, SSD
25.7428, 1909, Dec Average, South Sudan, SSD
25.2642, 1910, Jan Average, South Sudan, SSD
27.8947, 1910, Feb Average, South Sudan, SSD
26.7426, 1910, Mar Average, South Sudan, SSD
28.6722, 1910, Apr Average, South Sudan, SSD
27.7047, 1910, May Average, South Sudan, SSD
26.7831, 1910, Jun Average, South Sudan, SSD
24.9879, 1910, Jul Average, South Sudan, SSD
25.1856, 1910, Aug Average, South Sudan, SSD
24.9101, 1910, Sep Average, South Sudan, SSD
25.5275, 1910, Oct Average, South Sudan, SSD
25.3628, 1910, Nov Average, South Sudan, SSD
24.9337, 1910, Dec Average, South Sudan, SSD
27.2697, 1911, Jan Average, South Sudan, SSD
26.5072, 1911, Feb Average, South Sudan, SSD
28.0811, 1911, Mar Average, South Sudan, SSD
27.9029, 1911, Apr Average, South Sudan, SSD
26.4904, 1911, May Average, South Sudan, SSD
26.501, 1911, Jun Average, South Sudan, SSD
25.6524, 1911, Jul Average, South Sudan, SSD
25.3296, 1911, Aug Average, South Sudan, SSD
25.6089, 1911, Sep Average, South Sudan, SSD
26.2006, 1911, Oct Average, South Sudan, SSD
26.1378, 1911, Nov Average, South Sudan, SSD
24.9066, 1911, Dec Average, South Sudan, SSD
24.8049, 1912, Jan Average, South Sudan, SSD
26.5251, 1912, Feb Average, South Sudan, SSD
27.2954, 1912, Mar Average, South Sudan, SSD
27.0594, 1912, Apr Average, South Sudan, SSD
27.1273, 1912, May Average, South Sudan, SSD
26.4476, 1912, Jun Average, South Sudan, SSD
25.203, 1912, Jul Average, South Sudan, SSD
24.9448, 1912, Aug Average, South Sudan, SSD
25.4646, 1912, Sep Average, South Sudan, SSD
25.3612, 1912, Oct Average, South Sudan, SSD
25.9134, 1912, Nov Average, South Sudan, SSD
24.3025, 1912, Dec Average, South Sudan, SSD
24.9272, 1913, Jan Average, South Sudan, SSD
26.5527, 1913, Feb Average, South Sudan, SSD
25.052, 1913, Mar Average, South Sudan, SSD
27.7792, 1913, Apr Average, South Sudan, SSD
26.5519, 1913, May Average, South Sudan, SSD
25.2467, 1913, Jun Average, South Sudan, SSD
25.8683, 1913, Jul Average, South Sudan, SSD
25.5405, 1913, Aug Average, South Sudan, SSD
26.3676, 1913, Sep Average, South Sudan, SSD
25.7506, 1913, Oct Average, South Sudan, SSD
