Temperature - (Celsius), Year, Statistics, Country, ISO3
24.0342, 1901, Jan Average, Sao Tome and Principe, STP
24.4598, 1901, Feb Average, Sao Tome and Principe, STP
23.8598, 1901, Mar Average, Sao Tome and Principe, STP
24.5653, 1901, Apr Average, Sao Tome and Principe, STP
23.2598, 1901, May Average, Sao Tome and Principe, STP
22.12, 1901, Jun Average, Sao Tome and Principe, STP
21.63, 1901, Jul Average, Sao Tome and Principe, STP
21.2044, 1901, Aug Average, Sao Tome and Principe, STP
21.9743, 1901, Sep Average, Sao Tome and Principe, STP
23.0442, 1901, Oct Average, Sao Tome and Principe, STP
23.6342, 1901, Nov Average, Sao Tome and Principe, STP
23.9698, 1901, Dec Average, Sao Tome and Principe, STP
24.3342, 1902, Jan Average, Sao Tome and Principe, STP
23.9598, 1902, Feb Average, Sao Tome and Principe, STP
24.3598, 1902, Mar Average, Sao Tome and Principe, STP
24.2653, 1902, Apr Average, Sao Tome and Principe, STP
24.1598, 1902, May Average, Sao Tome and Principe, STP
22.62, 1902, Jun Average, Sao Tome and Principe, STP
21.53, 1902, Jul Average, Sao Tome and Principe, STP
22.1044, 1902, Aug Average, Sao Tome and Principe, STP
22.6743, 1902, Sep Average, Sao Tome and Principe, STP
23.0442, 1902, Oct Average, Sao Tome and Principe, STP
23.6342, 1902, Nov Average, Sao Tome and Principe, STP
23.9698, 1902, Dec Average, Sao Tome and Principe, STP
24.7342, 1903, Jan Average, Sao Tome and Principe, STP
24.8598, 1903, Feb Average, Sao Tome and Principe, STP
24.8598, 1903, Mar Average, Sao Tome and Principe, STP
24.5653, 1903, Apr Average, Sao Tome and Principe, STP
23.9598, 1903, May Average, Sao Tome and Principe, STP
22.02, 1903, Jun Average, Sao Tome and Principe, STP
21.73, 1903, Jul Average, Sao Tome and Principe, STP
22.0044, 1903, Aug Average, Sao Tome and Principe, STP
22.9743, 1903, Sep Average, Sao Tome and Principe, STP
23.0442, 1903, Oct Average, Sao Tome and Principe, STP
23.6342, 1903, Nov Average, Sao Tome and Principe, STP
23.9698, 1903, Dec Average, Sao Tome and Principe, STP
24.3342, 1904, Jan Average, Sao Tome and Principe, STP
24.1598, 1904, Feb Average, Sao Tome and Principe, STP
23.9598, 1904, Mar Average, Sao Tome and Principe, STP
24.2653, 1904, Apr Average, Sao Tome and Principe, STP
23.7598, 1904, May Average, Sao Tome and Principe, STP
22.42, 1904, Jun Average, Sao Tome and Principe, STP
21.03, 1904, Jul Average, Sao Tome and Principe, STP
21.2044, 1904, Aug Average, Sao Tome and Principe, STP
22.9743, 1904, Sep Average, Sao Tome and Principe, STP
23.0442, 1904, Oct Average, Sao Tome and Principe, STP
23.6342, 1904, Nov Average, Sao Tome and Principe, STP
23.9698, 1904, Dec Average, Sao Tome and Principe, STP
24.7342, 1905, Jan Average, Sao Tome and Principe, STP
25.0598, 1905, Feb Average, Sao Tome and Principe, STP
25.2598, 1905, Mar Average, Sao Tome and Principe, STP
25.3653, 1905, Apr Average, Sao Tome and Principe, STP
24.5598, 1905, May Average, Sao Tome and Principe, STP
22.32, 1905, Jun Average, Sao Tome and Principe, STP
21.43, 1905, Jul Average, Sao Tome and Principe, STP
22.2044, 1905, Aug Average, Sao Tome and Principe, STP
22.3743, 1905, Sep Average, Sao Tome and Principe, STP
23.0442, 1905, Oct Average, Sao Tome and Principe, STP
23.6342, 1905, Nov Average, Sao Tome and Principe, STP
23.9698, 1905, Dec Average, Sao Tome and Principe, STP
24.1342, 1906, Jan Average, Sao Tome and Principe, STP
24.5598, 1906, Feb Average, Sao Tome and Principe, STP
25.2598, 1906, Mar Average, Sao Tome and Principe, STP
25.5653, 1906, Apr Average, Sao Tome and Principe, STP
23.9598, 1906, May Average, Sao Tome and Principe, STP
22.52, 1906, Jun Average, Sao Tome and Principe, STP
21.83, 1906, Jul Average, Sao Tome and Principe, STP
21.8044, 1906, Aug Average, Sao Tome and Principe, STP
22.9743, 1906, Sep Average, Sao Tome and Principe, STP
23.0442, 1906, Oct Average, Sao Tome and Principe, STP
23.6342, 1906, Nov Average, Sao Tome and Principe, STP
23.9698, 1906, Dec Average, Sao Tome and Principe, STP
23.9342, 1907, Jan Average, Sao Tome and Principe, STP
24.7598, 1907, Feb Average, Sao Tome and Principe, STP
24.8598, 1907, Mar Average, Sao Tome and Principe, STP
24.7653, 1907, Apr Average, Sao Tome and Principe, STP
24.2598, 1907, May Average, Sao Tome and Principe, STP
22.52, 1907, Jun Average, Sao Tome and Principe, STP
22.73, 1907, Jul Average, Sao Tome and Principe, STP
22.5044, 1907, Aug Average, Sao Tome and Principe, STP
22.8743, 1907, Sep Average, Sao Tome and Principe, STP
23.0442, 1907, Oct Average, Sao Tome and Principe, STP
23.6342, 1907, Nov Average, Sao Tome and Principe, STP
23.9698, 1907, Dec Average, Sao Tome and Principe, STP
23.9342, 1908, Jan Average, Sao Tome and Principe, STP
24.1598, 1908, Feb Average, Sao Tome and Principe, STP
24.6598, 1908, Mar Average, Sao Tome and Principe, STP
24.7653, 1908, Apr Average, Sao Tome and Principe, STP
24.1598, 1908, May Average, Sao Tome and Principe, STP
21.52, 1908, Jun Average, Sao Tome and Principe, STP
21.73, 1908, Jul Average, Sao Tome and Principe, STP
20.7044, 1908, Aug Average, Sao Tome and Principe, STP
22.2743, 1908, Sep Average, Sao Tome and Principe, STP
23.0442, 1908, Oct Average, Sao Tome and Principe, STP
23.6342, 1908, Nov Average, Sao Tome and Principe, STP
23.9698, 1908, Dec Average, Sao Tome and Principe, STP
24.3342, 1909, Jan Average, Sao Tome and Principe, STP
24.7598, 1909, Feb Average, Sao Tome and Principe, STP
24.9598, 1909, Mar Average, Sao Tome and Principe, STP
25.3653, 1909, Apr Average, Sao Tome and Principe, STP
24.1598, 1909, May Average, Sao Tome and Principe, STP
23.62, 1909, Jun Average, Sao Tome and Principe, STP
22.83, 1909, Jul Average, Sao Tome and Principe, STP
23.1044, 1909, Aug Average, Sao Tome and Principe, STP
23.3743, 1909, Sep Average, Sao Tome and Principe, STP
23.0442, 1909, Oct Average, Sao Tome and Principe, STP
23.6342, 1909, Nov Average, Sao Tome and Principe, STP
23.9698, 1909, Dec Average, Sao Tome and Principe, STP
23.6342, 1910, Jan Average, Sao Tome and Principe, STP
23.8598, 1910, Feb Average, Sao Tome and Principe, STP
23.8598, 1910, Mar Average, Sao Tome and Principe, STP
