Temperature - (Celsius), Year, Statistics, Country, ISO3
25.6023, 1901, Jan Average, Suriname, SUR
25.6086, 1901, Feb Average, Suriname, SUR
25.3859, 1901, Mar Average, Suriname, SUR
26.3103, 1901, Apr Average, Suriname, SUR
26.2175, 1901, May Average, Suriname, SUR
26.4875, 1901, Jun Average, Suriname, SUR
26.687, 1901, Jul Average, Suriname, SUR
26.4852, 1901, Aug Average, Suriname, SUR
26.0609, 1901, Sep Average, Suriname, SUR
26.1768, 1901, Oct Average, Suriname, SUR
26.3121, 1901, Nov Average, Suriname, SUR
25.7349, 1901, Dec Average, Suriname, SUR
25.0501, 1902, Jan Average, Suriname, SUR
25.2593, 1902, Feb Average, Suriname, SUR
25.2599, 1902, Mar Average, Suriname, SUR
26.1019, 1902, Apr Average, Suriname, SUR
26.6583, 1902, May Average, Suriname, SUR
26.7881, 1902, Jun Average, Suriname, SUR
26.5016, 1902, Jul Average, Suriname, SUR
26.9527, 1902, Aug Average, Suriname, SUR
26.2597, 1902, Sep Average, Suriname, SUR
25.9768, 1902, Oct Average, Suriname, SUR
26.9801, 1902, Nov Average, Suriname, SUR
26.3347, 1902, Dec Average, Suriname, SUR
25.7548, 1903, Jan Average, Suriname, SUR
25.5064, 1903, Feb Average, Suriname, SUR
25.7584, 1903, Mar Average, Suriname, SUR
25.9561, 1903, Apr Average, Suriname, SUR
25.8107, 1903, May Average, Suriname, SUR
26.389, 1903, Jun Average, Suriname, SUR
26.7547, 1903, Jul Average, Suriname, SUR
26.2794, 1903, Aug Average, Suriname, SUR
25.9648, 1903, Sep Average, Suriname, SUR
27.2763, 1903, Oct Average, Suriname, SUR
26.3121, 1903, Nov Average, Suriname, SUR
26.0325, 1903, Dec Average, Suriname, SUR
24.9563, 1904, Jan Average, Suriname, SUR
24.6087, 1904, Feb Average, Suriname, SUR
24.5657, 1904, Mar Average, Suriname, SUR
25.3562, 1904, Apr Average, Suriname, SUR
25.6826, 1904, May Average, Suriname, SUR
25.6351, 1904, Jun Average, Suriname, SUR
26.2552, 1904, Jul Average, Suriname, SUR
25.9852, 1904, Aug Average, Suriname, SUR
27.1316, 1904, Sep Average, Suriname, SUR
26.8262, 1904, Oct Average, Suriname, SUR
26.684, 1904, Nov Average, Suriname, SUR
25.9342, 1904, Dec Average, Suriname, SUR
25.8629, 1905, Jan Average, Suriname, SUR
24.8104, 1905, Feb Average, Suriname, SUR
25.6133, 1905, Mar Average, Suriname, SUR
25.7033, 1905, Apr Average, Suriname, SUR
25.9099, 1905, May Average, Suriname, SUR
26.0813, 1905, Jun Average, Suriname, SUR
26.086, 1905, Jul Average, Suriname, SUR
26.708, 1905, Aug Average, Suriname, SUR
27.0846, 1905, Sep Average, Suriname, SUR
26.7425, 1905, Oct Average, Suriname, SUR
26.8386, 1905, Nov Average, Suriname, SUR
24.9894, 1905, Dec Average, Suriname, SUR
25.0216, 1906, Jan Average, Suriname, SUR
25.1646, 1906, Feb Average, Suriname, SUR
25.1853, 1906, Mar Average, Suriname, SUR
25.1759, 1906, Apr Average, Suriname, SUR
25.8135, 1906, May Average, Suriname, SUR
25.6362, 1906, Jun Average, Suriname, SUR
25.8554, 1906, Jul Average, Suriname, SUR
26.3608, 1906, Aug Average, Suriname, SUR
26.5436, 1906, Sep Average, Suriname, SUR
