Temperature - (Celsius), Year, Statistics, Country, ISO3
-7.6103, 1901, Jan Average, Slovakia, SVK
-5.662, 1901, Feb Average, Slovakia, SVK
1.95155, 1901, Mar Average, Slovakia, SVK
7.76044, 1901, Apr Average, Slovakia, SVK
13.127, 1901, May Average, Slovakia, SVK
16.9382, 1901, Jun Average, Slovakia, SVK
18.4682, 1901, Jul Average, Slovakia, SVK
16.9915, 1901, Aug Average, Slovakia, SVK
12.59, 1901, Sep Average, Slovakia, SVK
9.62797, 1901, Oct Average, Slovakia, SVK
1.25905, 1901, Nov Average, Slovakia, SVK
0.44349, 1901, Dec Average, Slovakia, SVK
0.13738, 1902, Jan Average, Slovakia, SVK
-1.5708, 1902, Feb Average, Slovakia, SVK
1.88948, 1902, Mar Average, Slovakia, SVK
6.50294, 1902, Apr Average, Slovakia, SVK
8.97697, 1902, May Average, Slovakia, SVK
14.7243, 1902, Jun Average, Slovakia, SVK
16.0805, 1902, Jul Average, Slovakia, SVK
16.5233, 1902, Aug Average, Slovakia, SVK
12.5419, 1902, Sep Average, Slovakia, SVK
7.32025, 1902, Oct Average, Slovakia, SVK
-1.3074, 1902, Nov Average, Slovakia, SVK
-6.4097, 1902, Dec Average, Slovakia, SVK
-4.493, 1903, Jan Average, Slovakia, SVK
1.19939, 1903, Feb Average, Slovakia, SVK
4.929, 1903, Mar Average, Slovakia, SVK
5.37831, 1903, Apr Average, Slovakia, SVK
12.6713, 1903, May Average, Slovakia, SVK
14.8843, 1903, Jun Average, Slovakia, SVK
16.799, 1903, Jul Average, Slovakia, SVK
16.3938, 1903, Aug Average, Slovakia, SVK
13.4151, 1903, Sep Average, Slovakia, SVK
8.89257, 1903, Oct Average, Slovakia, SVK
3.47986, 1903, Nov Average, Slovakia, SVK
-1.8505, 1903, Dec Average, Slovakia, SVK
-4.6237, 1904, Jan Average, Slovakia, SVK
0.21359, 1904, Feb Average, Slovakia, SVK
2.24713, 1904, Mar Average, Slovakia, SVK
7.95374, 1904, Apr Average, Slovakia, SVK
11.8467, 1904, May Average, Slovakia, SVK
15.7521, 1904, Jun Average, Slovakia, SVK
18.9871, 1904, Jul Average, Slovakia, SVK
17.5236, 1904, Aug Average, Slovakia, SVK
11.9621, 1904, Sep Average, Slovakia, SVK
8.24627, 1904, Oct Average, Slovakia, SVK
0.78826, 1904, Nov Average, Slovakia, SVK
-1.4056, 1904, Dec Average, Slovakia, SVK
-6.6977, 1905, Jan Average, Slovakia, SVK
-1.4826, 1905, Feb Average, Slovakia, SVK
3.21891, 1905, Mar Average, Slovakia, SVK
5.74992, 1905, Apr Average, Slovakia, SVK
12.6347, 1905, May Average, Slovakia, SVK
16.936, 1905, Jun Average, Slovakia, SVK
18.9626, 1905, Jul Average, Slovakia, SVK
18.0777, 1905, Aug Average, Slovakia, SVK
14.0623, 1905, Sep Average, Slovakia, SVK
4.58656, 1905, Oct Average, Slovakia, SVK
3.33465, 1905, Nov Average, Slovakia, SVK
-1.5341, 1905, Dec Average, Slovakia, SVK
-3.0973, 1906, Jan Average, Slovakia, SVK
-1.3963, 1906, Feb Average, Slovakia, SVK
2.34633, 1906, Mar Average, Slovakia, SVK
8.59904, 1906, Apr Average, Slovakia, SVK
13.5733, 1906, May Average, Slovakia, SVK
15.0351, 1906, Jun Average, Slovakia, SVK
17.6119, 1906, Jul Average, Slovakia, SVK
16.3119, 1906, Aug Average, Slovakia, SVK
11.8769, 1906, Sep Average, Slovakia, SVK
7.89257, 1906, Oct Average, Slovakia, SVK
5.10501, 1906, Nov Average, Slovakia, SVK
-4.3316, 1906, Dec Average, Slovakia, SVK
-4.9824, 1907, Jan Average, Slovakia, SVK
-4.6487, 1907, Feb Average, Slovakia, SVK
-0.1704, 1907, Mar Average, Slovakia, SVK
5.09954, 1907, Apr Average, Slovakia, SVK
14.5949, 1907, May Average, Slovakia, SVK
15.8562, 1907, Jun Average, Slovakia, SVK
15.895, 1907, Jul Average, Slovakia, SVK
16.6117, 1907, Aug Average, Slovakia, SVK
12.7618, 1907, Sep Average, Slovakia, SVK
12.1471, 1907, Oct Average, Slovakia, SVK
0.98446, 1907, Nov Average, Slovakia, SVK
-1.3462, 1907, Dec Average, Slovakia, SVK
-4.6717, 1908, Jan Average, Slovakia, SVK
-0.6975, 1908, Feb Average, Slovakia, SVK
1.73596, 1908, Mar Average, Slovakia, SVK
6.22655, 1908, Apr Average, Slovakia, SVK
14.8951, 1908, May Average, Slovakia, SVK
17.3084, 1908, Jun Average, Slovakia, SVK
17.3477, 1908, Jul Average, Slovakia, SVK
15.3257, 1908, Aug Average, Slovakia, SVK
11.6144, 1908, Sep Average, Slovakia, SVK
7.12249, 1908, Oct Average, Slovakia, SVK
-2.029, 1908, Nov Average, Slovakia, SVK
-3.9764, 1908, Dec Average, Slovakia, SVK
-5.3619, 1909, Jan Average, Slovakia, SVK
-5.7175, 1909, Feb Average, Slovakia, SVK
1.38315, 1909, Mar Average, Slovakia, SVK
7.61545, 1909, Apr Average, Slovakia, SVK
11.1856, 1909, May Average, Slovakia, SVK
15.236, 1909, Jun Average, Slovakia, SVK
16.1311, 1909, Jul Average, Slovakia, SVK
17.3268, 1909, Aug Average, Slovakia, SVK
13.9957, 1909, Sep Average, Slovakia, SVK
10.3301, 1909, Oct Average, Slovakia, SVK
1.28612, 1909, Nov Average, Slovakia, SVK
-0.0561, 1909, Dec Average, Slovakia, SVK
-1.7578, 1910, Jan Average, Slovakia, SVK
1.51663, 1910, Feb Average, Slovakia, SVK
3.02795, 1910, Mar Average, Slovakia, SVK
7.43764, 1910, Apr Average, Slovakia, SVK
12.766, 1910, May Average, Slovakia, SVK
16.7706, 1910, Jun Average, Slovakia, SVK
16.2902, 1910, Jul Average, Slovakia, SVK
16.4441, 1910, Aug Average, Slovakia, SVK
12.0654, 1910, Sep Average, Slovakia, SVK
7.98052, 1910, Oct Average, Slovakia, SVK
1.56293, 1910, Nov Average, Slovakia, SVK
0.79682, 1910, Dec Average, Slovakia, SVK
-3.0309, 1911, Jan Average, Slovakia, SVK
-3.302, 1911, Feb Average, Slovakia, SVK
2.85891, 1911, Mar Average, Slovakia, SVK
7.18956, 1911, Apr Average, Slovakia, SVK
12.9372, 1911, May Average, Slovakia, SVK
15.204, 1911, Jun Average, Slovakia, SVK
18.6587, 1911, Jul Average, Slovakia, SVK
18.4596, 1911, Aug Average, Slovakia, SVK
13.8808, 1911, Sep Average, Slovakia, SVK
8.22967, 1911, Oct Average, Slovakia, SVK
4.5068, 1911, Nov Average, Slovakia, SVK
-0.1592, 1911, Dec Average, Slovakia, SVK
-6.5523, 1912, Jan Average, Slovakia, SVK
0.0439, 1912, Feb Average, Slovakia, SVK
