Temperature - (Celsius), Year, Statistics, Country, ISO3
-4.6956, 1901, Jan Average, Slovenia, SVN
-4.7386, 1901, Feb Average, Slovenia, SVN
2.94037, 1901, Mar Average, Slovenia, SVN
8.12046, 1901, Apr Average, Slovenia, SVN
12.3908, 1901, May Average, Slovenia, SVN
16.4598, 1901, Jun Average, Slovenia, SVN
18.1479, 1901, Jul Average, Slovenia, SVN
17.0141, 1901, Aug Average, Slovenia, SVN
13.7072, 1901, Sep Average, Slovenia, SVN
9.77111, 1901, Oct Average, Slovenia, SVN
2.09302, 1901, Nov Average, Slovenia, SVN
1.29561, 1901, Dec Average, Slovenia, SVN
1.11472, 1902, Jan Average, Slovenia, SVN
0.79181, 1902, Feb Average, Slovenia, SVN
3.28114, 1902, Mar Average, Slovenia, SVN
8.82237, 1902, Apr Average, Slovenia, SVN
8.52407, 1902, May Average, Slovenia, SVN
14.2801, 1902, Jun Average, Slovenia, SVN
17.1179, 1902, Jul Average, Slovenia, SVN
16.7881, 1902, Aug Average, Slovenia, SVN
13.7621, 1902, Sep Average, Slovenia, SVN
8.55793, 1902, Oct Average, Slovenia, SVN
1.6362, 1902, Nov Average, Slovenia, SVN
-1.8849, 1902, Dec Average, Slovenia, SVN
-2.8884, 1903, Jan Average, Slovenia, SVN
2.13029, 1903, Feb Average, Slovenia, SVN
5.34083, 1903, Mar Average, Slovenia, SVN
4.76688, 1903, Apr Average, Slovenia, SVN
12.3669, 1903, May Average, Slovenia, SVN
14.9791, 1903, Jun Average, Slovenia, SVN
16.8854, 1903, Jul Average, Slovenia, SVN
17.1731, 1903, Aug Average, Slovenia, SVN
13.8181, 1903, Sep Average, Slovenia, SVN
9.72457, 1903, Oct Average, Slovenia, SVN
4.44466, 1903, Nov Average, Slovenia, SVN
0.05906, 1903, Dec Average, Slovenia, SVN
-2.1269, 1904, Jan Average, Slovenia, SVN
1.57417, 1904, Feb Average, Slovenia, SVN
4.24765, 1904, Mar Average, Slovenia, SVN
8.96261, 1904, Apr Average, Slovenia, SVN
12.9987, 1904, May Average, Slovenia, SVN
16.5141, 1904, Jun Average, Slovenia, SVN
19.2804, 1904, Jul Average, Slovenia, SVN
17.5418, 1904, Aug Average, Slovenia, SVN
12.1168, 1904, Sep Average, Slovenia, SVN
9.04254, 1904, Oct Average, Slovenia, SVN
2.84887, 1904, Nov Average, Slovenia, SVN
0.44521, 1904, Dec Average, Slovenia, SVN
-4.7073, 1905, Jan Average, Slovenia, SVN
-0.6235, 1905, Feb Average, Slovenia, SVN
4.4483, 1905, Mar Average, Slovenia, SVN
6.80015, 1905, Apr Average, Slovenia, SVN
11.9065, 1905, May Average, Slovenia, SVN
16.2138, 1905, Jun Average, Slovenia, SVN
19.6491, 1905, Jul Average, Slovenia, SVN
18.1372, 1905, Aug Average, Slovenia, SVN
15.2932, 1905, Sep Average, Slovenia, SVN
5.37573, 1905, Oct Average, Slovenia, SVN
4.05915, 1905, Nov Average, Slovenia, SVN
0.55558, 1905, Dec Average, Slovenia, SVN
-1.7828, 1906, Jan Average, Slovenia, SVN
-0.4842, 1906, Feb Average, Slovenia, SVN
3.11238, 1906, Mar Average, Slovenia, SVN
7.78726, 1906, Apr Average, Slovenia, SVN
12.5212, 1906, May Average, Slovenia, SVN
14.8267, 1906, Jun Average, Slovenia, SVN
17.5095, 1906, Jul Average, Slovenia, SVN
17.1893, 1906, Aug Average, Slovenia, SVN
